business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Krishna Enterprises,Building Material Supplier,Lumber store,Lumber store,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,5.0,,"Pakyong, Sikkim 737106",737133,27.2418956,88.60296199999999,ChIJ7ySf44On5jkRXc3IT6QxZ9E,https://www.google.com/maps/place/?q=place_id:ChIJ7ySf44On5jkRXc3IT6QxZ9E,part_331,2026-09-20 20:17:49,2366
Lumberjack by CJT Harvester timber shop,Building Material Supplier,Lumber store,Lumber store,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 96474 71428,N/A,5.0,,"Pedong, West Bengal 734311",737133,27.156243399999997,88.613654,ChIJHQQB3x0d5DkRO7SPD8aiPpI,https://www.google.com/maps/place/?q=place_id:ChIJHQQB3x0d5DkRO7SPD8aiPpI,part_331,2026-09-20 20:17:49,2367
Nerolac Dealer - Kunal Agarwal,Building Material Supplier,Paint store,Paint store,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 1234 567 890,https://www.nerolac.com/store-locator/sikkim/rhenock/kunal-agarwal?utm_source=google_maps&utm_medium=organic,,,"Rhenock - Tarpin Rd, Rhenock Bazar, East Sikkim, Reshi, Rhenak, Sikkim 737133","Rhenock Bazar, East Sikkim",27.1751693,88.6442622,ChIJexDc9x2p5jkRsIGLBsqRkAU,https://www.google.com/maps/place/?q=place_id:ChIJexDc9x2p5jkRsIGLBsqRkAU,part_331,2026-09-20 20:17:49,2368
MADAN TRADING COMPANY,Building Material Supplier,Hardware store,Hardware store,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 90832 18251,N/A,5.0,,"Street 3, Jorethang, Sikkim 737121",737133,27.131560999999998,88.28216359999999,ChIJwUMPss0p5DkR3bYWJB3iWbs,https://www.google.com/maps/place/?q=place_id:ChIJwUMPss0p5DkR3bYWJB3iWbs,part_331,2026-09-20 20:17:50,2369
Laki Enterprise,Building Material Supplier,Hardware store,"Hardware store, Building materials supplier, Carpenter, Glass & mirror shop, Modular home builder, Window supplier",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 74072 32690,N/A,4.5,,"Sabji mandi road, Gyalshing, Sikkim 737111",737133,27.2893109,88.25780429999999,ChIJDzh5Z3SF5jkRBqsKzdZD0IY,https://www.google.com/maps/place/?q=place_id:ChIJDzh5Z3SF5jkRBqsKzdZD0IY,part_331,2026-09-20 20:17:50,2370
Mahesh Kumar hardware,Building Material Supplier,Building materials store,Building materials store,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,5.0,,"National Highway, 31A, Ranipool, Sikkim 737135",31A,27.2939875,88.5901358,ChIJHe2EqQOl5jkRULCkzjSltU4,https://www.google.com/maps/place/?q=place_id:ChIJHe2EqQOl5jkRULCkzjSltU4,part_331,2026-09-20 20:17:50,2371
Kamala Hardware,Building Material Supplier,Building materials store,Building materials store,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 97350 16389,N/A,5.0,,"753J+PM5, Hee Burmiok, Sikkim 737113",737133,27.2542716,88.18171939999999,ChIJ0W2KzraB5jkRPc9r3Job8q8,https://www.google.com/maps/place/?q=place_id:ChIJ0W2KzraB5jkRPc9r3Job8q8,part_331,2026-09-20 20:17:50,2372
Jaiswal Buildars,Building Material Supplier,Building materials supplier,"Building materials supplier, Building materials store",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 81673 52900,http://www.jaiswalbuildars.com/,4.5,,"Jaiswal Builders 3rd Mile Sevoke Road, Anchal Rd, near maruti kata, opp. Northern flour mill, Salugara, Siliguri, West Bengal 734008","Chayan Para, Salugara",26.7610621,88.4450032,ChIJI531G9lB5DkRI-tfTGxQ7nY,https://www.google.com/maps/place/?q=place_id:ChIJI531G9lB5DkRI-tfTGxQ7nY,part_331,2026-09-20 20:17:50,2373
Vinod Enterprises,Building Material Supplier,Construction machine dealer,Construction machine dealer,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 93519 97437,N/A,5.0,,"NH10, near Gurudwara, Deorali Bazar, Gangtok, Sikkim 737101",Deorali Bazar,27.318219799999998,88.60513209999999,ChIJndVFwhel5jkRBR1XtLvpwKw,https://www.google.com/maps/place/?q=place_id:ChIJndVFwhel5jkRBR1XtLvpwKw,part_331,2026-09-20 20:17:50,2374
Rana Hardware Store,Building Material Supplier,Building materials store,Building materials store,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 99073 15255,N/A,5.0,1.0,"67WC+8RF, Rinchenpong, Sikkim 737111",737133,27.2458042,88.2720544,ChIJX1j38lKD5jkRyHnSh36Eq9A,https://www.google.com/maps/place/?q=place_id:ChIJX1j38lKD5jkRyHnSh36Eq9A,part_331,2026-09-20 20:17:50,2375
