business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Chirag & Co.,Chartered Accountant (CA),Certified public accountant,"Certified public accountant, Chartered accountant",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 86704 16670,N/A,4.8,5.0,"47JJ+JPG, Mg Marg, near Mahatma Ghandhi Statue, Jorethang, Sikkim 737121",737133,27.131382499999997,88.281683,ChIJvfYXt7Mp5DkR5n6nDNUBb_I,https://www.google.com/maps/place/?q=place_id:ChIJvfYXt7Mp5DkR5n6nDNUBb_I,part_331,2026-09-20 20:18:01,3840
BSA & Company CA in Siliguri,Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Auditor, Automation company, Business management consultant, Consultant, Financial consultant, License bureau, Tax preparation service",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 76026 35015,https://www.bsaglobal.in/,5.0,218.0,"2nd floor, Raymonds Building, Sevoke Rd, beside Shelcon Plaza, Ward 10, Janta Nagar, Siliguri, West Bengal 734001","Ward 10, Janta Nagar",26.725669399999997,88.42909209999999,ChIJKzu3WeZB5DkR9Bzs_-PTgtU,https://www.google.com/maps/place/?q=place_id:ChIJKzu3WeZB5DkR9Bzs_-PTgtU,part_331,2026-09-20 20:18:01,3841
Sailesh Trading,Chartered Accountant (CA),Certified public accountant,"Certified public accountant, Tax preparation service",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 96478 71503,N/A,5.0,2.0,"Deorali Rd, Deorali Bazar, Gangtok, Sikkim 737102",Deorali Bazar,27.319105,88.60796309999999,ChIJEfCxDRCl5jkRiI0Sn4Ymv04,https://www.google.com/maps/place/?q=place_id:ChIJEfCxDRCl5jkRiI0Sn4Ymv04,part_331,2026-09-20 20:18:01,3842
Bineet Goyal & Associates,Chartered Accountant (CA),Chartered accountant,Chartered accountant,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,5.0,4.0,"8JH5+675, Indira Bypass Rd, Vishal Gaon, Gangtok, Sikkim 737102",Vishal Gaon,27.3280209,88.6082279,ChIJz7r8E-yl5jkROJEP-GxZ0Do,https://www.google.com/maps/place/?q=place_id:ChIJz7r8E-yl5jkROJEP-GxZ0Do,part_331,2026-09-20 20:18:01,3843
Vivek Ankit & Co,Chartered Accountant (CA),Certified public accountant,Certified public accountant,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 98326 74646,http://cavac.co.in/,5.0,121.0,"228, Sevoke Rd, near Gurudwara, Ward 11, Hakim Para, Siliguri, West Bengal 734001","Ward 11, Hakim Para",26.71832,88.4253777,ChIJX3HfMztH5DkRrhp5amtAEVg,https://www.google.com/maps/place/?q=place_id:ChIJX3HfMztH5DkRrhp5amtAEVg,part_331,2026-09-20 20:18:01,3844
N.Marda & Associates,Chartered Accountant (CA),Accountant,Accountant,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,4.7,7.0,"Tibet Rd, Arithang, Gangtok, Sikkim 737101",Arithang,27.3315819,88.61506089999999,ChIJrf3UHECl5jkROX4vyX304lY,https://www.google.com/maps/place/?q=place_id:ChIJrf3UHECl5jkROX4vyX304lY,part_331,2026-09-20 20:18:01,3845
Jainarayan,Chartered Accountant (CA),Chartered accountant,Chartered accountant,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 99324 93991,N/A,,,"Rongli, Sikkim 737131",737133,27.203088299999997,88.701455,ChIJm0mSZUap5jkRyPzPyoSBkpQ,https://www.google.com/maps/place/?q=place_id:ChIJm0mSZUap5jkRyPzPyoSBkpQ,part_331,2026-09-20 20:18:01,3846
Raksha Agarwal and Associates,Chartered Accountant (CA),Certified public accountant,Certified public accountant,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 97497 51644,http://www.rakshaagarwal.in/,5.0,20.0,"Mahendra Complex, A-12, Sevoke Rd, opp. Hotel gateway, Ward 10, Janta Nagar, Siliguri, West Bengal 734001","Ward 10, Janta Nagar",26.7171515,88.42373049999999,ChIJ4dB8K_5B5DkRf-nSrT79dpI,https://www.google.com/maps/place/?q=place_id:ChIJ4dB8K_5B5DkRf-nSrT79dpI,part_331,2026-09-20 20:18:01,3847
Bansal Priya & Associates,Chartered Accountant (CA),Chartered accountant,Chartered accountant,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,,,"Tibet Rd, opposite Cafe Live and Loud, Arithang, Gangtok, Sikkim 737101",Arithang,27.328981199999998,88.6137086,ChIJC3ZlO7Kl5jkRfx5XNjA3w2Q,https://www.google.com/maps/place/?q=place_id:ChIJC3ZlO7Kl5jkRfx5XNjA3w2Q,part_331,2026-09-20 20:18:01,3848
Kamlesh Temani & Associates,Chartered Accountant (CA),Certified public accountant,"Certified public accountant, Accounting firm, Auditor, Legal services, Public defender's office, Registration office, Tax consultant",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 97334 12222,N/A,5.0,151.0,"Ward No. 14, Mahabirsthan, Dhupguri, West Bengal 735210",737133,26.5875845,89.0068524,ChIJzWsMDGib4zkRgCgAXZ-kqH0,https://www.google.com/maps/place/?q=place_id:ChIJzWsMDGib4zkRgCgAXZ-kqH0,part_331,2026-09-20 20:18:01,3849
Kehar Singh Chettri,Chartered Accountant (CA),Chartered accountant,Chartered accountant,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 94347 56055,N/A,,,"Karki Bhawan, NH10, Ranipool, Sikkim 737135",737133,27.2944931,88.59103759999999,ChIJb5PkMPOl5jkRkb-AONBxCbU,https://www.google.com/maps/place/?q=place_id:ChIJb5PkMPOl5jkRkb-AONBxCbU,part_331,2026-09-20 20:18:01,3850
CA (R. S Malpani & Associates),Chartered Accountant (CA),Certified public accountant,Certified public accountant,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 98324 62935,N/A,5.0,1.0,"Station Feeder Rd, Ward 9, Mahananda Para, Siliguri, West Bengal 734005","Ward 9, Mahananda Para",26.7022457,88.4180435,ChIJsYiJLEJB5DkRotJrWDO-h14,https://www.google.com/maps/place/?q=place_id:ChIJsYiJLEJB5DkRotJrWDO-h14,part_331,2026-09-20 20:18:01,3851
Amit P Gupta & Associates,Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Accounting firm, Auditor, Business development service, Business management consultant, Certification agency, Financial audit, Income tax help association, Tax collector's office, Tax consultant",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 95933 80690,https://sites.google.com/view/caamitgupta/home,5.0,,"Besides Mistri Furniture Showroom, Bazar, Tadong, Gangtok, Sikkim 737102",Tadong,27.3118619,88.5986973,ChIJb2kLFDKl5jkRvoBYeFP9EIU,https://www.google.com/maps/place/?q=place_id:ChIJb2kLFDKl5jkRvoBYeFP9EIU,part_331,2026-09-20 20:18:02,3852
"B.S. & Associates, Chartered Accountants (CA)",Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Service establishment",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,5.0,,"B.S. & Associates, Chartered Accountants (CA), 737133, India",737133,26.6231679,87.9881796,ChIJBRMwXB_1JKgRoq4DVzyCdCk,https://www.google.com/maps/place/?q=place_id:ChIJBRMwXB_1JKgRoq4DVzyCdCk,part_331,2026-09-20 20:18:02,3853
"LG & ASSOCIATES,CHARTERED ACCOUNTANTS",Chartered Accountant (CA),Corporate office,Corporate office,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 98320 93139,N/A,5.0,,"8J93+PX2, Deorali Bazar, Gangtok, Sikkim 737102",Deorali Bazar,27.3192547,88.60489869999999,ChIJtb4yre2l5jkRLM3DMb7Aguk,https://www.google.com/maps/place/?q=place_id:ChIJtb4yre2l5jkRLM3DMb7Aguk,part_331,2026-09-20 20:18:02,3854
Pallavi Prasad and Associates,Chartered Accountant (CA),Certified public accountant,"Certified public accountant, Chartered accountant",737134,West Bengal Circle,North Bengal Region,Sikkim Division,"Singtam SO, Bardang BO, Bermiok BO",N/A,N/A,,,"Near Star Cinema Hall New Market, Mahatma Gandhi Marg, Gangtok, Sikkim 737101",Vishal Gaon,27.3253821,88.61189,ChIJc2LmHgKl5jkRv00YAYRSXtY,https://www.google.com/maps/place/?q=place_id:ChIJc2LmHgKl5jkRv00YAYRSXtY,part_331,2026-09-20 20:18:42,5898
CA. Manoj Agarwal & Co.,Chartered Accountant (CA),Certified public accountant,Certified public accountant,737134,West Bengal Circle,North Bengal Region,Sikkim Division,"Singtam SO, Bardang BO, Bermiok BO",N/A,N/A,5.0,1.0,"8JG6+MJW, Lal Market Rd, Vishal Gaon, Gangtok, Sikkim 737101",Vishal Gaon,27.3267365,88.61157759999999,ChIJq-J2IgCl5jkRa1HaJCVfDEQ,https://www.google.com/maps/place/?q=place_id:ChIJq-J2IgCl5jkRa1HaJCVfDEQ,part_331,2026-09-20 20:18:42,5899
CA A R Mutha & Co. Chartered Accountants,Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Auditor, Financial audit, Financial consultant, Income tax help association, Tax attorney, Tax consultant, Tax preparation, Tax preparation service",737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 82750 19423,https://armutha.in/,4.7,,"Trambakeshwar Rd, mico circle No 8, Matoshree Nagar, Nashik, Maharashtra 422002",Matoshree Nagar,19.994341,73.772571,ChIJpwwNh4fr3TsRkVMXUg89rVE,https://www.google.com/maps/place/?q=place_id:ChIJpwwNh4fr3TsRkVMXUg89rVE,part_331,2026-09-20 20:19:25,8151
"MJS And Co LLP | Chartered Accountants | Best CA firm in India | Top CA Services - Tax, Audit and Accounting",Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Accountant, Auditor, Real Estate Builders & Construction Company, Tax consultant",737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 97661 59047,http://www.mjsco.in/,5.0,,"Tamhane Chowk, 202, Westlink, Near Kapil Malhar Society, Aundh - Baner Link Rd, next to Cafe Buddy's Espresso, Baner, Pune, Maharashtra 411069",Baner,18.5610593,73.7923612,ChIJZwJNJs6_wjsRsQHOS44fFko,https://www.google.com/maps/place/?q=place_id:ChIJZwJNJs6_wjsRsQHOS44fFko,part_331,2026-09-20 20:19:25,8152
CA Nikhita K G & Associates (Chartered Accountants) I Top CA Firm l CA near me l,Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Accountant, Accounting firm, Financial audit, Income tax help association, Tax assessor, Tax consultant, Tax preparation service",737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 98216 67482,https://nikhitakgandassociates.com/,5.0,,"Office No :203, Ashwamedh Commercia, Pune Banglore Highway Pashan Exit, beside Rahul Arcus, Baner Annex, Baner, Pune, Maharashtra 411045","Baner Annex, Baner",18.551563599999998,73.77053219999999,ChIJH1gATui_wjsRZoQGXqES3wM,https://www.google.com/maps/place/?q=place_id:ChIJH1gATui_wjsRZoQGXqES3wM,part_331,2026-09-20 20:19:25,8153
𝗖𝗔 𝗔𝗷𝗮𝘆 𝗔𝗴𝗿𝗮𝘄𝗮𝗹 𝗮𝗻𝗱 𝗖𝗼𝗺𝗽𝗮𝗻𝘆 - Chartered Accountants | GST Advisors | Startup Advisors,Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Consultant, Tax attorney, Tax consultant",737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 86000 75959,https://www.caagrawal.in/,5.0,,"3, Urvashi Apartment, Kusumagraj Smarak Path Shreerang Nagar Vidya Vikas Circle, Gangapur Rd, Nashik, Maharashtra 422013",Shreerang Nagar,20.012019199999997,73.7682009,ChIJyQVrfJfr3TsRztd8ifBCDw8,https://www.google.com/maps/place/?q=place_id:ChIJyQVrfJfr3TsRztd8ifBCDw8,part_331,2026-09-20 20:19:25,8154
"Nipun Sikri and Company, Chartered Accountants",Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Auditor, Financial audit, Income tax help association, Tax attorney, Tax consultant, Tax preparation",737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 70444 18881,N/A,5.0,,"LODHA Belmondo,Pebble Beach, Gahunje, Kiwale, Wakad Ravet, Pimpri, Pimpri-Chinchwad, Maharashtra 412101",Pimpri,18.6622183,73.7080653,ChIJHbtgxU6xwjsRcq_xlfn0onM,https://www.google.com/maps/place/?q=place_id:ChIJHbtgxU6xwjsRcq_xlfn0onM,part_331,2026-09-20 20:19:25,8155
Tosniwal & Associates- Best Chartered Accountant/CA in Kolkata,Chartered Accountant (CA),Accounting firm,Accounting firm,737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 33 4007 0872,http://www.tosniwalandassociates.com/,4.0,,"Ground Floor, 1, Charu Chandra Pl E, Charu Market, Kolkata, West Bengal 700033",Charu Market,22.507586,88.34572299999999,ChIJ6_pJRzNxAjoRBwD2FAvU6BM,https://www.google.com/maps/place/?q=place_id:ChIJ6_pJRzNxAjoRBwD2FAvU6BM,part_331,2026-09-20 20:19:25,8156
CA Aprmay kumar & Associates Chartered Accountant,Chartered Accountant (CA),Certified public accountant,"Certified public accountant, Accounting firm",737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 62993 77808,http://caaprmaykumar.com/,4.8,,"Unit-640, Gera imperium rise, near wipro circle, Hinjawadi Phase II, Rajiv Gandhi Infotech Park, Hinjawadi, Man, Maharashtra 411057","Hinjawadi Phase II, Rajiv Gandhi Infotech Park",18.596479,73.7186919,ChIJS_t1vxS7wjsRvoKV58lwtI8,https://www.google.com/maps/place/?q=place_id:ChIJS_t1vxS7wjsRvoKV58lwtI8,part_331,2026-09-20 20:19:25,8157
CA Sumit S Chouhan & Associates | Chartered Accountants in Pune | CA in Baner | CA Near Me,Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Accountant, Accounting firm, Auditor, Bookkeeping service, Financial consultant, Financial planner, Tax consultant, Tax preparation service",737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 77982 55000,https://casumitchouhan.com/,4.9,,"Office No. 301, Third Floor, Building Name - Focus, Baner Rd, above kaka Halwai, above Kaka Halwai Shop, Lalit Estate, Baner, Pune, Maharashtra 411045","Lalit Estate, Baner",18.5639807,73.7798339,ChIJb0qIWGi_wjsR08BwzgSeFpA,https://www.google.com/maps/place/?q=place_id:ChIJb0qIWGi_wjsR08BwzgSeFpA,part_331,2026-09-20 20:19:25,8158
"CA R.K. Upadhyay & Co. | Tax Audit, GST & CA in Hinjewadi",Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Accounting firm, Auditor, Financial audit, Tax consultant, Tax preparation, Tax preparation service",737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 87891 76869,https://www.cariteshupa.com/,5.0,,"Office 624, Suratwala Mark Plaza, Hinjawadi, Pimpri-Chinchwad, Maharashtra 411057",Hinjawadi,18.5898879,73.74806149999999,ChIJSZR8V7v1IWMRKCobzScUfMk,https://www.google.com/maps/place/?q=place_id:ChIJSZR8V7v1IWMRKCobzScUfMk,part_331,2026-09-20 20:19:25,8159
"CA Akhil Amit & Associates – Pvt. Ltd. Company, LLP Registration, ITR, GST, Audit – CA & CS Services",Chartered Accountant (CA),Certified public accountant,"Certified public accountant, Accounting firm, Auditor, Financial audit, Tax consultant, Tax preparation",737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 98231 20925,https://akhilamitassociates.com/,5.0,,"C205, Sai Shristi, opposite Bharat Petrol Pump, Choudhary Park, Venu Nagar Cotes, Wakad, Pimpri-Chinchwad, Maharashtra 411057","Choudhary Park, Venu Nagar Cotes, Wakad",18.6064293,73.7610521,ChIJQeOVQ_i5wjsR-eNBZ4nCYcs,https://www.google.com/maps/place/?q=place_id:ChIJQeOVQ_i5wjsR-eNBZ4nCYcs,part_331,2026-09-20 20:19:25,8160
"CA PRANAY P OSWAL & ASSOCIATES , CHARTERED ACCOUNTANTS",Chartered Accountant (CA),Chartered accountant,Chartered accountant,737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 77199 70606,https://www.capranayoswal.com/,5.0,,"111/A, Laxminagar, Khopoli, Maharashtra 410203",Laxminagar,18.788638199999998,73.34484909999999,ChIJHTk1w5EH6DsRg8USRbW6V-E,https://www.google.com/maps/place/?q=place_id:ChIJHTk1w5EH6DsRg8USRbW6V-E,part_331,2026-09-20 20:19:26,8161
