business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Delhivery,Courier and Cargo Service,Courier service,Courier service,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,2.2,,"7HRV+WJX, Ranipool, Sikkim 737135",737133,27.292363599999998,88.5941101,ChIJq9845Wal5jkRDdGOnfK5Q4s,https://www.google.com/maps/place/?q=place_id:ChIJq9845Wal5jkRDdGOnfK5Q4s,part_331,2026-09-20 20:18:03,4123
Delhivery courier Rongpo khanikhola,Courier and Cargo Service,Shipping service,Shipping service,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,http://delhivery.com/,1.3,,"5GP4+F8, Majitar, Sikkim 737136",737133,27.186175,88.50576219999999,ChIJ3yEEl2Ch5jkRrtfoi1fTfBM,https://www.google.com/maps/place/?q=place_id:ChIJ3yEEl2Ch5jkRrtfoi1fTfBM,part_331,2026-09-20 20:18:03,4124
DTDC - Majhitar,Courier and Cargo Service,Courier service,Courier service,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 96419 21113,N/A,3.7,,"NH10, near Petrol Pump, Majhitar, Rangpo, Sikkim 737136",737133,27.1883965,88.5005449,ChIJn6qqqmmg5jkR_JqZh1V27aE,https://www.google.com/maps/place/?q=place_id:ChIJn6qqqmmg5jkR_JqZh1V27aE,part_331,2026-09-20 20:18:03,4125
Ecom Express,Courier and Cargo Service,Courier service,Courier service,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 83768 88888,https://ecomexpress.in/,2.1,,"5GGF+V69, Fatak Line, Rangpo, Sikkim 737132",Fatak Line,27.177153099999998,88.5230964,ChIJZaKbsJqg5jkR2j02VFm2RTQ,https://www.google.com/maps/place/?q=place_id:ChIJZaKbsJqg5jkR2j02VFm2RTQ,part_331,2026-09-20 20:18:03,4126
Blue Dart Express Limited,Courier and Cargo Service,Courier service,Courier service,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,https://www.bluedart.com/,2.0,,"House No.241/1, Marchak Lower, Ranipool, Sikkim 737135",737133,27.2914168,88.59155369999999,ChIJ-elTiqCl5jkRCE9UGDFMHPE,https://www.google.com/maps/place/?q=place_id:ChIJ-elTiqCl5jkRCE9UGDFMHPE,part_331,2026-09-20 20:18:03,4127
Blue Dart Express Limited,Courier and Cargo Service,Courier service,Courier service,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,https://www.bluedart.com/,2.7,,"IBM ROAD, NR.NAGAR PANCHAYAT OFFICE, Rangpo, Sikkim 737132",737133,27.1772207,88.5225117,ChIJH3dk-YWg5jkRM1cuF44_LX4,https://www.google.com/maps/place/?q=place_id:ChIJH3dk-YWg5jkRM1cuF44_LX4,part_331,2026-09-20 20:18:03,4128
Taza,Courier and Cargo Service,Post office,Post office,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,4.0,,"6J68+958, Pakyong, Sikkim 737133",737133,27.210921799999998,88.6154588,ChIJK1D_wXan5jkRYT6dg2c_YNg,https://www.google.com/maps/place/?q=place_id:ChIJK1D_wXan5jkRYT6dg2c_YNg,part_331,2026-09-20 20:18:03,4129
DTDC Courier Singtam,Courier and Cargo Service,Courier service,Courier service,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,3.6,,"6FJR+GX6, Singtam, Sikkim 737134",737133,27.2312935,88.492395,ChIJpU-jlMOh5jkRp9atrkCVB2w,https://www.google.com/maps/place/?q=place_id:ChIJpU-jlMOh5jkRp9atrkCVB2w,part_331,2026-09-20 20:18:03,4130
Blue Dart Express Limited,Courier and Cargo Service,Courier service,Courier service,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,https://www.bluedart.com/,1.8,,"C/O-Narayan Pradhan, Rangpo, Sikkim 737132",Fatak Line,27.176147,88.52873389999999,ChIJeXFfOGih5jkRXEs50ObRKY0,https://www.google.com/maps/place/?q=place_id:ChIJeXFfOGih5jkRXEs50ObRKY0,part_331,2026-09-20 20:18:03,4131
Econ Express Singtam,Courier and Cargo Service,Courier service,Courier service,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,3.2,,"Adarsh Gaau, Manpari Basti, Sikkim 737134",737133,27.232580499999997,88.4896898,ChIJU-xdCRqh5jkRgROM5S0_c_U,https://www.google.com/maps/place/?q=place_id:ChIJU-xdCRqh5jkRgROM5S0_c_U,part_331,2026-09-20 20:18:03,4132
