business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Midway Bar and Restaurant,Ice Cream Parlour,Bar,Bar,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,3.8,18.0,"5JGV+38R, Rhenock Stand Rd, Rhenock Bazar, East Sikkim, Rhenak, Sikkim 737133","Rhenock Bazar, East Sikkim",27.1752422,88.64325339999999,ChIJid-Hapyp5jkR3Gbzdq8P6Vw,https://www.google.com/maps/place/?q=place_id:ChIJid-Hapyp5jkR3Gbzdq8P6Vw,part_331,2026-09-20 20:17:36,616
Hebrews Cafeteria,Ice Cream Parlour,Cafe,"Cafe, Coffee shop",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,4.9,23.0,"Unnamed Road, Pedong, Kashone Khasmahal, West Bengal 734311",737133,27.1657133,88.61715919999999,ChIJ1bl2EW8d5DkR6Icm-2vbvkY,https://www.google.com/maps/place/?q=place_id:ChIJ1bl2EW8d5DkR6Icm-2vbvkY,part_331,2026-09-20 20:17:36,617
MO Liquor Shop,Ice Cream Parlour,Wine store,Wine store,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 96092 47121,N/A,4.2,22.0,"BAZAAR, Rhenock - Tarpin Rd, Rorathang, RHENOCK, Sikkim 737133",737133,27.193496099999997,88.6247271,ChIJUQ6uTc6n5jkRyrOCyjD2zYA,https://www.google.com/maps/place/?q=place_id:ChIJUQ6uTc6n5jkRyrOCyjD2zYA,part_331,2026-09-20 20:17:36,618
"Kulfreeze - Ice creams, Kulfis & more",Ice Cream Parlour,Ice cream shop,"Ice cream shop, Dessert restaurant, Dessert shop, Frozen dessert supplier",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 97337 31000,http://www.kulfreeze.com/,4.4,636.0,"Sevoke Rd, opp. LIC Building, Ward 13, Punjabi Para, Siliguri, West Bengal 734001","Ward 13, Punjabi Para",26.7225903,88.4281661,ChIJx5V9zRNB5DkRZ3zfSy0BSpM,https://www.google.com/maps/place/?q=place_id:ChIJx5V9zRNB5DkRZ3zfSy0BSpM,part_331,2026-09-20 20:17:36,619
Rhenock reshi,Ice Cream Parlour,Ice cream shop,Ice cream shop,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,,,"5JJX+M24, Rhenock - Rongli Hwy, Reshi, Sikkim 737133",737133,27.1816426,88.64759289999999,ChIJo3vKQNmp5jkRQJAugKgjK2I,https://www.google.com/maps/place/?q=place_id:ChIJo3vKQNmp5jkRQJAugKgjK2I,part_331,2026-09-20 20:17:36,620
SOFTY ICE CREAM,Ice Cream Parlour,Dessert shop,Dessert shop,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,4.5,2.0,"Vishal Gaon, Gangtok, Sikkim 737101",Vishal Gaon,27.3274759,88.6126934,ChIJA7XQ7xSl5jkR8lJQL6apCI0,https://www.google.com/maps/place/?q=place_id:ChIJA7XQ7xSl5jkR8lJQL6apCI0,part_331,2026-09-20 20:17:36,621
Ice Cream Junxtion Prop. Kamalesh Kumar Gupta,Ice Cream Parlour,Ice cream shop,Ice cream shop,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 99326 24034,N/A,5.0,3.0,"Resithang, Ranka Rd, Gangtok, Sikkim 737101",737133,27.349349399999998,88.59552359999999,ChIJnUE4CQCl5jkRbOt_Z13WKCw,https://www.google.com/maps/place/?q=place_id:ChIJnUE4CQCl5jkRbOt_Z13WKCw,part_331,2026-09-20 20:17:36,622
Baskin Robbins,Ice Cream Parlour,Ice cream shop,"Ice cream shop, Dessert shop",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 98316 33302,https://baskinrobbinsindia.com/pages/store-locator?utm_source=gmb&utm_medium=search&utm_campaign=storefootfall,4.0,82.0,"Ward No - 8, Libing Grand Building, Upper, Mahatma Gandhi Marg, Vishal Gaon, Gangtok, Sikkim 737101",Vishal Gaon,27.325157599999997,88.6121627,ChIJ0dXl5Fml5jkRtRx2H9JJh04,https://www.google.com/maps/place/?q=place_id:ChIJ0dXl5Fml5jkRtRx2H9JJh04,part_331,2026-09-20 20:17:36,623
Baskin Robbins,Ice Cream Parlour,Ice cream shop,"Ice cream shop, Dessert shop",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 76998 97247,https://baskinrobbinsindia.com/pages/store-locator?utm_source=gmb&utm_medium=search&utm_campaign=storefootfall,4.0,5.0,"Oasis Plaza Building, Rongpo, Majitar, Sikkim 737136",Rongpo,27.185873299999997,88.50409409999999,ChIJV8zjH3Oh5jkRbAYhJq-KSbM,https://www.google.com/maps/place/?q=place_id:ChIJV8zjH3Oh5jkRbAYhJq-KSbM,part_331,2026-09-20 20:17:36,624
Baskin Robbins,Ice Cream Parlour,Ice cream shop,"Ice cream shop, Dessert shop",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 97350 88985,https://baskinrobbinsindia.com/pages/store-locator?utm_source=gmb&utm_medium=search&utm_campaign=storefootfall,5.0,1.0,"Sikkim Manipal University campus, 5th Mile, Tadong, Gangtok, Sikkim 737102",Tadong,27.32574,88.61216,ChIJp84GPQCl5jkRkEB94s9mR5s,https://www.google.com/maps/place/?q=place_id:ChIJp84GPQCl5jkRkEB94s9mR5s,part_331,2026-09-20 20:17:36,625
