business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Bath India,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Bathroom remodeler, Tile store, Display home center, Flooring store, Pipes Wholesaler, Shopping mall",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 94340 48648,https://bathindia.co/,4.9,360.0,"Tradium Mall, Ground & Second Floor 3rd Mile, Sevoke Rd, beside Zudio, Checkpost, Siliguri, West Bengal 734008","Chayan Para, Checkpost",26.7507377,88.4394319,ChIJYw_uyhRB5DkRh6W9i6i8MrQ,https://www.google.com/maps/place/?q=place_id:ChIJYw_uyhRB5DkRh6W9i6i8MrQ,part_331,2026-09-20 20:17:48,2189
Sikkim को Hardware,Sanitaryware and Bathroom Fittings,Hardware store,Hardware store,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 99337 78111,https://sikkimkohardware.co.in/,4.6,9.0,"Sevoke Rd, beside Sikkim Plaza, near Sona Petrol Pump, Ward 42, 3rd Mile, Siliguri, West Bengal 734008","Ward 42, 3rd Mile",26.7573579,88.441565,ChIJhcGDZYpB5DkRHXvSfKV_HS0,https://www.google.com/maps/place/?q=place_id:ChIJhcGDZYpB5DkRHXvSfKV_HS0,part_331,2026-09-20 20:17:48,2190
SIKKIM TILES AND SANITARY (GODOWN),Sanitaryware and Bathroom Fittings,Tile store,Tile store,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 98320 67487,N/A,3.9,18.0,"QC4V+J4H, Nirmala Convent School Rd, Ward 42, Siliguri, West Bengal 734008",Ward 42,26.756555799999997,88.4428702,ChIJLWkx_JhB5DkRXfscNr7PJmM,https://www.google.com/maps/place/?q=place_id:ChIJLWkx_JhB5DkRXfscNr7PJmM,part_331,2026-09-20 20:17:48,2191
GCL Enterprises,Sanitaryware and Bathroom Fittings,Hardware store,"Hardware store, Granite supplier, Pipes Wholesaler, Tile store",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 95649 92909,N/A,4.8,29.0,"Convoy Ground, 737102, Upper Tadong, Tadong, Gangtok, Sikkim 737102","Upper Tadong, Tadong",27.317888999999997,88.602735,ChIJh2oqEjul5jkRtsZzrOPZA6Q,https://www.google.com/maps/place/?q=place_id:ChIJh2oqEjul5jkRtsZzrOPZA6Q,part_331,2026-09-20 20:17:48,2192
"Somany Exclusive, GCL Enterprises",Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Tile store, Pipes Wholesaler",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 95649 92909,N/A,4.6,8.0,"NH10, opposite Maskey Petrol Pump, M.P.Golai, Tadong, Gangtok, Sikkim 737102","M.P.Golai, Tadong",27.3081396,88.5942216,ChIJ4czZ8_-k5jkRrZhtaECaevw,https://www.google.com/maps/place/?q=place_id:ChIJ4czZ8_-k5jkRrZhtaECaevw,part_331,2026-09-20 20:17:48,2193
Community Sanitary Complex,Sanitaryware and Bathroom Fittings,Public bathroom,Public bathroom,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,5.0,2.0,"6J9R+7GR, Takchang, Sikkim 737133",737133,27.2182295,88.64125899999999,ChIJ1_8zeFGp5jkRjNJMaUD6zk0,https://www.google.com/maps/place/?q=place_id:ChIJ1_8zeFGp5jkRjNJMaUD6zk0,part_331,2026-09-20 20:17:48,2194
"Jaquar Authorised Dealer, GCL Enterprise",Sanitaryware and Bathroom Fittings,Bathroom supply store,Bathroom supply store,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 94341 17204,https://jaquar.com/en/find-dealers?utm_source=GMB,4.0,2.0,"Convoy Ground, Tadong, 1st Floor MRS Samten Tolma Building, Gangtok, Sikkim 737102",Tadong,27.3105755,88.5975892,ChIJ1VV_SB6l5jkRU6xAtKsE6zs,https://www.google.com/maps/place/?q=place_id:ChIJ1VV_SB6l5jkRU6xAtKsE6zs,part_331,2026-09-20 20:17:48,2195
Jaquar Authorized Dealer - Garg & Sons,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Home improvement store, Kitchen supply store, Shower door shop",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 80 4698 4830,https://dealers.jaquar.com/sanitaryware/siliguri/Bankim-Nagar/jaquar-authorised-dealer-garg-sons-in-Bankim-Nagar-siliguri--2TT1pA/home,4.5,54.0,"First Floor, Top Plaza, Sevoke Rd, opposite Payal Road, Ward Number 13, Bankim Nagar, Siliguri, West Bengal 734001","Ward Number 13, Bankim Nagar",26.728684599999998,88.4308246,ChIJnbD_4g9B5DkRmpzYU-ymJLg,https://www.google.com/maps/place/?q=place_id:ChIJnbD_4g9B5DkRmpzYU-ymJLg,part_331,2026-09-20 20:17:48,2196
RK Sanitation,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Hardware store, Kitchen supply store, Pipe supplier, Tile store",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 80 3790 7956,https://stores.hrjohnsonindia.com/h-r-johnson/tiles-shop-in-siliguri/tiles-shop-in-janta-nagar/h-r-johnson-tiles-dealer-rk-sanitation-in-janta-nagar-siliguri--c670074c-9f43-4d26-8796-941387ce8334/home,4.2,55.0,"Church Rd, nearby Marwadi Panchayat Bhawan, Ward 10, Janta Nagar, Siliguri, West Bengal 734001","Ward 10, Janta Nagar",26.7183571,88.424026,ChIJdYDw2hRB5DkR-C0l5iyZaw4,https://www.google.com/maps/place/?q=place_id:ChIJdYDw2hRB5DkR-C0l5iyZaw4,part_331,2026-09-20 20:17:48,2197
JAGANNATH HARDWARE,Sanitaryware and Bathroom Fittings,Hardware store,"Hardware store, Appliance store, Carpenter, Electrical repair shop, Electrical products wholesaler, Home builder, Home improvement store, Plumbing supply store",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,5.0,4.0,"Bhutia Busty Rd, Road, Singhithang, Namchi, Sikkim 737126",Road,27.165075899999998,88.3630388,ChIJs8ATx4Sd5jkREX9ktfwokd4,https://www.google.com/maps/place/?q=place_id:ChIJs8ATx4Sd5jkREX9ktfwokd4,part_331,2026-09-20 20:17:48,2198
