business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Robust car wash,Car Wash and Auto Detailing,Car wash,Car wash,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 81452 53399,N/A,4.9,,"Bardang, Sikkim 737134",737133,27.212977799999997,88.49081629999999,ChIJwznPm0eh5jkRfFiejckshes,https://www.google.com/maps/place/?q=place_id:ChIJwznPm0eh5jkRfFiejckshes,part_331,2026-09-20 20:17:44
H20 car wash & detailing studio,Car Wash and Auto Detailing,Car wash,Car wash,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 62978 51372,https://www.instagram.com/_h20.studio?igsh=MXRrb2gzczRub3RmdA==,4.5,,"Lower Bojoghari, below Shiv Mandir, near Maplewood Hotel & Spa, Gangtok, Sikkim 737103",737133,27.3668442,88.6137107,ChIJI8CwNE675jkRS418sE-20Sk,https://www.google.com/maps/place/?q=place_id:ChIJI8CwNE675jkRS418sE-20Sk,part_331,2026-09-20 20:17:44
Bulu Car Wash,Car Wash and Auto Detailing,Car wash,Car wash,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,5.0,,"47XM+RMQ, Jorethang, Sikkim 737121",737133,27.1495778,88.2842395,ChIJT_e2JQAp5DkRXGQV54rA0hU,https://www.google.com/maps/place/?q=place_id:ChIJT_e2JQAp5DkRXGQV54rA0hU,part_331,2026-09-20 20:17:44
Bojoghari Car Wash & Spa,Car Wash and Auto Detailing,Car wash,Car wash,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 87593 39939,N/A,4.2,,"Rai Building, Bojoghari Dhaney, Gangtok, Sikkim 737103",Bojoghari Dhaney,27.3661015,88.61982689999999,ChIJkZJuK2y75jkRLWAz2LY_Be0,https://www.google.com/maps/place/?q=place_id:ChIJkZJuK2y75jkRLWAz2LY_Be0,part_331,2026-09-20 20:17:44
Northern Automobile Servicing,Car Wash and Auto Detailing,Car wash,"Car wash, Car rental agency",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 95933 28074,N/A,4.4,,"near Helipad, Burtuk, Gangtok, Sikkim 737101",Burtuk,27.35251,88.614102,ChIJj2AVezWl5jkRdoVsjryKBH4,https://www.google.com/maps/place/?q=place_id:ChIJj2AVezWl5jkRdoVsjryKBH4,part_331,2026-09-20 20:17:44
Top Gear Auto Detailing &Accessories,Car Wash and Auto Detailing,Car wash,Car wash,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 70760 00291,N/A,4.9,9.0,"New Nh10 adampool, New, NH10, near Queens pod, adampool, Gangtok, Sikkim 737102","Upper Tadong, Tadong",27.326990799999997,88.59583839999999,ChIJ5Z09Go2l5jkRsRmtb1fHpkQ,https://www.google.com/maps/place/?q=place_id:ChIJ5Z09Go2l5jkRsRmtb1fHpkQ,part_331,2026-09-20 20:17:45
Carglow Gangtok car wash,Car Wash and Auto Detailing,Car wash,Car wash,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 80012 12938,N/A,4.3,6.0,"NH 31A, 6th Mile, below Holy cross School, Tadong, Gangtok, Sikkim 737102",Tadong,27.3123269,88.5907131,ChIJV0748AWl5jkRyKi7hSKdVQs,https://www.google.com/maps/place/?q=place_id:ChIJV0748AWl5jkRyKi7hSKdVQs,part_331,2026-09-20 20:17:45
Himalayan Car Spa and Detailing Studio,Car Wash and Auto Detailing,Car wash,Car wash,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,5.0,6.0,"Setipool, Chhota Singtam, Sikkim 737135",Setipool,27.280293099999998,88.5973558,ChIJtYmcH-ml5jkRsPdzOqvknRQ,https://www.google.com/maps/place/?q=place_id:ChIJtYmcH-ml5jkRsPdzOqvknRQ,part_331,2026-09-20 20:17:45
Auto car spa,Car Wash and Auto Detailing,Car wash,Car wash,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 83899 00814,N/A,4.5,14.0,"NH10, Singtam, Chisopani, Sikkim 737134",737133,27.2330126,88.5028241,ChIJ0T5nJamh5jkRJBpibaB9xd0,https://www.google.com/maps/place/?q=place_id:ChIJ0T5nJamh5jkRJBpibaB9xd0,part_331,2026-09-20 20:17:45
Om Car Wash Hotel,Car Wash and Auto Detailing,Home Stay,Home Stay,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 97758 97275,N/A,4.2,10.0,"Mamring-Namthang Rd, Mamring, Sikkim 737132",737133,27.1697225,88.5162503,ChIJD98By8Oh5jkR0nfFGXBce7w,https://www.google.com/maps/place/?q=place_id:ChIJD98By8Oh5jkR0nfFGXBce7w,part_331,2026-09-20 20:17:45
