business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"The Temi Bungalow, Eco Adventure Resorts",Tent House and Shamiana,Resort hotel,"Resort hotel, Cottage, Cottage rental, Extended stay hotel, Hotel, Inn, Motel",737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 98301 69694,https://ecoadventureresorts.com/sikkim/,4.7,119.0,"Temi, Tarku, Sikkim 737134",737133,27.2366736,88.4222927,ChIJ4dTmz92f5jkR5zxVEaL2dEk,https://www.google.com/maps/place/?q=place_id:ChIJ4dTmz92f5jkR5zxVEaL2dEk,part_331,2026-09-20 20:17:54
Camping Tent Rentals for Sikkim,Tent House and Shamiana,Travel agency,Travel agency,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 82509 37047,https://camping-tent-rentals.grexa.site/,4.8,5.0,"7CV8+4JM, Yangang, Sikkim 737134",737133,27.2928526,88.4165445,ChIJw9-SipOZ5jkRn9uarZ2ze6k,https://www.google.com/maps/place/?q=place_id:ChIJw9-SipOZ5jkRn9uarZ2ze6k,part_331,2026-09-20 20:17:54
Sawney homestay,Tent House and Shamiana,Holiday apartment rental,Holiday apartment rental,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,4.8,5.0,"5GJM+2M, Rangpo, Sikkim 737132",737133,27.180912199999998,88.5344027,ChIJv0BUAGah5jkRs0Fj3Bbc8pA,https://www.google.com/maps/place/?q=place_id:ChIJv0BUAGah5jkRs0Fj3Bbc8pA,part_331,2026-09-20 20:17:54
BHAI TENT HOUSE,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,5.0,2.0,"GJCW+868, Machhkandna, Bardikanpur, Machkandna, Jharkhand 832301",Machhkandna,22.5207923,86.6455855,ChIJ356XaACLHToR6jJFz2WbSPo,https://www.google.com/maps/place/?q=place_id:ChIJ356XaACLHToR6jJFz2WbSPo,part_331,2026-09-20 20:17:54
Kalimpong Tent House,Tent House and Shamiana,Tent House Supplier,Tent House Supplier,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 98320 65790,N/A,3.8,9.0,"10th Mile, Rishi Rd, Lower Gumba Hatta, Kalimpong, West Bengal 734301","Lower Gumba Hatta, Rajadhara",27.075323299999997,88.4778841,ChIJsb4PT_4h5DkR87amRuxOAo4,https://www.google.com/maps/place/?q=place_id:ChIJsb4PT_4h5DkR87amRuxOAo4,part_331,2026-09-20 20:17:54
Tent House & Camping,Tent House and Shamiana,Hotel,Hotel,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 89273 48205,N/A,,,"6QJ6+9GF, Unnamed Road, Nimachen, Sikkim 737131",737133,27.230936399999997,88.7612935,ChIJUZXcoBGr5jkRPdNM_QNG-vY,https://www.google.com/maps/place/?q=place_id:ChIJUZXcoBGr5jkRPdNM_QNG-vY,part_331,2026-09-20 20:17:54
Tserene Peak Retreat,Tent House and Shamiana,Home Stay,Home Stay,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 78649 15214,N/A,5.0,,"Pasting road, Lingtam, Sikkim 737131",737133,27.229813999999998,88.7398348,ChIJL73ML6Gr5jkRi1T0tbPs_aA,https://www.google.com/maps/place/?q=place_id:ChIJL73ML6Gr5jkRi1T0tbPs_aA,part_331,2026-09-20 20:17:55
Silent Wood Retreat,Tent House and Shamiana,Home Stay,Home Stay,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,4.5,,"6QM8+6R2, Phadamchen, Nimachen, Sikkim 737131",737133,27.2330549,88.7670048,ChIJYV512RWr5jkRJLeLcwEzMUI,https://www.google.com/maps/place/?q=place_id:ChIJYV512RWr5jkRJLeLcwEzMUI,part_331,2026-09-20 20:17:55
Lingtam Yangsel River Retreat,Tent House and Shamiana,Home Stay,Home Stay,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,4.7,,"6PCP+CV, Subanedara, Sikkim 737131",737133,27.2210634,88.73708409999999,ChIJtSxRskWr5jkR2e-khELX4Ro,https://www.google.com/maps/place/?q=place_id:ChIJtSxRskWr5jkR2e-khELX4Ro,part_331,2026-09-20 20:17:55
Sherpa Retreat Resort,Tent House and Shamiana,Home Stay,Home Stay,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",+91 94775 19942,http://www.shriomkara.com/,4.3,,"Near Monestery Phademchen, Zuluk, Padamchey, Sikkim 737131",737133,27.2364307,88.76729089999999,ChIJ30hYr1qr5jkRaqkhX4PdGjM,https://www.google.com/maps/place/?q=place_id:ChIJ30hYr1qr5jkRaqkhX4PdGjM,part_331,2026-09-20 20:17:55
SUDHIR SHARMA Tent house,Tent House and Shamiana,Business center,Business center,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,,,"5GGF+FRV, Rangpo, Sikkim 737132",737133,27.176242199999997,88.5245581,ChIJm_hMIfSh5jkRBWk5gHYUt2o,https://www.google.com/maps/place/?q=place_id:ChIJm_hMIfSh5jkRBWk5gHYUt2o,part_331,2026-09-20 20:17:55
Eastern Caravan Dabaipani Homestay,Tent House and Shamiana,Lodging,Lodging,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,,,"5JFR+VXH, Rhenock Bazar, East Sikkim, Rhenak, Sikkim 737133","Rhenock Bazar, East Sikkim",27.1746974,88.6424814,ChIJ4TLPYMep5jkRv_o4lAdCvHI,https://www.google.com/maps/place/?q=place_id:ChIJ4TLPYMep5jkRv_o4lAdCvHI,part_331,2026-09-20 20:17:55
Yuma Home Stay,Tent House and Shamiana,Home Stay,Home Stay,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,4.4,,"Rangrang, Mangan, Sikkim 737116",737133,27.4821691,88.5268866,ChIJz9rLYki_5jkRCRkDHYxq4uQ,https://www.google.com/maps/place/?q=place_id:ChIJz9rLYki_5jkRCRkDHYxq4uQ,part_331,2026-09-20 20:17:56
Camping ground,Tent House and Shamiana,Market,Market,737133,West Bengal Circle,North Bengal Region,Sikkim Division,"Rhenock SO, Amba BO, Aritar BO",N/A,N/A,4.4,,"5JFV+4VJ, Rhenock Bazar, East Sikkim, Reshi, Rhenak, Sikkim 737133","Rhenock Bazar, East Sikkim",27.1728329,88.6446265,ChIJIYJ_uOip5jkRvNAIVwrvvFE,https://www.google.com/maps/place/?q=place_id:ChIJIYJ_uOip5jkRvNAIVwrvvFE,part_331,2026-09-20 20:17:56
