business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Pride Ceramic And Hardware,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Hardware store, Ceramics wholesaler, Countertop store, Water Filter Supplier",737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 86248 92257,https://sites.google.com/view/prideceramicandhardwarebaner/home,4.8,77,"78/5, Baner - Mahalunge Rd, nearby Katakirrr Misal Restaurant, Lalit Estate, Baner, Pune, Maharashtra 411045","Lalit Estate, Baner",18.5623956,73.7836925,ChIJSaVWzfq_wjsRAgzxFaKrUCI,https://www.google.com/maps/place/?q=place_id:ChIJSaVWzfq_wjsRAgzxFaKrUCI,part_331,2026-09-20 20:19:12
MAMTA SANITARYWARE,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Bathroom remodeler, Carpenter, Electrician, Interior designer, Kitchen remodeler, Paintings store, Plumber, Plywood supplier",737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 89286 09228,https://youtube.com/@samratenterprise2022?si=WOX_RYfqJwM3UCBy,5.0,361,"shop nab, Tamhane Complex, 3, Baner - Mahalunge Rd, Kapil Malhar, Baner, Pune, Maharashtra 411069","Kapil Malhar, Baner",18.5593857,73.7910117,ChIJbQVZ0RK_wjsR1JbPeelImRE,https://www.google.com/maps/place/?q=place_id:ChIJbQVZ0RK_wjsR1JbPeelImRE,part_331,2026-09-20 20:19:12
H B Sanitech Kohler Store,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Home improvement store, Interior fitting contractor, Sanitary inspection, Waterproofing service, Wood floor installation service",737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 89562 59275,https://hbfortify.com/,4.8,152,"1nd floor, Darekar Heights, Dange Chowk Rd, opp. Pandit Petrol Pump, Hinjewadi road, Wakad, Pune, Pimpri-Chinchwad, Maharashtra 411033","Hinjewadi road, Wakad",18.611365199999998,73.7613502,ChIJvRRBgVu5wjsRs8TuIEgejIA,https://www.google.com/maps/place/?q=place_id:ChIJvRRBgVu5wjsRs8TuIEgejIA,part_331,2026-09-20 20:19:12
Jaquar Authorised Dealer Jashnani Constro Traders,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Hardware store, Tile store",737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 83081 52557,N/A,4.4,68,"Dominos Building, near Kunal Hotel, Tapkir Nagar, Kalewadi, Pimpri-Chinchwad, Maharashtra 411017","Sairaj Colony, Tapkir Nagar, Kalewadi",18.611638199999998,73.7842016,ChIJze2zPQa5wjsRqWV7OtnH-xU,https://www.google.com/maps/place/?q=place_id:ChIJze2zPQa5wjsRqWV7OtnH-xU,part_331,2026-09-20 20:19:12
Gurukrupa Trading Co. (Rajubhai) Hindware Authorized Distributors r,Sanitaryware and Bathroom Fittings,Home goods store,Home goods store,737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 81490 67775,N/A,4.4,104,"39220404 Kalewadi Phata, Gajanan Nagar, Sulabh Colony, Rahatani, Pimpri-Chinchwad, Maharashtra 411017","Vijay Nagar, Rahatani",18.623158699999998,73.79087419999999,ChIJKXhyxA-5wjsRndwAZiTkX94,https://www.google.com/maps/place/?q=place_id:ChIJKXhyxA-5wjsRndwAZiTkX94,part_331,2026-09-20 20:19:12
Gujarat Cera Tiles,Sanitaryware and Bathroom Fittings,Bathroom supply store,Bathroom supply store,737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 86986 52662,N/A,4.6,60,"Survey Number 47, 2A/4, Kalewadi - Rahatani Rd, nearby Anushka Watch, Swami Samarth Colony, Rahatani, Pimpri-Chinchwad, Maharashtra 411017","Swami Samarth Colony, Rahatani",18.6065961,73.7808051,ChIJv5PeME25wjsRcZkS-T8eMxM,https://www.google.com/maps/place/?q=place_id:ChIJv5PeME25wjsRcZkS-T8eMxM,part_331,2026-09-20 20:19:12
Prime Sales NX,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Tile store",737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 20 2765 2435,N/A,3.8,70,"Aishwaryam deerstone, Akurdi Gaothan, Dattawadi, Akurdi, Pimpri-Chinchwad, Maharashtra 411035","Akurdi Gaothan, Dattawadi, Akurdi",18.649913599999998,73.77615999999999,ChIJqbskB-i5wjsRaQIP-LEW4MQ,https://www.google.com/maps/place/?q=place_id:ChIJqbskB-i5wjsRaQIP-LEW4MQ,part_331,2026-09-20 20:19:12
snb enterprises,Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Bathroom remodeler, Tile store, Pipe supplier, Pipes Wholesaler",737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 94141 58372,N/A,4.9,47,"1065, Housing Board Colony, Sector 4, Gyan Nagar, Hiran Magri, Udaipur, Rajasthan 313002","Housing Board Colony, Sector 4, Gyan Nagar, Hiran Magri",24.566532,73.729151,ChIJEWdZjlzvZzkRZj3k-UHqQX0,https://www.google.com/maps/place/?q=place_id:ChIJEWdZjlzvZzkRZj3k-UHqQX0,part_331,2026-09-20 20:19:12
Ceramic Story - Showroom,Sanitaryware and Bathroom Fittings,Home improvement store,Home improvement store,737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",N/A,N/A,4.4,43,"Ground Floor, Radha Chowk Pavilion Apartment, NH4, near Orchid Hotel, Baner, Pune, Maharashtra 411045",Baner,18.5683385,73.76548269999999,ChIJ6UtZOhG5wjsR-FR9UG0DsrQ,https://www.google.com/maps/place/?q=place_id:ChIJ6UtZOhG5wjsR-FR9UG0DsrQ,part_331,2026-09-20 20:19:12
"Agmeco Faucets Pvt. Ltd., Stock Point, Delhi",Sanitaryware and Bathroom Fittings,Bathroom supply store,"Bathroom supply store, Manufacturer",737135,West Bengal Circle,North Bengal Region,Sikkim Division,"Ranipool SO, Ahoo Busty BO, Assam Lingzey BO",+91 84700 12000,https://www.agmeco.com/,4.8,16,"Metro Gate No.3, Metro Station Diagonally, Opp Side, 1405, Sitaram Bazar Rd, opposite Lal Darwaza, Chawri Bazar, New Delhi, Delhi 110006","Old Delhi, Chawri Bazar, Chandni Chowk",28.647185099999998,77.2291619,ChIJd-3rnjD9DDkR_y5EECYYhUg,https://www.google.com/maps/place/?q=place_id:ChIJd-3rnjD9DDkR_y5EECYYhUg,part_331,2026-09-20 20:19:12
