business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
MAKING MEMORIES EVENT MANAGEMENT,Corporate Event Planner,Event planner,"Event planner, Catering food and drink supplier, Event management company, Event technology service, Event venue, Restaurant supply store, Wedding photographer",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 70025 11619,https://instagram.com/making_memories_3?igshid=1knarthgbonma,5.0,,"Yamuna Kinara, Sivasagar, Assam 785640",Yamuna Kinara,26.9905117,94.6278603,ChIJUVK1z9sxRzcRlVwSzv6xLkg,https://www.google.com/maps/place/?q=place_id:ChIJUVK1z9sxRzcRlVwSzv6xLkg,part_331,2026-09-20 20:20:02
Enajori Event & Wedding Planner,Corporate Event Planner,Event management company,Event management company,737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 99579 90729,https://www.facebook.com/enajorievents/,4.8,,"2J2X+3PJ, Assam Trunk Rd, Sivasagar, Assam 785697",737136,27.000217499999998,94.64927379999999,ChIJ12dzNKo2RzcRxa6ccWtsQCs,https://www.google.com/maps/place/?q=place_id:ChIJ12dzNKo2RzcRxa6ccWtsQCs,part_331,2026-09-20 20:20:02
Dreambright Events & Entertainment Private Limited,Corporate Event Planner,Event planner,"Event planner, Event management company, Event technology service",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 73585 93027,http://www.dreambright.in/,4.8,,"3rd Floor, No. 19/7, Sundaramoorthy St, near Ashok Pillar, Barathi Block, VSM Garden, West Jafferkhanpet, Chennai, Tamil Nadu 600083","Barathi Block, VSM Garden, West Jafferkhanpet",13.028591599999999,80.21326169999999,ChIJ1RjpxwBnUjoRFerCkWV1jSE,https://www.google.com/maps/place/?q=place_id:ChIJ1RjpxwBnUjoRFerCkWV1jSE,part_331,2026-09-20 20:20:02
"Vintash Events - Corporate Events, Wedding Planners & Event Organisers",Corporate Event Planner,Event planner,"Event planner, Event management company, Wedding planner",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 94478 18350,http://vintashevents.com/,5.0,,"Anand Raj, #30, Mutthu Nilayam, Deepa Nursing Home Main Road Behind Indian Oil Petrol Pump, Marathahalli, Bengaluru, Karnataka 560037","HAL Central Township, Marathahalli Village, Marathahalli",12.955215899999999,77.6915616,ChIJ6f5QYJkTrjsRk5ui3Hbi_8U,https://www.google.com/maps/place/?q=place_id:ChIJ6f5QYJkTrjsRk5ui3Hbi_8U,part_331,2026-09-20 20:20:02
Event Management and Planner in Chennai - Classic Shower Dreams,Corporate Event Planner,Event management company,Event management company,737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 89399 91116,https://classicshowerdreams.in/,4.6,,"S2, Second Floor, 41, Ponnan Kinaru St, Villivakkam, Konnur, Chennai, Tamil Nadu 600049","Villivakkam, Konnur",13.103663099999999,80.21173759999999,ChIJUYxQp5JlUjoRibRFZrOb_P4,https://www.google.com/maps/place/?q=place_id:ChIJUYxQp5JlUjoRibRFZrOb_P4,part_331,2026-09-20 20:20:02
Butterflies Event Management - Event Planner,Corporate Event Planner,Event management company,"Event management company, Children's party buffet, Children's party service, Party planner, Event planner",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 91767 07070,https://sites.google.com/view/butterflies-event-managemen/home,4.9,1084.0,"1st floor, Sai Sumukha Classic, 108, RBI Layout Main Rd, Nataraja Layout, RBI Layout, JP Nagar 7th Phase, Kothanur, Bengaluru, Karnataka 560078","Nataraja Layout, RBI Layout, JP Nagar 7th Phase, Kothanur",12.886472099999999,77.5822823,ChIJf84w4OoVrjsR0ED4WY5GslQ,https://www.google.com/maps/place/?q=place_id:ChIJf84w4OoVrjsR0ED4WY5GslQ,part_331,2026-09-20 20:20:03
Ekarva Entertainment,Corporate Event Planner,Event management company,"Event management company, Balloon artist, Event planner, Photographer, Wedding planner",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 788 788 9968,http://ekarva.com/,4.9,60.0,"Waghmare Chowk, Shankar Kalat Nagar, Wakad, Pune, Pimpri-Chinchwad, Maharashtra 411057","Shankar Kalat Nagar, Wakad",18.5949351,73.76186,ChIJA1BYa0W7wjsROqfQaD_EAVM,https://www.google.com/maps/place/?q=place_id:ChIJA1BYa0W7wjsROqfQaD_EAVM,part_331,2026-09-20 20:20:03
Spark up event,Corporate Event Planner,Event planner,Event planner,737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 91763 36877,N/A,5.0,,"Railway quarters, Pallavaram, Pallavaram (Contonment), Tamil Nadu 600043",Pallavaram,12.969070499999999,80.1523485,ChIJ3dtecEFfUjoRUUywdY1Um24,https://www.google.com/maps/place/?q=place_id:ChIJ3dtecEFfUjoRUUywdY1Um24,part_331,2026-09-20 20:20:03
Prachitee Events,Corporate Event Planner,Event planner,"Event planner, Event management company",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 95524 87966,N/A,4.9,,"Taljai Tekdi Rd, Dhankawadi, Pune, Maharashtra 411043",Dhankawadi,18.4743058,73.8483267,ChIJXSHuX6TrwjsRH0dY6xeCJrE,https://www.google.com/maps/place/?q=place_id:ChIJXSHuX6TrwjsRH0dY6xeCJrE,part_331,2026-09-20 20:20:03
AS Event Management,Corporate Event Planner,Event management company,Event management company,737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 89995 84690,https://as-event-management.grexa.site/,4.9,,"Hos. Soc, Sai Krishna Banglow, Shiv Parvati, More Vasti, Chikhali, Maharashtra 412114","Vitthal Nagar, More Vasti, Chikhali",18.6790087,73.8000217,ChIJYcsFG_W3wjsRIFuNhf8X1ro,https://www.google.com/maps/place/?q=place_id:ChIJYcsFG_W3wjsRIFuNhf8X1ro,part_331,2026-09-20 20:20:03
PLANTASTIC EVENTS,Corporate Event Planner,Event planner,"Event planner, Caterer, Event management company, Party planner, Wedding planner",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 99307 44007,N/A,4.6,,"west, Vinu Veena CHS, Sector 4, Nerul, Navi Mumbai, Maharashtra 400706","Vinu Veena CHS, Sector 4, Nerul",19.0444472,73.0133944,ChIJBxZQLV3D5zsRYLvxfwj8f8U,https://www.google.com/maps/place/?q=place_id:ChIJBxZQLV3D5zsRYLvxfwj8f8U,part_331,2026-09-20 20:20:03
