business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Freelance Digital Marketer in Tirur,Social Media Marketing Agencies,Marketing agency,Marketing agency,737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 90481 10691,https://mhdshahal.in/,5.0,,"Tirur, Keralam 676101",737136,10.919446599999999,75.92747039999999,ChIJjSqQGRWtcK0RiY08MO7zYp0,https://www.google.com/maps/place/?q=place_id:ChIJjSqQGRWtcK0RiY08MO7zYp0,part_331,2026-09-20 20:20:15
SpanDigit,Social Media Marketing Agencies,Internet marketing service,"Internet marketing service, Marketing agency",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 83299 05564,http://www.spandigitsocial.com/,4.8,,"B 76, NICE Area, MIDC, Satpur Colony, Nashik, Maharashtra 422005","NICE Area, MIDC, Satpur Colony",19.9978838,73.7479889,ChIJX3D693_s3TsR_TfiW96TUKM,https://www.google.com/maps/place/?q=place_id:ChIJX3D693_s3TsR_TfiW96TUKM,part_331,2026-09-20 20:20:15
Think Nxt Media,Social Media Marketing Agencies,Internet marketing service,Internet marketing service,737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,N/A,https://www.thinknxtmedia.com/,5.0,,"Balichak, Debra, West Bengal 721124",737136,22.351264099999998,87.548966,ChIJjWblOUWzAjoRnlzHtYXBl50,https://www.google.com/maps/place/?q=place_id:ChIJjWblOUWzAjoRnlzHtYXBl50,part_331,2026-09-20 20:20:15
Social Bubbles AI & Automation Consultancy In Pune,Social Media Marketing Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Branding agency, Design agency, Graphic designer, Marketing agency, Media company, Software company, Web hosting company, Website designer",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 86057 50007,https://socialbubbles.ae/,4.8,,"5th Floor, Vasant Vaishali 51, Sinhgad Rd, beside Santosh Hall, Arvind Society, Anand Nagar, Pune, Maharashtra 411051","Arvind Society, Anand Nagar",18.478162599999997,73.8242721,ChIJkY1hbdyVwjsRotgCNHHfsco,https://www.google.com/maps/place/?q=place_id:ChIJkY1hbdyVwjsRotgCNHHfsco,part_331,2026-09-20 20:20:15
Social Digital Wings,Social Media Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Marketing consultant",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 82084 52720,http://www.socialdigitalwings.in/,4.6,,"Office No.01, 1st Floor, Pancard Club Rd, near Krishna Medical, Baner, Pune, Maharashtra 411069",Baner,18.5587889,73.7748361,ChIJ4ViMUEC5wjsRe4H4ELycMiA,https://www.google.com/maps/place/?q=place_id:ChIJ4ViMUEC5wjsRe4H4ELycMiA,part_331,2026-09-20 20:20:15
Socializer media,Social Media Marketing Agencies,Marketing agency,Marketing agency,737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 70208 85502,N/A,4.9,,"flat no 1602, Suncity c wing, Bhumkar Nagar, Mokarwadi, Narhe, Pune, Maharashtra 411046","Bhumkar Nagar, Mokarwadi, Narhe",18.4492294,73.8350864,ChIJ15sGQ9WVwjsRqJBU5jVjB_g,https://www.google.com/maps/place/?q=place_id:ChIJ15sGQ9WVwjsRqJBU5jVjB_g,part_331,2026-09-20 20:20:15
Digital Future Media,Social Media Marketing Agencies,Marketing agency,"Marketing agency, Advertising agency, Advertising Photographer, Branding agency, Internet marketing service, Marketing consultant",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 98903 32969,http://www.digitalfuturemedia.com/,5.0,,"Greenwoods Society, Manjari Budruk, Pune, Maharashtra 412307",Manjari Budruk,18.5321232,73.9588603,ChIJefMrrQXDwjsRgJESIDQpO24,https://www.google.com/maps/place/?q=place_id:ChIJefMrrQXDwjsRgJESIDQpO24,part_331,2026-09-20 20:20:15
Zenerom Creative Lab Pvt Ltd,Social Media Marketing Agencies,Internet marketing service,"Internet marketing service, Computer support and services, Design agency, E - Commerce Agency, Marketing agency, Marketing consultant, Software company, Web hosting company, Website designer",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 484 486 2233,https://www.zenerom.in/,4.8,,"2nd Floor, Khadeeja Building Annie Thayyil, Lane, Xavier Arakkal Rd, Kochi, Keralam 682018","Ernakulam North, Kacheripady",9.989946699999999,76.2859027,ChIJoWcJxy8NCDsRvn5gSDOofP0,https://www.google.com/maps/place/?q=place_id:ChIJoWcJxy8NCDsRvn5gSDOofP0,part_331,2026-09-20 20:20:15
Teekeycee,Social Media Marketing Agencies,Advertising agency,Advertising agency,737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 497 270 4064,http://www.teekeycee.in/,4.7,,"3rd Floor, Safire Building, Bank Rd, Kannur, Keralam 670001",737136,11.8686326,75.3657703,ChIJAyX6wzQ9pDsRABCCvkSKL2o,https://www.google.com/maps/place/?q=place_id:ChIJAyX6wzQ9pDsRABCCvkSKL2o,part_331,2026-09-20 20:20:15
SpiderWorks Technologies,Social Media Marketing Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Computer support and services, Marketing agency, Public relations firm, Software company, Web hosting company, Website designer",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 94955 59690,https://www.spiderworks.in/,4.7,,"219, Mavelipuram, Thrikkakara, Onam Park Zone, Kakkanad, Kochi, Keralam 682030","Mavelipuram, Thrikkakara, Onam Park Zone",10.0193434,76.3414926,ChIJVbObp4oMCDsRINub7VRcnag,https://www.google.com/maps/place/?q=place_id:ChIJVbObp4oMCDsRINub7VRcnag,part_331,2026-09-20 20:20:15
Ad-Venture,Social Media Marketing Agencies,Marketing agency,"Marketing agency, Branding agency, Internet marketing service, Advertising agency, Marketing consultant, Media Consultant",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 84200 07678,http://www.ad-venture.in/,4.6,,"Patna Bazar, Midnapore, West Bengal 721101",Patna Bazar,22.412205399999998,87.3211688,ChIJZfEk_klbHToRa6Jx8Zu9pPw,https://www.google.com/maps/place/?q=place_id:ChIJZfEk_klbHToRa6Jx8Zu9pPw,part_331,2026-09-20 20:20:15
Mantra IT Solutions,Social Media Marketing Agencies,Internet marketing service,"Internet marketing service, Advertising agency, Branding agency, Business development service, Graphic designer, Marketing agency, Marketing consultant, Video production service, Website designer",737136,West Bengal Circle,North Bengal Region,Sikkim Division,Majitar SO,+91 82899 59403,https://mantraitsolutions.in/,4.9,,"8th Floor, TBC, Vismaya, Infopark Rd, Infopark Campus, Kakkanad, Kochi, Keralam 682042",Infopark Campus,10.008865799999999,76.36513289999999,ChIJ70-SYDkNCDsRS_ZGEf2x7Yo,https://www.google.com/maps/place/?q=place_id:ChIJ70-SYDkNCDsRS_ZGEf2x7Yo,part_331,2026-09-20 20:20:15
