business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
OLLYCHEM INDIA OPC PVT LTD,Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",N/A,http://www.ollychemindia.in/,4.8,43.0,"Anandapur, &, Medinipur Ln, Kharghapur, West Bengal 721122",741101,22.5513856,87.3793522,ChIJbw-6kCBZHToRb0LjjLGmSHk,https://www.google.com/maps/place/?q=place_id:ChIJbw-6kCBZHToRb0LjjLGmSHk,part_331,2026-09-20 20:21:29
Nandita Chemicals,Chemical Wholesalers,Chemical Manufacturer,"Chemical Manufacturer, Chemical Exporter, Chemical plant, Industrial chemicals wholesaler",741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 70599 83183,http://nanditachemicals.in/,5.0,1.0,"Nilganj Rd, Ruiya, Surjyapur, Iswaripur, West Bengal 700121",Ruiya,22.740736,88.412443,ChIJT3ZnmG-Z-DkRfZ5am5D4a5M,https://www.google.com/maps/place/?q=place_id:ChIJT3ZnmG-Z-DkRfZ5am5D4a5M,part_331,2026-09-20 20:21:29
Echem Corp,Chemical Wholesalers,Chemical wholesaler,Chemical wholesaler,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 98300 31351,https://echemcorp.in/,4.8,73.0,"Ste 1051, North Wing, 32, Ezra St, Chitpur, Barabazar Market, Kolkata, West Bengal 700001","Chitpur, Barabazar Market",22.575243999999998,88.353055,ChIJd8WUQbRwAjoR7mSohTxz29k,https://www.google.com/maps/place/?q=place_id:ChIJd8WUQbRwAjoR7mSohTxz29k,part_331,2026-09-20 20:21:29
Krishna Scientific Suppliers,Chemical Wholesalers,Scientific equipment supplier,Scientific equipment supplier,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 94751 74630,https://www.kssbdn.com/,4.5,15.0,"6VH9+G9G More, Grand Trunk Rd, Sripally, Police LIne Bazar, Bardhaman, West Bengal 713103","Sripally, Police LIne Bazar",23.2288204,87.8684492,ChIJUfy2NMxJ-DkRCD3T522jySE,https://www.google.com/maps/place/?q=place_id:ChIJUfy2NMxJ-DkRCD3T522jySE,part_331,2026-09-20 20:21:29
Sree ram Chemical,Chemical Wholesalers,Wholesaler,Wholesaler,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",N/A,N/A,5.0,7.0,"B/32/1, H/11, Biplabi Barin Ghosh Sarani, Ultadanga, Kolkata, West Bengal 700067",Ultadanga,22.5879409,88.3888413,ChIJ2aSe_mF3AjoRnpN6oceSjzQ,https://www.google.com/maps/place/?q=place_id:ChIJ2aSe_mF3AjoRnpN6oceSjzQ,part_331,2026-09-20 20:21:29
Chemicals (India) Company,Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 33 2242 8256,http://www.chemicalsindiacompany.com/,3.7,3.0,"2nd Floor, Brabourne Road, Brabourne Road, Kolkata, West Bengal 700001","Murgighata, B.B.D. Bagh",22.5767848,88.3519951,ChIJixZHubp3AjoRNts_SHOaYI4,https://www.google.com/maps/place/?q=place_id:ChIJixZHubp3AjoRNts_SHOaYI4,part_331,2026-09-20 20:21:29
Fine Chemicals & Solvents,Chemical Wholesalers,Chemical Manufacturer,Chemical Manufacturer,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",N/A,https://finechem.co.in/,3.0,2.0,"309, Bepin Behari Ganguly St, New Market Area, Dharmatala, Bowbazar, Kolkata, West Bengal 700012","New Market Area, Dharmatala, Bowbazar",22.57208,88.3536635,ChIJ4cnOZK93AjoR60KHpAxQLyo,https://www.google.com/maps/place/?q=place_id:ChIJ4cnOZK93AjoR60KHpAxQLyo,part_331,2026-09-20 20:21:29
Rishi Chemical Works Pvt Ltd - Bulk fine chemicals manufacturer,Chemical Wholesalers,Chemical Manufacturer,"Chemical Manufacturer, Pharmaceutical company",741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 33 2229 0068,http://www.rishichemicals.com/,3.7,3.0,"Flat 40, KOH-I-NOOR"",105, Park St, Mullick Bazar, Park Street area, Kolkata, West Bengal 700016","Mullick Bazar, Park Street area",22.5487404,88.3586467,ChIJl5KUo-F2AjoRG4vCPrWl4No,https://www.google.com/maps/place/?q=place_id:ChIJl5KUo-F2AjoRG4vCPrWl4No,part_331,2026-09-20 20:21:29
Shreeram Chemical Industries,Chemical Wholesalers,Manufacturer,Manufacturer,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 33 2237 6456,http://shreeramchemicals.com/,2.9,11.0,"50/2A, Cossipore, Newland, College Square, Kolkata, West Bengal 700012","Cossipore, Newland, College Square",22.572646,88.3638951,ChIJkZ-bGL93AjoRIdwivPO6pGA,https://www.google.com/maps/place/?q=place_id:ChIJkZ-bGL93AjoRIdwivPO6pGA,part_331,2026-09-20 20:21:29
East India and RX MARINE Chemical International,Chemical Wholesalers,Chemical Manufacturer,"Chemical Manufacturer, Industrial chemicals wholesaler",741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 80 6997 6663,http://eastindiachemicals.com/,2.8,4.0,"Jalan Industrial Complex, Jangalpur, Gate No-03,, Near khetan electronics, PO. Argori, P.S. Sankrail, Howrah, West Bengal 711411",Biparnna Para,22.592595499999998,88.21614509999999,ChIJu0DV9nF_AjoRefPzJDf5s9A,https://www.google.com/maps/place/?q=place_id:ChIJu0DV9nF_AjoRefPzJDf5s9A,part_331,2026-09-20 20:21:29
