business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
State Dairy Krishnanagar,Dairy and Milk Parlour,Dairy,Dairy,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 94340 00000,N/A,3.8,,"NH-34, Krishnanagar, West Bengal 741101",741101,23.400786999999998,88.4754914,ChIJLcvTbIsf-TkRdgQcfHsaMy8,https://www.google.com/maps/place/?q=place_id:ChIJLcvTbIsf-TkRdgQcfHsaMy8,part_331,2026-09-20 20:20:56
Amul City Centre,Dairy and Milk Parlour,Dairy store,"Dairy store, Ice cream shop",741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 3472 223 211,https://amul.com/,4.0,,"40, Rabindra Nath Tagore Rd, [no name], Krishnanagar, West Bengal 741101",[no name],23.4093645,88.4956479,ChIJgeEQtjkg-TkRVtwEfJ9q7hc,https://www.google.com/maps/place/?q=place_id:ChIJgeEQtjkg-TkRVtwEfJ9q7hc,part_331,2026-09-20 20:20:56
Amul Point,Dairy and Milk Parlour,Variety store,"Variety store, Ice cream shop",741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 99324 57047,http://www.amul.com/,3.7,,"CF2R+46Q, D.L Roy Road, Krishnanagar, Bou Bazar, Nadia, Krishnanagar, West Bengal 741101",741101,23.400339,88.490595,ChIJ-1ZDbT0g-TkR251RYFqNnBc,https://www.google.com/maps/place/?q=place_id:ChIJ-1ZDbT0g-TkR251RYFqNnBc,part_331,2026-09-20 20:20:56
Amul ice cream parlour,Dairy and Milk Parlour,Ice cream shop,Ice cream shop,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 1800 258 3333,https://amul.com/,4.5,,"Sona Potti crossing, Rabindra Nath Tagore Rd, beside G.P Hero Bike showroom, Krishnanagar, West Bengal 741101",741101,23.4131868,88.4940202,ChIJC6YUCjkh-TkRGUmMNYbDbXY,https://www.google.com/maps/place/?q=place_id:ChIJC6YUCjkh-TkRGUmMNYbDbXY,part_331,2026-09-20 20:20:56
Red Cow Dairy Pvt Ltd,Dairy and Milk Parlour,Dairy Products Supplier,Dairy Products Supplier,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 1800 309 3160,https://www.redcowdairy.in/,4.3,,"33RR+JQX, Jaugram, West Bengal 713166",741101,23.0916179,88.0919827,ChIJO1OTelZZ-DkREwS8IsDBl30,https://www.google.com/maps/place/?q=place_id:ChIJO1OTelZZ-DkREwS8IsDBl30,part_331,2026-09-20 20:20:56
Khokan Dairy products,Dairy and Milk Parlour,Dairy farm,Dairy farm,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",N/A,N/A,5.0,,"Hospital-Bank Road, South, Gangnapur, West Bengal 741238",741101,23.135185,88.6388181,ChIJDTv483HP-DkRJ3ET6p-K2vc,https://www.google.com/maps/place/?q=place_id:ChIJDTv483HP-DkRJ3ET6p-K2vc,part_331,2026-09-20 20:20:56
Rick ice world,Dairy and Milk Parlour,Ice cream shop,Ice cream shop,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",N/A,N/A,3.9,,"CF4R+HPF, Ranaghat - Krishnanagar Byp Rd, Krishnanagar, West Bengal 741101",741101,23.4063837,88.4917895,ChIJ0e8uflQh-TkRYH6b9fbt714,https://www.google.com/maps/place/?q=place_id:ChIJ0e8uflQh-TkRYH6b9fbt714,part_331,2026-09-20 20:20:56
Prabir Dugdha Bhandar,Dairy and Milk Parlour,Milk delivery service,Milk delivery service,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",N/A,N/A,5.0,,"Prachin Mayapur, Nabadwip, West Bengal 741302",Prachin Mayapur,23.4294934,88.3661082,ChIJj0DujGwd-TkRO3BF7zUETFk,https://www.google.com/maps/place/?q=place_id:ChIJj0DujGwd-TkRO3BF7zUETFk,part_331,2026-09-20 20:20:56
Memari Khattal,Dairy and Milk Parlour,Dairy farm,Dairy farm,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",N/A,N/A,4.2,,"5463+WQX, Khattal, Memari, West Bengal 713146",Khattal,23.162359799999997,88.1044869,ChIJETImPxpZ-DkRxNfFJqigYTs,https://www.google.com/maps/place/?q=place_id:ChIJETImPxpZ-DkRxNfFJqigYTs,part_331,2026-09-20 20:20:56
Cow Dham Dairy,Dairy and Milk Parlour,Dairy farm,Dairy farm,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",N/A,N/A,4.3,,"J9FP+6HQ, Unnamed Road, Chichuria, West Bengal 741126",741101,23.6230838,88.38647089999999,ChIJxfq4QhIR-TkRnx4m42Uoa4A,https://www.google.com/maps/place/?q=place_id:ChIJxfq4QhIR-TkRnx4m42Uoa4A,part_331,2026-09-20 20:20:56
