business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Web Design Krishnanagar,SEO Agencies,Website designer,Website designer,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 98008 77957,https://websiteonline.in/,4.4,7.0,"9FVP+XX, Krishnanagar, West Bengal 741101",741101,23.394937499999997,88.4874375,ChIJHfDvuBkg-TkR346UAql3zA8,https://www.google.com/maps/place/?q=place_id:ChIJHfDvuBkg-TkR346UAql3zA8,part_331,2026-09-20 20:21:31
Inside Stories,SEO Agencies,Video editing service,Video editing service,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",N/A,https://ampads.in/,,,"MM Ghosh St, Krishnanagar, West Bengal 741101",741101,23.4067512,88.4873142,ChIJsZ3qhKGLJW4RnZBi0nDNHyw,https://www.google.com/maps/place/?q=place_id:ChIJsZ3qhKGLJW4RnZBi0nDNHyw,part_331,2026-09-20 20:21:31
Digibrand SEO,SEO Agencies,Internet marketing service,"Internet marketing service, Branding agency, Marketing agency, Website designer",741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 90513 06251,https://digibrandseo.com/,5.0,31.0,"101A, Raja Dinendra St, Manicktala, Sahitya Parishad, Ward Number 15, Kolkata, West Bengal 700006","Manicktala, Sahitya Parishad, Ward Number 15",22.588450299999998,88.3768697,ChIJcYUhxPFKU40R6plqrNjSquk,https://www.google.com/maps/place/?q=place_id:ChIJcYUhxPFKU40R6plqrNjSquk,part_331,2026-09-20 20:21:31
Dakshraj Enterprise - Kolkata's #1 Digital Marketing Agency,SEO Agencies,Internet marketing service,"Internet marketing service, Design agency, Graphic designer, Marketing agency, Marketing consultant, Media Consultant, Public relations firm, Website designer",741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 94777 76863,https://dakshraj.com/,4.6,21.0,"H No 14, BL 7, Kankinara, Jagatdal, Kolkata, Bhatpara, West Bengal 743126","Kankinara, Jagatdal",22.8620607,88.3975236,ChIJS2CDwsyW-DkRxuC7uiqL-PA,https://www.google.com/maps/place/?q=place_id:ChIJS2CDwsyW-DkRxuC7uiqL-PA,part_331,2026-09-20 20:21:31
City Light InfoTech Technologies,SEO Agencies,Software company,"Software company, Website designer",741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 94344 84993,https://www.citylightinfotech.com/,4.6,14.0,"15, Sarat Sarani Road, BowBazar, Krishnanagar, West Bengal 741101",BowBazar,23.3994067,88.489965,ChIJwU-XDz0g-TkRf_WPPqAsOF4,https://www.google.com/maps/place/?q=place_id:ChIJwU-XDz0g-TkRf_WPPqAsOF4,part_331,2026-09-20 20:21:31
Bengal Cinepad Slide,SEO Agencies,Film Production Company,Film Production Company,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 99034 59489,N/A,4.8,13.0,"103, BD Mukherjee Rd, Nagendranagar, Krishnanagar, West Bengal 741101",Nagendranagar,23.4149507,88.4873647,ChIJlSRewvud-DkRgBmRxdOisE4,https://www.google.com/maps/place/?q=place_id:ChIJlSRewvud-DkRgBmRxdOisE4,part_331,2026-09-20 20:21:31
PN SOFTWARE TECH PVT LTD,SEO Agencies,Software company,Software company,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 80014 40055,https://pnsoftware.org/,4.8,26.0,"Room-109(1st Floor, Webel IT Park, Krishnanagar, West Bengal 741103",741101,23.3920365,88.4756704,ChIJ2-jqsh0R-TkRt-ZcdAZcTik,https://www.google.com/maps/place/?q=place_id:ChIJ2-jqsh0R-TkRt-ZcdAZcTik,part_331,2026-09-20 20:21:31
BL Techno,SEO Agencies,Website designer,"Website designer, Service establishment",741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",N/A,N/A,,,"BL Techno, 741101, India",741101,23.4850516,88.46768829999999,ChIJIeki7fQqAaYRllXEgNSXScc,https://www.google.com/maps/place/?q=place_id:ChIJIeki7fQqAaYRllXEgNSXScc,part_331,2026-09-20 20:21:31
helloindgo,SEO Agencies,Website designer,"Website designer, Computer support and services",741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",N/A,https://www.helloindgo.com/,5.0,1.0,"210, Webel IT Park, Krishnanagar, West Bengal 741103",741101,23.3913254,88.4756094,ChIJuxHuIWzNTw8R3-TCQE1BtGI,https://www.google.com/maps/place/?q=place_id:ChIJuxHuIWzNTw8R3-TCQE1BtGI,part_331,2026-09-20 20:21:31
EvenSurge,SEO Agencies,Marketing agency,"Marketing agency, Internet marketing service, Marketing consultant",741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 80130 23976,https://evensurge.com/?utm_source=google&utm_medium=gmb&utm_campaign=maps,4.8,53.0,"Ground Floor, Purbayan, 18/1, East Rd, Bidhanpally, Jadavpur, Kolkata, West Bengal 700032","Bidhanpally, Jadavpur",22.4956337,88.3669472,ChIJq6qqqndxAjoRh3V1YghZ3NQ,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqndxAjoRh3V1YghZ3NQ,part_331,2026-09-20 20:21:32
