business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
THE WINGS TATTOO STUDIO,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 96355 14366,https://the-wings-tattoo.grexa.site/,4.8,42,"Sangeeta Cinema hall, CG52+MBF Near, netaji market, opposite tourist lodge, Krishnanagar, West Bengal 741103",741101,23.4087565,88.50071059999999,ChIJ4XoePwkh-TkRGAMjNiIltrg,https://www.google.com/maps/place/?q=place_id:ChIJ4XoePwkh-TkRGAMjNiIltrg,part_331,2026-09-20 20:21:16
Krishnanagar Tattoo parlor,Tattoo and Nail Art Studio,Tattoo shop,"Tattoo shop, Artist, Tattoo and piercing shop, Tattoo artist",741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 94752 28242,https://www.scartattoo.in/,5.0,390,"58 Ground Floor, Manmohan Ghosh Municipal Commercial Complex, Municipality Morh, Krishnanagar, West Bengal 741101",741101,23.408188799999998,88.4967088,ChIJ9TOTgFQh-TkR-y8q7NY8Rv8,https://www.google.com/maps/place/?q=place_id:ChIJ9TOTgFQh-TkR-y8q7NY8Rv8,part_331,2026-09-20 20:21:16
Tattoo zone krishnagar kng,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 75578 16953,N/A,4.9,158,"buss stand, CF6X+MC Krishnanagar, West Bengal New chapra karimpur, Diversion road, Krishnagar, West Bengal 741103",741101,23.4117551,88.4985051,ChIJn7990pkh-TkRfe9shrvbh9A,https://www.google.com/maps/place/?q=place_id:ChIJn7990pkh-TkRfe9shrvbh9A,part_331,2026-09-20 20:21:16
Tattooist Koushik,Tattoo and Nail Art Studio,Tattoo shop,"Tattoo shop, Tattoo removal service",741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 90644 00695,N/A,5.0,381,"Post office more, High St, Krishnanagar, West Bengal 741101",741101,23.408628699999998,88.4960959,ChIJ2QXWvckh-TkR7g9KmxIKkx4,https://www.google.com/maps/place/?q=place_id:ChIJ2QXWvckh-TkR7g9KmxIKkx4,part_331,2026-09-20 20:21:16
Tattoo Hunter's,Tattoo and Nail Art Studio,Tattoo and piercing shop,"Tattoo and piercing shop, Artist, Life coach",741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 81165 29539,N/A,5.0,712,"Kabiguru Rd, Krishnanagar, West Bengal 741102",741101,23.3806443,88.5053052,ChIJWfEmdxch-TkRpVu9OMcI2qA,https://www.google.com/maps/place/?q=place_id:ChIJWfEmdxch-TkRpVu9OMcI2qA,part_331,2026-09-20 20:21:16
Tattoo Artist Sanu Nandi,Tattoo and Nail Art Studio,Tattoo and piercing shop,Tattoo and piercing shop,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 90643 33101,N/A,4.9,271,"acharya para lane, Malanchapara, Nabadwip, West Bengal 741302",Malanchapara,23.4123219,88.3599278,ChIJ78zK8BYd-TkRcYdQOtY6GNQ,https://www.google.com/maps/place/?q=place_id:ChIJ78zK8BYd-TkRcYdQOtY6GNQ,part_331,2026-09-20 20:21:16
Boom tattoo workshop,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 87689 22843,https://www.instagram.com/boom_tattoo_workshop?igsh=MXJuYTJ3eHg2bXFz&utm_source=qr,5.0,40,"college gate, Bagula, West Bengal 741502",741101,23.330307899999998,88.6442392,ChIJW4G7PADX-DkR0dSHUgFKz6Y,https://www.google.com/maps/place/?q=place_id:ChIJW4G7PADX-DkR0dSHUgFKz6Y,part_331,2026-09-20 20:21:16
Style Forever - Nail Studio & Academy,Tattoo and Nail Art Studio,Nail salon,Nail salon,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 96411 67063,N/A,4.8,70,"RBC Rd, Chakdaha, West Bengal 741222",741101,23.0773293,88.5306274,ChIJFw3zN37B-DkRriIq9E7-qOU,https://www.google.com/maps/place/?q=place_id:ChIJFw3zN37B-DkRriIq9E7-qOU,part_331,2026-09-20 20:21:16
Moondora Tattoos,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 84369 48826,N/A,4.9,33,"unit1 school, Kalitala Ln, near Rakha, majher para, Memari, West Bengal 713146",majher para,23.174124799999998,88.104901,ChIJsyxL7-pZ-DkRcrqHGmnVkqg,https://www.google.com/maps/place/?q=place_id:ChIJsyxL7-pZ-DkRcrqHGmnVkqg,part_331,2026-09-20 20:21:16
Suporna's Nail Extension,Tattoo and Nail Art Studio,Nail salon,"Nail salon, Eyebrow bar, Eyelash salon, Make-up artist",741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 6295 455 950,https://www.facebook.com/Supornas-Nail-Extension-112455630931426/,4.9,172,"Sarak Para St, Ranaghat, West Bengal 741201",741101,23.185645599999997,88.5710967,ChIJL6TwWoDb-DkRPzRPJG1Sz74,https://www.google.com/maps/place/?q=place_id:ChIJL6TwWoDb-DkRPzRPJG1Sz74,part_331,2026-09-20 20:21:16
Workaholik Tattoo Studio,Tattoo and Nail Art Studio,Tattoo shop,Tattoo shop,741101,West Bengal Circle,Kolkata Region,Nadia North Division,"Krishnanagar HO, Aminbazar SO, Bowbazar SO Nadia",+91 84789 93399,N/A,4.9,504,"22, KGR Path, Kanchrapara Loco, Kolkata, Kanchrapara, West Bengal 743145",Kanchrapara Loco,22.9466076,88.44952719999999,ChIJM2xu8AeV-DkRO2E8S4VGPFs,https://www.google.com/maps/place/?q=place_id:ChIJM2xu8AeV-DkRO2E8S4VGPFs,part_331,2026-09-20 20:21:16
