business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Nayek Store,Provision Store,General store,General store,741102,West Bengal Circle,Kolkata Region,Nadia North Division,"Saktinagar SO, Bhatjangla BO, Dogachhi BO",+91 74781 67960,N/A,,,"Christian Para Road, nearby Lalmath Nadia, Christian Para, Krishnanagar, West Bengal 741102",Christian Para,23.3898214,88.4783647,ChIJ6beKd4Mf-TkRK0h1PyjHGFY,https://www.google.com/maps/place/?q=place_id:ChIJ6beKd4Mf-TkRK0h1PyjHGFY,part_331,2026-09-20 20:21:36
মন্টুর দোকান চায়ের টাপরি,Provision Store,General store,General store,741102,West Bengal Circle,Kolkata Region,Nadia North Division,"Saktinagar SO, Bhatjangla BO, Dogachhi BO",N/A,N/A,4.1,14.0,"samarpally, Krishnanagar, West Bengal 741102",741102,23.3894748,88.5107898,ChIJyX1efQwh-TkRiBvERBHkPzU,https://www.google.com/maps/place/?q=place_id:ChIJyX1efQwh-TkRiBvERBHkPzU,part_331,2026-09-20 20:21:36
Sarkar Variety Store,Provision Store,General store,General store,741102,West Bengal Circle,Kolkata Region,Nadia North Division,"Saktinagar SO, Bhatjangla BO, Dogachhi BO",+91 90644 07874,N/A,4.0,1.0,"Kotwali, near Subhash Nagar Primary School, Bhatjangla, Krishnanagar, West Bengal 741102",741102,23.3750449,88.49445999999999,ChIJQXzCPxff-DkRREPZNfLi_FM,https://www.google.com/maps/place/?q=place_id:ChIJQXzCPxff-DkRREPZNfLi_FM,part_331,2026-09-20 20:21:36
Bilas Stor,Provision Store,General store,General store,741102,West Bengal Circle,Kolkata Region,Nadia North Division,"Saktinagar SO, Bhatjangla BO, Dogachhi BO",+91 99336 47220,N/A,,,"76r, Baruihuda, Krishnanagar, West Bengal 741102",741102,23.3783715,88.5000669,ChIJee3LXLAh-TkRuHsH5gxXZoE,https://www.google.com/maps/place/?q=place_id:ChIJee3LXLAh-TkRuHsH5gxXZoE,part_331,2026-09-20 20:21:36
PIYALI STORES,Provision Store,Grocery store,Grocery store,741102,West Bengal Circle,Kolkata Region,Nadia North Division,"Saktinagar SO, Bhatjangla BO, Dogachhi BO",+91 91348 73403,N/A,5.0,1.0,"PS, near GIRLS SCHOOL, VILL, Tehatta, West Bengal 741160",VILL,23.7341429,88.5240209,ChIJvz0jyDU_-TkR1Cykp-Xi3VU,https://www.google.com/maps/place/?q=place_id:ChIJvz0jyDU_-TkR1Cykp-Xi3VU,part_331,2026-09-20 20:21:36
BHUTU ENTERPRISE,Provision Store,Grocery store,Grocery store,741102,West Bengal Circle,Kolkata Region,Nadia North Division,"Saktinagar SO, Bhatjangla BO, Dogachhi BO",+91 78588 50187,N/A,4.0,6.0,"VILL BETAI PO BETAI PS BETAI DIST, near TEMPLE, West Bengal 741160",741102,23.7350584,88.5373851,ChIJKZtO7j8_-TkRtsMdiOLqvSk,https://www.google.com/maps/place/?q=place_id:ChIJKZtO7j8_-TkRtsMdiOLqvSk,part_331,2026-09-20 20:21:36
More Supermarket - Chakdah Kolkata,Provision Store,Supermarket,"Supermarket, ATM, Grocery store",741102,West Bengal Circle,Kolkata Region,Nadia North Division,"Saktinagar SO, Bhatjangla BO, Dogachhi BO",+91 81081 38000,https://more.in/,4.0,379.0,"3GHM+R8M, NS Rd, Lalpur, Chakdaha, West Bengal 741222",Lalpur,23.0796201,88.53328309999999,ChIJaUeLa2bB-DkRF_PdHbXa-R4,https://www.google.com/maps/place/?q=place_id:ChIJaUeLa2bB-DkRF_PdHbXa-R4,part_331,2026-09-20 20:21:36
More Supermarket - Bhatrapally,Provision Store,Grocery store,Grocery store,741102,West Bengal Circle,Kolkata Region,Nadia North Division,"Saktinagar SO, Bhatjangla BO, Dogachhi BO",+91 81081 38000,https://www.moreretail.in/,4.1,223.0,"PF9G+RJ7, Bhatrapally, Kolkata, West Bengal 700126",Bhatrapally,22.7195277,88.4765341,ChIJd1nShqiY-DkRZN5GuA2Z-Qk,https://www.google.com/maps/place/?q=place_id:ChIJd1nShqiY-DkRZN5GuA2Z-Qk,part_331,2026-09-20 20:21:36
More Supermarket - Sodepur Road Madhyamgram,Provision Store,Supermarket,Supermarket,741102,West Bengal Circle,Kolkata Region,Nadia North Division,"Saktinagar SO, Bhatjangla BO, Dogachhi BO",+91 82400 37952,https://more.in/,4.1,588.0,"612, Sodepur Rd, beside Borada Bank, E, Madhyamgram Municipality ward 20, Madhyamgram, Kolkata, West Bengal 700129","E, Madhyamgram Municipality ward 20, Madhyamgram",22.69471,88.45826559999999,ChIJDV943Tmf-DkRIf9ZlemWyYg,https://www.google.com/maps/place/?q=place_id:ChIJDV943Tmf-DkRIf9ZlemWyYg,part_331,2026-09-20 20:21:36
Sumosave Supermarket,Provision Store,Grocery store,Grocery store,741102,West Bengal Circle,Kolkata Region,Nadia North Division,"Saktinagar SO, Bhatjangla BO, Dogachhi BO",N/A,https://www.sumosave.in/,4.8,749.0,"C938+G62, Nabadwip, West Bengal 741302",741102,23.403767,88.3655038,ChIJ3a7EUwAd-TkRvz41-QS7lxU,https://www.google.com/maps/place/?q=place_id:ChIJ3a7EUwAd-TkRvz41-QS7lxU,part_331,2026-09-20 20:21:37
