business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
M/S Sk flour & Oil Mill,Flour Mill,Millwork shop,Millwork shop,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 89064 71493,N/A,,,"Tehatta Ghat - Debagram Rd, near Shaikh Para, Tehatta, Hanspukuria, West Bengal 741160",741103,23.7276705,88.47103129999999,ChIJC335YkcV-TkR-mjhwUAuquc,https://www.google.com/maps/place/?q=place_id:ChIJC335YkcV-TkR-mjhwUAuquc,part_331,2026-09-20 20:22:14
Prapti Atta,Flour Mill,Flour mill,Flour mill,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",N/A,N/A,4.0,1.0,"Bethuadahari Barnia road, Paschim para, Harinarayanpur, West Bengal 741126",Paschim para,23.686076,88.4015369,ChIJoTvh67MT-TkRXjoVmmLLvjU,https://www.google.com/maps/place/?q=place_id:ChIJoTvh67MT-TkRXjoVmmLLvjU,part_331,2026-09-20 20:22:14
সহেল আটা ও মসলা মিল,Flour Mill,Flour mill,Flour mill,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",N/A,N/A,,,"opposite charatala primary school, Charatala, CHAPRA, Lakshmigachha, West Bengal 741123",Charatala,23.5501117,88.5283159,ChIJw_Hpfu4j-TkRRDKcXLLEv4U,https://www.google.com/maps/place/?q=place_id:ChIJw_Hpfu4j-TkRRDKcXLLEv4U,part_331,2026-09-20 20:22:14
Chowdhury food products,Flour Mill,Flour mill,Flour mill,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 99330 12110,N/A,,,"Pitambarpur, West Bengal 741123",741103,23.530514999999998,88.5252549,ChIJLyuhxusj-TkRVN9_eiYg9_s,https://www.google.com/maps/place/?q=place_id:ChIJLyuhxusj-TkRVN9_eiYg9_s,part_331,2026-09-20 20:22:14
Jaynitai Oil & Flour Mill,Flour Mill,Millwork shop,Millwork shop,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 90916 13651,N/A,,,"Sholua, Tehatta, West Bengal 741103",741103,23.6764627,88.51768349999999,ChIJJ4uXyvc_-TkR9vBN_3a3Rko,https://www.google.com/maps/place/?q=place_id:ChIJJ4uXyvc_-TkR9vBN_3a3Rko,part_331,2026-09-20 20:22:14
Krishak Oil Mill,Flour Mill,Flour mill,Flour mill,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",N/A,N/A,,,"CCQ6+HVV, Nakful Mathpara, Murighata, Mathpara, West Bengal 741313",Mollapara,23.4389885,88.41217999999999,ChIJU4eLMSwf-TkR2G0atEWiy9E,https://www.google.com/maps/place/?q=place_id:ChIJU4eLMSwf-TkR2G0atEWiy9E,part_331,2026-09-20 20:22:14
Flour Mill,Flour Mill,Flour mill,Flour mill,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",N/A,N/A,4.0,1.0,"PGQ6+9JC, Benepara Rd, Chakbehari, West Bengal 741160",741103,23.738440999999998,88.5115249,ChIJxZbE2Js_-TkRfr2Rzqw9Oms,https://www.google.com/maps/place/?q=place_id:ChIJxZbE2Js_-TkRfr2Rzqw9Oms,part_331,2026-09-20 20:22:14
Shrikrishna Oil & Flour Mill,Flour Mill,Flour mill,Flour mill,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",N/A,N/A,5.0,1.0,"GHF3+4PG, Chapra, West Bengal 741123",741103,23.522813799999998,88.55433529999999,ChIJjZn0Xn4j-TkRjrgM4QB6Kl0,https://www.google.com/maps/place/?q=place_id:ChIJjZn0Xn4j-TkRjrgM4QB6Kl0,part_331,2026-09-20 20:22:14
Ghosh rice and wheat mill,Flour Mill,Rice mill,Rice mill,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",N/A,N/A,,,"Mahatpur, West Bengal 741164",741103,23.493374,88.5372033,ChIJCShGOAAj-TkRADVtYdlkSKY,https://www.google.com/maps/place/?q=place_id:ChIJCShGOAAj-TkRADVtYdlkSKY,part_331,2026-09-20 20:22:14
SatyaNarayan Enterprise,Flour Mill,Flour mill,Flour mill,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 70014 07225,N/A,5.0,1.0,"Kalatala More, bus stop, Nabadwip Ghat Rd, CHARSWARUPGANJ, Gadigachha, West Bengal 741315",741103,23.4078835,88.38749639999999,ChIJm4bdHsYd-TkR-gLBO7GIAOY,https://www.google.com/maps/place/?q=place_id:ChIJm4bdHsYd-TkR-gLBO7GIAOY,part_331,2026-09-20 20:22:15
