business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tara Maa Engineering workshop,Steel Fabrication Workshop,Steel fabricator,Steel fabricator,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 86378 69073,N/A,5.0,3.0,"College St, Bethuadahari, West Bengal 741126",741103,23.6133776,88.39872559999999,ChIJn2Zh73gR-TkRb2hYD9Tk4qw,https://www.google.com/maps/place/?q=place_id:ChIJn2Zh73gR-TkRb2hYD9Tk4qw,part_331,2026-09-20 20:22:45
DEVI ENGINEERING GRILL WORKSHOP,Steel Fabrication Workshop,Iron & Steel Store,"Iron & Steel Store, Metal workshop",741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 89720 04140,N/A,,,"Sahapara, Bethuadahari Stationpara, Bethuadahari, West Bengal 741126","Sahapara, Bethuadahari Stationpara",23.614637,88.3914762,ChIJB_bLDcYR-TkR424QpBTyK8I,https://www.google.com/maps/place/?q=place_id:ChIJB_bLDcYR-TkR424QpBTyK8I,part_331,2026-09-20 20:22:45
Chania Steel Workshops,Steel Fabrication Workshop,Manufacturer,Manufacturer,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",N/A,N/A,,,"Deypara Bishnupur masjid, Outside, Krishnanagar, Subarna Behar, West Bengal 741103",Outside,23.3823975,88.4260899,ChIJBUIVqogf-TkRhPlg11bHSig,https://www.google.com/maps/place/?q=place_id:ChIJBUIVqogf-TkRhPlg11bHSig,part_331,2026-09-20 20:22:45
Sima Engineering Workshop,Steel Fabrication Workshop,Steelwork design service,"Steelwork design service, Home goods store",741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",N/A,https://simaeng.weebly.com/,5.0,5.0,"Hat chapra King Eduward school road, Chapra, West Bengal 741123",741103,23.525284,88.5549822,ChIJMX0U230j-TkRgb0sIw1d334,https://www.google.com/maps/place/?q=place_id:ChIJMX0U230j-TkRgb0sIw1d334,part_331,2026-09-20 20:22:45
Jai Ma Kali Engineering Workshop,Steel Fabrication Workshop,Iron works,Iron works,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",N/A,N/A,4.3,3.0,"FFV2+729, Dhubulia, West Bengal 741139",741103,23.4931576,88.45009569999999,ChIJb5XZUt0Y-TkR40IX0CE5Vb4,https://www.google.com/maps/place/?q=place_id:ChIJb5XZUt0Y-TkR40IX0CE5Vb4,part_331,2026-09-20 20:22:45
Anjali Engineering Work Shop,Steel Fabrication Workshop,Electronics repair shop,"Electronics repair shop, Welding supply store",741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 99329 30510,N/A,5.0,3.0,"School, near by Chichuria, Chichuria, Nakashipara, West Bengal 741126",741103,23.6276345,88.3787194,ChIJc7hxI9oR-TkR5Pmp2dR-ngk,https://www.google.com/maps/place/?q=place_id:ChIJc7hxI9oR-TkR5Pmp2dR-ngk,part_331,2026-09-20 20:22:45
Srabanti Welding Workshop,Steel Fabrication Workshop,Welding supply store,Welding supply store,741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",N/A,N/A,5.0,1.0,"9FWJ+9CW, Anadi Nagar, Krishnanagar, West Bengal 741101",Anadi Nagar,23.395975,88.48106419999999,ChIJZUagsRUh-TkRT1rw2Ob6COU,https://www.google.com/maps/place/?q=place_id:ChIJZUagsRUh-TkRT1rw2Ob6COU,part_331,2026-09-20 20:22:45
A-s fabrication welding work l fabrication work in Telangana,Steel Fabrication Workshop,Metal fabricator,"Metal fabricator, Fabrication Engineer",741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 93812 89311,https://asfabricationsworks.in/,4.9,235.0,"19-145/b, asaf Village, Venkatapuram, Alwal, Secunderabad, Telangana 500015","Venkatapuram, Alwal",17.496492,78.506807,ChIJST4bXOqbyzsR8wsYiL0aCWs,https://www.google.com/maps/place/?q=place_id:ChIJST4bXOqbyzsR8wsYiL0aCWs,part_331,2026-09-20 20:22:46
A.s fabrication welding work,Steel Fabrication Workshop,Welder,"Welder, Carport and pergola builder, Fence contractor, Iron works, Metal fabricator, Roofing contractor, Stair contractor, Steel construction company, Steel fabricator, Welding supply store",741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 93982 41472,http://asfabricationwork.com/,4.9,420.0,"CC32+52G, Manikonda Rd, Sathya Colony, Shaikpet, Hyderabad, Telangana 500104","Sathya Colony, Shaikpet",17.4032916,78.39987289999999,ChIJWQ2gNr-XyzsRaJ0NPeZVQds,https://www.google.com/maps/place/?q=place_id:ChIJWQ2gNr-XyzsRaJ0NPeZVQds,part_331,2026-09-20 20:22:46
SA fabrication welding works,Steel Fabrication Workshop,Metal fabricator,"Metal fabricator, Fabrication Engineer, Iron works, Metal supplier, Metal workshop, Welder, Welding supply store",741103,West Bengal Circle,Kolkata Region,Nadia North Division,"Ghurni SO, Berij BO, Bhanderkhola BO",+91 90525 30347,N/A,4.6,53.0,"babu khan line rajeev nagar, Shilpa Layout Rd, opposite danish heights, Shilpa layot, Gachibowli, Hyderabad, Telangana 500032","Shilpa layot, Gachibowli",17.440323499999998,78.36675989999999,ChIJm961uMOTyzsRQCDUfFlRFis,https://www.google.com/maps/place/?q=place_id:ChIJm961uMOTyzsRQCDUfFlRFis,part_331,2026-09-20 20:22:46
