business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dr. Anirban Dewan's Dental Clinic,Dental Clinic,Dental clinic,Dental clinic,741121,West Bengal Circle,Kolkata Region,Nadia South Division,"Badkulla SO, Arbandi BO, Bapukinagar BO",+91 99325 84804,N/A,4.7,,"Bibhuti Mitra Rd, Birnagar, West Bengal 741127",741121,23.236736,88.55500889999999,ChIJJbHZ_tfd-DkRR04VHE8GjAw,https://www.google.com/maps/place/?q=place_id:ChIJJbHZ_tfd-DkRR04VHE8GjAw,part_331,2026-09-20 20:23:00
PROMILA DENTAL CLINIC,Dental Clinic,Dental clinic,Dental clinic,741121,West Bengal Circle,Kolkata Region,Nadia South Division,"Badkulla SO, Arbandi BO, Bapukinagar BO",+91 90624 68276,N/A,5.0,,"6HQ2+CQ6, Birnagar, West Bengal 741127",741121,23.238526399999998,88.551876,ChIJ2d3iqn7c-DkRPMjbU3E8d4g,https://www.google.com/maps/place/?q=place_id:ChIJ2d3iqn7c-DkRPMjbU3E8d4g,part_331,2026-09-20 20:23:00
Suniti Dental Care,Dental Clinic,Dental clinic,Dental clinic,741121,West Bengal Circle,Kolkata Region,Nadia South Division,"Badkulla SO, Arbandi BO, Bapukinagar BO",N/A,N/A,5.0,,"7FP5+56W, Gobindapur Badkulla Rd, Arpara, Dankshira, West Bengal 741404",741121,23.2852131,88.4580798,ChIJPzlrnlDh-DkRPZCMBwZFbkQ,https://www.google.com/maps/place/?q=place_id:ChIJPzlrnlDh-DkRPZCMBwZFbkQ,part_331,2026-09-20 20:23:00
ISHAN DENTAL CARE,Dental Clinic,Dental clinic,Dental clinic,741121,West Bengal Circle,Kolkata Region,Nadia South Division,"Badkulla SO, Arbandi BO, Bapukinagar BO",+91 87592 44611,N/A,5.0,,"6HC5+5PJ, Kamgachhi, West Bengal 741254",741121,23.220345299999998,88.5592843,ChIJfTFJJADb-DkR6UDrKiBTFwA,https://www.google.com/maps/place/?q=place_id:ChIJfTFJJADb-DkR6UDrKiBTFwA,part_331,2026-09-20 20:23:00
Suman Dental and Lab,Dental Clinic,Dental clinic,Dental clinic,741121,West Bengal Circle,Kolkata Region,Nadia South Division,"Badkulla SO, Arbandi BO, Bapukinagar BO",N/A,N/A,5.0,,"6HM3+56X, Birnagar, West Bengal 741127",741121,23.233066599999997,88.5531735,ChIJW2o03dDd-DkRM9zM6ooXr94,https://www.google.com/maps/place/?q=place_id:ChIJW2o03dDd-DkRM9zM6ooXr94,part_331,2026-09-20 20:23:00
Dental Clinic,Dental Clinic,Doctor,Doctor,741121,West Bengal Circle,Kolkata Region,Nadia South Division,"Badkulla SO, Arbandi BO, Bapukinagar BO",+91 83458 00111,N/A,,,"01, Chandra, West Bengal 741121",741121,23.3046223,88.49276669999999,ChIJoZpcHvrf-DkRx5l9OsXhl2I,https://www.google.com/maps/place/?q=place_id:ChIJoZpcHvrf-DkRx5l9OsXhl2I,part_331,2026-09-20 20:23:00
Mohana Dental Home,Dental Clinic,Dental clinic,Dental clinic,741121,West Bengal Circle,Kolkata Region,Nadia South Division,"Badkulla SO, Arbandi BO, Bapukinagar BO",+91 70764 36753,https://www.mohanadentalhome.in/,5.0,,"Swarnadip Ground Floor, station para Rd, Badkulla, West Bengal 741121",741121,23.3040329,88.5298175,ChIJTXpNZwDf-DkR1aIkWKfHeOE,https://www.google.com/maps/place/?q=place_id:ChIJTXpNZwDf-DkR1aIkWKfHeOE,part_331,2026-09-20 20:23:00
"First Smile Dental Clinic (Dr. B. Das, BDS) // Best dental clinic in Phulia",Dental Clinic,Dental clinic,Dental clinic,741121,West Bengal Circle,Kolkata Region,Nadia South Division,"Badkulla SO, Arbandi BO, Bapukinagar BO",N/A,https://www.facebook.com/profile.php?id=61575899184280&mibextid=ZbWKwL,3.8,,"Bajar para, Phulia Station Rd, Chatkatala, Phulia, West Bengal 741402",Chatkatala,23.2294268,88.49636869999999,ChIJT-VYIwDd-DkRJuKzJ8EmOsw,https://www.google.com/maps/place/?q=place_id:ChIJT-VYIwDd-DkRJuKzJ8EmOsw,part_331,2026-09-20 20:23:00
Srikanto Dental Care,Dental Clinic,Dental clinic,Dental clinic,741121,West Bengal Circle,Kolkata Region,Nadia South Division,"Badkulla SO, Arbandi BO, Bapukinagar BO",N/A,N/A,5.0,,"6G6Q+4GM, Nichupara Station Rd, Panpara, Raghabpur, Habibpur, West Bengal 741402","Panpara, Raghabpur",23.2103468,88.5387923,ChIJf2erbJXc-DkRbsQEJDRYtRU,https://www.google.com/maps/place/?q=place_id:ChIJf2erbJXc-DkRbsQEJDRYtRU,part_331,2026-09-20 20:23:00
Priyodorshini dental care,Dental Clinic,Dental clinic,Dental clinic,741121,West Bengal Circle,Kolkata Region,Nadia South Division,"Badkulla SO, Arbandi BO, Bapukinagar BO",+91 99323 64953,N/A,,,"Nadia, Chatkatala, Phulia, West Bengal 741402","Nadia, Chatkatala",23.2303473,88.4951694,ChIJ2WrNdgDd-DkRxvllwv-ZH64,https://www.google.com/maps/place/?q=place_id:ChIJ2WrNdgDd-DkRxvllwv-ZH64,part_331,2026-09-20 20:23:00
