business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Profielite HR Services,HR Planning and Recruitment,Human resource consulting,Human resource consulting,741123,West Bengal Circle,Kolkata Region,Nadia North Division,"Bangaljhi SO, Bagberia BO, Charatala BO",+91 62903 24389,https://support.profielitehrservices.com/,5.0,,"173, Rishi Bankim Ave, Government Colony, Jagodhatripally, Bhadreswar, West Bengal 712124","Government Colony, Jagodhatripally",22.8307039,88.34332409999999,ChIJMUBPGl48-akRVmWHW-ctfP4,https://www.google.com/maps/place/?q=place_id:ChIJMUBPGl48-akRVmWHW-ctfP4,part_331,2026-09-20 20:24:36
North Bengal HR & Career Services,HR Planning and Recruitment,Human resource consulting,"Human resource consulting, Career guidance service, Employment consultant, Recruiter, Unemployment office",741123,West Bengal Circle,Kolkata Region,Nadia North Division,"Bangaljhi SO, Bagberia BO, Charatala BO",N/A,https://northbengalhr.com/,4.9,,"North Bengal HR And Career Services Pvt Ltd, Durgaguri Road, opp. Hotel Tower Bangla, Ward 45, Patiram Jote, Siliguri, West Bengal 734003","Ward 45, Patiram Jote",26.731420399999998,88.4076824,ChIJwSJ-zOBB5DkRwVVs2c5yxwI,https://www.google.com/maps/place/?q=place_id:ChIJwSJ-zOBB5DkRwVVs2c5yxwI,part_331,2026-09-20 20:24:36
The Job Consultancy,HR Planning and Recruitment,Human resource consulting,"Human resource consulting, Career guidance service, Employment center, Employment consultant, Service establishment, Employment agency, Recruiter, Unemployment office",741123,West Bengal Circle,Kolkata Region,Nadia North Division,"Bangaljhi SO, Bagberia BO, Charatala BO",N/A,https://thejobconsultancy.com/,5.0,,"The Job Consultancy, 741123, India",741123,21.0680074,82.7525294,ChIJO31x4lgd-TkRoF86loA3D4M,https://www.google.com/maps/place/?q=place_id:ChIJO31x4lgd-TkRoF86loA3D4M,part_331,2026-09-20 20:24:36
"Career Comfort - Best Job Consultancy and Recruitment Agency | Job For Freshers | Employment Consultancy | Kolkata, Bengaluru",HR Planning and Recruitment,Employment consultant,"Employment consultant, Service establishment",741123,West Bengal Circle,Kolkata Region,Nadia North Division,"Bangaljhi SO, Bagberia BO, Charatala BO",+91 74393 35353,https://careercomfort.co.in/,4.7,,"Career Comfort - Best Job Consultancy and Recruitment Agency | Job For Freshers | Employment Consultancy | Kolkata, Bengaluru, 741123, India",741123,22.5354274,88.3473528,ChIJr_sJPpV3AjoRyzgmEpnqkjQ,https://www.google.com/maps/place/?q=place_id:ChIJr_sJPpV3AjoRyzgmEpnqkjQ,part_331,2026-09-20 20:24:36
Flip Jobs HR Consultancy & manpower agency Kolkata - Best Job placement consultancy,HR Planning and Recruitment,Human resource consulting,"Human resource consulting, BPO Placement Agency, Employment center, Recruiter, Unemployment office",741123,West Bengal Circle,Kolkata Region,Nadia North Division,"Bangaljhi SO, Bagberia BO, Charatala BO",+91 74499 28688,http://flipjobs.net/,4.3,,"4th Floor, Diamond Arcade, Unit No. 415, Ward no 23, Satgachi, Kolkata, West Bengal 700055","Ward no 23, Ward Number 23, Satgachi",22.613725,88.4131767,ChIJLw5riRx3AjoRkDNP13aJlVw,https://www.google.com/maps/place/?q=place_id:ChIJLw5riRx3AjoRkDNP13aJlVw,part_331,2026-09-20 20:24:36
RAM - Resource & ManPower | Job Placement Consultancy in Kolkata | Best Recruitment Agency in Kolkata | Employment Agency,HR Planning and Recruitment,Human resource consulting,"Human resource consulting, BPO Placement Agency, Consultant, Employment consultant, Executive search firm, Employment center, Recruiter",741123,West Bengal Circle,Kolkata Region,Nadia North Division,"Bangaljhi SO, Bagberia BO, Charatala BO",+91 98305 17541,http://www.ramindia.net/,4.5,,"50B, Nirmal Chandra St, near Hind Fame, Chandni Chawk, Metro, Kolkata, West Bengal 700012","Chandni Chawk, Metro",22.566466,88.36001309999999,ChIJlVUhUqp3AjoR-FWymwR7Al0,https://www.google.com/maps/place/?q=place_id:ChIJlVUhUqp3AjoR-FWymwR7Al0,part_331,2026-09-20 20:24:36
Get Job Consulting Services(G.J.C.S),HR Planning and Recruitment,Unemployment office,Unemployment office,741123,West Bengal Circle,Kolkata Region,Nadia North Division,"Bangaljhi SO, Bagberia BO, Charatala BO",+91 98831 63845,http://getjobconsultingservices.weebly.com/,4.6,114.0,"22 JAN MOHAMMAD GHSAT ROAD Dist:, N, Naihati, Kolkata, West Bengal 743165","N, Naihati",22.890217399999997,88.41262429999999,ChIJDwTEKRCU-DkR9TL88QRaR98,https://www.google.com/maps/place/?q=place_id:ChIJDwTEKRCU-DkR9TL88QRaR98,part_331,2026-09-20 20:24:36
Dream Job HR Solutions,HR Planning and Recruitment,Human resource consulting,"Human resource consulting, BPO Placement Agency, Computer support and services, Marketing agency",741123,West Bengal Circle,Kolkata Region,Nadia North Division,"Bangaljhi SO, Bagberia BO, Charatala BO",+91 78108 20561,N/A,3.9,,"Perbirhata, Bardhaman, West Bengal 713103",Perbirhata,23.2324627,87.86530739999999,ChIJvXO9Nd5J-DkR9XFf5RX-Fyw,https://www.google.com/maps/place/?q=place_id:ChIJvXO9Nd5J-DkR9XFf5RX-Fyw,part_331,2026-09-20 20:24:36
Hub Career Consultancy,HR Planning and Recruitment,Consultant,"Consultant, Employment consultant, Unemployment office",741123,West Bengal Circle,Kolkata Region,Nadia North Division,"Bangaljhi SO, Bagberia BO, Charatala BO",+91 77971 50959,https://hubcareerconsultancy.com/,4.9,,"Hub Career Consultancy, near Passport Seva Kendra, beside Head Post Office, Badamtala, Khosbagan, Bardhaman, West Bengal 713101","Badamtala, Khosbagan",23.241301,87.86737889999999,ChIJJ9XEPac3-DkRx45uFAVIGSw,https://www.google.com/maps/place/?q=place_id:ChIJJ9XEPac3-DkRx45uFAVIGSw,part_331,2026-09-20 20:24:36
Smart Human Resource Consultant,HR Planning and Recruitment,Human resource consulting,"Human resource consulting, Corporate office",741123,West Bengal Circle,Kolkata Region,Nadia North Division,"Bangaljhi SO, Bagberia BO, Charatala BO",+91 90883 79060,N/A,5.0,,"Bus Stop, Palashi St, near Kaltala, Halisahar, Majhi Para, Kanchrapara, West Bengal 743145",Halisahar,22.937616199999997,88.43485,ChIJdVY8cFGU-DkRBFgZbfLHU-c,https://www.google.com/maps/place/?q=place_id:ChIJdVY8cFGU-DkRBFgZbfLHU-c,part_331,2026-09-20 20:24:36
DREAM JOB MANAGEMENT SERVICES,HR Planning and Recruitment,Employment consultant,Employment consultant,741123,West Bengal Circle,Kolkata Region,Nadia North Division,"Bangaljhi SO, Bagberia BO, Charatala BO",+91 81454 88426,N/A,3.7,,"Kalyan Nagar Rd, Kalyannagar, Madanpur, West Bengal 741245",Kalyannagar,23.008253999999997,88.4883869,ChIJNVJ0XHfB-DkR6hiDN5i3No4,https://www.google.com/maps/place/?q=place_id:ChIJNVJ0XHfB-DkR6hiDN5i3No4,part_331,2026-09-20 20:24:36
HR Office,HR Planning and Recruitment,Community center,Community center,741123,West Bengal Circle,Kolkata Region,Nadia North Division,"Bangaljhi SO, Bagberia BO, Charatala BO",N/A,N/A,4.8,,"M4W2+42, Asansol, West Bengal 713344",741123,23.6952516,87.10007879999999,ChIJneXpSQAX9zkRLbZoV52BX7c,https://www.google.com/maps/place/?q=place_id:ChIJneXpSQAX9zkRLbZoV52BX7c,part_331,2026-09-20 20:24:36
Human Resource & Placement,HR Planning and Recruitment,Employment agency,"Employment agency, Computer consultant",741123,West Bengal Circle,Kolkata Region,Nadia North Division,"Bangaljhi SO, Bagberia BO, Charatala BO",+91 33 2454 5528,N/A,3.4,,"2/5, Sarat Bose Rd, Sreepally, Bhowanipore, Kolkata, West Bengal 700020","Sreepally, Bhowanipore",22.5394397,88.3548708,ChIJxUkuCD13AjoRTIMPPd3Gu2c,https://www.google.com/maps/place/?q=place_id:ChIJxUkuCD13AjoRTIMPPd3Gu2c,part_331,2026-09-20 20:24:36
HR Dynamix,HR Planning and Recruitment,Employment consultant,Employment consultant,741123,West Bengal Circle,Kolkata Region,Nadia North Division,"Bangaljhi SO, Bagberia BO, Charatala BO",+91 93326 67676,https://www.hrdynamix.in/,5.0,,"Nainan road, Punnya, near Indian oil petrol pump, Jagannathpur, Falta, West Bengal 743504",741123,22.2948055,88.14119769999999,ChIJEWbz8lGLAjoRjJpBsuacbQk,https://www.google.com/maps/place/?q=place_id:ChIJEWbz8lGLAjoRjJpBsuacbQk,part_331,2026-09-20 20:24:36
Dey placement Consultancy,HR Planning and Recruitment,Employment center,"Employment center, Human resource consulting",741123,West Bengal Circle,Kolkata Region,Nadia North Division,"Bangaljhi SO, Bagberia BO, Charatala BO",+91 93390 04254,N/A,1.6,,"13, Battala Bye Ln, Deshbandhu Nagar, Hindmotor, Uttarpara, Debaipukur, West Bengal 712232","Deshbandhu Nagar, Hindmotor",22.683469,88.3455091,ChIJq6qqqrmc-DkRuN5kizFpyuU,https://www.google.com/maps/place/?q=place_id:ChIJq6qqqrmc-DkRuN5kizFpyuU,part_331,2026-09-20 20:24:36
