business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
মডার্ন ক্লিনিক sahajahan sekh,Doctors,Doctor,Doctor,741137,West Bengal Circle,Kolkata Region,Nadia North Division,"Debagram SO, Akanda Danga BO, Akandaberia BO",+91 97343 89796,N/A,5.0,,"Gokul Nagar, West Bengal 741137",741137,23.673065299999998,88.2697283,ChIJ9yf4bwAN-TkRZcDWcO-6sfs,https://www.google.com/maps/place/?q=place_id:ChIJ9yf4bwAN-TkRZcDWcO-6sfs,part_331,2026-09-20 20:27:24
Pocket Dana,Doctors,Family practice physician,Family practice physician,741137,West Bengal Circle,Kolkata Region,Nadia North Division,"Debagram SO, Akanda Danga BO, Akandaberia BO",N/A,N/A,5.0,,"M8QW+36, Harnagar Barobhege, West Bengal 741137",741137,23.687631399999997,88.3454692,ChIJEf7HQgAT-TkRvWJm58CxImY,https://www.google.com/maps/place/?q=place_id:ChIJEf7HQgAT-TkRvWJm58CxImY,part_331,2026-09-20 20:27:24
JABER SK HOUSE,Doctors,Family practice physician,Family practice physician,741137,West Bengal Circle,Kolkata Region,Nadia North Division,"Debagram SO, Akanda Danga BO, Akandaberia BO",N/A,N/A,5.0,,"J79M+5RF, Majhergram, West Bengal 741137",741137,23.61823,88.284644,ChIJz_s-BgAP-TkR3mEi9OYCXVk,https://www.google.com/maps/place/?q=place_id:ChIJz_s-BgAP-TkR3mEi9OYCXVk,part_331,2026-09-20 20:27:24
Dr Gajlur Rahaman,Doctors,Doctor,Doctor,741137,West Bengal Circle,Kolkata Region,Nadia North Division,"Debagram SO, Akanda Danga BO, Akandaberia BO",+91 81010 45672,N/A,5.0,,"P875+WWG, Radhakantapur, West Bengal 741181",741137,23.714823,88.3098308,ChIJnZu_O80N-TkRRXERgwXLRTo,https://www.google.com/maps/place/?q=place_id:ChIJnZu_O80N-TkRRXERgwXLRTo,part_331,2026-09-20 20:27:24
SAHAJAHAN HEALTH CARE,Doctors,Doctor,Doctor,741137,West Bengal Circle,Kolkata Region,Nadia North Division,"Debagram SO, Akanda Danga BO, Akandaberia BO",+91 74076 38230,N/A,,,"SANTIPUR PASCHIMPARA, P.S, SHANTIPUR, Kaliganj, West Bengal 741137",P.S,23.661143499999998,88.25904589999999,ChIJCe8cgCQN-TkRPU9FFqQaCRw,https://www.google.com/maps/place/?q=place_id:ChIJCe8cgCQN-TkRPU9FFqQaCRw,part_331,2026-09-20 20:27:24
ডঃ সাহাজাহান সেখ,Doctors,Occupational medical physician,Occupational medical physician,741137,West Bengal Circle,Kolkata Region,Nadia North Division,"Debagram SO, Akanda Danga BO, Akandaberia BO",N/A,N/A,,,"M7F9+7X7, Krishnanagar, Chak Bege, West Bengal 741137",741137,23.6731579,88.2699296,ChIJj9gvLgAN-TkRtFT3DrBFPrA,https://www.google.com/maps/place/?q=place_id:ChIJj9gvLgAN-TkRtFT3DrBFPrA,part_331,2026-09-20 20:27:24
Sathi Clinic,Doctors,Doctor,Doctor,741137,West Bengal Circle,Kolkata Region,Nadia North Division,"Debagram SO, Akanda Danga BO, Akandaberia BO",+91 90029 70988,N/A,,,"Gram Panchayats, Bikrampur, Nakashipara, West Bengal 741126",741137,23.6456807,88.3408527,ChIJReNgXq4R-TkRtyv6hoYAzqw,https://www.google.com/maps/place/?q=place_id:ChIJReNgXq4R-TkRtyv6hoYAzqw,part_331,2026-09-20 20:27:24
Bappa Hazra,Doctors,Family practice physician,Family practice physician,741137,West Bengal Circle,Kolkata Region,Nadia North Division,"Debagram SO, Akanda Danga BO, Akandaberia BO",N/A,N/A,,,"M7CC+5XP, Chak Bege, West Bengal 741137",741137,23.669773,88.27194999999999,ChIJ3WYCBwAN-TkRg9vtN53nvmE,https://www.google.com/maps/place/?q=place_id:ChIJ3WYCBwAN-TkRg9vtN53nvmE,part_331,2026-09-20 20:27:24
Health Point Lab And Poli Clinic,Doctors,Doctor,Doctor,741137,West Bengal Circle,Kolkata Region,Nadia North Division,"Debagram SO, Akanda Danga BO, Akandaberia BO",+91 89420 53205,N/A,,,"Vill Debagaram, Nh 12 Po Debagaram, Ps, nearby Bus Stand, Kaliganj, West Bengal 741137",741137,23.6832793,88.3048896,ChIJqa8ZPj4N-TkR-rjCEBnlv54,https://www.google.com/maps/place/?q=place_id:ChIJqa8ZPj4N-TkR-rjCEBnlv54,part_331,2026-09-20 20:27:24
PLASSEY MEDICAL CENTER POLYCLINIC AND DIAGNOSTIC,Doctors,Doctor,"Doctor, Cardiologist, Diagnostic center, Medical Center, Gynecologist, Nephrologist, Orthopedic clinic, Physician referral service, Plastic surgeon, Psychiatrist",741137,West Bengal Circle,Kolkata Region,Nadia North Division,"Debagram SO, Akanda Danga BO, Akandaberia BO",+91 81165 77284,N/A,5.0,14.0,"opposite of markaj masjid, near union Bank of India, Mira Bazar, Plassey, West Bengal 741156",Mira Bazar,23.7740625,88.2838125,ChIJh-IgXwBz-TkRNzg6bBGXbgI,https://www.google.com/maps/place/?q=place_id:ChIJh-IgXwBz-TkRNzg6bBGXbgI,part_331,2026-09-20 20:27:24
Dr. Surojit Banerjee | Best Consultant Physician in Katwa | Biswas Pharmacy in West Bengal,Doctors,Internal medicine ward,Internal medicine ward,741137,West Bengal Circle,Kolkata Region,Nadia North Division,"Debagram SO, Akanda Danga BO, Akandaberia BO",+91 83358 01003,N/A,5.0,21.0,"Biswas Pharmacy Kachari Road, Station Rd, near Chowrasta More, Katwa, West Bengal 713130",741137,23.643836099999998,88.12681359999999,ChIJ5-pz_26n-TkRg2r_C4wqE9A,https://www.google.com/maps/place/?q=place_id:ChIJ5-pz_26n-TkRg2r_C4wqE9A,part_331,2026-09-20 20:27:24
BRIKKO IMAGING & DIAGNOSTIC CLINIC,Doctors,Urology clinic,Urology clinic,741137,West Bengal Circle,Kolkata Region,Nadia North Division,"Debagram SO, Akanda Danga BO, Akandaberia BO",+91 96147 70400,N/A,5.0,11.0,"Mira Bazar, Plassey, West Bengal 741156","Mira Bazar, Plassey",23.775820799999998,88.2818049,ChIJhcZ7X69z-TkRt9UKo8BF8cM,https://www.google.com/maps/place/?q=place_id:ChIJhcZ7X69z-TkRt9UKo8BF8cM,part_331,2026-09-20 20:27:24
Noor Homoeopathic Clinic Dr Arif Shaikh,Doctors,Doctor,Doctor,741137,West Bengal Circle,Kolkata Region,Nadia North Division,"Debagram SO, Akanda Danga BO, Akandaberia BO",N/A,N/A,5.0,1.0,"Q7GP+5G4, Palasi, Plassey, West Bengal 741156",741137,23.775390599999998,88.28634339999999,ChIJywC5WwBz-TkR9VNTxBChFEA,https://www.google.com/maps/place/?q=place_id:ChIJywC5WwBz-TkR9VNTxBChFEA,part_331,2026-09-20 20:27:24
Dr. Ranadip Halder,Doctors,Orthopedic surgeon,Orthopedic surgeon,741137,West Bengal Circle,Kolkata Region,Nadia North Division,"Debagram SO, Akanda Danga BO, Akandaberia BO",+91 90078 67179,N/A,4.7,59.0,"J4WH+23V, 56, Kachari Road, Sanhati Pally, Katwa, West Bengal 713130",Sanhati Pally,23.6449815,88.127691,ChIJNXBeobOn-TkRdgps99ddvU8,https://www.google.com/maps/place/?q=place_id:ChIJNXBeobOn-TkRdgps99ddvU8,part_331,2026-09-20 20:27:24
বকুল ক্লিনিক,Doctors,Occupational medical physician,Occupational medical physician,741137,West Bengal Circle,Kolkata Region,Nadia North Division,"Debagram SO, Akanda Danga BO, Akandaberia BO",N/A,N/A,5.0,1.0,"Q89H+2JJ, Bara Chandghar, West Bengal 741156",741137,23.7675897,88.32901489999999,ChIJj218ELFt-TkRjzTxUetAob8,https://www.google.com/maps/place/?q=place_id:ChIJj218ELFt-TkRjzTxUetAob8,part_331,2026-09-20 20:27:24
