business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
KFC,Restaurant Chains,Restaurant,"Restaurant, Chicken restaurant, Fast food restaurant, Fried chicken takeaway, Non Vegetarian Restaurant",741138,West Bengal Circle,Kolkata Region,Nadia North Division,"Dharmada SO, Billwagram BO, Kandoa BO",+91 79 4272 5814,https://restaurants.kfc.co.in/kfc-gariahat-restaurants-gariahat-kolkata-34971/Home?utm_source=locator&utm_medium=googleplaces,4.2,2487.0,"Hindustan Park, No 26 A, near Reliance Digital, (east, Gariahat, Kolkata, West Bengal 700019",Gariahat,23.5189961,88.36505989999999,ChIJC55b_NR2AjoROWGuLfd4Eyg,https://www.google.com/maps/place/?q=place_id:ChIJC55b_NR2AjoROWGuLfd4Eyg,part_331,2026-09-20 20:27:57
Kasturi Restaurant,Restaurant Chains,Bengali restaurant,Bengali restaurant,741138,West Bengal Circle,Kolkata Region,Nadia North Division,"Dharmada SO, Billwagram BO, Kandoa BO",+91 97487 45980,https://kasturirestaurant.in/,4.5,,"10/5, Principal Khudiram Bose Rd, Sovabazar, Hati Bagan, Kolkata, West Bengal 700006","Sovabazar, Hati Bagan",22.5941065,88.37187999999999,ChIJ2SLQ6vV3AjoREzSM6pMiQlQ,https://www.google.com/maps/place/?q=place_id:ChIJ2SLQ6vV3AjoREzSM6pMiQlQ,part_331,2026-09-20 20:27:58
Zillion - Cafè & Lounge,Restaurant Chains,Vegetarian restaurant,"Vegetarian restaurant, Cafe, Restaurant, Vegetarian cafe and deli",741138,West Bengal Circle,Kolkata Region,Nadia North Division,"Dharmada SO, Billwagram BO, Kandoa BO",+91 90519 99045,http://www.instagram.com/zillioncafe_lounge,4.7,,"1st Floor, AD 76, 1st Ave Rd, AD Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064","AD Block, Sector 1, Bidhannagar",22.5951283,88.4055515,ChIJv8WjFAB1AjoReaPb5CM3k8I,https://www.google.com/maps/place/?q=place_id:ChIJv8WjFAB1AjoReaPb5CM3k8I,part_331,2026-09-20 20:27:58
Pepper Town,Restaurant Chains,Restaurant,"Restaurant, Asian restaurant, Continental restaurant, Indian restaurant",741138,West Bengal Circle,Kolkata Region,Nadia North Division,"Dharmada SO, Billwagram BO, Kandoa BO",+91 98305 70165,http://peppertown.dotpe.in/,4.4,,"AB-7, Salt Lake Rd, AB Block, Sector 1, Bidhannagar, West Bengal 700064","AB Block, Sector 1, Bidhannagar",22.5927634,88.4015855,ChIJR8A9e0h1AjoRqiycnuFJuEY,https://www.google.com/maps/place/?q=place_id:ChIJR8A9e0h1AjoRqiycnuFJuEY,part_331,2026-09-20 20:27:58
RR Cafe,Restaurant Chains,Bengali restaurant,"Bengali restaurant, Cafe, Coffee shop",741138,West Bengal Circle,Kolkata Region,Nadia North Division,"Dharmada SO, Billwagram BO, Kandoa BO",+91 62895 07916,http://www.rrcafe.in/,4.4,,"528/II/3, GT Rd, P.O, Serampore, Hooghly, West Bengal 712201","P.O, Serampore",22.744227499999997,88.34999599999999,ChIJOfvkiCeb-DkRXHUEZ1nK6ho,https://www.google.com/maps/place/?q=place_id:ChIJOfvkiCeb-DkRXHUEZ1nK6ho,part_331,2026-09-20 20:27:58
Swadhin Bharat Hindu Hotel,Restaurant Chains,Bengali restaurant,Bengali restaurant,741138,West Bengal Circle,Kolkata Region,Nadia North Division,"Dharmada SO, Billwagram BO, Kandoa BO",+91 93483 13093,N/A,4.1,,"8/2, Bhawani Dutta Ln, below Raja Guest House, Calcutta University, College Square, Kolkata, West Bengal 700073","Calcutta University, College Square",22.5773929,88.36235719999999,ChIJ4XSYVk12AjoR7TsTiVDwfy8,https://www.google.com/maps/place/?q=place_id:ChIJ4XSYVk12AjoR7TsTiVDwfy8,part_331,2026-09-20 20:27:58
Shyamer Hotel,Restaurant Chains,Bengali restaurant,Bengali restaurant,741138,West Bengal Circle,Kolkata Region,Nadia North Division,"Dharmada SO, Billwagram BO, Kandoa BO",+91 86974 20835,N/A,4.1,,"H855+GC9, College Rd, Botanical Garden Area, Howrah, West Bengal 711103",Botanical Garden Area,22.5587788,88.308607,ChIJKaRO7ct5AjoRDW_pudRHd80,https://www.google.com/maps/place/?q=place_id:ChIJKaRO7ct5AjoRDW_pudRHd80,part_331,2026-09-20 20:27:58
New Labong Cafe and Steakhouse,Restaurant Chains,Steak house,"Steak house, American restaurant, Bakery and Cake Shop, Cafe, Continental restaurant, Dessert shop, Family restaurant, Non Vegetarian Restaurant, Restaurant, Seafood restaurant",741138,West Bengal Circle,Kolkata Region,Nadia North Division,"Dharmada SO, Billwagram BO, Kandoa BO",+91 87900 74931,https://newlabongcafeandsteakhouse.batao.ai/,4.5,,"BA 152, BA Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064","BA Block, Sector 1, Bidhannagar",22.589724999999998,88.399536,ChIJ44uuIQd3AjoRKv24kXJm6KQ,https://www.google.com/maps/place/?q=place_id:ChIJ44uuIQd3AjoRKv24kXJm6KQ,part_331,2026-09-20 20:27:58
Bhuribhoj,Restaurant Chains,Bengali restaurant,Bengali restaurant,741138,West Bengal Circle,Kolkata Region,Nadia North Division,"Dharmada SO, Billwagram BO, Kandoa BO",+91 98302 63807,N/A,4.2,,"1/9, Andul Rd, Naora, Shibpur, Howrah, West Bengal 711103","Naora, Shibpur",22.565562399999997,88.31254849999999,ChIJVeJJ7jJ4AjoRJDSo0plsnTQ,https://www.google.com/maps/place/?q=place_id:ChIJVeJJ7jJ4AjoRJDSo0plsnTQ,part_331,2026-09-20 20:27:58
Gondhoraj - Flavours of Bengal,Restaurant Chains,Bengali restaurant,Bengali restaurant,741138,West Bengal Circle,Kolkata Region,Nadia North Division,"Dharmada SO, Billwagram BO, Kandoa BO",+91 98363 62250,N/A,4.5,,"PLOT 34, Salt Lake Rd, DC Block, Sector 1, Bidhannagar, Kolkata, West Bengal 700064","DC Block, Sector 1, Bidhannagar",22.5890921,88.4082612,ChIJm3hbaQB1AjoReaFX_awfGHM,https://www.google.com/maps/place/?q=place_id:ChIJm3hbaQB1AjoReaFX_awfGHM,part_331,2026-09-20 20:27:58
