business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BANKURA CAB SERVICE JOYGURU TRAVELS,Taxi Service and Car Rental,Car leasing service,Car leasing service,741139,West Bengal Circle,Kolkata Region,Nadia North Division,Dhubulia SO,+91 70184 71220,https://www.facebook.com/profile.php?id=100089807322526&mibextid=ZbWKwL,4.9,,"near by jeeban suraksha hospital, Katjuridanga, Bankura, Asna, West Bengal 722102",Katjuridanga,23.2500359,87.0311151,ChIJQd-Tn2Gv9zkRXH8GbSFFNYk,https://www.google.com/maps/place/?q=place_id:ChIJQd-Tn2Gv9zkRXH8GbSFFNYk,part_331,2026-09-20 20:28:43
Paban cab service,Taxi Service and Car Rental,Taxi service,Taxi service,741139,West Bengal Circle,Kolkata Region,Nadia North Division,Dhubulia SO,N/A,N/A,5.0,,"49/16 dr b c roy sarani, Bakultala Ln, kamarpara, Bansberia, West Bengal 712502","kamarpara, Bansberia",22.9503803,88.40393949999999,ChIJp0iKFACV-DkRxJ1hyl03NJ8,https://www.google.com/maps/place/?q=place_id:ChIJp0iKFACV-DkRxJ1hyl03NJ8,part_331,2026-09-20 20:28:43
Durgapur cab service,Taxi Service and Car Rental,Taxi service,"Taxi service, Airport Shuttle Service Provider, Bus tour agency, Car leasing service, Car rental agency, Handicapped transportation service, Minibus taxi service, Sightseeing Tour Operator, Tour operator, Transportation service",741139,West Bengal Circle,Kolkata Region,Nadia North Division,Dhubulia SO,+91 97333 33000,http://www.durgapurcabservice.com/,4.6,,"3/19, Bengal Ambuja St, Bengal Ambuja Housing Complex, City Center, Durgapur, West Bengal 713216","Bengal Ambuja Housing Complex, City Center",23.537582099999998,87.3031731,ChIJY_GnfQ9y9zkRN9241nNoiKY,https://www.google.com/maps/place/?q=place_id:ChIJY_GnfQ9y9zkRN9241nNoiKY,part_331,2026-09-20 20:28:43
Taxi 24x7 Kumarghat,Taxi Service and Car Rental,Taxi service,"Taxi service, Car leasing service, Leasing service, Tour operator, Travel agency",741139,West Bengal Circle,Kolkata Region,Nadia North Division,Dhubulia SO,+91 87874 63727,N/A,4.8,,"Pabiacherra, Kumarghat, Tripura 799264",Pabiacherra,24.1632608,92.0379059,ChIJ_T8HybuJUTcR4SLhzYcD63M,https://www.google.com/maps/place/?q=place_id:ChIJ_T8HybuJUTcR4SLhzYcD63M,part_331,2026-09-20 20:28:44
Cab X,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Service establishment",741139,West Bengal Circle,Kolkata Region,Nadia North Division,Dhubulia SO,+91 89458 35051,N/A,5.0,,"Cab X, 741139, India",741139,21.7613764,88.1452722,ChIJXavbSpAPAzoRRbzl7lUKQqM,https://www.google.com/maps/place/?q=place_id:ChIJXavbSpAPAzoRRbzl7lUKQqM,part_331,2026-09-20 20:28:44
Island Cab Services,Taxi Service and Car Rental,Taxi service,"Taxi service, Cruise agency, Travel agency",741139,West Bengal Circle,Kolkata Region,Nadia North Division,Dhubulia SO,+91 94342 90852,https://islandcabservices.com/,4.9,,"Island Transport & Ticketing Agency Beodnabad, Chidiyatapu Road, NH 4, near Army Gate Beodnabad, Kamaraj Nagar, Sri Vijaya Puram, Andaman and Nicobar Islands 744105",Kamaraj Nagar,11.594739599999999,92.7262947,ChIJqyyXkUKUiDARrlXYwk1Pr9s,https://www.google.com/maps/place/?q=place_id:ChIJqyyXkUKUiDARrlXYwk1Pr9s,part_331,2026-09-20 20:28:44
Lakshmi Emergency Service,Taxi Service and Car Rental,Taxi service,Taxi service,741139,West Bengal Circle,Kolkata Region,Nadia North Division,Dhubulia SO,+91 70018 26069,N/A,5.0,,"pairagacha Prathamik Vidyalaya, Pairagacha,Janai,Hooghly, Pairagacha, Janai, West Bengal 712304",Pairagacha,22.7110149,88.25221429999999,ChIJgZ1VkeSF-DkRJdVKNNv2ckU,https://www.google.com/maps/place/?q=place_id:ChIJgZ1VkeSF-DkRJdVKNNv2ckU,part_331,2026-09-20 20:28:45
GaadiCab,Taxi Service and Car Rental,Car rental agency,Car rental agency,741139,West Bengal Circle,Kolkata Region,Nadia North Division,Dhubulia SO,+91 96657 03666,https://www.gaadicab.com/,3.1,,"Moriya Colony, 97/2/1, Alphonsa School Rd, Vaibhav Colony, Kalewadi, Pune, Pimpri-Chinchwad, Maharashtra 411017","Vaibhav Colony, Kalewadi",18.6196345,73.7915802,ChIJTctRqau5wjsRl0Ah7K7eIAg,https://www.google.com/maps/place/?q=place_id:ChIJTctRqau5wjsRl0Ah7K7eIAg,part_331,2026-09-20 20:28:45
Barrackpore Dunlop,Taxi Service and Car Rental,Taxi service,Taxi service,741139,West Bengal Circle,Kolkata Region,Nadia North Division,Dhubulia SO,N/A,N/A,5.0,,"Bash Bagan, Palta, Kolkata, Barrackpore, West Bengal 700120","Bash Bagan, Palta",22.7620726,88.3655919,ChIJd1q3LRKb-DkRSlVbB43Qa14,https://www.google.com/maps/place/?q=place_id:ChIJd1q3LRKb-DkRSlVbB43Qa14,part_331,2026-09-20 20:28:45
Bally Khal Taxi Stand,Taxi Service and Car Rental,Taxi stand,Taxi stand,741139,West Bengal Circle,Kolkata Region,Nadia North Division,Dhubulia SO,N/A,N/A,3.6,142.0,"4, GT Rd, Bally Khal, Howrah, West Bengal 711201",Bally Khal,22.6539096,88.34778299999999,ChIJMUTepB6d-DkR0jLz9ltDKOk,https://www.google.com/maps/place/?q=place_id:ChIJMUTepB6d-DkR0jLz9ltDKOk,part_331,2026-09-20 20:28:45
Purulia Ajodhya Hills Car Rentals,Taxi Service and Car Rental,Car rental agency,"Car rental agency, Car leasing service",741139,West Bengal Circle,Kolkata Region,Nadia North Division,Dhubulia SO,+91 79085 13863,N/A,4.5,52.0,"Ward no. 3, Purulia Municipality, N Lake Rd, beside ncc office, Purulia, West Bengal 723149",741139,23.3456224,86.35545379999999,ChIJn--7H26H9jkRgsL7K_inThE,https://www.google.com/maps/place/?q=place_id:ChIJn--7H26H9jkRgsL7K_inThE,part_331,2026-09-20 20:28:45
"SBPS. Car Rentals, Purulia.",Taxi Service and Car Rental,Car leasing service,"Car leasing service, Bus tour agency, Car rental agency, Chauffeur service, Carpooling location, Rental car return location, Taxi service, Tour agency, Tour operator, Travel agency",741139,West Bengal Circle,Kolkata Region,Nadia North Division,Dhubulia SO,+91 70039 40634,N/A,4.8,332.0,"SC Sen Rd, Purulia, West Bengal 723103",741139,23.3264432,86.3708175,ChIJgXtADdF99jkRqMMmcx8Wfcs,https://www.google.com/maps/place/?q=place_id:ChIJgXtADdF99jkRqMMmcx8Wfcs,part_331,2026-09-20 20:28:45
Aakash wagon,Taxi Service and Car Rental,Taxi service,Taxi service,741139,West Bengal Circle,Kolkata Region,Nadia North Division,Dhubulia SO,N/A,N/A,5.0,12.0,"Apurbapurb, Para, Singur, West Bengal 712409","Para, Singur",22.8061243,88.23044809999999,ChIJ4faniNyJ-DkRZaABNHsyKsU,https://www.google.com/maps/place/?q=place_id:ChIJ4faniNyJ-DkRZaABNHsyKsU,part_331,2026-09-20 20:28:45
