business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Arbaz Cafe,Cafe and Coffee Shop,Coffee shop,Coffee shop,741150,West Bengal Circle,Kolkata Region,Nadia North Division,"Kaliganj SO, Bara Kul Beria BO, Basarkhola BO",+91 96092 85242,N/A,4.6,,"Q4H3+WCF, Salar, West Bengal 742401",741150,23.779811499999997,88.10353549999999,ChIJNwEjntef-TkR6yBEPuQZIB8,https://www.google.com/maps/place/?q=place_id:ChIJNwEjntef-TkR6yBEPuQZIB8,part_331,2026-09-20 20:29:48
Rio's Cafe,Cafe and Coffee Shop,Cafe,Cafe,741150,West Bengal Circle,Kolkata Region,Nadia North Division,"Kaliganj SO, Bara Kul Beria BO, Basarkhola BO",N/A,N/A,4.8,,"Baidyapur More, SH6, Kalna, West Bengal 713409",741150,23.2165532,88.3529547,ChIJAW7oaZnl-DkR9FADokKpVAI,https://www.google.com/maps/place/?q=place_id:ChIJAW7oaZnl-DkR9FADokKpVAI,part_331,2026-09-20 20:29:48
Natu Tea Shop,Cafe and Coffee Shop,Coffee shop,"Coffee shop, Cafe",741150,West Bengal Circle,Kolkata Region,Nadia North Division,"Kaliganj SO, Bara Kul Beria BO, Basarkhola BO",+91 91531 78329,N/A,3.9,,"Q7GF+9PC, Plassey - Kaliganj Rd, Plassey, Mira, West Bengal 741157",741150,23.775931,88.274266,ChIJKd8QPz1z-TkRuvEXYoBR4zo,https://www.google.com/maps/place/?q=place_id:ChIJKd8QPz1z-TkRuvEXYoBR4zo,part_331,2026-09-20 20:29:48
Tarama Tea Stall,Cafe and Coffee Shop,Coffee shop,Coffee shop,741150,West Bengal Circle,Kolkata Region,Nadia North Division,"Kaliganj SO, Bara Kul Beria BO, Basarkhola BO",+91 96093 38995,N/A,,,"Vill Kaliganj Hospital Po, Nearby Hospital, Ps, Kaliganj, West Bengal 741150",741150,23.7254178,88.2340677,ChIJ501o3cgL-TkRRUvcXgyFTe0,https://www.google.com/maps/place/?q=place_id:ChIJ501o3cgL-TkRRUvcXgyFTe0,part_331,2026-09-20 20:29:48
Mougram Coffee House,Cafe and Coffee Shop,Coffee shop,Coffee shop,741150,West Bengal Circle,Kolkata Region,Nadia North Division,"Kaliganj SO, Bara Kul Beria BO, Basarkhola BO",N/A,N/A,4.2,,"P5R6+47, Maugram, West Bengal 713123",741150,23.7403214,88.16064899999999,ChIJN4V7C26h-TkR58nWg9zGoLI,https://www.google.com/maps/place/?q=place_id:ChIJN4V7C26h-TkR58nWg9zGoLI,part_331,2026-09-20 20:29:48
Mamta restaurant and cafe,Cafe and Coffee Shop,Restaurant,"Restaurant, Chicken restaurant, Indian restaurant, Indian sizzler restaurant",741150,West Bengal Circle,Kolkata Region,Nadia North Division,"Kaliganj SO, Bara Kul Beria BO, Basarkhola BO",+91 99328 15867,N/A,4.5,,"Kandi-Katwa Rd, Kagram, West Bengal 742401",741150,23.7622344,88.1314981,ChIJb4K_iU2f-TkRNO1TEIp5_C4,https://www.google.com/maps/place/?q=place_id:ChIJb4K_iU2f-TkRNO1TEIp5_C4,part_331,2026-09-20 20:29:49
Just Chill,Cafe and Coffee Shop,Cafe,Cafe,741150,West Bengal Circle,Kolkata Region,Nadia North Division,"Kaliganj SO, Bara Kul Beria BO, Basarkhola BO",+91 98311 17807,N/A,4.9,11.0,"shivtala, Dhulagori, Howrah, Dhulagari, West Bengal 711302","shivtala, Dhulagori",22.5865935,88.1816355,ChIJ042iJwB_AjoR4kKBgR0YGWA,https://www.google.com/maps/place/?q=place_id:ChIJ042iJwB_AjoR4kKBgR0YGWA,part_331,2026-09-20 20:29:49
Cafe Destino,Cafe and Coffee Shop,Restaurant,Restaurant,741150,West Bengal Circle,Kolkata Region,Nadia North Division,"Kaliganj SO, Bara Kul Beria BO, Basarkhola BO",+91 91636 28367,https://www.facebook.com/profile.php?id=61556327942093&mibextid=ZbWKwL,4.8,171.0,"Ward No. 4, 275/276, Ashutosh Mukherjee Rd, New Barrackpur, Kolkata, West Bengal 700131",New Barrackpur,22.6905094,88.4480507,ChIJy7TVX6Cf-DkRmF-240eZFlU,https://www.google.com/maps/place/?q=place_id:ChIJy7TVX6Cf-DkRmF-240eZFlU,part_331,2026-09-20 20:29:49
Down to Earth Cafe & Diner,Cafe and Coffee Shop,Cafe,Cafe,741150,West Bengal Circle,Kolkata Region,Nadia North Division,"Kaliganj SO, Bara Kul Beria BO, Basarkhola BO",+91 98363 95209,N/A,4.1,379.0,"Budge Budge Trunk Rd, Santoshpur Govt Colony, Block-A, Santoshpur, Maheshtala, West Bengal 700142","Santoshpur Govt Colony, Block-A, Santoshpur",22.5138134,88.2739785,ChIJjb-eh4t7AjoRUIG-Z6qBt3E,https://www.google.com/maps/place/?q=place_id:ChIJjb-eh4t7AjoRUIG-Z6qBt3E,part_331,2026-09-20 20:29:49
Nature's Café,Cafe and Coffee Shop,Cafe,Cafe,741150,West Bengal Circle,Kolkata Region,Nadia North Division,"Kaliganj SO, Bara Kul Beria BO, Basarkhola BO",+91 91238 40669,N/A,4.4,601.0,"At, Near Eco Park Gate No.-6, Harinalaya, AA II, Newtown, Kolkata, West Bengal 700161","AA II, Newtown",22.6082593,88.4614531,ChIJGQUOZOh1AjoReaXwS8viyMM,https://www.google.com/maps/place/?q=place_id:ChIJGQUOZOh1AjoReaXwS8viyMM,part_331,2026-09-20 20:29:49
