business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Minarul Parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,741152,West Bengal Circle,Kolkata Region,Nadia North Division,"Karimpur SO, Bajitpur BO, Baliadanga BO",+91 78722 67240,N/A,1.0,,"Vill Thanarpara Po Thanarpara Ps Thanarpara Dis, Ps, nearby Thanarpara, West Bengal 741152",741152,23.9489573,88.543652,ChIJVyxaSMtd-TkRHbLv9UEdeoY,https://www.google.com/maps/place/?q=place_id:ChIJVyxaSMtd-TkRHbLv9UEdeoY,part_331,2026-09-20 20:31:10
Mondal Automobile Spare Parts,Auto Spare Parts Shop,Auto parts store,Auto parts store,741152,West Bengal Circle,Kolkata Region,Nadia North Division,"Karimpur SO, Bajitpur BO, Baliadanga BO",+91 96092 41233,N/A,,,"Hospital, Dangapara, Nazirpur, West Bengal 741165",741152,23.8643343,88.537773,ChIJx5N-p79D-TkRPcp0bRy-qeY,https://www.google.com/maps/place/?q=place_id:ChIJx5N-p79D-TkRPcp0bRy-qeY,part_331,2026-09-20 20:31:10
R.R AUTO DISTRIBUTOR,Auto Spare Parts Shop,Auto parts store,Auto parts store,741152,West Bengal Circle,Kolkata Region,Nadia North Division,"Karimpur SO, Bajitpur BO, Baliadanga BO",N/A,N/A,5.0,,"Kanainagar Ghat Rd, Tehatta, Nazirpur, West Bengal 741165",741152,23.868030899999997,88.53287979999999,ChIJ87lFZK1D-TkRLpJKV93RYjs,https://www.google.com/maps/place/?q=place_id:ChIJ87lFZK1D-TkRLpJKV93RYjs,part_331,2026-09-20 20:31:10
MARIYA ENTERPRISES,Auto Spare Parts Shop,Auto parts store,Auto parts store,741152,West Bengal Circle,Kolkata Region,Nadia North Division,"Karimpur SO, Bajitpur BO, Baliadanga BO",+91 86370 54053,N/A,3.0,,"Bagdanga, Madhurkul, Domkal road, Bagdanga, West Bengal 742406",741152,24.033882,88.5399707,ChIJHe8r-41d-TkRxP1kC3r0sFE,https://www.google.com/maps/place/?q=place_id:ChIJHe8r-41d-TkRxP1kC3r0sFE,part_331,2026-09-20 20:31:10
MONDAL AUTO CENTER,Auto Spare Parts Shop,Auto parts store,Auto parts store,741152,West Bengal Circle,Kolkata Region,Nadia North Division,"Karimpur SO, Bajitpur BO, Baliadanga BO",+91 62948 01075,N/A,5.0,,"Mor, Bagdanga, Madhurkul, West Bengal 742406",741152,24.036250499999998,88.54095699999999,ChIJ-eKN7s5d-TkRj3LcFkB-H38,https://www.google.com/maps/place/?q=place_id:ChIJ-eKN7s5d-TkRj3LcFkB-H38,part_331,2026-09-20 20:31:10
Kabira Enterprise,Auto Spare Parts Shop,Auto parts store,Auto parts store,741152,West Bengal Circle,Kolkata Region,Nadia North Division,"Karimpur SO, Bajitpur BO, Baliadanga BO",+91 97356 57680,N/A,4.3,,"Vill- Chak Ambarpur, P.O- Madhurkul, P.S- Domkal, Dist- Murshidabad, West Bengal 742406",741152,24.046146699999998,88.5601855,ChIJez6K3Yhd-TkRsJSyzasngoc,https://www.google.com/maps/place/?q=place_id:ChIJez6K3Yhd-TkRsJSyzasngoc,part_331,2026-09-20 20:31:10
Rajibul Islam Ato Partas,Auto Spare Parts Shop,Auto parts store,Auto parts store,741152,West Bengal Circle,Kolkata Region,Nadia North Division,"Karimpur SO, Bajitpur BO, Baliadanga BO",+91 91448 32907,N/A,,,"Rajibul Auto Parts, Hat Para, Bagdanga, West Bengal 742406",Hat Para,24.0339887,88.5393048,ChIJ40X-LC9d-TkR4AH236_JHZQ,https://www.google.com/maps/place/?q=place_id:ChIJ40X-LC9d-TkR4AH236_JHZQ,part_331,2026-09-20 20:31:10
KAZI MOTOR PARTS,Auto Spare Parts Shop,Auto parts store,Auto parts store,741152,West Bengal Circle,Kolkata Region,Nadia North Division,"Karimpur SO, Bajitpur BO, Baliadanga BO",+91 84366 83001,N/A,5.0,,"Domkal Kuthi, Domkal Kuthi More, West Bengal 742303",741152,24.1248862,88.53659309999999,ChIJcVCtWuFf-TkRXVFSh1RMGqc,https://www.google.com/maps/place/?q=place_id:ChIJcVCtWuFf-TkRXVFSh1RMGqc,part_331,2026-09-20 20:31:10
Chiranjit Ato,Auto Spare Parts Shop,Auto parts store,Auto parts store,741152,West Bengal Circle,Kolkata Region,Nadia North Division,"Karimpur SO, Bajitpur BO, Baliadanga BO",N/A,N/A,,,"VHJW+79C, Nandanpur, West Bengal 741165",741152,23.8807004,88.5958835,ChIJq8qQegBF-TkRh5sCgpyYCc0,https://www.google.com/maps/place/?q=place_id:ChIJq8qQegBF-TkRh5sCgpyYCc0,part_331,2026-09-20 20:31:10
R TELECOM,Auto Spare Parts Shop,Auto parts store,"Auto parts store, Mobile phone repair shop",741152,West Bengal Circle,Kolkata Region,Nadia North Division,"Karimpur SO, Bajitpur BO, Baliadanga BO",+91 96098 88469,N/A,2.3,3.0,"3FHW+FQG, Vill-Fatepur, P.O-bhagirathpur, P. S-domkal, Dist-murshifabad, Pin742406, To, Shinnagar Main Road, Fatepur, West Bengal 742406",741152,24.0786911,88.4969721,ChIJp8fyCMdf-TkRryzs3EXu1NU,https://www.google.com/maps/place/?q=place_id:ChIJp8fyCMdf-TkRryzs3EXu1NU,part_331,2026-09-20 20:31:11
Rokib Enterprises,Auto Spare Parts Shop,Auto parts store,Auto parts store,741152,West Bengal Circle,Kolkata Region,Nadia North Division,"Karimpur SO, Bajitpur BO, Baliadanga BO",+91 79089 12885,N/A,,,"Rokib Enterprises Bagdanga, Domkal - Jitpur RD Near Bagdanga Hat, West Bengal 742406",741152,24.0340979,88.5397017,ChIJ3aQySSld-TkRUGhYwd9CAww,https://www.google.com/maps/place/?q=place_id:ChIJ3aQySSld-TkRUGhYwd9CAww,part_331,2026-09-20 20:31:11
Singha Enterprise,Auto Spare Parts Shop,Motorcycle parts store,Motorcycle parts store,741152,West Bengal Circle,Kolkata Region,Nadia North Division,"Karimpur SO, Bajitpur BO, Baliadanga BO",N/A,N/A,4.4,12.0,"37P9+64X, Raninagar, Chuapur, Berhampore, West Bengal 742102","Raninagar, Chuapur",24.085604399999998,88.2678554,ChIJH7HVL2R9-TkRuGoOlY0cMXA,https://www.google.com/maps/place/?q=place_id:ChIJH7HVL2R9-TkRuGoOlY0cMXA,part_331,2026-09-20 20:31:12
