business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Trisha Enterprise,General Store,General store,General store,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 93309 79554,N/A,4.7,,"Kalyani, near AIIMS Kalyani Road, AIIMS, Basantapur, West Bengal 741245",AIIMS,22.968481399999998,88.5259604,ChIJtTe4chO_-DkRPyp6NWUw_mk,https://www.google.com/maps/place/?q=place_id:ChIJtTe4chO_-DkRPyp6NWUw_mk,part_332,2026-09-20 20:17:29,297
LOKNATH ATTA KAL,General Store,General store,General store,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 99329 89852,N/A,5.0,,"LOKNATH ATA CAL Kalyani More To, More, near BSF CAMP, Barajaguli, West Bengal 741249",741246,22.9599104,88.5450652,ChIJ0dOdNje_-DkRL0hpFT86Z1E,https://www.google.com/maps/place/?q=place_id:ChIJ0dOdNje_-DkRL0hpFT86Z1E,part_332,2026-09-20 20:17:29,298
Sing Store,General Store,General store,General store,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 75700 27014,N/A,,,"Kalyani IISER Gate, near IISER Gate Kalyani Iiser, Haringhata Farm, West Bengal 741246",741246,22.9675363,88.53229639999999,ChIJ57r4xMS_-DkR7mtnMqynUk8,https://www.google.com/maps/place/?q=place_id:ChIJ57r4xMS_-DkR7mtnMqynUk8,part_332,2026-09-20 20:17:29,299
Maa kamakha store,General Store,General store,General store,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 80131 88387,N/A,4.7,,"Gayeshpur, West Bengal 741234",741246,22.958539899999998,88.49902139999999,ChIJB5PP7FO_-DkR0XVCiQTqGIk,https://www.google.com/maps/place/?q=place_id:ChIJB5PP7FO_-DkR0XVCiQTqGIk,part_332,2026-09-20 20:17:29,300
New Nirmal Store,General Store,General store,General store,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 81670 53939,N/A,4.5,,"Nirmal Majumder House, NH12, West Service Road, Barajaguli, Dighapara, West Bengal 741221",741246,22.94452,88.5439531,ChIJY_t0Tam_-DkRea71SCMNcmY,https://www.google.com/maps/place/?q=place_id:ChIJY_t0Tam_-DkRea71SCMNcmY,part_332,2026-09-20 20:17:29,301
Taniya Enterprises,General Store,General store,General store,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 99339 59043,N/A,3.0,,"NA 6no Word Kalyani More B S F Camp, West Bengal 741246",741246,22.9679401,88.54459849999999,ChIJvZbY7ja_-DkRHXGVLE9_jRg,https://www.google.com/maps/place/?q=place_id:ChIJvZbY7ja_-DkRHXGVLE9_jRg,part_332,2026-09-20 20:17:29,302
Haringhata Meat Shop,General Store,General store,"General store, Chicken shop",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 98514 01024,N/A,4.3,,"NA Haringhata Bazar Haringhata Bazar ,Shri Krishna Market, Haringhata, West Bengal 741249",741246,22.959391699999998,88.5691236,ChIJtQfqA2q5-DkRsOezg3VfXUw,https://www.google.com/maps/place/?q=place_id:ChIJtQfqA2q5-DkRsOezg3VfXUw,part_332,2026-09-20 20:17:29,303
Meghomee Superstore,General Store,Grocery store,Grocery store,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,4.4,,"A, 10/4, A 10, Block A10, Block A, Kalyani, West Bengal 741235","A 10, Block A10, Block A",22.965024099999997,88.4619499,ChIJzzzHdmuV-DkRqjVbuUUwm1M,https://www.google.com/maps/place/?q=place_id:ChIJzzzHdmuV-DkRqjVbuUUwm1M,part_332,2026-09-20 20:17:29,304
Raju's Grocery Shop,General Store,Indian grocery store,Indian grocery store,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 86172 52757,N/A,4.3,,"XFJM+8XX, Nabagram, kalyani, Kulia P, West Bengal 741245",741246,22.980871699999998,88.4849916,ChIJRzpQueS_-DkR37LdYDFgaWc,https://www.google.com/maps/place/?q=place_id:ChIJRzpQueS_-DkR37LdYDFgaWc,part_332,2026-09-20 20:17:29,305
Biswas Bhander,General Store,General store,General store,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 87681 90861,N/A,5.0,,"High School, Panpur, Road, near Panpur, Basantapur, Haringhata, West Bengal 741249",741246,22.9935175,88.58084149999999,ChIJqQ-NTyW5-DkRNF5W1P0FzGA,https://www.google.com/maps/place/?q=place_id:ChIJqQ-NTyW5-DkRNF5W1P0FzGA,part_332,2026-09-20 20:17:29,306
