business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sharanaya Boutique,Luxury Clothing Shops,Clothing store,Clothing store,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 70448 08019,http://www.sharanayaboutique.in/,4.8,,"B-6/158, B6, Block B, Kalyani, West Bengal 741235","B6, Block B",22.9745433,88.4324986,ChIJX-WcdnuV-DkRmd5WFqpBB4g,https://www.google.com/maps/place/?q=place_id:ChIJX-WcdnuV-DkRmd5WFqpBB4g,part_332,2026-09-20 20:17:38
ShreyashiLabel,Luxury Clothing Shops,Designer Clothing Store,Designer Clothing Store,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,4.4,,"B:9/277(C.A), Kalyani, Nadia,West Bengal In Central Park, Beside Axis Bank, opposite to Bank Of Baroda, Kalyani, West Bengal 741235","B 9, B9, Block B",22.9757529,88.4371192,ChIJyTyZ_XyV-DkRU0NSzrDLCa4,https://www.google.com/maps/place/?q=place_id:ChIJyTyZ_XyV-DkRU0NSzrDLCa4,part_332,2026-09-20 20:17:38
ABORON,Luxury Clothing Shops,Designer Clothing Store,"Designer Clothing Store, Bridal shop, Clothing store, Dress store, Fabric store, Men's clothing store, Saree Shop",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 90512 17795,https://aboron.co.in/,4.8,,"76/132, Mini Bus Stand, MB Rd, near Birati, Mahajati Nagar, Birati, North Dumdum, West Bengal 700051","Mahajati Nagar, Birati",22.6627539,88.4312832,ChIJBUe_TvSe-DkRwAFvtZH5Hr8,https://www.google.com/maps/place/?q=place_id:ChIJBUe_TvSe-DkRwAFvtZH5Hr8,part_332,2026-09-20 20:17:38
WNW by Harsh & Ankesh,Luxury Clothing Shops,Bridal shop,"Bridal shop, Boutique, Clothing store, Designer Clothing Store, Embroidery shop, Fashion designer, Saree Shop, Wedding store, Women's clothing store",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 98309 95850,https://www.w-n-w.in/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5043377000803828229,4.9,,"Behind Sindharam Sanwarmal, P-9, CIT Rd, CIT Scheme VII M, Kankurgachi, West Bengal 700054","CIT Scheme VII M, Kankurgachi",22.5848746,88.39109979999999,ChIJsbKVnG12AjoRW9iYKy4Q3ro,https://www.google.com/maps/place/?q=place_id:ChIJsbKVnG12AjoRW9iYKy4Q3ro,part_332,2026-09-20 20:17:38
Espee,Luxury Clothing Shops,Designer Clothing Store,"Designer Clothing Store, Boutique",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 62903 32808,http://www.espeeboutique.com/,4.7,,"1st Floor, SB Towers, 37, Shakespeare Sarani, Mullick Bazar, Park Street area, Kolkata, West Bengal 700017","Mullick Bazar, Park Street area",22.544719699999998,88.3581956,ChIJO6XXAhB3AjoRRo8wUF4LtAU,https://www.google.com/maps/place/?q=place_id:ChIJO6XXAhB3AjoRRo8wUF4LtAU,part_332,2026-09-20 20:17:38
Smart Creation - The Ultimate Fashion Couture,Luxury Clothing Shops,Designer Clothing Store,"Designer Clothing Store, Boutique, Clothing manufacturer, Clothing store, Fashion designer, Tailor, Women's clothing store",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 33 4810 0896,https://smartcreationlabel.wixsite.com/mysite,5.0,,"18 Park Lane, Park St, Kolkata, West Bengal 700016",Taltala,22.5501282,88.3574933,ChIJ-UJhAIl3AjoRys5xAsvd3w8,https://www.google.com/maps/place/?q=place_id:ChIJ-UJhAIl3AjoRys5xAsvd3w8,part_332,2026-09-20 20:17:38
Rani Boutique,Luxury Clothing Shops,Saree Shop,"Saree Shop, Clothing store",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 62945 07450,https://www.facebook.com/share/1Af6WoXn8w/?mibextid=qi2Omg,4.8,,"Old Berhampore Rd, Dakshin Para, Ranaghat, West Bengal 741201",Dakshin Para,23.1732726,88.56036139999999,ChIJSz3y6p_F-DkR-xKcT4TvG2Y,https://www.google.com/maps/place/?q=place_id:ChIJSz3y6p_F-DkR-xKcT4TvG2Y,part_332,2026-09-20 20:17:38
Rishika's Creation,Luxury Clothing Shops,Boutique,Boutique,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",N/A,N/A,5.0,,"Gangni Rd, Badkulla, Gangni, West Bengal 741121",741246,23.297286099999997,88.5289525,ChIJRacSt3zf-DkRBFZp0nV3OR0,https://www.google.com/maps/place/?q=place_id:ChIJRacSt3zf-DkRBFZp0nV3OR0,part_332,2026-09-20 20:17:38
Indrani,Luxury Clothing Shops,Boutique,Boutique,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 94338 29774,N/A,4.9,,"A-9X/2(CA),Bidhan Super Market, Kalyani Station Rd, Kalyani, West Bengal 741235","A 9X, Block A9, Block A",22.9672528,88.4651963,ChIJ35mdqqiV-DkRpGMpcCG-SIA,https://www.google.com/maps/place/?q=place_id:ChIJ35mdqqiV-DkRpGMpcCG-SIA,part_332,2026-09-20 20:17:38
Society Garments,Luxury Clothing Shops,Clothing store,Clothing store,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 98043 07081,N/A,4.2,,"2, Rishi Bankim Chandra Rd, Naihati Urban, Naihati, NAIHATI, West Bengal 743165","Naihati Urban, Naihati",22.8880473,88.4176028,ChIJV3UpGJmW-DkReXOwqOYsfS4,https://www.google.com/maps/place/?q=place_id:ChIJV3UpGJmW-DkReXOwqOYsfS4,part_332,2026-09-20 20:17:38
Komal Sood,Luxury Clothing Shops,Boutique,"Boutique, Fashion designer, Store",741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 91634 69986,http://komalsood.com/,3.8,,"Park Mansion, 43, 57A, Park St, Taltala, Kolkata, West Bengal 700016",Taltala,22.5532079,88.3534643,ChIJja5Q6eF2AjoRLiHQBXxeoik,https://www.google.com/maps/place/?q=place_id:ChIJja5Q6eF2AjoRLiHQBXxeoik,part_332,2026-09-20 20:17:38
Zuri ( A Product of Enajori fashion Studio),Luxury Clothing Shops,Designer Clothing Store,Designer Clothing Store,741246,West Bengal Circle,Kolkata Region,Nadia South Division,"Mohanpur SO Nadia, Haringhat River Research Insti BO",+91 91636 49563,N/A,4.9,,"Third Floor, Shreeram Arcade, 15, Shop 549 & 550, Jawaharlal Nehru Rd, New Market Area, Kolkata, West Bengal 700013","New Market Area, Dharmatala, Taltala",22.5609407,88.3517708,ChIJrSQZ1xt3AjoRhESVd9lOoFs,https://www.google.com/maps/place/?q=place_id:ChIJrSQZ1xt3AjoRhESVd9lOoFs,part_332,2026-09-20 20:17:38
