business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The Muscle Bar,Fitness Chains,Gym,Gym,741250,West Bengal Circle,Kolkata Region,Nadia South Division,"Kataganj SO, Bedibhavan BO",+91 82505 27071,N/A,4.9,,"Sabuj Palli, Belda, Shashinda, West Bengal 721451",Sabuj Palli,22.0666735,87.34501879999999,ChIJVfhofBI7HToRp6iEdHmu_wU,https://www.google.com/maps/place/?q=place_id:ChIJVfhofBI7HToRp6iEdHmu_wU,part_332,2026-09-20 20:20:42
BARBELL COMPLEX - The Gym,Fitness Chains,Gym,Gym,741250,West Bengal Circle,Kolkata Region,Nadia South Division,"Kataganj SO, Bedibhavan BO",+91 84366 31793,http://www.facebook.com/barbellcomplexthegym,4.8,,"1ST FLOOR, SARASWATI APARTMENT, beside MUSLIM KUTHI, near Judges Court Road, Midnapore, West Bengal 721101",741250,22.4125749,87.31422769999999,ChIJOavLcpdbHToRxtzMwpm3lbw,https://www.google.com/maps/place/?q=place_id:ChIJOavLcpdbHToRxtzMwpm3lbw,part_332,2026-09-20 20:20:42
Galaxy Fitness AC Gym,Fitness Chains,Gym,Gym,741250,West Bengal Circle,Kolkata Region,Nadia South Division,"Kataganj SO, Bedibhavan BO",+91 94342 29877,http://www.galaxyfitness.in/,4.9,,"C8FP+337, Ramkrishna nagar, Midnapore, West Bengal 721101",Ramkrishna nagar,22.4225531,87.3353738,ChIJS-DlCFhbHToRaLL1wrR9Oec,https://www.google.com/maps/place/?q=place_id:ChIJS-DlCFhbHToRaLL1wrR9Oec,part_332,2026-09-20 20:20:42
Nameless borN Again,Fitness Chains,Gym,Gym,741250,West Bengal Circle,Kolkata Region,Nadia South Division,"Kataganj SO, Bedibhavan BO",+91 98323 45883,N/A,4.4,,"central bus stand, Majna Rd, Kishore Nagar Garh, Kanthi Baliari, Banamali Pur, Contai, West Bengal 721404","Kishore Nagar Garh, Kanthi Baliari",21.7756473,87.7333618,ChIJ22k6ndMnAzoRQ4K4itDRsRA,https://www.google.com/maps/place/?q=place_id:ChIJ22k6ndMnAzoRQ4K4itDRsRA,part_332,2026-09-20 20:20:42
Fit Ice Multy Gym,Fitness Chains,Gym,Gym,741250,West Bengal Circle,Kolkata Region,Nadia South Division,"Kataganj SO, Bedibhavan BO",+91 94349 87612,N/A,4.3,,"Rajabazar (Gym Road, West Bengal 721401",Kanthi,21.7756981,87.7426861,ChIJJRkoSvEmAzoRff_FjRfzTcY,https://www.google.com/maps/place/?q=place_id:ChIJJRkoSvEmAzoRff_FjRfzTcY,part_332,2026-09-20 20:20:42
LAMIA FITNESS GYM,Fitness Chains,Gym,Gym,741250,West Bengal Circle,Kolkata Region,Nadia South Division,"Kataganj SO, Bedibhavan BO",+91 82936 15774,N/A,4.2,,"Mankur Rd, Kalyanpur, Bagnan, Kalyanpur, West Bengal 711303",Kalyanpur,22.503190999999998,87.9104292,ChIJHdoY8ySZAjoREGsv0ut_ksA,https://www.google.com/maps/place/?q=place_id:ChIJHdoY8ySZAjoREGsv0ut_ksA,part_332,2026-09-20 20:20:42
BENT BARBELL GYM,Fitness Chains,Gym,Gym,741250,West Bengal Circle,Kolkata Region,Nadia South Division,"Kataganj SO, Bedibhavan BO",N/A,N/A,4.9,63.0,"LIC Gali Number 1, Kshepakali Para, Sanhati Pally, Katwa, West Bengal 713130","Kshepakali Para, Sanhati Pally",23.6453872,88.1298893,ChIJMdOrFpWn-TkRhW_fxvK_o5E,https://www.google.com/maps/place/?q=place_id:ChIJMdOrFpWn-TkRhW_fxvK_o5E,part_332,2026-09-20 20:20:43
DELTA FITNESS,Fitness Chains,Gym,"Gym, Yoga studio",741250,West Bengal Circle,Kolkata Region,Nadia South Division,"Kataganj SO, Bedibhavan BO",+91 97483 94999,https://www.deltafitness.in/,4.8,729.0,"1stfloor, No 117/1, Baguihati, VIP Rd, Narayantala, Kolkata, West Bengal 700059",Narayantala,22.6085776,88.426885,ChIJrWn9u4N1AjoRYA7X0EkW5Po,https://www.google.com/maps/place/?q=place_id:ChIJrWn9u4N1AjoRYA7X0EkW5Po,part_332,2026-09-20 20:20:43
GRIT FITNESS,Fitness Chains,Gym,"Gym, Dance school, Fitness center, Gymnasium school, Personal trainer, Spa and health club, Women's personal trainer",741250,West Bengal Circle,Kolkata Region,Nadia South Division,"Kataganj SO, Bedibhavan BO",+91 33 4602 2555,http://www.gritfitnesskolkata.com/,4.5,308.0,"174, Chittaranjan Ave, College Street Market, SHYAM MARKET, Kolkata, West Bengal 700007","College Street Market, SHYAM MARKET",22.582024999999998,88.36187,ChIJWRZ5obR3AjoRllIyRmfRJL4,https://www.google.com/maps/place/?q=place_id:ChIJWRZ5obR3AjoRllIyRmfRJL4,part_332,2026-09-20 20:20:43
RAWW FITNESS (jyangra),Fitness Chains,Gym,Gym,741250,West Bengal Circle,Kolkata Region,Nadia South Division,"Kataganj SO, Bedibhavan BO",+91 87772 87820,N/A,4.9,664.0,"Jyangra GhoshPara, bazar, Rajarhat Main Rd, Kolkata, West Bengal 700159","Jyangra, Baguiati",22.6154604,88.43559189999999,ChIJLzQX7Nyf-DkRXPaWWhi18Gk,https://www.google.com/maps/place/?q=place_id:ChIJLzQX7Nyf-DkRXPaWWhi18Gk,part_332,2026-09-20 20:20:43
