business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"JHAKKAS (family restaurant, Tandoori, Briyani and Cafe)",Family Restaurant,Restaurant,Restaurant,741251,West Bengal Circle,Kolkata Region,Nadia South Division,"Netajisubhas Sanatorium SO, Charsarhati BO, Majerchar BO",N/A,N/A,3.3,36.0,"XCH2+HGG, Shibpur, Tribeni, West Bengal 712503","Shibpur, Tribeni",22.979046699999998,88.4012367,ChIJ8XJuWACT-DkRYPaQqYRiqcI,https://www.google.com/maps/place/?q=place_id:ChIJ8XJuWACT-DkRYPaQqYRiqcI,part_332,2026-09-20 20:21:21
Haveli cafe & restaurant,Family Restaurant,Family restaurant,Family restaurant,741251,West Bengal Circle,Kolkata Region,Nadia South Division,"Netajisubhas Sanatorium SO, Charsarhati BO, Majerchar BO",N/A,N/A,4.1,54.0,"F-60/102, The Atlantis, 543, Bankim chandra Sarani, Block B, Kalyani, West Bengal 741235",Block B,22.9635785,88.4240999,ChIJmX5wacSV-DkRNNZcVMWtNTI,https://www.google.com/maps/place/?q=place_id:ChIJmX5wacSV-DkRNNZcVMWtNTI,part_332,2026-09-20 20:21:21
New Alivia Cafe and Restaurant,Family Restaurant,Family restaurant,Family restaurant,741251,West Bengal Circle,Kolkata Region,Nadia South Division,"Netajisubhas Sanatorium SO, Charsarhati BO, Majerchar BO",+91 33 2582 2582,https://www.facebook.com/pizzabiryaniexpress48?mibextid=vk8aRt,4.0,250.0,"XCRV+CRM, Block C, Kathaltala, Kalyani, West Bengal 741235","Block C, Kathaltala",22.9903993,88.4443714,ChIJnczRAwGV-DkRMU-mSirdVVw,https://www.google.com/maps/place/?q=place_id:ChIJnczRAwGV-DkRMU-mSirdVVw,part_332,2026-09-20 20:21:21
KABIRA RESTAURANT,Family Restaurant,Restaurant,"Restaurant, Asian fusion restaurant, Chinese noodle restaurant, Chinese restaurant, Chinese takeaway, Family restaurant, Fast food restaurant, Momo restaurant, Non Vegetarian Restaurant, Noodle shop",741251,West Bengal Circle,Kolkata Region,Nadia South Division,"Netajisubhas Sanatorium SO, Charsarhati BO, Majerchar BO",+91 93108 26776,https://kabira-restaurant.grexa.site/,5.0,66.0,"B2, Block B, Kalyani, West Bengal 741235","B2, Block B",22.977909699999998,88.4289202,ChIJ8b0Q44SV-DkRTwxiRhTNi4o,https://www.google.com/maps/place/?q=place_id:ChIJ8b0Q44SV-DkRTwxiRhTNi4o,part_332,2026-09-20 20:21:21
HOTEL J S AND FAMILY RESTAURANT,Family Restaurant,Fast food restaurant,"Fast food restaurant, Biryani restaurant, Family restaurant, Indian restaurant",741251,West Bengal Circle,Kolkata Region,Nadia South Division,"Netajisubhas Sanatorium SO, Charsarhati BO, Majerchar BO",+91 86977 65335,N/A,3.9,438.0,"Buddha Park, Budha park Road, near Fire Station, B4, Block B, Kalyani, West Bengal 741235","B4, Block B",22.9659987,88.42705169999999,ChIJ6VZTDemU-DkRcD7NNP25YZM,https://www.google.com/maps/place/?q=place_id:ChIJ6VZTDemU-DkRcD7NNP25YZM,part_332,2026-09-20 20:21:21
Panchabanjan Restaurant,Family Restaurant,Family restaurant,Family restaurant,741251,West Bengal Circle,Kolkata Region,Nadia South Division,"Netajisubhas Sanatorium SO, Charsarhati BO, Majerchar BO",N/A,N/A,4.7,3.0,"XC7G+HXW, B 14, Block B, Kalyani, West Bengal 741235","B 14, Block B",22.9639761,88.42744429999999,ChIJYzM9AQCV-DkRNHnGiK2r3NQ,https://www.google.com/maps/place/?q=place_id:ChIJYzM9AQCV-DkRNHnGiK2r3NQ,part_332,2026-09-20 20:21:21
Namaskar Kolkata Family Restaurant,Family Restaurant,Bengali restaurant,"Bengali restaurant, Indian restaurant, Restaurant",741251,West Bengal Circle,Kolkata Region,Nadia South Division,"Netajisubhas Sanatorium SO, Charsarhati BO, Majerchar BO",+91 70297 69172,N/A,4.4,11.0,"BDO Office, Maheshganj, Nabadwip, West Bengal 741315",741251,23.416836999999997,88.4060564,ChIJ01WWM_Yf-TkRT21Pod8mGVg,https://www.google.com/maps/place/?q=place_id:ChIJ01WWM_Yf-TkRT21Pod8mGVg,part_332,2026-09-20 20:21:21
Petuk kalyani,Family Restaurant,Family restaurant,Family restaurant,741251,West Bengal Circle,Kolkata Region,Nadia South Division,"Netajisubhas Sanatorium SO, Charsarhati BO, Majerchar BO",N/A,N/A,4.6,9.0,"Buddha Park, B 14, Block B, Kalyani, West Bengal 741235","B 14, Block B",22.9643202,88.42868539999999,ChIJ27lQegCV-DkRlPBz-xrQhBQ,https://www.google.com/maps/place/?q=place_id:ChIJ27lQegCV-DkRlPBz-xrQhBQ,part_332,2026-09-20 20:21:21
The Dream House restaurant,Family Restaurant,Restaurant,Restaurant,741251,West Bengal Circle,Kolkata Region,Nadia South Division,"Netajisubhas Sanatorium SO, Charsarhati BO, Majerchar BO",+91 91239 27419,N/A,4.7,19.0,"Sahapur Main Rd, Shibpur, Tribeni, West Bengal 712503","Shibpur, Tribeni",22.980942499999998,88.40040719999999,ChIJW39vpPaT-DkRsRXHb8gxZ7M,https://www.google.com/maps/place/?q=place_id:ChIJW39vpPaT-DkRsRXHb8gxZ7M,part_332,2026-09-20 20:21:21
Chandra Caterer,Family Restaurant,Restaurant,Restaurant,741251,West Bengal Circle,Kolkata Region,Nadia South Division,"Netajisubhas Sanatorium SO, Charsarhati BO, Majerchar BO",N/A,N/A,4.5,,"2C35+6X3, Chandrahati, Raghunathpur, West Bengal 712504",Chandrahati,23.0030009,88.4099164,ChIJK1k_Mu3r-DkRSdMOniIoLXs,https://www.google.com/maps/place/?q=place_id:ChIJK1k_Mu3r-DkRSdMOniIoLXs,part_332,2026-09-20 20:21:22
