business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
3Video,Media and Event,Video production service,"Video production service, Service establishment",741253,West Bengal Circle,Kolkata Region,Nadia South Division,"Anishmali SO, Eruli BO",+91 87007 28562,http://www.3video.in/,4.9,729.0,"3Video, 741253, India",741253,21.0680074,82.7525294,ChIJhRL-3c-ToCkRCdRfwiGKNwM,https://www.google.com/maps/place/?q=place_id:ChIJhRL-3c-ToCkRCdRfwiGKNwM,part_332,2026-09-20 20:23:08
MASS MARKETING RUPNARAYANPUR,Media and Event,Electronics store,"Electronics store, Appliance store",741253,West Bengal Circle,Kolkata Region,Nadia South Division,"Anishmali SO, Eruli BO",+91 99338 70726,http://massmarketing.co.in/,4.8,367.0,"Samdi Rd, Mahabir Colony, More, Rupnarayanpur, West Bengal 713386","Mahabir Colony, More",23.8118128,86.89134039999999,ChIJAfCG3ETf9jkRWdGsVSFX3Qw,https://www.google.com/maps/place/?q=place_id:ChIJAfCG3ETf9jkRWdGsVSFX3Qw,part_332,2026-09-20 20:23:09
New Present House,Media and Event,Gift shop,Gift shop,741253,West Bengal Circle,Kolkata Region,Nadia South Division,"Anishmali SO, Eruli BO",+91 98327 98983,N/A,4.0,164.0,"Konnagar, Paresh Nagar, Ghatal, West Bengal 721212","Konnagar, Paresh Nagar",22.6623931,87.7344882,ChIJO1JU3_wI-DkRG_c6eD_OBig,https://www.google.com/maps/place/?q=place_id:ChIJO1JU3_wI-DkRG_c6eD_OBig,part_332,2026-09-20 20:23:09
MASS MARKETING NEAMATPUR,Media and Event,Electronics store,"Electronics store, Appliance store",741253,West Bengal Circle,Kolkata Region,Nadia South Division,"Anishmali SO, Eruli BO",+91 98000 02068,http://massmarketing.co.in/,4.3,123.0,"Asha apartment, Chittaranjan - Neamatpur Rd, Neamatpur, West Bengal 713359",741253,23.719136499999998,86.8763269,ChIJVVVVVWzg9jkRo1wWcfrJluM,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVWzg9jkRo1wWcfrJluM,part_332,2026-09-20 20:23:09
MASS MARKETING DURGAPUR,Media and Event,Appliance store,"Appliance store, Electronics Company",741253,West Bengal Circle,Kolkata Region,Nadia South Division,"Anishmali SO, Eruli BO",+91 89678 13333,http://massmarketing.co.in/,4.6,118.0,"Girls' H.Sch, Ananda Gopal Mukherjee Sarani Rd, opp. Bhiringi, Benachity, Durgapur, West Bengal 713213",Benachity,23.5535508,87.2725061,ChIJI2d3goht9zkRI6LLfXt9bg0,https://www.google.com/maps/place/?q=place_id:ChIJI2d3goht9zkRI6LLfXt9bg0,part_332,2026-09-20 20:23:09
MASS MARKETING GIRJA MORE ASANSOL,Media and Event,Appliance store,Appliance store,741253,West Bengal Circle,Kolkata Region,Nadia South Division,"Anishmali SO, Eruli BO",+91 94340 34981,https://massmarketing.co.in/,4.5,694.0,"46, Grand Trunk Rd, Girja More, Durga Market, Asansol, West Bengal 713301","Girja More, Durga Market",23.688585999999997,86.9662247,ChIJW7E95yAf9zkR3wUJgKoqqiQ,https://www.google.com/maps/place/?q=place_id:ChIJW7E95yAf9zkR3wUJgKoqqiQ,part_332,2026-09-20 20:23:09
Computer Infomedia - Speaker Point,Media and Event,Computer store,"Computer store, Air conditioning store, Battery Wholesaler, Cell phone store, Computer Wholesaler, Electronics store, Electronics wholesaler, Home theater store, Security system supplier, Used computer store",741253,West Bengal Circle,Kolkata Region,Nadia South Division,"Anishmali SO, Eruli BO",+91 99322 10993,https://store.lenovo.com/in/en/marketplace/seller/profile/shop/930?orgRef=https%253A%252F%252Fwww.google.com%252F&gad_source=1&gad_campaignid=18419721248&gclid=CjwKCAjwprjDBhBTEiwA1m1d0gY2ZIE9gYpDJFEHBUCLYd1Zv9wdM0zgBv-iu6L6W5F476puVKZfYRoC0zIQAvD_BwE,4.8,445.0,"Durga Market Girza more, 46, Grand Trunk Rd, Pathak Bari, Asansol, West Bengal 713301",Pathak Bari,23.6884423,86.9665035,ChIJV2O8FdYe9zkRlOJBeoTzkTg,https://www.google.com/maps/place/?q=place_id:ChIJV2O8FdYe9zkRlOJBeoTzkTg,part_332,2026-09-20 20:23:09
LG Best Shop Mass Marketing,Media and Event,Electronics store,Electronics store,741253,West Bengal Circle,Kolkata Region,Nadia South Division,"Anishmali SO, Eruli BO",+91 96096 05141,http://www.lg.com/,4.8,241.0,"Bhanga Pachil, 72, Grand Trunk Rd, Munshi Bazar, Asansol, West Bengal 713303",Munshi Bazar,23.682102699999998,86.9854378,ChIJfXE_vSsZ9zkRmJcjx8VppLM,https://www.google.com/maps/place/?q=place_id:ChIJfXE_vSsZ9zkRmJcjx8VppLM,part_332,2026-09-20 20:23:09
Manjushree Communication,Media and Event,Cell phone store,Cell phone store,741253,West Bengal Circle,Kolkata Region,Nadia South Division,"Anishmali SO, Eruli BO",+91 91262 28020,N/A,4.5,35.0,"C89F+6Q9, Aligunj School Rd, Aligunj, Midnapore, West Bengal 721101",741253,22.4180252,87.3244737,ChIJaWvjcDdbHToREdgIYaGPWX4,https://www.google.com/maps/place/?q=place_id:ChIJaWvjcDdbHToREdgIYaGPWX4,part_332,2026-09-20 20:23:09
R.P. ELECTRONICS,Media and Event,Electronics store,Electronics store,741253,West Bengal Circle,Kolkata Region,Nadia South Division,"Anishmali SO, Eruli BO",+91 86539 42897,N/A,4.1,8.0,"1 no, bhut bhuti ghat, Kakdwip, Ganespur, West Bengal 743347",741253,21.8674724,88.19258409999999,ChIJHbZIFz5VAjoRrsGEl1Jnaeo,https://www.google.com/maps/place/?q=place_id:ChIJHbZIFz5VAjoRrsGEl1Jnaeo,part_332,2026-09-20 20:23:09
International balloons,Media and Event,Party store,"Party store, Balloon store, Event planner, Party equipment rental service, Party planner",741253,West Bengal Circle,Kolkata Region,Nadia South Division,"Anishmali SO, Eruli BO",+91 73522 12661,http://internationalballoons.in/,4.8,160.0,"Bank Rd, Shastri Nagar, Dhanbad, Jharkhand 826001",Shastri Nagar,23.784202,86.4166623,ChIJEf2Nrmaj9jkRpkRqnWNVq1E,https://www.google.com/maps/place/?q=place_id:ChIJEf2Nrmaj9jkRpkRqnWNVq1E,part_332,2026-09-20 20:23:09
Lenovo Exclusive Store - Computer Infomedia,Media and Event,Computer store,"Computer store, Computer consultant, Computer desk store, Computer Wholesaler",741253,West Bengal Circle,Kolkata Region,Nadia South Division,"Anishmali SO, Eruli BO",+91 80 4804 5472,https://store.lenovo.com/in/en/marketplace/seller/profile/shop/930,4.3,1239.0,"46, Grand Trunk Rd, Durga Market, Asansol, West Bengal 713301",Durga Market,23.6880463,86.9669256,ChIJBf50_iAf9zkRPAsSXWimyLQ,https://www.google.com/maps/place/?q=place_id:ChIJBf50_iAf9zkRPAsSXWimyLQ,part_332,2026-09-20 20:23:09
Maa Light & Sound,Media and Event,Catering equipment rental service,Catering equipment rental service,741253,West Bengal Circle,Kolkata Region,Nadia South Division,"Anishmali SO, Eruli BO",N/A,N/A,,,"H9F7+P4X, Calcutta University, College Square, Kolkata, West Bengal 700073","Calcutta University, College Square",22.5743545,88.3628734,ChIJR4b4GQB3AjoRH1w6CRur-Qo,https://www.google.com/maps/place/?q=place_id:ChIJR4b4GQB3AjoRH1w6CRur-Qo,part_332,2026-09-20 20:23:09
