business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
RAHUL SHOES STORE,Footwear and Shoe Store,Shoe store,Shoe store,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 98006 49433,N/A,5.0,3.0,"Pw more, Station Rd, Bhagwangola, Belia Syampur, West Bengal 742135",742148,24.336261,88.3046426,ChIJb-dLh4LP-zkRxNudKtWdDhQ,https://www.google.com/maps/place/?q=place_id:ChIJb-dLh4LP-zkRxNudKtWdDhQ,part_333,2026-09-20 20:17:37,1091
Abdus salam shoe store,Footwear and Shoe Store,Shoe store,Shoe store,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 74071 43569,N/A,5.0,1.0,"BHAWANIPUR MORE, 11, SH 11A, Arazi Narayanpur, West Bengal 742148",742148,24.399273599999997,88.255759,ChIJ376jIVnP-zkR8no8z-dL4F8,https://www.google.com/maps/place/?q=place_id:ChIJ376jIVnP-zkR8no8z-dL4F8,part_333,2026-09-20 20:17:37,1092
Khadim's,Footwear and Shoe Store,Shoe store,Shoe store,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",N/A,http://www.khadims.com/,4.4,18.0,"Vill.& PO. Rudranagar, PS, Sagar, West Bengal 742148",Lalgola,24.4228597,88.2514274,ChIJ4c2bhVPJ-zkRgROoigacWMc,https://www.google.com/maps/place/?q=place_id:ChIJ4c2bhVPJ-zkRgROoigacWMc,part_333,2026-09-20 20:17:37,1093
Trends Footwear,Footwear and Shoe Store,Shoe store,Shoe store,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 70440 89594,https://stores.trends-footwear.com/trends-footwear-rrl-tf-barhampore-shoe-shop-kansari-bazar-berhampore-477491/Home?utm_source=locator&utm_medium=googleplaces,4.9,1070.0,"JL No 96, Khaitan No 2768, Dag No 1418, Kansari Bazar, Gora Bazar, Berhampore, West Bengal 742101",Gora Bazar,24.1070611,88.25022009999999,ChIJ4_VVGZV9-TkR88-JQp0tnj4,https://www.google.com/maps/place/?q=place_id:ChIJ4_VVGZV9-TkR88-JQp0tnj4,part_333,2026-09-20 20:17:37,1094
BIG SHOE HOUSE ( বিগ সু হাউস ),Footwear and Shoe Store,Shoe store,Shoe store,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 70638 23910,N/A,5.0,3.0,"Jumma Masjid, near, Dayanagar - Barshatigola Road, Shyampurnatunpara, Bhagwangola, Mahishasthali, West Bengal 742135",Shyampurnatunpara,24.333560799999997,88.3178171,ChIJn2ry213P-zkR_3eK2TO2Qe4,https://www.google.com/maps/place/?q=place_id:ChIJn2ry213P-zkR_3eK2TO2Qe4,part_333,2026-09-20 20:17:37,1095
নিউ সু সেন্টার,Footwear and Shoe Store,Shoe store,Shoe store,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",N/A,N/A,5.0,2.0,"C6GJ+76J, Lalgola, Paharpur, West Bengal 742148",742148,24.425712299999997,88.2305119,ChIJTfY8OgDL-zkRcaiHwLGpS8g,https://www.google.com/maps/place/?q=place_id:ChIJTfY8OgDL-zkRcaiHwLGpS8g,part_333,2026-09-20 20:17:37,1096
Dream shoe store,Footwear and Shoe Store,Shoe store,Shoe store,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 62961 96706,N/A,5.0,1.0,"Daulatabad, West Bengal 742302",742148,24.1459795,88.3816939,ChIJJ1xXBgTZ-zkR3mVmXDjkTXA,https://www.google.com/maps/place/?q=place_id:ChIJJ1xXBgTZ-zkR3mVmXDjkTXA,part_333,2026-09-20 20:17:37,1097
AROHI SHOE STORE,Footwear and Shoe Store,Shoe store,Shoe store,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 97339 69660,N/A,5.0,1.0,"36, BARSATIGOLA BARSATIGOLA, Shyampurnatunpara, Berhampore, Mahishasthali, West Bengal 742135",Shyampurnatunpara,24.3336011,88.31428799999999,ChIJz094HNnP-zkRbXi1xvokuy0,https://www.google.com/maps/place/?q=place_id:ChIJz094HNnP-zkRbXi1xvokuy0,part_333,2026-09-20 20:17:37,1098
"Bata Shoe Store - Bazar Para, Raghunathganj",Footwear and Shoe Store,Shoe store,"Shoe store, Bag shop, Belt shop, Boot store, Clothing store",742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 95479 32848,https://stores.bata.com/bata-shoes-sandals-store-in-bazar-para-murshidabad,4.7,176.0,"Ground Floor, Bazarpara Rd, near Titan World, Bazar Para, Raghunathganj, West Bengal 742225",Bazar Para,24.4618845,88.0651791,ChIJVw_YLxo3-jkRtgGqcepmS-4,https://www.google.com/maps/place/?q=place_id:ChIJVw_YLxo3-jkRtgGqcepmS-4,part_333,2026-09-20 20:17:37,1099
Isat Shoe Palace,Footwear and Shoe Store,Shoe store,Shoe store,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 85158 78379,N/A,5.0,1.0,"053, Latatala, Lalgola, West Bengal 742148",742148,24.429489,88.2231149,ChIJOTqEoFHL-zkRIUP26hC3qeU,https://www.google.com/maps/place/?q=place_id:ChIJOTqEoFHL-zkRIUP26hC3qeU,part_333,2026-09-20 20:17:37,1100
APTT KICKS,Footwear and Shoe Store,Shoe store,"Shoe store, Clothing store, Jeans shop, Sunglasses store, T-shirt store, Watch store",742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 87590 25268,https://achiit.github.io/dukaan-aptt-kicks-/,5.0,5.0,"Lalgola talkies road, Rath Bazar, Lalgola, Krishnapur, West Bengal 742148","Rath Bazar, Lalgola",24.422635399999997,88.2533139,ChIJc_GZvdTJ-zkRkzHGfInOROw,https://www.google.com/maps/place/?q=place_id:ChIJc_GZvdTJ-zkRkzHGfInOROw,part_333,2026-09-20 20:17:37,1101
Poly Shoe Store,Footwear and Shoe Store,Shoe store,Shoe store,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 97343 26548,N/A,3.4,7.0,"Shyampurnatunpara, Mahishasthali, West Bengal 742135",Shyampurnatunpara,24.33366,88.314341,ChIJCcMLK_vP-zkRGTa6ySJdKPM,https://www.google.com/maps/place/?q=place_id:ChIJCcMLK_vP-zkRGTa6ySJdKPM,part_333,2026-09-20 20:17:37,1102
Mamon Shoe House,Footwear and Shoe Store,Footwear wholesaler,Footwear wholesaler,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 89271 67368,N/A,4.2,20.0,"Shyampurnatunpara, Mahishasthali, West Bengal 742135",Shyampurnatunpara,24.332933999999998,88.3148961,ChIJt_EJMPvP-zkR-Ob85RcHk7U,https://www.google.com/maps/place/?q=place_id:ChIJt_EJMPvP-zkR-Ob85RcHk7U,part_333,2026-09-20 20:17:37,1103
"Bata Shoe Store - Khagra, Berhampore",Footwear and Shoe Store,Shoe store,"Shoe store, Bag shop, Belt shop, Boot store, Clothing store",742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 80 6926 4220,https://stores.bata.com/bata-shoes-sandals-store-in-khagra-murshidabad,4.6,1999.0,"No. 64, Nest Apartment, Bonbehari Sen Rd, near United Bank India, Khagra, Berhampore, West Bengal 742103",Khagra,24.1077673,88.2501194,ChIJBVYYld19-TkRFTd8VZwgUc0,https://www.google.com/maps/place/?q=place_id:ChIJBVYYld19-TkRFTd8VZwgUc0,part_333,2026-09-20 20:17:37,1104
Sumi shoe store,Footwear and Shoe Store,Shoe store,Shoe store,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",N/A,N/A,,,"Berhampore - Lalgola Rd, Deoan Sarai, West Bengal 742151",742148,24.3849256,88.2365183,ChIJMXrncazN-zkR87USZBmmIkQ,https://www.google.com/maps/place/?q=place_id:ChIJMXrncazN-zkR87USZBmmIkQ,part_333,2026-09-20 20:17:37,1105
Metro Shoes,Footwear and Shoe Store,Shoe store,Shoe store,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 79778 24486,https://stores.metroshoes.com/metro-shoes-berhampore-murshidabad-west-bengal-brp,4.9,454.0,"Bonbehari Sen Rd, Khagra, Berhampore, West Bengal 742103",Khagra,24.109316,88.249269,ChIJa_CF-kB9-TkRBjGhulUKNQg,https://www.google.com/maps/place/?q=place_id:ChIJa_CF-kB9-TkRBjGhulUKNQg,part_333,2026-09-20 20:17:37,1106
Usha Shoe House,Footwear and Shoe Store,Shoe store,Shoe store,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 99338 70865,N/A,5.0,1.0,"Gjjj8ijb7yvv, Diar Fatepur, West Bengal 742135",Gjjj8ijb7yvv,24.3616271,88.2873501,ChIJL96e29rP-zkR0ke6DK3Adqg,https://www.google.com/maps/place/?q=place_id:ChIJL96e29rP-zkR0ke6DK3Adqg,part_333,2026-09-20 20:17:37,1107
SK Shoe & Bags,Footwear and Shoe Store,Shoe store,"Shoe store, Handbags shop",742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 99324 88400,https://oldbong.com/,,,"Dayanagar, Shyampurnatunpara, Bhagwangola, Mahishasthali, West Bengal 742135","Dayanagar, Shyampurnatunpara",24.333745399999998,88.3172529,ChIJQ-ICAJTP-zkRi-jjdM4XDCA,https://www.google.com/maps/place/?q=place_id:ChIJQ-ICAJTP-zkRi-jjdM4XDCA,part_333,2026-09-20 20:17:37,1108
Foot & Feet,Footwear and Shoe Store,Shoe store,Shoe store,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 76793 94644,N/A,4.6,17.0,"Khagra, 88, Netaji Rd, near PANTALOONS SHOP, Khagra, Berhampore, West Bengal 742103",Khagra,24.1071186,88.24801839999999,ChIJE-u4GBJ9-TkRzzHRiCk53Eo,https://www.google.com/maps/place/?q=place_id:ChIJE-u4GBJ9-TkRzzHRiCk53Eo,part_333,2026-09-20 20:17:37,1109
