business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Mohammad Ali Smart Catering And Computer,Telemarketing Firms,Telephone Marketing Agency,Telephone Marketing Agency,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 91639 19739,https://www.facebook.com/share/1GEcPded9R/?mibextid=qi2Omg,,,"char sofi, hajir para, Dakshin Hanumanta Nagar, West Bengal 742135",hajir para,24.364954599999997,88.3405796,ChIJCSnV0hrF-zkRq6qsoVChVZM,https://www.google.com/maps/place/?q=place_id:ChIJCSnV0hrF-zkRq6qsoVChVZM,part_333,2026-09-20 20:18:09,5153
Bazar Next,Telemarketing Firms,Marketing consultant,"Marketing consultant, Service establishment",742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",01840-398433,N/A,4.0,1.0,"Bazar Next, 742148, India",742148,24.543185599999997,88.3141122,ChIJD1aiSZvRHEIRIGHg_66dtMM,https://www.google.com/maps/place/?q=place_id:ChIJD1aiSZvRHEIRIGHg_66dtMM,part_333,2026-09-20 20:18:09,5154
Md Mijanur Rahman,Telemarketing Firms,Marketing consultant,Marketing consultant,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",01777-162146,https://www.aboutmijan.com/,5.0,,"Godagari 6000, Bangladesh",742148,24.4681617,88.32301799999999,ChIJw1iDJ6LJ-zkRop-ORnTzIHQ,https://www.google.com/maps/place/?q=place_id:ChIJw1iDJ6LJ-zkRop-ORnTzIHQ,part_333,2026-09-20 20:18:09,5155
Milon Telicom,Telemarketing Firms,Telephone Marketing Agency,Telephone Marketing Agency,742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",N/A,N/A,4.6,9.0,"5973+VQ5, khuniapukur indradanga, Road, Begamnagar, West Bengal 742302",742149,24.1646306,88.3544842,ChIJ_3dquDjZ-zkRR2qsnKqRi8c,https://www.google.com/maps/place/?q=place_id:ChIJ_3dquDjZ-zkRR2qsnKqRi8c,part_333,2026-09-20 20:18:51,8234
Time Digitals,Telemarketing Firms,Software company,"Software company, Video editing service, Website designer",742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",+91 98324 31164,https://timedigitals.com/,5.0,4.0,"579P+5G2, Pilkhana, Murshidabad, West Bengal 742164",Pilkhana,24.1678401,88.28646379999999,ChIJbRUDfgPX-zkRJ53cmhq4-3s,https://www.google.com/maps/place/?q=place_id:ChIJbRUDfgPX-zkRJ53cmhq4-3s,part_333,2026-09-20 20:18:51,8235
Rdb Network Group,Telemarketing Firms,Web hosting company,"Web hosting company, Computer support and services, Corporate office, Service establishment, Software company, Website designer",742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",+91 98001 90004,https://rdbnetwork.com/,4.4,7.0,"Rdb Network Group, 742149, India",742149,40.892461399999995,142.1078416,ChIJvZBsRlnW-zkRqTOpi3spPuQ,https://www.google.com/maps/place/?q=place_id:ChIJvZBsRlnW-zkRqTOpi3spPuQ,part_333,2026-09-20 20:18:51,8236
Zensky Technology Private Limited,Telemarketing Firms,Internet marketing service,Internet marketing service,742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",N/A,https://www.nikta.in/,,,"Manindra Nagar Rd, Manindra Nagar Bazar, Bhatpara, Cossimbazar, Kasim Bazar, West Bengal 742102","Manindra Nagar Bazar, Bhatpara, Cossimbazar",24.1153954,88.2757527,ChIJKVCmXhl9-TkR1n4sgQodFXY,https://www.google.com/maps/place/?q=place_id:ChIJKVCmXhl9-TkR1n4sgQodFXY,part_333,2026-09-20 20:18:52,8237
atoz,Telemarketing Firms,Advertising agency,"Advertising agency, Bookkeeping service, Courier service",742151,West Bengal Circle,Kolkata Region,Murshidabad Division,"Rajarampur SO, Laskarpur BO, Sadar Nashipur BO",N/A,N/A,,,"VILL-NUTANDIAR,PO-SADAR NASHIPUR ps-lalgola, dist, murshidabad, West Bengal 742151",Nutan Diar,24.3872853,88.1605467,ChIJ2wpo4sQz-jkRZyZZP7H9T7M,https://www.google.com/maps/place/?q=place_id:ChIJ2wpo4sQz-jkRZyZZP7H9T7M,part_333,2026-09-20 20:19:33,9878
The Humble Network Pvt.ltd,Telemarketing Firms,Corporate office,Corporate office,742151,West Bengal Circle,Kolkata Region,Murshidabad Division,"Rajarampur SO, Laskarpur BO, Sadar Nashipur BO",N/A,http://www.thehumblenetwork.com/,3.0,2.0,"Kabilpur, West Bengal 742237",742151,24.3429324,88.2015717,ChIJ29K1CwDN-zkRATc8vYXJvbY,https://www.google.com/maps/place/?q=place_id:ChIJ29K1CwDN-zkRATc8vYXJvbY,part_333,2026-09-20 20:19:34,9879
Rafatulla Alu Stor,Telemarketing Firms,Market researcher,Market researcher,742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",N/A,N/A,5.0,,"Gokarna, West Bengal 742136",742159,24.0414775,88.1101296,ChIJ57W2agCB-TkRMMwYidCD0gk,https://www.google.com/maps/place/?q=place_id:ChIJ57W2agCB-TkRMMwYidCD0gk,part_333,2026-09-20 20:20:13,11865
