business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Advertising,Advertisement Agency,Marketing agency,"Marketing agency, Service establishment",742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",N/A,https://ads2hub.com/,,,"Advertising, 742148, India",742148,49.832688999999995,24.0122356,ChIJJ21EvifHuCsRbqwAYglLrpQ,https://www.google.com/maps/place/?q=place_id:ChIJJ21EvifHuCsRbqwAYglLrpQ,part_333,2026-09-20 20:18:08
Landscape Ad,Advertisement Agency,Advertising agency,Advertising agency,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 70292 19619,N/A,4.5,,"37XH+WHW, Raninagar, Keshabnagar, Sibdanga Badarpur, Berhampore, West Bengal 742102","Raninagar, Keshabnagar",24.099859199999997,88.27895439999999,ChIJs5oclaV9-TkR0asKbZhEzVM,https://www.google.com/maps/place/?q=place_id:ChIJs5oclaV9-TkR0asKbZhEzVM,part_333,2026-09-20 20:18:08
Rabiullah DM,Advertisement Agency,Advertising agency,"Advertising agency, Service establishment",742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",N/A,https://sites.google.com/view/rabiullah-dm/home,,,"Rabiullah DM, 742148, India",742148,24.056957399999998,87.73542169999999,ChIJl-NijMOBoUIRWHdLsg88a8E,https://www.google.com/maps/place/?q=place_id:ChIJl-NijMOBoUIRWHdLsg88a8E,part_333,2026-09-20 20:18:08
SmmAura,Advertisement Agency,Marketing agency,"Marketing agency, Service establishment",742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",01615-400668,https://smmaura.com/,5.0,,"SmmAura, 742148, India",742148,14.904702499999999,33.391828499999995,ChIJu81sxVUzl2gRyP3RjvMUGeo,https://www.google.com/maps/place/?q=place_id:ChIJu81sxVUzl2gRyP3RjvMUGeo,part_333,2026-09-20 20:18:08
MIJAN Online Communication,Advertisement Agency,Computer store,"Computer store, Internet marketing service, Internet service provider, Internet shop",742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",N/A,N/A,5.0,,"96JQ+3PJ, Nadaipur, West Bengal 742151",742148,24.380188,88.2391612,ChIJ28oRq1fN-zkR5qK_uBCHV3Y,https://www.google.com/maps/place/?q=place_id:ChIJ28oRq1fN-zkR5qK_uBCHV3Y,part_333,2026-09-20 20:18:08
ahaddmexpert,Advertisement Agency,Marketing agency,"Marketing agency, Service establishment",742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",01315-604627,N/A,,,"ahaddmexpert, 742148, India",742148,14.157641199999999,-16.7424939,ChIJ88saJPfr9AkRXvVw4oyzjt0,https://www.google.com/maps/place/?q=place_id:ChIJ88saJPfr9AkRXvVw4oyzjt0,part_333,2026-09-20 20:18:08
Rafikul Islam | WordPress Web Developer & Designer,Advertisement Agency,Website designer,"Website designer, Service establishment",742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 90931 67466,https://rafikulweb.com/,,,"Rafikul Islam | WordPress Web Developer & Designer, 742148, India",742148,21.0680074,82.7525294,ChIJ4awNvBQjlkoRNI-0K_QuMCw,https://www.google.com/maps/place/?q=place_id:ChIJ4awNvBQjlkoRNI-0K_QuMCw,part_333,2026-09-20 20:18:08
Mr. Digital Solutions,Advertisement Agency,Marketing agency,"Marketing agency, Service establishment",742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",01789-066813,N/A,,,"Mr. Digital Solutions, 742148, India",742148,24.541895399999998,88.9169228,ChIJ397VR1j8QocRl4q39yw4--E,https://www.google.com/maps/place/?q=place_id:ChIJ397VR1j8QocRl4q39yw4--E,part_333,2026-09-20 20:18:08
SJ Design Market,Advertisement Agency,Graphic designer,Graphic designer,742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 73630 60835,https://sjdesignmarket.com/,5.0,4.0,"Police Station Road, Bhagwangola, Mahishasthali, West Bengal 742135",742148,24.3297487,88.3066398,ChIJn41mSmLP-zkR8iALjzF_R0g,https://www.google.com/maps/place/?q=place_id:ChIJn41mSmLP-zkR8iALjzF_R0g,part_333,2026-09-20 20:18:09
CreativePoint,Advertisement Agency,Graphic designer,"Graphic designer, Banner store, Print shop",742148,West Bengal Circle,Kolkata Region,Murshidabad Division,"Lalgola SO, Ashariadaha BO, Bajupur Madhupur BO",+91 78728 39346,N/A,5.0,1.0,"HANUMANTANAHAR, CHARDEBIPUR, Bhagwangola, Dakshin Hanumanta Nagar, West Bengal 742135","HANUMANTANAHAR, CHARDEBIPUR",24.3620959,88.3322266,ChIJv0o2IwDF-zkRdmcJel1_UpQ,https://www.google.com/maps/place/?q=place_id:ChIJv0o2IwDF-zkRdmcJel1_UpQ,part_333,2026-09-20 20:18:10
