business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Ghaseti Begum Secret Room,Motijheel,Lal Bagh, Murshidabad",Exhibitions,Historical landmark,Historical landmark,742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",N/A,N/A,4.2,,"573M+X3P, Lalbagh, Matijhil, Murshidabad, West Bengal 742149",Lalbagh,24.1549651,88.2827073,ChIJB0eLY8LX-zkRnJXH8teacrw,https://www.google.com/maps/place/?q=place_id:ChIJB0eLY8LX-zkRnJXH8teacrw,part_333,2026-09-20 20:18:49
Lalbagh Seminar Hall,Exhibitions,Convention center,Convention center,742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",+91 83718 37166,N/A,3.8,,"57JG+PGR, registry office more, Lalbagh, Murshidabad, West Bengal 742149",Lalbagh,24.181871299999997,88.27625789999999,ChIJ961wCvjW-zkRbXeU657KA6w,https://www.google.com/maps/place/?q=place_id:ChIJ961wCvjW-zkRbXeU657KA6w,part_333,2026-09-20 20:18:49
Motijheel Park & Resorts Pvt. Ltd.,Exhibitions,Tourist attraction,"Tourist attraction, Ecological park, Park",742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",+91 92323 80904,http://www.motijheelpark.com/,4.3,,"578G+63X, Motijheel Road, Motijheel, Lalbagh, Murshidabad, West Bengal 742149","Motijheel, Lalbagh",24.1617319,88.27350849999999,ChIJVVt-T0bW-zkRvYGjfXGrR28,https://www.google.com/maps/place/?q=place_id:ChIJVVt-T0bW-zkRvYGjfXGrR28,part_333,2026-09-20 20:18:49
শিয়া কমপ্লেক্স,Exhibitions,Religious organization,Religious organization,742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",N/A,N/A,4.0,44.0,"chawk, baza, Hazarduari, Murshidabad, West Bengal 742149",Hazarduari,24.186010399999997,88.2706017,ChIJkaTdH_TW-zkRtdoASG-Ptsw,https://www.google.com/maps/place/?q=place_id:ChIJkaTdH_TW-zkRtdoASG-Ptsw,part_333,2026-09-20 20:18:49
New Motijhil Park,Exhibitions,Park,Park,742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",N/A,N/A,4.4,,"Moti Jhil Rd, Berhampur, Matijhil, Murshidabad, West Bengal 742149",Berhampur,24.15854,88.2795912,ChIJCdXUYkjW-zkRrWR1x8YFfLU,https://www.google.com/maps/place/?q=place_id:ChIJCdXUYkjW-zkRrWR1x8YFfLU,part_333,2026-09-20 20:18:49
M.S SOUND AND EVENTS MONUMENTS HOUSE,Exhibitions,Public bathroom,Public bathroom,742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",N/A,N/A,5.0,,"47C4+9VR, Khagra, Berhampore, West Bengal 742103",Khagra,24.1210083,88.2571792,ChIJex_cdwB9-TkRZAuZ4YQ7yow,https://www.google.com/maps/place/?q=place_id:ChIJex_cdwB9-TkRZAuZ4YQ7yow,part_333,2026-09-20 20:18:49
Nashipur Rajbari,Exhibitions,Historical landmark,Historical landmark,742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",N/A,N/A,4.3,,"Kathgola, Murshidabad, West Bengal 742160",Kathgola,24.2070048,88.2632277,ChIJMbKGggnX-zkRUFfMHEbovcg,https://www.google.com/maps/place/?q=place_id:ChIJMbKGggnX-zkRUFfMHEbovcg,part_333,2026-09-20 20:18:49
Aitihasik Murshidabad Park,Exhibitions,Park,Park,742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",N/A,N/A,4.0,,"5739+MP5, Talgachi, West Bengal 742149",742149,24.154128999999998,88.2693559,ChIJhV7mwj7W-zkR9NRwTtm5RVA,https://www.google.com/maps/place/?q=place_id:ChIJhV7mwj7W-zkR9NRwTtm5RVA,part_333,2026-09-20 20:18:49
Ghar-i-Ghanta,Exhibitions,Historical landmark,Historical landmark,742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",N/A,N/A,4.2,,"Lalbagh, Murshidabad, West Bengal 742149",Lalbagh,24.1810026,88.2692976,ChIJg9BLXV_W-zkRtAb_SdRMv1g,https://www.google.com/maps/place/?q=place_id:ChIJg9BLXV_W-zkRtAb_SdRMv1g,part_333,2026-09-20 20:18:49
Moti Jhil Tourism Destination,Exhibitions,Tourist attraction,Tourist attraction,742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",+91 96093 39948,N/A,4.2,,"575H+MJ2, SH 11A, Lalbagh, Matijhil, Murshidabad, West Bengal 742149",Lalbagh,24.1591277,88.2790303,ChIJ23vt6UnW-zkRf1kYrnMOSYc,https://www.google.com/maps/place/?q=place_id:ChIJ23vt6UnW-zkRf1kYrnMOSYc,part_333,2026-09-20 20:18:49
B. E EVEN MANAGEMENT,Exhibitions,Event venue,Event venue,742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",+91 89262 67173,N/A,,,"Vill-Jafraganj, P. O-NashipurRajbati, Dist-Murshidabad West Bengal742160, Murshidabad, West Bengal 742160",Kathgola,24.2014648,88.2645524,ChIJ7SKfimvX-zkRB0qa1Sxt9R8,https://www.google.com/maps/place/?q=place_id:ChIJ7SKfimvX-zkRB0qa1Sxt9R8,part_333,2026-09-20 20:18:49
Motijheel Garden,Exhibitions,Garden,Garden,742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",N/A,N/A,4.4,,"573J+WGW, Lalbagh, Matijhil, Murshidabad, West Bengal 742149",Lalbagh,24.154863499999998,88.28132599999999,ChIJu3LpvXjX-zkRkv_ztWztLYM,https://www.google.com/maps/place/?q=place_id:ChIJu3LpvXjX-zkRkv_ztWztLYM,part_333,2026-09-20 20:18:49
"Shilpitirtha, Berhampur Pouro Art Gallery",Exhibitions,Art gallery,Art gallery,742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",N/A,N/A,4.4,17.0,"37R2+MRX, Old Police Line Rd, Gora Bazar, Berhampore, West Bengal 742101",Gora Bazar,24.091736899999997,88.2520952,ChIJSRWx8K99-TkRLkVod58jOqI,https://www.google.com/maps/place/?q=place_id:ChIJSRWx8K99-TkRLkVod58jOqI,part_333,2026-09-20 20:18:50
Grant Hall,Exhibitions,Historical place,Historical place,742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",N/A,http://murshidabad.net/history/places-topic-places-zone-one.htm#grant-hall,4.2,544.0,"37X2+WQF, Netaji Rd, Khagra, Berhampore, West Bengal 742101",Khagra,24.0998235,88.25191699999999,ChIJK7BDPtp9-TkR4cm8y3AG3qw,https://www.google.com/maps/place/?q=place_id:ChIJK7BDPtp9-TkR4cm8y3AG3qw,part_333,2026-09-20 20:18:50
Emami Art - A Space for Contemporary Art in Kolkata,Exhibitions,Art gallery,Art gallery,742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",+91 33 6623 2300,http://www.emamiart.com/,4.7,410.0,"777, opp. Eastern Metropolitan Bypass, Anandapur, Adarsha Nagar, Kolkata, West Bengal 700107","Anandapur, Adarsha Nagar",22.5219389,88.4009437,ChIJd6ERAAB0AjoRzd5Mc92FZTE,https://www.google.com/maps/place/?q=place_id:ChIJd6ERAAB0AjoRzd5Mc92FZTE,part_333,2026-09-20 20:18:50
Murshidabad District Khadi Mela 2024,Exhibitions,Fairground,Fairground,742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",N/A,N/A,4.2,9.0,"37W2+4F3, Gora Bazar, Berhampore, Murshidabad, West Bengal 742101",Gora Bazar,24.0952688,88.25117569999999,ChIJf0MFcQB9-TkRAwY8i7rTpHs,https://www.google.com/maps/place/?q=place_id:ChIJf0MFcQB9-TkRAwY8i7rTpHs,part_333,2026-09-20 20:18:50
Murchhana Banquet,Exhibitions,Banquet hall,"Banquet hall, Amphitheater",742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",+91 94345 29777,http://www.murchhana.com/,4.4,11.0,"Jiaganj Azimganj, West Bengal 742123",742149,24.2397474,88.2662835,ChIJtZhSoTrR-zkRipeiW2W-ZYU,https://www.google.com/maps/place/?q=place_id:ChIJtZhSoTrR-zkRipeiW2W-ZYU,part_333,2026-09-20 20:18:50
Kolkata Centre for Creativity (KCC),Exhibitions,Tourist attraction,"Tourist attraction, Art center",742149,West Bengal Circle,Kolkata Region,Murshidabad Division,"Murshidabad SO, Bhattabati BO, Gopinathpur BO",+91 33 6623 2300,https://www.kolkatacentreforcreativity.org/,4.7,1506.0,"Dipak Road, Eastern Metropolitan Bypass, Anandapur, Adarsha Nagar, Kolkata, West Bengal 700107","Anandapur, Adarsha Nagar",22.5219503,88.4008831,ChIJ3UXjGap2AjoRfBzJsSv_JZU,https://www.google.com/maps/place/?q=place_id:ChIJ3UXjGap2AjoRfBzJsSv_JZU,part_333,2026-09-20 20:18:50
