business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Baral Enterprises,Hardware Store,Hardware store,Hardware store,742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",+91 86175 81491,N/A,5.0,,"Bus Stop, Ganga,Road, near Sankarpur, Sankarpur, Jahangirpur, West Bengal 742159",742159,24.1062178,88.0431536,ChIJs_0bfM6H-TkRTM8-N78A48w,https://www.google.com/maps/place/?q=place_id:ChIJs_0bfM6H-TkRTM8-N78A48w,part_333,2026-09-20 20:19:52
S.S HARDWARE,Hardware Store,Hardware store,Hardware store,742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",+91 98746 29028,N/A,,,"MURSHIDABAD HIGH, S.S HARDWARE NEAR BY HIGH SCHOOL,NUT MUNDIR, School Road, West Bengal 742159",742159,24.1268712,87.9426149,ChIJ4Yr2TT6J-TkR3YVqEHla5Ps,https://www.google.com/maps/place/?q=place_id:ChIJ4Yr2TT6J-TkR3YVqEHla5Ps,part_333,2026-09-20 20:19:52
"MIRZA HARDWARE , PARULIA ,MURSHIDABAD,731244",Hardware Store,Hardware store,Hardware store,742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",N/A,N/A,5.0,,"3WG5+7PJ, Road, Parulia, West Bengal 742159",742159,24.075717599999997,87.9092526,ChIJ0SyxVoeL-TkRTpqG8nTObiQ,https://www.google.com/maps/place/?q=place_id:ChIJ0SyxVoeL-TkRTpqG8nTObiQ,part_333,2026-09-20 20:19:52
ASLAM HARDWARE,Hardware Store,Hardware store,Hardware store,742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",+91 91397 26181,N/A,5.0,,"Unnamed Road, Pudda, Mamadpur, West Bengal 742159",742159,24.0856523,87.96103839999999,ChIJo4Ico8SJ-TkRavxn29CwnAc,https://www.google.com/maps/place/?q=place_id:ChIJo4Ico8SJ-TkRavxn29CwnAc,part_333,2026-09-20 20:19:52
7 star hard work,Hardware Store,Hardware store,Hardware store,742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",N/A,N/A,,,"Vh, Hh, Jahangirpur, West Bengal 742159",742159,24.105031699999998,88.0449575,ChIJdYx230SH-TkRgfebpNdr1Bc,https://www.google.com/maps/place/?q=place_id:ChIJdYx230SH-TkRgfebpNdr1Bc,part_333,2026-09-20 20:19:52
SHUBHAM HARDWARE,Hardware Store,Hardware store,Hardware store,742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",+91 83888 86827,N/A,,,"JOYPUR MURSHIDABAD JOYPUR ROAD, West Bengal 742159",742159,24.1272803,87.9473222,ChIJW1_R2hGJ-TkRTGPVfSdKYsU,https://www.google.com/maps/place/?q=place_id:ChIJW1_R2hGJ-TkRTGPVfSdKYsU,part_333,2026-09-20 20:19:52
New Rajlaxmi Hardware,Hardware Store,Hardware store,Hardware store,742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",N/A,N/A,4.1,,"Jhikta, West Bengal 742159",742159,24.1271103,87.9623142,ChIJjfnC-aKJ-TkRV_bp3YJ-M0Y,https://www.google.com/maps/place/?q=place_id:ChIJjfnC-aKJ-TkRV_bp3YJ-M0Y,part_333,2026-09-20 20:19:52
Suhana Hardware,Hardware Store,Hardware store,Hardware store,742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",+91 76024 51031,N/A,5.0,,West Bengal 742147,742159,24.0562912,87.97585649999999,ChIJPSfY996I-TkRoMS2FricD4Q,https://www.google.com/maps/place/?q=place_id:ChIJPSfY996I-TkRoMS2FricD4Q,part_333,2026-09-20 20:19:52
SURAJ HARDWARE,Hardware Store,Hardware store,Hardware store,742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",+91 87684 46740,N/A,3.0,,"DHANIGRAM NONADANGA MURSHIDABAD, DHANIGRAMN NEAR SCHOOL, West Bengal 731241",742159,24.1713851,87.96807729999999,ChIJofpOs2kn-jkRK41aWQopjPI,https://www.google.com/maps/place/?q=place_id:ChIJofpOs2kn-jkRK41aWQopjPI,part_333,2026-09-20 20:19:52
DUI BON HARDWARE,Hardware Store,Hardware store,"Hardware store, Building materials store",742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",+91 92845 47657,N/A,4.7,,"3WMP+P9F, Ishanpur Rd, Punia, West Bengal 742159",742159,24.0843137,87.9359106,ChIJO-D1sF2J-TkROgH4CUL2cNg,https://www.google.com/maps/place/?q=place_id:ChIJO-D1sF2J-TkROgH4CUL2cNg,part_333,2026-09-20 20:19:52
Ebrahim Ismaile Welding Shop,Hardware Store,Hardware store,Hardware store,742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",+91 97351 36249,N/A,,,"Sadol Busstand, West Bengal 742159",742159,24.1030254,88.0515084,ChIJe6AD2v6H-TkROnlahGY1CDM,https://www.google.com/maps/place/?q=place_id:ChIJe6AD2v6H-TkROnlahGY1CDM,part_333,2026-09-20 20:19:52
Siddika Hardware,Hardware Store,Hardware store,Hardware store,742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",+91 70290 79042,N/A,,,"3XJM+RRR, নগর, West Bengal 742159",742159,24.082269,87.9846342,ChIJJ42E3xqJ-TkRSKvA1qwmzyY,https://www.google.com/maps/place/?q=place_id:ChIJJ42E3xqJ-TkRSKvA1qwmzyY,part_333,2026-09-20 20:19:52
Suman Hardware,Hardware Store,Hardware store,"Hardware store, Home goods store",742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",+91 76790 50067,N/A,4.4,,"Vill+Po~Bishnupur, P.O~Bishnupur,P.S~Margram,Pin~731244,Birbhum KomonDighi, near Bodhoday Vidya Mandir, Bishnupur, West Bengal 731244",742159,24.1319268,87.884411,ChIJ7XT4KXgg-jkRsNOIk4D35NY,https://www.google.com/maps/place/?q=place_id:ChIJ7XT4KXgg-jkRsNOIk4D35NY,part_333,2026-09-20 20:19:52
SABNAM HARDWARE,Hardware Store,Hardware store,Hardware store,742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",N/A,N/A,3.0,,"33MH+M6M, Gantla Ghat Rd, Gantla, West Bengal 742136",742159,24.0843316,88.0784678,ChIJx9K8zTOH-TkRAKZPTmaK5KE,https://www.google.com/maps/place/?q=place_id:ChIJx9K8zTOH-TkRAKZPTmaK5KE,part_333,2026-09-20 20:19:52
Gouranga Hardware,Hardware Store,Hardware store,Hardware store,742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",N/A,N/A,4.5,,"Jhikta, West Bengal 742159",742159,24.1272326,87.9621023,ChIJjb9UzNmJ-TkRxppkZIh186U,https://www.google.com/maps/place/?q=place_id:ChIJjb9UzNmJ-TkRxppkZIh186U,part_333,2026-09-20 20:19:52
K.G.N STORE,Hardware Store,Hardware store,Hardware store,742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",+91 86173 86791,N/A,4.0,,"Khaspur, Jhilli ,Murshidabad, near Bus Stop, Khaspur, West Bengal 731241",742159,24.179052499999997,87.9427822,ChIJpWLLUoYn-jkRpMzuLSYvX74,https://www.google.com/maps/place/?q=place_id:ChIJpWLLUoYn-jkRpMzuLSYvX74,part_333,2026-09-20 20:19:52
Purna Hardware,Hardware Store,Hardware store,Hardware store,742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",N/A,N/A,5.0,,"3WP5+6H6, Parulia, West Bengal 731244",742159,24.0855391,87.9088811,ChIJJR36EACL-TkRPbl1ZxpYtlA,https://www.google.com/maps/place/?q=place_id:ChIJJR36EACL-TkRPbl1ZxpYtlA,part_333,2026-09-20 20:19:52
RIYAHARDWARE,Hardware Store,Hardware store,"Hardware store, Building materials store",742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",+91 99330 37601,N/A,5.0,3.0,"village-solepara po-kumarsunda ps-kandi dist-Murshidabad, West Bengal 742136",742159,24.0718596,88.08953489999999,ChIJ34QRAQCB-TkRsmzUVdwJcKg,https://www.google.com/maps/place/?q=place_id:ChIJ34QRAQCB-TkRsmzUVdwJcKg,part_333,2026-09-20 20:19:52
Milan Hardwares,Hardware Store,Hardware store,Hardware store,742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",+91 62979 34922,N/A,4.8,17.0,"Hospital Rd, Panchgram, West Bengal 742184",742159,24.1974019,88.0111739,ChIJyyoUOO8n-jkRwdwkVBRbHsg,https://www.google.com/maps/place/?q=place_id:ChIJyyoUOO8n-jkRwdwkVBRbHsg,part_333,2026-09-20 20:19:52
NEK HARDWARE,Hardware Store,Hardware store,Hardware store,742159,West Bengal Circle,Kolkata Region,Murshidabad Division,"Nagar SO Murshidabad, Atai BO, Bhalkundi BO",+91 90938 18150,N/A,4.2,10.0,"Dunigram Rd, Dunigram, West Bengal 731241",742159,24.2121602,87.9105146,ChIJw5dgl2gh-jkRGo1AGyftOIE,https://www.google.com/maps/place/?q=place_id:ChIJw5dgl2gh-jkRGo1AGyftOIE,part_333,2026-09-20 20:19:52
