business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Dr. Shrikant Giri, MD Pediatrics - Best Child Doctor In Bilaspur",Pediatrician and Child Clinic,Pediatrician,Pediatrician,742160,West Bengal Circle,Kolkata Region,Murshidabad Division,Nashipur Rajbati SO,+91 98261 83363,https://www.linqmd.com/doctor/shrikant-giri,4.9,,"Shri shishu bhawan hospital, idgah raod, Near Madhyanagari Chowk Infront Of Press Club Building, Chhattisgarh 495001",742160,22.0838164,82.151353,ChIJG75791oLKDoRtZClew1ARCM,https://www.google.com/maps/place/?q=place_id:ChIJG75791oLKDoRtZClew1ARCM,part_333,2026-09-20 20:20:27
BalGopal Children Hospital,Pediatrician and Child Clinic,Children's hospital,"Children's hospital, Research institute",742160,West Bengal Circle,Kolkata Region,Murshidabad Division,Nashipur Rajbati SO,+91 77142 25610,http://www.balgopalhospital.com/,4.9,,"Near Mahila Police Thane, Byron Bazar Rd, Byron Bazar, Raipur, Chhattisgarh 492001","Byron Bazar, Janta Colony",21.2350499,81.6414499,ChIJp-ZG06XdKDoRV7wBPIehbn8,https://www.google.com/maps/place/?q=place_id:ChIJp-ZG06XdKDoRV7wBPIehbn8,part_333,2026-09-20 20:20:28
Dr. Wajid Ali (Child Specialist and Pediatrician),Pediatrician and Child Clinic,Pediatrician,Pediatrician,742160,West Bengal Circle,Kolkata Region,Murshidabad Division,Nashipur Rajbati SO,+91 78899 88123,N/A,4.3,,"Sheribhat Road, Alamgari Bazar, Srinagar, Jammu and Kashmir 190011",Alamgari Bazar,34.116958,74.8052052,ChIJnUetfP2F4TgR-KcNdoOv6Vg,https://www.google.com/maps/place/?q=place_id:ChIJnUetfP2F4TgR-KcNdoOv6Vg,part_333,2026-09-20 20:20:28
Dr Rohit Patil’s-Little Star Paediatric Clinic लिटल स्टार बालचिकि्त्सालय,Pediatrician and Child Clinic,Pediatric clinic,"Pediatric clinic, Neonatal physician, Pediatrician",742160,West Bengal Circle,Kolkata Region,Murshidabad Division,Nashipur Rajbati SO,+91 82756 29990,N/A,4.9,,"X8R8+5CC shankheshwar heritage, Carnival in lane, opposite HDFC bank Hotel, Narhar Colony, Nachane, Maharashtra 415612",Narhar Colony,16.9904375,73.3160625,ChIJw6E5ZAAN6jsRPnp-TupoOTw,https://www.google.com/maps/place/?q=place_id:ChIJw6E5ZAAN6jsRPnp-TupoOTw,part_333,2026-09-20 20:20:28
"Dr. Akshay Karpe, Children's Clinic",Pediatrician and Child Clinic,Pediatrician,Pediatrician,742160,West Bengal Circle,Kolkata Region,Murshidabad Division,Nashipur Rajbati SO,+91 98228 64286,N/A,5.0,,"G4P5+W6V, Dhandarphal Bk, Maharashtra 422603",742160,19.5373564,74.1080568,ChIJcUAbM-4H3TsRC2-HmlnvG5o,https://www.google.com/maps/place/?q=place_id:ChIJcUAbM-4H3TsRC2-HmlnvG5o,part_333,2026-09-20 20:20:28
Gul Posh Kids Clinic (Dr Umer Hayat),Pediatrician and Child Clinic,Pediatric clinic,Pediatric clinic,742160,West Bengal Circle,Kolkata Region,Murshidabad Division,Nashipur Rajbati SO,N/A,N/A,5.0,,"Boatmen Colony, Bemina, Srinagar, Jammu and Kashmir 190018","Boatmen Colony, Bemina",34.086522599999995,74.7661816,ChIJFxOkLLib4TgRXnNSAUMHbCI,https://www.google.com/maps/place/?q=place_id:ChIJFxOkLLib4TgRXnNSAUMHbCI,part_333,2026-09-20 20:20:28
Dr Preeti Garg - Child Specialist,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Doctor",742160,West Bengal Circle,Kolkata Region,Murshidabad Division,Nashipur Rajbati SO,+91 79765 69076,N/A,5.0,,"391, near B. K. Kaul Nagar, Ramnagar, Gyan Vihar Colony, Ajmer, Rajasthan 305004","Ramnagar, Gyan Vihar Colony",26.4690406,74.601317,ChIJ1Z17d-3nazkRipFR352z_XE,https://www.google.com/maps/place/?q=place_id:ChIJ1Z17d-3nazkRipFR352z_XE,part_333,2026-09-20 20:20:28
Dr. Furqan Saleem | Child Specialist Lahore | Pediatrician & Neonatologist,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Child health care center, Children Policlinic, Doctor, Medical Center, Neonatal physician, Pediatric clinic",742160,West Bengal Circle,Kolkata Region,Murshidabad Division,Nashipur Rajbati SO,0332 4642002,http://drfurqansaleem.com/,4.9,,"Ammar Medical Complex:, Jail Rd, Gulberg V, Lahore, 54000, Pakistan",Gulberg V,31.5350005,74.3431695,ChIJOVoJgSAFGTkRYIeiHW6tWrM,https://www.google.com/maps/place/?q=place_id:ChIJOVoJgSAFGTkRYIeiHW6tWrM,part_333,2026-09-20 20:20:28
Dr Mario J Bukelo-Child Specialist in Mangalore,Pediatrician and Child Clinic,Pediatrician,"Pediatrician, Neonatal physician",742160,West Bengal Circle,Kolkata Region,Murshidabad Division,Nashipur Rajbati SO,+91 98807 85035,https://drmariobukelo.com/,4.8,,"Lobby -level 1, Athena Hospital, Falnir Rd, opposite Malabar Gold, Bendoor, Mangaluru, Karnataka 575001",Bendoor,12.8679417,74.8482459,ChIJe62-HJ1bozsRWkHmZvx26e0,https://www.google.com/maps/place/?q=place_id:ChIJe62-HJ1bozsRWkHmZvx26e0,part_333,2026-09-20 20:20:28
Kid's Clinic - Dr. Greeshma Nair,Pediatrician and Child Clinic,Pediatrician,Pediatrician,742160,West Bengal Circle,Kolkata Region,Murshidabad Division,Nashipur Rajbati SO,+91 93210 35085,N/A,5.0,,"Shop No.1, School, Sundarabai Sabhagruha Compound, D.D. Cross, near Swami Vivekanand Road, Dombivli, Shastri Nagar, Dombivli West, Kalyan, Maharashtra 421202","Dombivli, Shastri Nagar, Dombivli West",19.2190281,73.0836554,ChIJA8Da-q6_5zsRRYhfXCUtUE0,https://www.google.com/maps/place/?q=place_id:ChIJA8Da-q6_5zsRRYhfXCUtUE0,part_333,2026-09-20 20:20:28
