business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DTDC,Courier and Cargo Service,Courier service,Courier service,742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",+91 90882 69253,http://www.dtdc.in/,3.9,73.0,"4GCX+Q4H, Joyrampur, Domkal, Ramna Etbarnagar Basantapur, West Bengal 742303",Joyrampur,24.1219346,88.5478638,ChIJq6qq6kRf-TkRxEzoyWEEcK8,https://www.google.com/maps/place/?q=place_id:ChIJq6qq6kRf-TkRxEzoyWEEcK8,part_333,2026-09-20 20:24:25
Yogayog Courier Service,Courier and Cargo Service,Courier service,Courier service,742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",+91 98001 68271,http://www.yogayog.com/,,,"02 Domkal Domkal Old BDO More, Domkal, West Bengal 742303",742166,24.120581299999998,88.54360179999999,ChIJ2-HNZ1Zf-TkRX9nKNIHuxaw,https://www.google.com/maps/place/?q=place_id:ChIJ2-HNZ1Zf-TkRX9nKNIHuxaw,part_333,2026-09-20 20:24:25
DTDC,Courier and Cargo Service,Courier service,Courier service,742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",+91 78721 69023,http://www.dtdc.in/,4.0,10.0,"2GPQ+4Q6, Bagdanga Main Bazar, Madhurkul, West Bengal 742406",742166,24.0352788,88.5394034,ChIJj5Yu2hhc-TkREqTkOkWf9mw,https://www.google.com/maps/place/?q=place_id:ChIJj5Yu2hhc-TkREqTkOkWf9mw,part_333,2026-09-20 20:24:25
Biswas Communication,Courier and Cargo Service,Courier service,Courier service,742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",N/A,N/A,4.3,9.0,"Joyrampur, Domkal, Ramna Etbarnagar Basantapur, West Bengal 742303",Joyrampur,24.1217963,88.5478292,ChIJAVsX_Chf-TkRctW2Nj5w4b0,https://www.google.com/maps/place/?q=place_id:ChIJAVsX_Chf-TkRctW2Nj5w4b0,part_333,2026-09-20 20:24:25
Ekart Logistics,Courier and Cargo Service,Corporate office,Corporate office,742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",N/A,N/A,4.4,44.0,"4GCX+W77, Joyrampur, Domkal, Ramna Etbarnagar Basantapur, West Bengal 742303",Joyrampur,24.1110188,88.54572809999999,ChIJj3EI2YJf-TkRmzWgmr0n7GM,https://www.google.com/maps/place/?q=place_id:ChIJj3EI2YJf-TkRmzWgmr0n7GM,part_333,2026-09-20 20:24:25
Lochamati Dangapara Post Office,Courier and Cargo Service,Post office,Post office,742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",N/A,https://www.indiapost.gov.in/vas/pages/LocatePostOffices.aspx,4.7,3.0,"3F75+2X2, Lochanmati Dangapara Road, Taluk Murshidabad, District Murshidabad, Lochanmati Dangapara, West Bengal 742166",742166,24.062517,88.45988489999999,ChIJO-qhh79g-TkRVbqrGqJ7exw,https://www.google.com/maps/place/?q=place_id:ChIJO-qhh79g-TkRVbqrGqJ7exw,part_333,2026-09-20 20:24:25
Hariharpara Post Office,Courier and Cargo Service,Shipping and mailing service,Shipping and mailing service,742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",N/A,N/A,4.6,5.0,"2CRF+WXQ, Berhampore - Amtala Rd, Hariharpara, West Bengal 742166",742166,24.0426339,88.42524019999999,ChIJ8VhFXABh-TkRvbfyAkZfz6U,https://www.google.com/maps/place/?q=place_id:ChIJ8VhFXABh-TkRvbfyAkZfz6U,part_333,2026-09-20 20:24:25
Tartipur Post Office,Courier and Cargo Service,Post office,Post office,742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",+91 97349 11017,N/A,3.0,4.0,"3FP7+HXW, Tartipur, Janarddanpur, West Bengal 742166",742166,24.0864764,88.4649513,ChIJP9-qyolg-TkR67aI6EnLo6c,https://www.google.com/maps/place/?q=place_id:ChIJP9-qyolg-TkR67aI6EnLo6c,part_333,2026-09-20 20:24:25
Biswas travels,Courier and Cargo Service,Post office,Post office,742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",N/A,https://www.indiapost.gov.in/VAS/Pages/LocatePostOffices.aspx,4.1,19.0,"2CVF+3X8, Hariharpara, West Bengal 742166",742166,24.0427563,88.4248892,ChIJdxyukDRh-TkRGTU72jF12I8,https://www.google.com/maps/place/?q=place_id:ChIJdxyukDRh-TkRGTU72jF12I8,part_333,2026-09-20 20:24:25
SAHIL COMMUNICATION,Courier and Cargo Service,Courier service,Courier service,742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",+91 78721 69023,N/A,,,"Bagdanga, Domkal, West Bengal 742406",742166,24.0353075,88.5394673,ChIJgwYDsXBd-TkREt8Mmv4Z570,https://www.google.com/maps/place/?q=place_id:ChIJgwYDsXBd-TkREt8Mmv4Z570,part_333,2026-09-20 20:24:25
Swaruppur Post Office,Courier and Cargo Service,Post office,Post office,742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",N/A,N/A,4.4,,"3F6M+MHM, Swaruppur, Hariharpara, West Bengal 742166",742166,24.0617169,88.48393569999999,ChIJcw1F0x5e-TkRo4F_I-36Uq8,https://www.google.com/maps/place/?q=place_id:ChIJcw1F0x5e-TkRo4F_I-36Uq8,part_333,2026-09-20 20:24:27
