business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Rupa Makeover & Hairstyle,Unisex Salon,Beauty Parlour,Beauty Parlour,742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",+91 75859 30331,N/A,5.0,1.0,"4GCV+4C7, Domkal, Ramna Etbarnagar Basantapur, West Bengal 742303",742166,24.1201376,88.5434855,ChIJebusKgBf-TkRCDp1TznOc6k,https://www.google.com/maps/place/?q=place_id:ChIJebusKgBf-TkRCDp1TznOc6k,part_333,2026-09-20 20:24:12
মন লেডিস বিউটি পার্লার,Unisex Salon,Beauty Parlour,Beauty Parlour,742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",N/A,N/A,5.0,1.0,"4G9X+XGV, Domkal, Ramna Etbarnagar Basantapur, West Bengal 742303",742166,24.1199858,88.5487876,ChIJ-VdRWgBf-TkR-hUVX0gclD4,https://www.google.com/maps/place/?q=place_id:ChIJ-VdRWgBf-TkR-hUVX0gclD4,part_333,2026-09-20 20:24:12
STYLISH GENTS PARLOUR,Unisex Salon,Hair salon,Hair salon,742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",+91 97354 55865,N/A,4.0,1.0,"NA VATSALA Domkal Boxipur, Domkal VATSALA BOKULTALA 742303, West Bengal 742406",742166,24.1082523,88.55585889999999,ChIJs-3e33hf-TkRAX8WpBPb1T4,https://www.google.com/maps/place/?q=place_id:ChIJs-3e33hf-TkRAX8WpBPb1T4,part_333,2026-09-20 20:24:12
AK GENTS PARLAR একে জেন্টস্ পার্লার,Unisex Salon,Barber shop,Barber shop,742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",+91 97329 27006,https://www.facebook.com/profile.php?id=100042710744037,4.5,44.0,"RH48+G37, Betai, West Bengal 741163",742166,23.806287299999997,88.565214,ChIJ6xPunddG-TkRn0TYM950ewQ,https://www.google.com/maps/place/?q=place_id:ChIJ6xPunddG-TkRn0TYM950ewQ,part_333,2026-09-20 20:24:13
Famous Gents parlour- ||Hair dresser||Salon||Barber Shop|| men's Beauty parlour||Hair cutting||Men's salon||Skin care||,Unisex Salon,Beauty Parlour,"Beauty Parlour, Barber shop, Hairdresser",742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",+91 98309 32080,N/A,4.9,17.0,"Nanna hospital road, near Yubak sangha club, Dighirpar, Halisahar, Kanchrapara, West Bengal 743135","Dighirpar, Halisahar",22.916974399999997,88.4434871,ChIJ7d-A8J6V-DkR_46nWofgCtk,https://www.google.com/maps/place/?q=place_id:ChIJ7d-A8J6V-DkR_46nWofgCtk,part_333,2026-09-20 20:24:13
Fashion gents salon,Unisex Salon,Hair salon,Hair salon,742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",N/A,N/A,4.5,2.0,"V87V+6PW, Guchaitpara, West Bengal 712139",Guchaitpara,22.862778499999997,88.3438424,ChIJSUZ0fw-R-DkR-H9NBZ4zfz4,https://www.google.com/maps/place/?q=place_id:ChIJSUZ0fw-R-DkR-H9NBZ4zfz4,part_333,2026-09-20 20:24:13
Mukesh Saloon,Unisex Salon,Hair salon,Hair salon,742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",+91 76020 24025,N/A,,,"Na Domkal Domkal Kuthi More, 742303, near Sbi Atm, West Bengal 742303",742166,24.124825899999998,88.5369489,ChIJhwnozMBf-TkRZWE5jWA82pg,https://www.google.com/maps/place/?q=place_id:ChIJhwnozMBf-TkRZWE5jWA82pg,part_333,2026-09-20 20:24:13
Suvo Hair Cutting Salon,Unisex Salon,Hair salon,Hair salon,742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",+91 97750 39987,N/A,5.0,,"SUBRATA PRAMANIK, Islampur, West Bengal 742304",742166,24.158563899999997,88.4671216,ChIJW2eAoULf-zkRXDVyLmiNqyc,https://www.google.com/maps/place/?q=place_id:ChIJW2eAoULf-zkRXDVyLmiNqyc,part_333,2026-09-20 20:24:13
Salon,Unisex Salon,Hair salon,"Hair salon, Boutique",742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",+91 80133 09441,N/A,4.5,,"Noshipur, Nashipur, Islampur, West Bengal 742304",Nashipur,24.1576415,88.46657809999999,ChIJCe1Vnorf-zkRMb4GY_gSQlo,https://www.google.com/maps/place/?q=place_id:ChIJCe1Vnorf-zkRMb4GY_gSQlo,part_333,2026-09-20 20:24:13
DA MY FRIEND SALON,Unisex Salon,Hair salon,Hair salon,742166,West Bengal Circle,Kolkata Region,Murshidabad Division,"Hariharpara SO, Choa BO, Gaznipur BO",+91 98838 02783,N/A,5.0,,"25, Madhupur Rd, Berhampore, West Bengal 742121",742166,23.9489256,88.46334949999999,ChIJ1a9R0lpn-TkR_y4X3B4ht94,https://www.google.com/maps/place/?q=place_id:ChIJ1a9R0lpn-TkR_y4X3B4ht94,part_333,2026-09-20 20:24:13
