business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Biswas Cycle Shop,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 87778 66899,N/A,4.8,93.0,"Laxmiganj Bazar, Urdi Bazar, Chandannagar, West Bengal 712136","Laxmiganj Bazar, Urdi Bazar",22.865756899999997,88.3709871,ChIJsY0MRg6R-DkRTPaEX6DwLiU,https://www.google.com/maps/place/?q=place_id:ChIJsY0MRg6R-DkRTPaEX6DwLiU,part_334,2026-09-20 20:17:46
Saha cycle store,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 70038 02106,N/A,4.7,3.0,"Kantadanga Rd, Premchand Nagar, Kankinara, Jagatdal, Bhatpara, West Bengal 743126","Premchand Nagar, Kankinara, Jagatdal",22.860944999999997,88.4008901,ChIJvceVARmX-DkR3lpbQNLoxpc,https://www.google.com/maps/place/?q=place_id:ChIJvceVARmX-DkR3lpbQNLoxpc,part_334,2026-09-20 20:17:46
MAA TARA CYCLE REPAIRING AND PARTS SHOP,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",N/A,N/A,,,"V9HG+FQQ, Taldanga Rd, Kaeipara, Dharampur, Chandannagar, Chinsurah, West Bengal 712105","Kaeipara, Dharampur",22.8787189,88.3769725,ChIJT7A2NwCR-DkRIdGn9DEgiNk,https://www.google.com/maps/place/?q=place_id:ChIJT7A2NwCR-DkRIdGn9DEgiNk,part_334,2026-09-20 20:17:46
New Dupleix Cycle Stores,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 79802 16962,N/A,3.3,28.0,"GT Rd, Laxmiganj Bazar, Urdi Bazar, Chandannagar, West Bengal 712136","Laxmiganj Bazar, Urdi Bazar",22.865375,88.3715024,ChIJBz-6Nw6R-DkRiG_B24tvTSs,https://www.google.com/maps/place/?q=place_id:ChIJBz-6Nw6R-DkRiG_B24tvTSs,part_334,2026-09-20 20:17:46
Radha Rani Cycle Stores,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 98300 56524,N/A,3.4,20.0,"Laxmiganj Bazar, Sarishapara, Chandannagar, West Bengal 712136","Laxmiganj Bazar, Sarishapara",22.8653361,88.371887,ChIJ6YE9Lg6R-DkRixeLsTAmSw4,https://www.google.com/maps/place/?q=place_id:ChIJ6YE9Lg6R-DkRixeLsTAmSw4,part_334,2026-09-20 20:17:46
Lakshmi Cycle Store,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 98311 78490,N/A,3.6,32.0,"V98C+8FC, GT Rd, Urdi Bazar, Chandannagar, West Bengal 712136",Urdi Bazar,22.8658133,88.37113219999999,ChIJ_xTURw6R-DkRIWuT4sUKbRU,https://www.google.com/maps/place/?q=place_id:ChIJ_xTURw6R-DkRIWuT4sUKbRU,part_334,2026-09-20 20:17:46
Pal Cycle Repairing Shop,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 90515 74512,N/A,,,"Narua Thanar More, near Ration Shop, Chandannagar, West Bengal 712136",Surerpukur,22.8720112,88.3652592,ChIJq5-w27uR-DkRW4KmgYamulE,https://www.google.com/maps/place/?q=place_id:ChIJq5-w27uR-DkRW4KmgYamulE,part_334,2026-09-20 20:17:46
Shreeniwas Jalan (Cycle Store),Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 98302 10291,N/A,4.8,4.0,"Laxmiganj Bazar, Urdi Bazar, Chandannagar, West Bengal 712136","Laxmiganj Bazar, Urdi Bazar",22.865050099999998,88.3722659,ChIJcZ6cKw6R-DkRMRlVPqP09jI,https://www.google.com/maps/place/?q=place_id:ChIJcZ6cKw6R-DkRMRlVPqP09jI,part_334,2026-09-20 20:17:46
Bike Repairing & Service Centar,Bicycle Shop and Repair,Motorcycle shop,"Motorcycle shop, Repair service",743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",N/A,N/A,,,"Goldar Atha Mill Bike Point, Notun Gram, Banarjee Para, Shyamnagar, Bhatpara, West Bengal 743127","Notun Gram, Banarjee Para, Shyamnagar",22.838663699999998,88.4003449,ChIJH6d1WmOX-DkRlT8bp91djgc,https://www.google.com/maps/place/?q=place_id:ChIJH6d1WmOX-DkRlT8bp91djgc,part_334,2026-09-20 20:17:46
BABAI MOTOR BIKE GARAGE,Bicycle Shop and Repair,Grocery store,Grocery store,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 90887 35852,N/A,4.1,26.0,"VC32+MC9, Sthirpara, Kankinara, Jagatdal, Kolkata, Bhatpara, West Bengal 743126","Sthirpara, Kankinara, Jagatdal",22.854174999999998,88.401119,ChIJuVf6MCuR-DkRR3v-YqX_6m0,https://www.google.com/maps/place/?q=place_id:ChIJuVf6MCuR-DkRR3v-YqX_6m0,part_334,2026-09-20 20:17:46
