business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Pure Veg NO ONION NO GARLIC,Pure Veg Restaurant,Restaurant,Restaurant,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",N/A,N/A,3.7,3.0,"Chinsurah Sta Rd, Leninnagar, Chinsurah R S, Chinsurah, West Bengal 712102","Leninnagar, Chinsurah R S",22.8930427,88.375175,ChIJSxI3NQCR-DkRiJtQIvHwY6I,https://www.google.com/maps/place/?q=place_id:ChIJSxI3NQCR-DkRiJtQIvHwY6I,part_334,2026-09-20 20:17:33
Rasoi Mummy Ki,Pure Veg Restaurant,Restaurant,Restaurant,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 97062 63854,N/A,4.4,9.0,"Hatkhola, Chandannagar, West Bengal 712137",Hatkhola,22.852055399999998,88.36818749999999,ChIJpRFNVMyR-DkR1TGZ7h_U7pE,https://www.google.com/maps/place/?q=place_id:ChIJpRFNVMyR-DkR1TGZ7h_U7pE,part_334,2026-09-20 20:17:33
Naki Saki Chandannagar,Pure Veg Restaurant,Restaurant,"Restaurant, Asian restaurant",743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 82405 23484,https://nakisaki.com/,4.6,1120.0,"Holding no, SARANG-II, 502/A, GT Rd, Mahadanga Colony, Mankundu, Chandannagar, West Bengal 712136","Mahadanga Colony, Mankundu",22.852083099999998,88.3641845,ChIJ42yE-NaR-DkRdOp7RT3xWWI,https://www.google.com/maps/place/?q=place_id:ChIJ42yE-NaR-DkRdOp7RT3xWWI,part_334,2026-09-20 20:17:33
Aami Bangali Restaurant Chandannagar,Pure Veg Restaurant,Indian restaurant,Indian restaurant,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 79800 74788,N/A,4.5,393.0,"Bhudeb Mukherjee Rd, Barabazar, Chandannagar, West Bengal 712136",Barabazar,22.8610784,88.36866169999999,ChIJCcOFKmiR-DkRVGgen9SK-xU,https://www.google.com/maps/place/?q=place_id:ChIJCcOFKmiR-DkRVGgen9SK-xU,part_334,2026-09-20 20:17:33
Swade Bangaliyana,Pure Veg Restaurant,Restaurant,Restaurant,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 70038 18438,N/A,4.7,14.0,"opposite axis bank, Barabazar, Chandannagar, West Bengal 712136",Barabazar,22.8603178,88.3693952,ChIJS9MpnaCR-DkRECytUAsZmfo,https://www.google.com/maps/place/?q=place_id:ChIJS9MpnaCR-DkRECytUAsZmfo,part_334,2026-09-20 20:17:33
Shree radhe veg restaurant,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",N/A,N/A,3.6,7.0,"184, Kabi Guru Rabindra Path Rd, lichu bagan, Halisahar, Kanchrapara, West Bengal 743145","lichu bagan, Halisahar",22.948917599999998,88.438997,ChIJW1qkcgCV-DkRELO-wssBtzE,https://www.google.com/maps/place/?q=place_id:ChIJW1qkcgCV-DkRELO-wssBtzE,part_334,2026-09-20 20:17:33
Barbeque Nation - Chandan Nagar,Pure Veg Restaurant,Restaurant,"Restaurant, Buffet restaurant",743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 80 6405 8007,https://www.barbequenation.com/restaurants/chandan-nagar/rash-behari?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=chandan-nagar-rash-behari,4.5,530.0,"Ward No. 10, ACASA building, 3rd Floor, Rash Behari Ave, Bagbazar, Chandannagar, Chinsurah, West Bengal 712136","Bagbazar, Kolupukur Panchanantala",22.8643106,88.36538999999999,ChIJFwjACtWR-DkRDLuJ9Fl7vIU,https://www.google.com/maps/place/?q=place_id:ChIJFwjACtWR-DkRDLuJ9Fl7vIU,part_334,2026-09-20 20:17:33
Green Olive,Pure Veg Restaurant,Restaurant,Restaurant,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 91100 77842,N/A,4.4,40.0,"Nichupatty, Laxmiganj Bazar, Chandannagar, West Bengal 712136",Laxmiganj Bazar,22.864726899999997,88.37536759999999,ChIJBzpDAzyR-DkRsTx1sHyQrwY,https://www.google.com/maps/place/?q=place_id:ChIJBzpDAzyR-DkRsTx1sHyQrwY,part_334,2026-09-20 20:17:33
Food & Fun Restro Cafe,Pure Veg Restaurant,Restaurant,Restaurant,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",N/A,https://food-fun-restro.grexa.site/,4.9,17.0,"83.B.C Roy path ganguli para, 83, Dr BC Roy Rd, gangulipara, Shyamnagar, West Bengal 743127","gangulipara, Shyamnagar",22.8278259,88.38079719999999,ChIJcQcLDrmR-DkRRjP7-4zRQ1A,https://www.google.com/maps/place/?q=place_id:ChIJcQcLDrmR-DkRRjP7-4zRQ1A,part_334,2026-09-20 20:17:33
Baleshwar Hindu Hotel,Pure Veg Restaurant,Fast food restaurant,"Fast food restaurant, Restaurant",743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 70034 01717,N/A,3.6,9.0,"Kankinara Bazar, ESD Machinery, Jagatdal, Bhatpara, West Bengal 743126","ESD Machinery, Jagatdal",22.865081999999997,88.396574,ChIJuaOQPV2R-DkR_qKrJCzhS1g,https://www.google.com/maps/place/?q=place_id:ChIJuaOQPV2R-DkR_qKrJCzhS1g,part_334,2026-09-20 20:17:33
Oriental Pearl,Pure Veg Restaurant,Chinese restaurant,Chinese restaurant,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 82820 90226,N/A,4.7,326.0,"Nilkantha Sarkar St, Bagbazar, Sukhsanatantala, Chinsurah, Chandannagar, West Bengal 712136","Bagbazar, Sukhsanatantala",22.861701999999998,88.3669017,ChIJY_Pn9m6R-DkRe7DzoeJNjE8,https://www.google.com/maps/place/?q=place_id:ChIJY_Pn9m6R-DkRe7DzoeJNjE8,part_334,2026-09-20 20:17:33
THE FUSION FOOD (BY CHEF AR),Pure Veg Restaurant,Restaurant,Restaurant,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 93316 96965,https://the-fusion-food-by-chef.grexa.site/,4.7,27.0,"Bankim Nagar, Basak Para, 102, Surpara Rd, Authpur, Shyamnagar, Bhatpara, West Bengal 743128","Authpur, Shyamnagar",22.8472702,88.3843851,ChIJo4GECtOR-DkRLHZWP_xdDvE,https://www.google.com/maps/place/?q=place_id:ChIJo4GECtOR-DkRLHZWP_xdDvE,part_334,2026-09-20 20:17:33
Kitchen Sutra,Pure Veg Restaurant,Restaurant,"Restaurant, North Indian restaurant",743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 90730 04444,https://kitchensutra.co.in/,4.3,5193.0,"Arenga, Old, Delhi Rd, Chinsurah, West Bengal 712138",743125,22.8889623,88.3291115,ChIJv8iCm-KR-DkRSmsLkWWJYCA,https://www.google.com/maps/place/?q=place_id:ChIJv8iCm-KR-DkRSmsLkWWJYCA,part_334,2026-09-20 20:17:34
Govindam Pure Veg Restaurant,Pure Veg Restaurant,Restaurant,Restaurant,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 98313 98787,N/A,4.3,966.0,"49B, Purna Das Rd, Golpark, Hindustan Park, Gariahat, Kolkata, West Bengal 700029","Golpark, Hindustan Park, Gariahat",22.5168437,88.3629091,ChIJUeP5c3x3AjoR9ap7UCV0KYQ,https://www.google.com/maps/place/?q=place_id:ChIJUeP5c3x3AjoR9ap7UCV0KYQ,part_334,2026-09-20 20:17:34
Naan Dosa Pavs | Pure Vegetarian Family Restaurant | Sector V,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 98313 69997,N/A,4.6,519.0,"1, podium level Block DP5, Godrej Waterside Tower, Sector V, Kolkata, West Bengal 700091","DP Block, Sector V, Bidhannagar",22.5734828,88.4369588,ChIJdbm9CRZ1AjoRbj7k1hdwKlg,https://www.google.com/maps/place/?q=place_id:ChIJdbm9CRZ1AjoRbj7k1hdwKlg,part_334,2026-09-20 20:17:34
Karlaa - Pure Veg | Restaurent & Cafe,Pure Veg Restaurant,Restaurant,Restaurant,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 98310 82391,N/A,4.4,705.0,"356, Canal St, opposite to Laketown Clock Tower, Sreebhumi, Lake Town, Kolkata, South Dumdum, West Bengal 700048","Sreebhumi, Lake Town",22.6001487,88.4062371,ChIJrwBavoN1AjoRMLVc5TJIoYU,https://www.google.com/maps/place/?q=place_id:ChIJrwBavoN1AjoRMLVc5TJIoYU,part_334,2026-09-20 20:17:34
The Earth Restaurant,Pure Veg Restaurant,Family restaurant,Family restaurant,743125,West Bengal Circle,Kolkata Region,North Presidency Division,"Jagatdal SO, N/A, Gupter Bagan SO",+91 70039 54634,N/A,4.4,651.0,"Delhi Rd, more, Sugandha, West Bengal 712102",more,22.908469699999998,88.33923879999999,ChIJnbbkIhGT-DkRWXYqlrkrguc,https://www.google.com/maps/place/?q=place_id:ChIJnbbkIhGT-DkRWXYqlrkrguc,part_334,2026-09-20 20:17:34
