business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SHIVAM TRADERS APOLLO AND MULTIBRAND TYRE STORE,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,743126,West bengal circle,Kolkata Region,North Presidency Division,"Keotia BO, Kushdanga BO, Madral BO",+91 62910 20204,N/A,4.9,144.0,"VCRP+98P, Naihati, Mamudpur, West Bengal 743166",Naihati,22.8909375,88.4358125,ChIJwcY5pBqX-DkRcEisZdYVFtU,https://www.google.com/maps/place/?q=place_id:ChIJwcY5pBqX-DkRcEisZdYVFtU,part_334,2026-09-20 20:18:31
BEE AAR TRADERS(CEAT AND BRIDGESTONE AND CONTINENTAL AUTHORISED DEALER),Tyre Showroom and Puncture Shop,Tire shop,Tire shop,743126,West bengal circle,Kolkata Region,North Presidency Division,"Keotia BO, Kushdanga BO, Madral BO",+91 70442 41330,N/A,4.6,10.0,"1837,punandapally,saheb colony more, Naihati, West Bengal 743165",Naihati,22.885523499999998,88.43447719999999,ChIJR1Rd3hKX-DkRLf_l0D5dEvw,https://www.google.com/maps/place/?q=place_id:ChIJR1Rd3hKX-DkRLf_l0D5dEvw,part_334,2026-09-20 20:18:31
Sathi Store Tyre Puncture Repair,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,743126,West bengal circle,Kolkata Region,North Presidency Division,"Keotia BO, Kushdanga BO, Madral BO",N/A,N/A,,,"RF84+H76, Madhabpur - Panpur Rd, Tapanpur, West Bengal 743126",743126,22.8163792,88.4556588,ChIJzUH1CwCX-DkRz9fMFGzhJr0,https://www.google.com/maps/place/?q=place_id:ChIJzUH1CwCX-DkRz9fMFGzhJr0,part_334,2026-09-20 20:18:31
MRF Tyres Exclusive - Reshmi Tyres,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,743126,West bengal circle,Kolkata Region,North Presidency Division,"Keotia BO, Kushdanga BO, Madral BO",+91 94323 70060,https://dealers.mrftyres.com/mrf-tyres-exclusive-reshmi-tyres-tyre-shop-naihati-north-24-parganas-373710/Home?utm_source=locator&utm_medium=googleplaces,4.2,66.0,"Ground Floor, Hospital Rd, near Bairagi Fish Seed & Feed Supply, Naihati, West Bengal 743166",Naihati,22.8950313,88.4330045,ChIJ1cp7rIOW-DkRPXZWi57wJ0g,https://www.google.com/maps/place/?q=place_id:ChIJ1cp7rIOW-DkRPXZWi57wJ0g,part_334,2026-09-20 20:18:31
Maa Durga Tyre,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,743126,West bengal circle,Kolkata Region,North Presidency Division,"Keotia BO, Kushdanga BO, Madral BO",N/A,N/A,4.0,10.0,"Rahuta gas Godown more, Kalyani Expy, opp. HP petrol Pump, Gurdah, Shyamnagar, Rahuta P, West Bengal 743127","Gurdah, Shyamnagar",22.826003399999998,88.4068163,ChIJl-c0EeiX-DkRoelQUvf0rYw,https://www.google.com/maps/place/?q=place_id:ChIJl-c0EeiX-DkRoelQUvf0rYw,part_334,2026-09-20 20:18:31
DADA BHAI TYRES SHOP,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,743126,West bengal circle,Kolkata Region,North Presidency Division,"Keotia BO, Kushdanga BO, Madral BO",+91 84203 02893,N/A,5.0,3.0,"QC9W+2WH, Golabari - Nilganj Rd, Kolkata, Beraberia, West Bengal 700121",743126,22.7675694,88.4473477,ChIJyYc9fQCZ-DkRqnOHrgbgbMA,https://www.google.com/maps/place/?q=place_id:ChIJyYc9fQCZ-DkRqnOHrgbgbMA,part_334,2026-09-20 20:18:31
BERA Two weelrs Tyres & Cycle Shop,Tyre Showroom and Puncture Shop,Two Wheeler Repair Shop,Two Wheeler Repair Shop,743126,West bengal circle,Kolkata Region,North Presidency Division,"Keotia BO, Kushdanga BO, Madral BO",+91 92316 67251,N/A,5.0,2.0,"Gowalpara, S C Ghosh St, Ichhapur Defence Estate, West Bengal 743144",Ichapur Bidhanpally,22.8044266,88.3714952,ChIJe6bCzBKR-DkR7bbLXCX94-0,https://www.google.com/maps/place/?q=place_id:ChIJe6bCzBKR-DkR7bbLXCX94-0,part_334,2026-09-20 20:18:31
New Asit Tyer And Service,Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Motorcycle shop",743126,West bengal circle,Kolkata Region,North Presidency Division,"Keotia BO, Kushdanga BO, Madral BO",+91 98363 46112,N/A,4.5,20.0,"93, Feeder Rd, More, near Basudebpur, Banarjee Para, Belghoria, Bhatpara, Kolkata, West Bengal 743127","Banarjee Para, Belghoria",22.8190512,88.4032903,ChIJnYUacSeX-DkRIVf_25Rsmac,https://www.google.com/maps/place/?q=place_id:ChIJnYUacSeX-DkRIVf_25Rsmac,part_334,2026-09-20 20:18:31
Warsiya tyre shope,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,743126,West bengal circle,Kolkata Region,North Presidency Division,"Keotia BO, Kushdanga BO, Madral BO",N/A,N/A,,,"Q9PR+HH9, Babanpur, Jafarpur, West Bengal 743122",Babanpur,22.7874125,88.3925781,ChIJtbmpAACb-DkRBoY1nSjw4Gw,https://www.google.com/maps/place/?q=place_id:ChIJtbmpAACb-DkRBoY1nSjw4Gw,part_334,2026-09-20 20:18:31
MRF Tyres T&S - Radha Krishna Tyres,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,743126,West bengal circle,Kolkata Region,North Presidency Division,"Keotia BO, Kushdanga BO, Madral BO",+91 98369 70602,https://dealers.mrftyres.com/mrf-tyres-t-s-radha-krishna-tyres-tyre-shop-nilganj-north-24-parganas-407533/Home?utm_source=locator&utm_medium=googleplaces,4.1,82.0,"Ground Floor Bangaon Kulpi Road, Duttapukur - Nilganj Rd, near Arshia Electronics, West Bengal 700121",743126,22.757939999999998,88.43474069999999,ChIJLUewuJuZ-DkRFpbgegQwuMs,https://www.google.com/maps/place/?q=place_id:ChIJLUewuJuZ-DkRFpbgegQwuMs,part_334,2026-09-20 20:18:31
Joyguru Tyre And Automobile,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,743126,West bengal circle,Kolkata Region,North Presidency Division,"Keotia BO, Kushdanga BO, Madral BO",+91 98311 13902,N/A,4.0,4.0,"Mathurapur, West Bengal 743127",743126,22.795687899999997,88.3968075,ChIJ9bkafVOb-DkRCUN0VySlLoY,https://www.google.com/maps/place/?q=place_id:ChIJ9bkafVOb-DkRCUN0VySlLoY,part_334,2026-09-20 20:18:31
Apollo Tyres - Kamla Tyres,Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Wheel alignment service, Wheel store",743126,West bengal circle,Kolkata Region,North Presidency Division,"Keotia BO, Kushdanga BO, Madral BO",+91 80 4595 0775,https://store.apollotyres.com/apollo-tyres-kamla-tyres-tyre-shop-bighati-hooghly-280590/Home?utm_source=locator&utm_medium=googleplaces,4.8,,"Bighati More, Old, Delhi Rd, near Express Dhaba, Bighati, West Bengal 712124",743126,22.831274,88.31641049999999,ChIJk_RlhVyP-DkRUs5bjdnjXB0,https://www.google.com/maps/place/?q=place_id:ChIJk_RlhVyP-DkRUs5bjdnjXB0,part_334,2026-09-20 20:18:31
Tayab Ali Tyre Repairing Centre [Tyre Garage],Tyre Showroom and Puncture Shop,Tire repair shop,"Tire repair shop, Auto repair shop, Two Wheeler Repair Shop, Tire shop, Used tire shop",743126,West bengal circle,Kolkata Region,North Presidency Division,"Keotia BO, Kushdanga BO, Madral BO",+91 80135 00323,N/A,5.0,,"more, Subhash Nagar, Bandel, Kolkata, West Bengal 712103",Subhash Nagar,22.921185599999998,88.38579469999999,ChIJs9VQLc2T-DkR-Mdkc26Zq60,https://www.google.com/maps/place/?q=place_id:ChIJs9VQLc2T-DkR-Mdkc26Zq60,part_334,2026-09-20 20:18:31
RAHUL TYRES,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,743126,West bengal circle,Kolkata Region,North Presidency Division,"Keotia BO, Kushdanga BO, Madral BO",+91 82402 87434,N/A,4.9,9.0,"BE SIDE TO (SMART BAZAAR) HOTEL PLAZA, GT Rd, Leninnagar, Chinsurah R S, Chinsurah, West Bengal 712101","Leninnagar, Chinsurah R S",22.8913288,88.3811166,ChIJ70gYVdWR-DkREfEl8Fj9DW0,https://www.google.com/maps/place/?q=place_id:ChIJ70gYVdWR-DkREfEl8Fj9DW0,part_334,2026-09-20 20:18:32
MRF Tyres Exclusive - Sarathi Tyres,Tyre Showroom and Puncture Shop,Tire shop,Tire shop,743126,West bengal circle,Kolkata Region,North Presidency Division,"Keotia BO, Kushdanga BO, Madral BO",+91 98311 63957,https://dealers.mrftyres.com/mrf-tyres-exclusive-sarathi-tyres-tyre-shop-bangur-park-hooghly-373030/Home?utm_source=locator&utm_medium=googleplaces,4.2,73.0,"57/6, GT Rd, opposite Bidhan Chandra College, Kali Tala, WEST) P.O, Rishra, Kolkata, West Bengal 712248","Kali Tala, WEST) P.O, Rishra",22.7224435,88.3541776,ChIJeecxzHGb-DkRC7pEOgDWtDQ,https://www.google.com/maps/place/?q=place_id:ChIJeecxzHGb-DkRC7pEOgDWtDQ,part_334,2026-09-20 20:18:33
Lokenath Tyre,Tyre Showroom and Puncture Shop,Tire shop,"Tire shop, Auto parts store",743126,West bengal circle,Kolkata Region,North Presidency Division,"Keotia BO, Kushdanga BO, Madral BO",+91 79803 53214,N/A,3.7,6.0,"Kampa Checkpost, Banga Road, near Kampa Medical, Kanchrapara, West Bengal 743193",743126,22.931283099999998,88.459475,ChIJp1eGDgCV-DkRXZTcHhzrxWA,https://www.google.com/maps/place/?q=place_id:ChIJp1eGDgCV-DkRXZTcHhzrxWA,part_334,2026-09-20 20:18:33
