business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Himalaya Optical Kancharapara,Optical Store and Eyewear,Optician,"Optician, Optometrist, Sunglasses store",743145,West bengal circle,Kolkata Region,North Presidency Division,"Chandua BO, Majhipara BO, Saliadaha BO",+91 76050 10015,https://himalayaoptical.com/a/store-locator/himalaya-optical-kanchrapara.html,4.9,1577.0,"56, KGR Path, opposite Cottage Industry, Bijoy, Kanchrapara, West Bengal 743145",Bijoy,22.947070699999998,88.4476845,ChIJ74fdLIuU-DkRwaUw-XLLv1k,https://www.google.com/maps/place/?q=place_id:ChIJ74fdLIuU-DkRwaUw-XLLv1k,part_334,2026-09-20 20:25:35
"Titan Eye+ at KGR Path, Kanchrapara (Buy 1 get 1 Free)",Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Eye care center, Optical instrument repair service, Optical Products Manufacturer, Optical Wholesaler, Optometrist, Sunglasses store",743145,West bengal circle,Kolkata Region,North Presidency Division,"Chandua BO, Majhipara BO, Saliadaha BO",+91 62090 19777,https://www.titaneyeplus.com/,4.9,29.0,"Kali Nagar, 65, KGR Path, nearby Gandhi More, Kanchrapara Loco, Kanchrapara, West Bengal 743145",Kanchrapara Loco,22.9471559,88.4472313,ChIJ7V2oogSV-DkRWwQAAqzNJD8,https://www.google.com/maps/place/?q=place_id:ChIJ7V2oogSV-DkRWwQAAqzNJD8,part_334,2026-09-20 20:25:35
Elite Optics (Best eye care and optical store in Kalyani) Buy 1 Get 1 FREE,Optical Store and Eyewear,Optician,"Optician, Eye care center, Sunglasses store",743145,West bengal circle,Kolkata Region,North Presidency Division,"Chandua BO, Majhipara BO, Saliadaha BO",+91 80176 03082,N/A,4.9,641.0,"A 9X, 4(S, Block A, Kalyani, West Bengal 741235","A 9X, 4(S, Block A",22.9686001,88.4660456,ChIJ0YGQCaeV-DkROackvsOeezU,https://www.google.com/maps/place/?q=place_id:ChIJ0YGQCaeV-DkROackvsOeezU,part_334,2026-09-20 20:25:35
EYEMATE OPTICAL CARE (EOC) at Kalyani,Optical Store and Eyewear,Optician,Optician,743145,West bengal circle,Kolkata Region,North Presidency Division,"Chandua BO, Majhipara BO, Saliadaha BO",+91 91239 46900,N/A,4.9,198.0,"B-8/22(CA, near BANK OF INDIA, B8, Block B, Kalyani, West Bengal 741235","B8, Block B",22.977362,88.4359618,ChIJM4ZdaCmV-DkR0UEsF1EXhBc,https://www.google.com/maps/place/?q=place_id:ChIJM4ZdaCmV-DkR0UEsF1EXhBc,part_334,2026-09-20 20:25:35
6 Million Glasses,Optical Store and Eyewear,Optician,Optician,743145,West bengal circle,Kolkata Region,North Presidency Division,"Chandua BO, Majhipara BO, Saliadaha BO",N/A,https://6-million-glasses.ueniweb.com/?utm_campaign=gmb,5.0,7.0,"116, KGR Path, Kanchrapara Loco, Kanchrapara, West Bengal 743145",Kanchrapara Loco,22.9478069,88.44444879999999,ChIJWVPr86aV-DkRyDMSG0kt-jI,https://www.google.com/maps/place/?q=place_id:ChIJWVPr86aV-DkRyDMSG0kt-jI,part_334,2026-09-20 20:25:35
NEW OPTICAL PLACE,Optical Store and Eyewear,Optician,Optician,743145,West bengal circle,Kolkata Region,North Presidency Division,"Chandua BO, Majhipara BO, Saliadaha BO",+91 98313 51269,N/A,5.0,3.0,"Na, Bangaon road, Kampa, Kanchrapara, West Bengal 743193",Kampa,22.9308139,88.4602809,ChIJQ1taLpaV-DkRWR_HzQpu720,https://www.google.com/maps/place/?q=place_id:ChIJQ1taLpaV-DkRWR_HzQpu720,part_334,2026-09-20 20:25:35
Kanchrapara Optical,Optical Store and Eyewear,Eye care center,Eye care center,743145,West bengal circle,Kolkata Region,North Presidency Division,"Chandua BO, Majhipara BO, Saliadaha BO",+91 89021 98836,N/A,5.0,3.0,"WCXV+5C5, Kanchrapara Loco, Kanchrapara M, Kanchrapara, West Bengal 743145",Kanchrapara Loco,22.9478783,88.4435949,ChIJCYWO7gCV-DkRFNrM4-jNxA4,https://www.google.com/maps/place/?q=place_id:ChIJCYWO7gCV-DkRFNrM4-jNxA4,part_334,2026-09-20 20:25:35
Royal Vision Care,Optical Store and Eyewear,Optician,Optician,743145,West bengal circle,Kolkata Region,North Presidency Division,"Chandua BO, Majhipara BO, Saliadaha BO",+91 62896 63521,https://sites.google.com/view/royalvisioncares,4.8,45.0,"741235, A 9, Block A9, Block A, Kalyani, West Bengal 741235","A 9, Block A9, Block A",22.968709699999998,88.46519359999999,ChIJNZqD7WmV-DkRmPyiKBFLNsY,https://www.google.com/maps/place/?q=place_id:ChIJNZqD7WmV-DkRmPyiKBFLNsY,part_334,2026-09-20 20:25:36
"Lenskart.com at Kalyani, West Bengal (First Lens Replacement Free)",Optical Store and Eyewear,Optician,"Optician, Optometrist, Repair service",743145,West bengal circle,Kolkata Region,North Presidency Division,"Chandua BO, Majhipara BO, Saliadaha BO",+91 89293 35877,https://www.lenskart.com/stores/lenskart-com-Kalyani-Nadia-kalyani-kalyani-507962/Home,4.8,,"B-12/17, Central Park, beside Frank Ross Pharmacy, B 12, Block B, Kalyani, West Bengal 741235","B 12, Block B",22.9741149,88.4350596,ChIJtyoigjCV-DkRnZd2oJkG2LA,https://www.google.com/maps/place/?q=place_id:ChIJtyoigjCV-DkRnZd2oJkG2LA,part_334,2026-09-20 20:25:37
AN OPTICS,Optical Store and Eyewear,Optician,Optician,743145,West bengal circle,Kolkata Region,North Presidency Division,"Chandua BO, Majhipara BO, Saliadaha BO",N/A,https://www.facebook.com/profile.php?id=61594326088210,5.0,,"XF98+762, A 9X, Block A9, Block A, Kalyani, West Bengal 741235","A 9X, Block A9, Block A",22.9681638,88.4656062,ChIJix_1jjqV-DkRkaoxPq-cmyk,https://www.google.com/maps/place/?q=place_id:ChIJix_1jjqV-DkRkaoxPq-cmyk,part_334,2026-09-20 20:25:37
MALLICK OPTICAL,Optical Store and Eyewear,Optical Wholesaler,Optical Wholesaler,743145,West bengal circle,Kolkata Region,North Presidency Division,"Chandua BO, Majhipara BO, Saliadaha BO",+91 83368 46847,N/A,4.9,,"Tribeni Station Rd, Masterpara, Tribeni, Bandapara, West Bengal 712503","Masterpara, Tribeni",22.9878865,88.3988821,ChIJF2UQKFST-DkRxVYjXsls1dw,https://www.google.com/maps/place/?q=place_id:ChIJF2UQKFST-DkRxVYjXsls1dw,part_334,2026-09-20 20:25:38
