business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Shibtara polyclinic,Polyclinic,Medical Center,Medical Center,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,5.0,,"main road, near Post office and railgate, Champahati, Sahebpur, West Bengal 743330",Champahati,22.4042465,88.49375549999999,ChIJzy1H_QATAjoRaZuMbAAv4cU,https://www.google.com/maps/place/?q=place_id:ChIJzy1H_QATAjoRaZuMbAAv4cU,part_335,2026-09-20 20:17:40,1975
Popular Polyclinic,Polyclinic,Medical clinic,Medical clinic,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 90645 78535,N/A,,,"Chqc+9C2, 11, Ghatakpukur Rd, Chandaneswar, Kolkata, West Bengal 743330",Chandaneswar,22.438974899999998,88.5770584,ChIJ1yX4lT0OAjoRaLARS4gw5yE,https://www.google.com/maps/place/?q=place_id:ChIJ1yX4lT0OAjoRaLARS4gw5yE,part_335,2026-09-20 20:17:40,1976
Sunita Polyclinic,Polyclinic,Doctor,Doctor,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,,,"CHP9+X2W, Chandaneswar, Dakshin Kasipur, West Bengal 743330",Chandaneswar,22.437489499999998,88.56757259999999,ChIJZ3zglGcPAjoRhuoAJCm7NSo,https://www.google.com/maps/place/?q=place_id:ChIJZ3zglGcPAjoRhuoAJCm7NSo,part_335,2026-09-20 20:17:40,1977
Bidhan Diagnostic Centre and Polyclinic,Polyclinic,Hospital,"Hospital, Blood testing service, Diagnostic center, Doctor, Medical diagnostic imaging center",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,https://bidhan-diagnostic-polyclinic.netlify.app/,3.9,,"Sonarpur Chakbaria Rd, near Teamatha Crossing, Chakbaria, Sonarpur, West Bengal 743330",Chakbaria,22.4234375,88.5043125,ChIJgZeV__sNAjoR8nNw95R9WXM,https://www.google.com/maps/place/?q=place_id:ChIJgZeV__sNAjoR8nNw95R9WXM,part_335,2026-09-20 20:17:40,1978
POPULAR POLYCLINIC,Polyclinic,Medical clinic,Medical clinic,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 80164 51200,N/A,,,"CGC7+9R2, Chakbaria, Sonarpur, Badamtala, Kustia, West Bengal 743330","Chakbaria, Sonarpur, Badamtala",22.4208979,88.5145117,ChIJN8Y0x4ESAjoRJrE4k0h2EqY,https://www.google.com/maps/place/?q=place_id:ChIJN8Y0x4ESAjoRJrE4k0h2EqY,part_335,2026-09-20 20:17:40,1979
Hayat Polyclinic,Polyclinic,Medical Center,Medical Center,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 81006 61092,N/A,5.0,,"9F58+337, Sitakundu - Baruipur Road, Baruipur P, Sitakundu, West Bengal 743387",743330,22.3576639,88.4651712,ChIJJbnBa09tAjoRqLa_iIpTqB4,https://www.google.com/maps/place/?q=place_id:ChIJJbnBa09tAjoRqLa_iIpTqB4,part_335,2026-09-20 20:17:40,1980
S.R DIAGNOSTIC & POLYCLINIC,Polyclinic,Diagnostic center,Diagnostic center,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 74787 01000,https://srdiagnosticpolyclinic.com/,4.9,,"Kolkata-Malancha Rd, Bibirait, Narayanpur, West Bengal 743502",Bibirait,22.495679199999998,88.57835709999999,ChIJA_aMEAAPAjoRh_DR36_B42g,https://www.google.com/maps/place/?q=place_id:ChIJA_aMEAAPAjoRh_DR36_B42g,part_335,2026-09-20 20:17:40,1981
"Kiran Diagnostic Laboratory , Pharmacy And Polyclinic",Polyclinic,Medical Center,Medical Center,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 90732 89987,N/A,5.0,,"Narayanpur Rd, Rajpur Sonarpur, Arapanch, West Bengal 700150",743330,22.431469999999997,88.4686907,ChIJQbC5cKVyAjoR_ES07etVegQ,https://www.google.com/maps/place/?q=place_id:ChIJQbC5cKVyAjoR_ES07etVegQ,part_335,2026-09-20 20:17:40,1982
Bidhan Diagnostic And Polyclinic,Polyclinic,Diagnostic center,Diagnostic center,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,5.0,,"CFM7+4MW, Sonarpur Chakbaria Rd, Ramchandrapur, Arapanch, West Bengal 700150",Ramchandrapur,22.4328686,88.46421579999999,ChIJpyfnhjxzAjoRJ08BmiTLye8,https://www.google.com/maps/place/?q=place_id:ChIJpyfnhjxzAjoRJ08BmiTLye8,part_335,2026-09-20 20:17:40,1983
"PAL Polyclinic , Diagnostic & Medicine",Polyclinic,Public health department,Public health department,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 98743 93599,N/A,4.9,9.0,"Co Operative Society, Pathar Pratima, Madhab Nagar, West Bengal 743371",743330,21.793813,88.353004,ChIJcxH2drmzAzoRi-Z1BH_lYrA,https://www.google.com/maps/place/?q=place_id:ChIJcxH2drmzAzoRi-Z1BH_lYrA,part_335,2026-09-20 20:17:41,1984
SUSWASTHYA POLYCLINIC,Polyclinic,Doctor,Doctor,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,4.0,3.0,"8M8C+2C4, Canning, West Bengal 743329",743330,22.3150033,88.6710848,ChIJZ59yU90ZAjoRK5sIt04HF_o,https://www.google.com/maps/place/?q=place_id:ChIJZ59yU90ZAjoRK5sIt04HF_o,part_335,2026-09-20 20:17:41,1985
PUBALI CLINIC,Polyclinic,Medical clinic,Medical clinic,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 92317 07537,N/A,3.5,44.0,"Purbasha appartment, Brick Field Rd, Masterpara, Subuddhipur, Baruipur, West Bengal 700144","Masterpara, Subuddhipur",22.3674006,88.4321112,ChIJRS3SjFFsAjoRGvxcXLjrB2c,https://www.google.com/maps/place/?q=place_id:ChIJRS3SjFFsAjoRGvxcXLjrB2c,part_335,2026-09-20 20:17:41,1986
