business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SMB Solutions- ERPNext ERP Software.,SaaS Companies Selling to SMBs,Software company,Software company,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 93286 53335,http://smbsolution.in/,5.0,1.0,"Ocean Sarabhai Compound, Dr Vikram Sarabhai Marg, nr. Centre Square Mall, Subhanpura, Vadodara, Gujarat 390023",Subhanpura,22.3177266,73.1691218,ChIJEeer7ibJXzkR6yf0QztlaI4,https://www.google.com/maps/place/?q=place_id:ChIJEeer7ibJXzkR6yf0QztlaI4,part_335,2026-09-20 20:18:10,6477
SR,SaaS Companies Selling to SMBs,Software company,"Software company, Software Training Institute, Website designer",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,N/A,5.0,11.0,"Dombivli, Chandrachhaya, Dombivli East, Kalyan, Maharashtra 421204","Dombivli, Chandrachhaya, Dombivli East",19.1901322,73.0945455,ChIJMR9t45WV5zsRH_o82Gvh9Kk,https://www.google.com/maps/place/?q=place_id:ChIJMR9t45WV5zsRH_o82Gvh9Kk,part_335,2026-09-20 20:18:10,6478
Sms Technologies,SaaS Companies Selling to SMBs,Computer service,"Computer service, Marketing consultant",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 99130 05192,https://smstechnologies.in/,4.4,13.0,"C6, Shankheshwar Complex, Taj Rd, near SMC community hall, Suryapur Society, Adajan Patiya, Surat, Gujarat 395009","Suryapur Society, Adajan Patiya",21.202329199999998,72.8042189,ChIJpY3eWexN4DsRHCQC4HeFKww,https://www.google.com/maps/place/?q=place_id:ChIJpY3eWexN4DsRHCQC4HeFKww,part_335,2026-09-20 20:18:10,6479
SSD Web Solutions,SaaS Companies Selling to SMBs,Software company,"Software company, Internet marketing service, Business to business service, Telecommunications service provider",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,https://www.ssdweb.in/,4.9,58.0,"inside Workster CoWorking, Swapnamandir Society, Vakil Nagar, Erandwane, Pune, Maharashtra 411004","Swapnamandir Society, Vakil Nagar, Erandwane",18.4993077,73.82795519999999,ChIJEyaSZ5xnzjsRG5Xb57Y5quk,https://www.google.com/maps/place/?q=place_id:ChIJEyaSZ5xnzjsRG5Xb57Y5quk,part_335,2026-09-20 20:18:10,6480
SMB Solutions (India),SaaS Companies Selling to SMBs,Software company,Software company,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 22 6637 6652,http://www.smbsolutions.in/,5.0,1.0,"Kashiram Jamnadas Building, 7, 5, P D'Mello Rd, near Princess Dock, East, Masjid Bandar, Mumbai, Maharashtra 400009","Princess Dock, East, Masjid Bandar",18.9547772,72.8422093,ChIJreE9DE_P5zsRB05yN8UCJEk,https://www.google.com/maps/place/?q=place_id:ChIJreE9DE_P5zsRB05yN8UCJEk,part_335,2026-09-20 20:18:10,6481
SMB Solutions pvt ltd,SaaS Companies Selling to SMBs,Software company,"Software company, Service establishment",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 62816 28938,N/A,,,"SMB Solutions pvt ltd, 743330, India",743330,19.8316052,77.1207182,ChIJmSyq8eafTq0RhtPHesttxB4,https://www.google.com/maps/place/?q=place_id:ChIJmSyq8eafTq0RhtPHesttxB4,part_335,2026-09-20 20:18:10,6482
WEBPHYX TECH | Digital Marketing Agency In Pune | Website & Application Development | SEO & SMO | SEM & SMM,SaaS Companies Selling to SMBs,Software company,"Software company, Service establishment",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 86691 86421,https://webphyx-tech.netlify.app/,5.0,2.0,"WEBPHYX TECH | Digital Marketing Agency In Pune | Website & Application Development | SEO & SMO | SEM & SMM, 743330, India",743330,18.4943647,75.1686843,ChIJD253vHD6oqMRdAXQy-h0iRk,https://www.google.com/maps/place/?q=place_id:ChIJD253vHD6oqMRdAXQy-h0iRk,part_335,2026-09-20 20:18:10,6483
BUSINESS SOFT SOLUTIONS,SaaS Companies Selling to SMBs,Software company,"Software company, Consultant, Service establishment",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 96045 08344,https://sites.google.com/view/bss-helpdesk/home,5.0,2.0,"BUSINESS SOFT SOLUTIONS, 743330, India",743330,18.5035801,73.8746239,ChIJN3OwORLpwjsRj78r47kEKbY,https://www.google.com/maps/place/?q=place_id:ChIJN3OwORLpwjsRj78r47kEKbY,part_335,2026-09-20 20:18:10,6484
SAMFOCUS TECHNOLOGIES PRIVATE LIMITED,SaaS Companies Selling to SMBs,Software Training Institute,"Software Training Institute, Service establishment",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 97670 44034,https://www.samfocus.in/,5.0,1.0,"SAMFOCUS TECHNOLOGIES PRIVATE LIMITED, 743330, India",743330,18.5980019,73.76115089999999,ChIJ5xJExcoD3IEREtky4Yn0g5c,https://www.google.com/maps/place/?q=place_id:ChIJ5xJExcoD3IEREtky4Yn0g5c,part_335,2026-09-20 20:18:10,6485
SMB Solutions,SaaS Companies Selling to SMBs,Software company,Software company,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 70451 52539,http://www.smbsolutions.in/,4.6,10.0,"3rd Floor, Haveliwala Building, 221, 13, Bora Bazar St, Fort, Mumbai, Maharashtra 400001","Borabazar Precinct, Fort",18.9345504,72.8352676,ChIJkbT0d0XO5zsRXr65J2UU-Ms,https://www.google.com/maps/place/?q=place_id:ChIJkbT0d0XO5zsRXr65J2UU-Ms,part_335,2026-09-20 20:18:10,6486
