business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
GYM MY FITNESS,Gym and Fitness Center,Gym,Gym,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 87770 50814,N/A,4.8,,"CHQ8+3X5, Chandaneswar, Dakshin Kasipur, Kashinathpur, West Bengal 743330",Chandaneswar,22.4376376,88.5674803,ChIJ7ZVU-IsPAjoR6Kd7Hmy_1wM,https://www.google.com/maps/place/?q=place_id:ChIJ7ZVU-IsPAjoR6Kd7Hmy_1wM,part_335,2026-09-20 20:17:42
BULL STRENGTH FITNESS,Gym and Fitness Center,Gym,Gym,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",N/A,https://www.instagram.com/bullstrengthfitness15?igsh=eW05djU4aGViajBz,5.0,,"CF3V+X3H, Champahati, Sahebpur, West Bengal 743330",Champahati,22.4049381,88.4927316,ChIJI6iDbAATAjoRB9aRW0Gi-P0,https://www.google.com/maps/place/?q=place_id:ChIJI6iDbAATAjoRB9aRW0Gi-P0,part_335,2026-09-20 20:17:42
BODY LINE FITNESS CENTER,Gym and Fitness Center,Gym,Gym,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 85138 11768,N/A,5.0,,"9GR8+QFG, Piali - Champahati Rd, Solgohalia, West Bengal 743363",743330,22.391929599999997,88.51621689999999,ChIJqytJSAATAjoRYbIy4M-Cpeo,https://www.google.com/maps/place/?q=place_id:ChIJqytJSAATAjoRYbIy4M-Cpeo,part_335,2026-09-20 20:17:42
S.S.GYM & FITNESS,Gym and Fitness Center,Fitness center,Fitness center,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 90919 42034,N/A,4.7,,"OLD SIV TEMPLE ROAD, S.S.GYM, Kalikapur Station Rd, Benebou, West Bengal 743613",743330,22.4127339,88.4735984,ChIJ_yfDilBtAjoRaMxyVzA65hI,https://www.google.com/maps/place/?q=place_id:ChIJ_yfDilBtAjoRaMxyVzA65hI,part_335,2026-09-20 20:17:42
Gym Forever Subhasgram (UNISEX),Gym and Fitness Center,Gym,Gym,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 82406 97166,N/A,4.8,,"railway maidan, RNC Rd, near Subhashgram, Subhasgram, Rajpur Sonarpur, West Bengal 700147",Subhasgram,22.414517099999998,88.4349754,ChIJu5UlKcJtAjoRm5gpctqICXM,https://www.google.com/maps/place/?q=place_id:ChIJu5UlKcJtAjoRm5gpctqICXM,part_335,2026-09-20 20:17:42
Rm Fitness Gym,Gym and Fitness Center,Gym,Gym,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 62901 80804,https://www.facebook.com/profile.php?id=61554002742476&mibextid=ZbWKwL,4.6,,"69RF+2CV, Old Markaz Rd, Magrahat-II, West Bengal 743355",743330,22.2401309,88.3740888,ChIJAfizFvNpAjoRBlf8jvwhSNo,https://www.google.com/maps/place/?q=place_id:ChIJAfizFvNpAjoRBlf8jvwhSNo,part_335,2026-09-20 20:17:42
N. S Multi Gym,Gym and Fitness Center,Gym,Gym,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 72784 91060,N/A,4.7,,"8FR4+VX3, Canning Rd, Phooltala, Baruipur, Dudhnai, West Bengal 743387",Phooltala,22.342166,88.45746559999999,ChIJMX4rVgBtAjoRvufhLfMebXw,https://www.google.com/maps/place/?q=place_id:ChIJMX4rVgBtAjoRvufhLfMebXw,part_335,2026-09-20 20:17:42
CHAMPIONS GYMNASTICS ACADEMY,Gym and Fitness Center,Gymnastics center,Gymnastics center,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 62891 26021,N/A,5.0,,"Gangajoara, Khurigachi, Kolkata, Dihi, West Bengal 700150","Gangajoara, Khurigachi",22.4692003,88.45583219999999,ChIJa667RHZzAjoRg_iaPc05Zp0,https://www.google.com/maps/place/?q=place_id:ChIJa667RHZzAjoRg_iaPc05Zp0,part_335,2026-09-20 20:17:42
FITNESS MULTI GYM CENTRE,Gym and Fitness Center,Gym,Gym,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 70012 24004,N/A,4.3,,"1st Floor, Mach Potti, Diamond Harbour Rd, Sarisha Hat, Sarisha, Diamond Harbour, West Bengal 743368",Sarisha Hat,22.2497568,88.1863667,ChIJ26hXJFdhAjoRCkvKKIx63VU,https://www.google.com/maps/place/?q=place_id:ChIJ26hXJFdhAjoRCkvKKIx63VU,part_335,2026-09-20 20:17:42
ANYTIME FITNESS,Gym and Fitness Center,Gym,Gym,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 90641 94347,N/A,4.4,,"BKS PLAYGROUNDS, milonbazar Road, Banshra, West Bengal 743363",743330,22.3649596,88.5626309,ChIJ-82ST1ARAjoR-6P7ox0Wvsw,https://www.google.com/maps/place/?q=place_id:ChIJ-82ST1ARAjoR-6P7ox0Wvsw,part_335,2026-09-20 20:17:42
Fitness Hunt,Gym and Fitness Center,Gym,Gym,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 93336 70333,N/A,4.5,,"GJ76+RC7, Bhangar Raghunathpur, West Bengal 743502",743330,22.5145335,88.61103589999999,ChIJZYaHQTQPAjoRE6tDz_rZsEk,https://www.google.com/maps/place/?q=place_id:ChIJZYaHQTQPAjoRE6tDz_rZsEk,part_335,2026-09-20 20:17:42
Subham Gym and Fitness,Gym and Fitness Center,Gym,Gym,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 82403 60274,N/A,5.0,,"WFFG+3JV, Nagdaha, West Bengal 743193",743330,22.9229429,88.47608149999999,ChIJbeXoXJOV-DkRyd5V2_hgM4c,https://www.google.com/maps/place/?q=place_id:ChIJbeXoXJOV-DkRyd5V2_hgM4c,part_335,2026-09-20 20:17:42
