business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Modern printing press/ S.S Converter,Printing Press and Offset Printer,Print shop,Print shop,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 98363 57286,N/A,4.3,3.0,"N 88°29, 22°24'21.9, 35.8""E, Sonarpur, West Bengal 743330",Champahati,22.4061491,88.4932056,ChIJZVok5UUTAjoRzN89_2tGoME,https://www.google.com/maps/place/?q=place_id:ChIJZVok5UUTAjoRzN89_2tGoME,part_335,2026-09-20 20:17:59
CDC PRINTERS PRIVATE LIMITED,Printing Press and Offset Printer,Commercial printer,"Commercial printer, Offset Printer, Packaging company",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 92304 00800,http://www.cdcprinters.com/,4.5,158.0,"45, Radhanath Chowdhury Rd, Seal Lane, Tangra, Kolkata, West Bengal 700015","Seal Lane, Tangra",22.5558117,88.3811659,ChIJZ-chZPR2AjoRjS2DmSMcV-Q,https://www.google.com/maps/place/?q=place_id:ChIJZ-chZPR2AjoRjS2DmSMcV-Q,part_335,2026-09-20 20:17:59
New Rahaman Printers,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Manufacturer, Copying supply store, Screen printer",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 95644 72927,N/A,4.5,21.0,"two Bridze, Shis Eye Hospital Rd, Between, Ghatakpukur, Gobindapur, West Bengal 743502",Between,22.5039141,88.6155215,ChIJ73T6nkcPAjoR7C_HRtxRyVU,https://www.google.com/maps/place/?q=place_id:ChIJ73T6nkcPAjoR7C_HRtxRyVU,part_335,2026-09-20 20:17:59
Affordable Printers,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Book publisher, Design agency, Digital printing service, Event management company, Print shop, Paper distributor, Pen store, Publisher",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 89103 68759,N/A,4.8,732.0,"Flat No 3, Chandralaya Appartment, 112/3, Golf Club Rd, opposite Indian Bank, Rajendra Prasad Colony, Tollygunge, Kolkata, West Bengal 700033","Rajendra Prasad Colony, Tollygunge",22.497429999999998,88.34698639999999,ChIJTWYZfstxAjoRhK5OVYGFcwQ,https://www.google.com/maps/place/?q=place_id:ChIJTWYZfstxAjoRhK5OVYGFcwQ,part_335,2026-09-20 20:17:59
Saara Printers,Printing Press and Offset Printer,Offset Printer,"Offset Printer, Banner store, Digital printer, Digital printing service, Invitation printing service, Print shop",743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 97327 77330,http://saaraprinters.weebly.com/,4.6,69.0,"near Pakija Cinema Hall, Gobindapur, Bhangar, West Bengal 743502",743330,22.503904199999997,88.6154139,ChIJtWoOs3EPAjoRscknUjqvFNQ,https://www.google.com/maps/place/?q=place_id:ChIJtWoOs3EPAjoRscknUjqvFNQ,part_335,2026-09-20 20:17:59
Sushama Printers,Printing Press and Offset Printer,Print shop,Print shop,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 62904 25641,N/A,4.5,,"62, Bentinck St, Mission Row Extension, Esplanade, Chowringhee North, Bow Barracks, Kolkata, West Bengal 700001","Mission Row Extension, Esplanade, Chowringhee North, Bow Barracks",22.5675129,88.3526794,ChIJv-r-MqZ3AjoRpdb8jTlm3ZM,https://www.google.com/maps/place/?q=place_id:ChIJv-r-MqZ3AjoRpdb8jTlm3ZM,part_335,2026-09-20 20:18:00
Lokenath Printers,Printing Press and Offset Printer,Offset Printer,Offset Printer,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 98362 96224,http://lokenathprinters.com/,4.5,,"17/4, Canal W Rd, Garpar, Machuabazar, Kolkata, West Bengal 700009","Garpar, Machuabazar",22.5791687,88.3771948,ChIJ9akCf0R2AjoRTJljesR9xPQ,https://www.google.com/maps/place/?q=place_id:ChIJ9akCf0R2AjoRTJljesR9xPQ,part_335,2026-09-20 20:18:00
Print World Cafe,Printing Press and Offset Printer,Print shop,Print shop,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 70116 32985,N/A,5.0,,"Ward No.12, Nattun Pally (Paschim) Central Road, More, near Print World Cafe, Ghasiara, Kolkata, West Bengal 700150",Ghasiara,22.438973999999998,88.4431376,ChIJ5eesRe5zAjoR218jYsmtLuE,https://www.google.com/maps/place/?q=place_id:ChIJ5eesRe5zAjoR218jYsmtLuE,part_335,2026-09-20 20:18:00
Bharat Lithographing Company Private Limited,Printing Press and Offset Printer,Commercial printer,Commercial printer,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 33 2265 7862,http://www.bharatlitho.com/,4.6,,"98/4, SN Banerjee Road, Maula Ali, Taltala, Kolkata, West Bengal 700014","Maula Ali, Taltala",22.5606652,88.3630747,ChIJufkq0AF3AjoRFkzgEVUq34c,https://www.google.com/maps/place/?q=place_id:ChIJufkq0AF3AjoRFkzgEVUq34c,part_335,2026-09-20 20:18:00
SARASWATY PRESS,Printing Press and Offset Printer,Commercial printer,Commercial printer,743330,West Bengal Circle,Kolkata Region,South Presidency Division,"Champahati SO, Chandaneswar BO, Kalikapur BO",+91 33 2351 5846,http://www.saraswatypress.org.in/,4.3,,"Saraswaty Press, 11, Barrackpore Trunk Rd, Manasbag, Santhi Nagra Colony, Belghoria, Kolkata, West Bengal 700056","Manasbag, Santhi Nagra Colony, Belghoria",22.659501,88.3765825,ChIJr1sNs0yc-DkR8kFlqdK3EoE,https://www.google.com/maps/place/?q=place_id:ChIJr1sNs0yc-DkR8kFlqdK3EoE,part_335,2026-09-20 20:18:00
