business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
CSC E-Governance Services India Limited,Common Service Center (CSC) / E-Seva,Government office,Government office,743331,West Bengal Circle,Kolkata Region,South Presidency Division,"Diamond Harbour HO, Dakshin Hazi Pur SO, Diamond Harbour CC SO",+91 99990 01989,http://cscegs.in/,3.1,,"3rd floor, Electronic Niketan, 6, Lodhi Rd, Gokalpuri, CGO Complex, Pragati Vihar, New Delhi, Delhi 110003","Gokalpuri, CGO Complex, Pragati Vihar",28.590956799999997,77.22800289999999,ChIJy_nD7P3iDDkRLSylYwQTSYo,https://www.google.com/maps/place/?q=place_id:ChIJy_nD7P3iDDkRLSylYwQTSYo,part_335,2026-09-20 20:18:43
DIGITAL SEVA CENTRE (CSC),Common Service Center (CSC) / E-Seva,Data Entry Service Provider,Data Entry Service Provider,743331,West Bengal Circle,Kolkata Region,South Presidency Division,"Diamond Harbour HO, Dakshin Hazi Pur SO, Diamond Harbour CC SO",N/A,N/A,,,"Sheeri, 193101",743331,34.183177,74.3086773,ChIJdzI6wayp4TgRBWuBsQJGT2k,https://www.google.com/maps/place/?q=place_id:ChIJdzI6wayp4TgRBWuBsQJGT2k,part_335,2026-09-20 20:18:43
BNB CSC SUVIDHA KENDRA,Common Service Center (CSC) / E-Seva,Internet cafe,Internet cafe,743331,West Bengal Circle,Kolkata Region,South Presidency Division,"Diamond Harbour HO, Dakshin Hazi Pur SO, Diamond Harbour CC SO",+91 98279 88584,N/A,5.0,4.0,"BNB CSC Suvidha Kendra, Solagan, Tentei, Odisha 756046",743331,21.208594599999998,86.7406058,ChIJ2TWQzcV7HDoRy2114tEVtaA,https://www.google.com/maps/place/?q=place_id:ChIJ2TWQzcV7HDoRy2114tEVtaA,part_335,2026-09-20 20:18:43
Basirhat Common Service Center,Common Service Center (CSC) / E-Seva,Cafe,Cafe,743331,West Bengal Circle,Kolkata Region,South Presidency Division,"Diamond Harbour HO, Dakshin Hazi Pur SO, Diamond Harbour CC SO",+91 97336 93252,N/A,3.7,13.0,"Basirhat Court, Basirhat, West Bengal 743411",743331,22.6626668,88.87294279999999,ChIJfdARRm9X_zkRLXdPUFFJuV0,https://www.google.com/maps/place/?q=place_id:ChIJfdARRm9X_zkRLXdPUFFJuV0,part_335,2026-09-20 20:18:44
Common Service Centre (CSC),Common Service Center (CSC) / E-Seva,Corporate office,Corporate office,743331,West Bengal Circle,Kolkata Region,South Presidency Division,"Diamond Harbour HO, Dakshin Hazi Pur SO, Diamond Harbour CC SO",N/A,N/A,3.3,8.0,"VC5R+RP2, NH 329, Diphu, Assam 782460",743331,25.8595218,93.44176519999999,ChIJj-g6LuDsRTcRFZpYC6LNlGo,https://www.google.com/maps/place/?q=place_id:ChIJj-g6LuDsRTcRFZpYC6LNlGo,part_335,2026-09-20 20:18:44
Common Services Center,Common Service Center (CSC) / E-Seva,Government office,"Government office, Internet cafe",743331,West Bengal Circle,Kolkata Region,South Presidency Division,"Diamond Harbour HO, Dakshin Hazi Pur SO, Diamond Harbour CC SO",+91 70020 55370,N/A,3.6,22.0,"Desang Majgaon, NH 37, Merbill, Sukanpukhuri, Assam 785697",743331,27.038868299999997,94.6711756,ChIJ666OpEM0RzcR1AhOgEKB-R8,https://www.google.com/maps/place/?q=place_id:ChIJ666OpEM0RzcR1AhOgEKB-R8,part_335,2026-09-20 20:18:44
Common Service Centre CSC ( গ্ৰাহক সেৱা কেন্দ্ৰ),Common Service Center (CSC) / E-Seva,Internet cafe,Internet cafe,743331,West Bengal Circle,Kolkata Region,South Presidency Division,"Diamond Harbour HO, Dakshin Hazi Pur SO, Diamond Harbour CC SO",+91 70022 19082,N/A,4.7,6.0,"WG94+FV, Patura Chala, Assam 785661",743331,26.918671699999997,94.5071883,ChIJDZMJ9fEvRzcRYAH73Ajrh_4,https://www.google.com/maps/place/?q=place_id:ChIJDZMJ9fEvRzcRYAH73Ajrh_4,part_335,2026-09-20 20:18:44
CSC- Common Service Centre,Common Service Center (CSC) / E-Seva,Corporate office,Corporate office,743331,West Bengal Circle,Kolkata Region,South Presidency Division,"Diamond Harbour HO, Dakshin Hazi Pur SO, Diamond Harbour CC SO",+91 98544 30000,N/A,4.2,11.0,"4W3C+773, Kadam Tola, Assam 781127",743331,26.10313,90.92066469999999,ChIJ0aLZpZaVWTcRiB_IITDH-9c,https://www.google.com/maps/place/?q=place_id:ChIJ0aLZpZaVWTcRiB_IITDH-9c,part_335,2026-09-20 20:18:44
CSC centre (Digital Seva Kendra),Common Service Center (CSC) / E-Seva,Corporate office,Corporate office,743331,West Bengal Circle,Kolkata Region,South Presidency Division,"Diamond Harbour HO, Dakshin Hazi Pur SO, Diamond Harbour CC SO",N/A,N/A,2.7,3.0,"5VR5+RH8, Dafarpur, Assam 783334",743331,26.192038999999998,89.8589605,ChIJSXLsdYWa4jkROdUj_NJrvxQ,https://www.google.com/maps/place/?q=place_id:ChIJSXLsdYWa4jkROdUj_NJrvxQ,part_335,2026-09-20 20:18:44
Common service center,Common Service Center (CSC) / E-Seva,Government office,Government office,743331,West Bengal Circle,Kolkata Region,South Presidency Division,"Diamond Harbour HO, Dakshin Hazi Pur SO, Diamond Harbour CC SO",N/A,N/A,5.0,7.0,"JP29+5GX, Kamaraj Nagar, Sri Vijaya Puram, Andaman and Nicobar Islands 744105",Kamaraj Nagar,11.600299,92.71835,ChIJpxsGdc-TiDAR4JuhJI_40MU,https://www.google.com/maps/place/?q=place_id:ChIJpxsGdc-TiDAR4JuhJI_40MU,part_335,2026-09-20 20:18:44
Common Service Center (CSC),Common Service Center (CSC) / E-Seva,Computer networking service,Computer networking service,743331,West Bengal Circle,Kolkata Region,South Presidency Division,"Diamond Harbour HO, Dakshin Hazi Pur SO, Diamond Harbour CC SO",+91 96123 56076,https://digitalseva.csc.gov.in/,4.3,3.0,"Pangbalkawn, Mizoram 796081",743331,24.2085489,92.6071699,ChIJE1Uy8Q0HTjcRCQyB1_u7fXE,https://www.google.com/maps/place/?q=place_id:ChIJE1Uy8Q0HTjcRCQyB1_u7fXE,part_335,2026-09-20 20:18:44
JAMIRAH CSC CENTRE,Common Service Center (CSC) / E-Seva,Internet cafe,Internet cafe,743331,West Bengal Circle,Kolkata Region,South Presidency Division,"Diamond Harbour HO, Dakshin Hazi Pur SO, Diamond Harbour CC SO",N/A,N/A,4.4,16.0,"NH 15, Dighala Gaon, Assam 786004",743331,27.4166366,94.85141259999999,ChIJexWzbC29QDcR4MOp7cb0rZs,https://www.google.com/maps/place/?q=place_id:ChIJexWzbC29QDcR4MOp7cb0rZs,part_335,2026-09-20 20:18:44
CSC common service center,Common Service Center (CSC) / E-Seva,Internet cafe,Internet cafe,743331,West Bengal Circle,Kolkata Region,South Presidency Division,"Diamond Harbour HO, Dakshin Hazi Pur SO, Diamond Harbour CC SO",+91 73679 39879,N/A,,,"VX72+5QH, Desra, Bihar 813102",743331,24.8639869,86.95180649999999,ChIJF1_abgr_8DkR5I7k0Xhki4w,https://www.google.com/maps/place/?q=place_id:ChIJF1_abgr_8DkR5I7k0Xhki4w,part_335,2026-09-20 20:18:44
Common Service Centre(CSC),Common Service Center (CSC) / E-Seva,Internet cafe,Internet cafe,743331,West Bengal Circle,Kolkata Region,South Presidency Division,"Diamond Harbour HO, Dakshin Hazi Pur SO, Diamond Harbour CC SO",+91 86299 00210,N/A,4.9,12.0,"Charghat Road, Ghoshpur, West Bengal 743289",743331,22.8544241,88.7737555,ChIJK9Leonyz-DkRhEySKdsIiHI,https://www.google.com/maps/place/?q=place_id:ChIJK9Leonyz-DkRhEySKdsIiHI,part_335,2026-09-20 20:18:44
