business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mondal Polyclinic,Polyclinic,Pharmacy,Pharmacy,743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 96094 28247,N/A,,,"56Cm+48X, 7689, Radhanagar Rd, Hansdahara, Kolkata, West Bengal 743332",743332,22.170312499999998,88.2333125,ChIJaTAMOo5eAjoRlrEZfVbPSw0,https://www.google.com/maps/place/?q=place_id:ChIJaTAMOo5eAjoRlrEZfVbPSw0,part_335,2026-09-20 20:19:09
Jeevan Deep Poly Clinic,Polyclinic,Medical clinic,Medical clinic,743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 95931 88347,N/A,,,"682F+Pc4, 7768, Road, Sangrampur, Mallikpratap M, West Bengal 743355",Sangrampur,22.2018125,88.3235625,ChIJ_eZGyTRdAjoRCpXqJ_UMgYo,https://www.google.com/maps/place/?q=place_id:ChIJ_eZGyTRdAjoRCpXqJ_UMgYo,part_335,2026-09-20 20:19:09
A R MEMORIAL FARMACY AND SPECIALITY POLYCLINIC,Polyclinic,Medical Center,Medical Center,743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 75014 93023,N/A,,,"Hotugonj Bas, near Hotugonj Bas more, more, Diamond Harbour, West Bengal 743332",743332,22.1688768,88.2515911,ChIJUx9qocZdAjoR4kjpNM5GJ68,https://www.google.com/maps/place/?q=place_id:ChIJUx9qocZdAjoR4kjpNM5GJ68,part_335,2026-09-20 20:19:09
MEDICO POLYCLINIC,Polyclinic,Medical clinic,Medical clinic,743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 97325 60370,N/A,5.0,1.0,"SHOP 2,LAKSHMIKANTAPUR BIJOYGANGE BAZAR, 24PARGANA SOUTH, West Bengal 743345",743332,22.109877599999997,88.32086989999999,ChIJjxn8jzVbAjoRbTMWgo9na7A,https://www.google.com/maps/place/?q=place_id:ChIJjxn8jzVbAjoRbTMWgo9na7A,part_335,2026-09-20 20:19:09
PRO Diagnostic and Polyclinic,Polyclinic,Diagnostic center,"Diagnostic center, Dermatologist, Doctor, Gastroenterologist, Gynecologist, Medical clinic, Orthopedic clinic, Pediatrician",743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 81003 82198,http://prodiagnostic.in/,4.9,59.0,"9, Baghajatin Rd, Barrackpore Trunk Rd, Baranagar, West Bengal 700036","Nainan Para, Baranagar",22.637988,88.3777279,ChIJhbYUWT2d-DkRk6rwRyZrIRw,https://www.google.com/maps/place/?q=place_id:ChIJhbYUWT2d-DkRk6rwRyZrIRw,part_335,2026-09-20 20:19:10
Apollo Clinic Airport Gate,Polyclinic,Medical clinic,Medical clinic,743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 98300 44199,https://www.apolloclinic.com/,4.7,219.0,"Medplus, Airport Gate, 4/1, Vivekananda Sarani Rd, Italgacha, Kolkata, West Bengal 700079","Italgacha, Rajbari, Dum Dum",22.6457341,88.4298646,ChIJKervAwGf-DkRdoSIITZzJwc,https://www.google.com/maps/place/?q=place_id:ChIJKervAwGf-DkRdoSIITZzJwc,part_335,2026-09-20 20:19:10
Apollo Clinic Ghola,Polyclinic,Diagnostic center,Diagnostic center,743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 90734 48222,https://www.apolloclinicghola.com/,4.8,840.0,"224/1, Barasat Rd, Ghola, Ward No-32, Kolkata, Panihati, West Bengal 700110","Ghola, Ward No-32",22.6970726,88.409323,ChIJZWiOTRyd-DkRirKjlqrdrMs,https://www.google.com/maps/place/?q=place_id:ChIJZWiOTRyd-DkRirKjlqrdrMs,part_335,2026-09-20 20:19:10
Prativa Policlinic,Polyclinic,Pharmacy,Pharmacy,743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 93318 80660,N/A,4.3,29.0,"J 318 2, Paharpur Rd, Fatepur Village, Garden Reach, Kolkata, West Bengal 700024","Fatepur Village, Garden Reach",22.5387447,88.28734539999999,ChIJNb9ggp95AjoRUlAW--Z8g7Y,https://www.google.com/maps/place/?q=place_id:ChIJNb9ggp95AjoRUlAW--Z8g7Y,part_335,2026-09-20 20:19:10
SP Mediclinic - Diagnostic & Polyclinic Centre,Polyclinic,Diagnostic center,Diagnostic center,743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 98369 32000,https://spmediclinic.com/,4.9,254.0,"Block - A, 1st Floor, AMBEY FLORENCE, Rajarhat Main Rd, beside SILVER OAK ESTATE, Salua, Kalipark, Rajarhat, Kolkata, West Bengal 700136","Salua, Kalipark, Rajarhat",22.633693299999997,88.45244439999999,ChIJ0RtKyM6f-DkR5qq6unJmD6E,https://www.google.com/maps/place/?q=place_id:ChIJ0RtKyM6f-DkR5qq6unJmD6E,part_335,2026-09-20 20:19:10
Vista Care Multi Super Speciality Clinic,Polyclinic,Medical clinic,Medical clinic,743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 99036 63145,https://vistacareclinic.com/,4.7,134.0,"Shop/Room No - 04-1, Emami Towers, Commercial 2, Jessore Rd, Golpark, Dum Dum, North Dumdum, West Bengal 700028","Golpark, Dum Dum",22.628833699999998,88.41848949999999,ChIJOR-4fvd1AjoRYlKgPBLPkzk,https://www.google.com/maps/place/?q=place_id:ChIJOR-4fvd1AjoRYlKgPBLPkzk,part_335,2026-09-20 20:19:10
SP Mediclinic - Diagnostic & Polyclinic Centre,Polyclinic,Diagnostic center,"Diagnostic center, Blood testing service, Dental clinic, Doctor, Health consultant, Medical Center, Medical clinic, Medical diagnostic imaging center, Medical laboratory, Physiotherapy Center",743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 81008 54601,https://www.spmediclinic.com/,4.6,231.0,"Rohra Niwas, 91 Adarshapally Road, Gouranganagar Dhalai Rasta, Ghuni, West Bengal 700162","Sulanggari, Hatiara, Newtown",22.5921381,88.45227489999999,ChIJr6kzZCh1AjoRCcJ6NJ5O9GA,https://www.google.com/maps/place/?q=place_id:ChIJr6kzZCh1AjoRCcJ6NJ5O9GA,part_335,2026-09-20 20:19:10
MAA KALI PHARMACY & APARNA POLYCLINIC,Polyclinic,Pharmacy,Pharmacy,743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 90888 38924,N/A,4.2,5.0,"LAKSHMIKANTAPUR BIJOYGANGE BAZAR, 24PARGANA SOUTH, West Bengal 743345",743332,22.1125628,88.3238083,ChIJjxn8jzVbAjoRDkb1J0By36M,https://www.google.com/maps/place/?q=place_id:ChIJjxn8jzVbAjoRDkb1J0By36M,part_335,2026-09-20 20:19:10
Pariseba Clinic,Polyclinic,Diagnostic center,"Diagnostic center, Diabetologist",743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 99034 69174,N/A,4.8,13.0,"DC1/3, Desh Bandhu Nagar, Baguiati, Kolkata, West Bengal 700059","Desh Bandhu Nagar, Baguiati",22.6129173,88.4289253,ChIJFyHkjyee-DkRrLOEZPCheg8,https://www.google.com/maps/place/?q=place_id:ChIJFyHkjyee-DkRrLOEZPCheg8,part_335,2026-09-20 20:19:10
