business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Aeram Fashion Ethnic wear,Womens Ethnic Wear and Kurti,Men's clothing store,"Men's clothing store, Clothing manufacturer",743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 98317 71995,https://aeram-fashion-ethnic.grexa.site/,4.7,,"61/z, Topsia Rd, near Belal Complex, Topsia, Kolkata, West Bengal 700039",Topsia,22.533331,88.3869485,ChIJz19bXL52AjoR67DYijhoMI4,https://www.google.com/maps/place/?q=place_id:ChIJz19bXL52AjoR67DYijhoMI4,part_335,2026-09-20 20:19:04
Nite N Day Fashion Co Private Limited,Womens Ethnic Wear and Kurti,Clothing store,"Clothing store, Men's clothing store",743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 97483 04847,N/A,4.2,,"SHOP, Treasure Island Market, G21 3, Madge Lane, Kolkata, West Bengal 700016","Esplanade, Dharmatala, Taltala",22.5586792,88.35315059999999,ChIJe6yzIVN2AjoR36YuS_M7FtY,https://www.google.com/maps/place/?q=place_id:ChIJe6yzIVN2AjoR36YuS_M7FtY,part_335,2026-09-20 20:19:04
"Ethnicity - Manisquare Mall, Kolkata",Womens Ethnic Wear and Kurti,Clothing store,Clothing store,743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 94296 92401,https://store.ethnicity.in/ethnicity/stores-in-kolkata/stores-in-kankurgachi/ethnicity-in-kankurgachi-kolkata--2e4919d0-12bb-41d0-92a5-564c7c6c5432/home,4.9,,"Second Floor, Mani Mani Square Mall, Shop No, 209 A, Maniktala Main Rd, nearby Police Station, Kankurgachi, Kolkata, West Bengal 700054","Kadapara, Phoolbagan, Kankurgachi",22.5777461,88.4009384,ChIJeVPywHd2AjoRc6e2-vbARVo,https://www.google.com/maps/place/?q=place_id:ChIJeVPywHd2AjoRc6e2-vbARVo,part_335,2026-09-20 20:19:04
Exclusive parampara collection,Womens Ethnic Wear and Kurti,Clothing store,Clothing store,743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 87772 91926,N/A,4.4,,"107A, Rash Behari Avenue near Tridhara Club Dover Terrace, Ballygunge, Triangular Park, Gariahat, Kolkata, West Bengal 700029","Triangular Park, Dover Terrace, Gariahat",22.518118299999998,88.35571039999999,ChIJEx3Y6Bl3AjoRyuV6-agI1qo,https://www.google.com/maps/place/?q=place_id:ChIJEx3Y6Bl3AjoRyuV6-agI1qo,part_335,2026-09-20 20:19:04
Rainbow Men's Ethnic Wear,Womens Ethnic Wear and Kurti,Clothing store,Clothing store,743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 90516 55303,https://www.facebook.com/rainbo.vinay?mibextid=ZbWKwL,3.9,,"Upper Basement, Shop No - B -40&60, Satyanarayan Park Ac Market, Raja Katra, Bara Bazar, Jorasanko, Kolkata, West Bengal 700007","Raja Katra, Bara Bazar, Jorasanko",22.5817321,88.3539311,ChIJ_8VJncN3AjoRDcLZepgkDeQ,https://www.google.com/maps/place/?q=place_id:ChIJ_8VJncN3AjoRDcLZepgkDeQ,part_335,2026-09-20 20:19:04
"Pantaloons (Avani Riverside Mall, Kolkata)",Womens Ethnic Wear and Kurti,Women's clothing store,"Women's clothing store, Baby clothing store, Children's clothing store, Dress store, Formal Clothing Store, Men's clothing store, Western apparel store, Clothing store, Youth clothing store",743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 80 4713 8412,https://stores.pantaloons.com/pantaloons/stores-in-howrah/stores-in-shibpur/pantaloons-in-shibpur-howrah--6064987b-af00-41fe-ac07-90b154f4c17e/home,4.2,,"32, Jagat Banerjee Ghat Rd, opposite Raipur Electronics, Choura Bustee, Shibpur, Howrah, West Bengal 711102","Choura Bustee, Shibpur",22.562817199999998,88.32301919999999,ChIJH8apT9V5AjoR-PQEJ7LOP7c,https://www.google.com/maps/place/?q=place_id:ChIJH8apT9V5AjoR-PQEJ7LOP7c,part_335,2026-09-20 20:19:04
Saar - Womens Wear Fashion in Kolkata,Womens Ethnic Wear and Kurti,Clothes and fabric wholesaler,Clothes and fabric wholesaler,743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 90739 44557,https://saarbyrajkumars.com/,4.8,,"1st floor, 99A, Park St, Mullick Bazar, Park Street area, Kolkata, West Bengal 700016","Mullick Bazar, Park Street area",22.549158,88.35793799999999,ChIJM8nVgRx3AjoRmx8FczDYPRc,https://www.google.com/maps/place/?q=place_id:ChIJM8nVgRx3AjoRmx8FczDYPRc,part_335,2026-09-20 20:19:05
"Pantaloons (Garia, Kolkata)",Womens Ethnic Wear and Kurti,Women's clothing store,"Women's clothing store, Baby clothing store, Children's clothing store, Dress store, Formal Clothing Store, Men's clothing store, Western apparel store, Clothing store, Youth clothing store",743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 80 4713 8195,https://stores.pantaloons.com/pantaloons/stores-in-kolkata/stores-in-garia/pantaloons-in-garia-kolkata--b8545065-0bf5-47b7-8a1f-46a783fca29f/home,4.0,,"Ground-2nd Floor, No. 414, Garia Main Rd, opp. Frank Ross Pharmacy, Laxmi Narayan Colony, Garia, Kolkata, West Bengal 700047","Laxmi Narayan Colony, Garia",22.465994,88.376666,ChIJyRLFJ6dxAjoR1sTHn5pZDMs,https://www.google.com/maps/place/?q=place_id:ChIJyRLFJ6dxAjoR1sTHn5pZDMs,part_335,2026-09-20 20:19:05
DM DRESSES,Womens Ethnic Wear and Kurti,Clothing manufacturer,Clothing manufacturer,743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 63548 85193,N/A,5.0,,"U-44/5, Slaughter House Rd, Karbala, Garden Reach, Kolkata, West Bengal 700018","Karbala, Garden Reach",22.5414972,88.27296869999999,ChIJMx9dBj55AjoRlQIp-yuQ87k,https://www.google.com/maps/place/?q=place_id:ChIJMx9dBj55AjoRlQIp-yuQ87k,part_335,2026-09-20 20:19:06
Sneha Creations,Womens Ethnic Wear and Kurti,Clothing store,"Clothing store, Clothes and fabric manufacturer, Clothes and fabric wholesaler, Clothing wholesale market place, Designer Clothing Store, Wedding store",743332,West Bengal Circle,Kolkata Region,South Presidency Division,"Hatuganj SO, Bardrone BO, Barandari Bagaria BO",+91 98314 29746,https://www.instagram.com/snehacreationsburrabazar/saved/,5.0,,"1st floor, unit no. 101, Landmark - Chhagani kachori wala, 1, Gourdas Bysack Lane, Bara Bazar, Kolkata, West Bengal 700007","Radha Kunj, Bara Bazar, Jorasanko",22.5848011,88.35410259999999,ChIJERAjQeZ3AjoRdeWtY-WhHBU,https://www.google.com/maps/place/?q=place_id:ChIJERAjQeZ3AjoRdeWtY-WhHBU,part_335,2026-09-20 20:19:06
