business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sutapa Medical Stores,Medical Equipment Supplier,Medical supply store,Medical supply store,743337,West Bengal Circle,Kolkata Region,South Presidency Division,"Joynagar Majilpur SO, Amtala BO, Banerjee Chak BO",+91 97327 81944,N/A,4.0,2.0,"Unnamed Road, Rajgara, West Bengal 743372",743337,22.2825757,88.4440565,ChIJFbP1W6hrAjoR4_lEKeilAlk,https://www.google.com/maps/place/?q=place_id:ChIJFbP1W6hrAjoR4_lEKeilAlk,part_335,2026-09-20 20:20:38
Laskar Enterprise (OXYGEN & OTHERS),Medical Equipment Supplier,Oxygen equipment supplier,Oxygen equipment supplier,743337,West Bengal Circle,Kolkata Region,South Presidency Division,"Joynagar Majilpur SO, Amtala BO, Banerjee Chak BO",+91 86704 85457,N/A,5.0,2.0,"Kaneya muldia road , Bilpara more, Jaynagar Mazilpur, West Bengal 743337",743337,22.1711033,88.41001709999999,ChIJM71Htq9BAjoRCAkMdb8yHhU,https://www.google.com/maps/place/?q=place_id:ChIJM71Htq9BAjoRCAkMdb8yHhU,part_335,2026-09-20 20:20:38
Das medical,Medical Equipment Supplier,Medical supply store,Medical supply store,743337,West Bengal Circle,Kolkata Region,South Presidency Division,"Joynagar Majilpur SO, Amtala BO, Banerjee Chak BO",N/A,N/A,5.0,1.0,"Kulpi road Pin - 743372 Baharu, mallavpur, Jaynagar, West Bengal 743372",743337,22.202814099999998,88.43404489999999,ChIJ8fMBP9VBAjoRK2WY9vRB1hM,https://www.google.com/maps/place/?q=place_id:ChIJ8fMBP9VBAjoRK2WY9vRB1hM,part_335,2026-09-20 20:20:38
Sunshine Medicine Centre,Medical Equipment Supplier,Medical supply store,Medical supply store,743337,West Bengal Circle,Kolkata Region,South Presidency Division,"Joynagar Majilpur SO, Amtala BO, Banerjee Chak BO",N/A,N/A,4.8,5.0,"Kulpi Rd, Lakshmikantapur, Jaynagar Mazilpur, West Bengal 743337",743337,22.176845699999998,88.4211224,ChIJkSoLJTpBAjoRuM2Tnq0HrcA,https://www.google.com/maps/place/?q=place_id:ChIJkSoLJTpBAjoRuM2Tnq0HrcA,part_335,2026-09-20 20:20:38
NEW MONDAL MEDICAL HALL,Medical Equipment Supplier,Medical supply store,Medical supply store,743337,West Bengal Circle,Kolkata Region,South Presidency Division,"Joynagar Majilpur SO, Amtala BO, Banerjee Chak BO",+91 97344 37272,N/A,5.0,1.0,"Jayatala Jayatala market, Baruipur, Dandapur, West Bengal 743372",743337,22.2888189,88.5410477,ChIJyXekhS4VAjoR8rOzAVT7NOQ,https://www.google.com/maps/place/?q=place_id:ChIJyXekhS4VAjoR8rOzAVT7NOQ,part_335,2026-09-20 20:20:38
Kaji Medical Hal,Medical Equipment Supplier,Medical supply store,Medical supply store,743337,West Bengal Circle,Kolkata Region,South Presidency Division,"Joynagar Majilpur SO, Amtala BO, Banerjee Chak BO",N/A,N/A,5.0,1.0,"5C75+HFG, SH 1, Jaynagar, Bangsidharpur, West Bengal 743395",743337,22.163943,88.40871279999999,ChIJlQ2rc_dBAjoRqA6BJprNIhU,https://www.google.com/maps/place/?q=place_id:ChIJlQ2rc_dBAjoRqA6BJprNIhU,part_335,2026-09-20 20:20:38
K R MEDICINE HOUSE,Medical Equipment Supplier,Medical supply store,Medical supply store,743337,West Bengal Circle,Kolkata Region,South Presidency Division,"Joynagar Majilpur SO, Amtala BO, Banerjee Chak BO",+91 98740 93890,N/A,5.0,6.0,"more Baruipur surjapur, Balbalia, Baruipur, West Bengal 743372",743337,22.291458,88.4569355,ChIJN1oJDZFrAjoRA3SMlWZpB0k,https://www.google.com/maps/place/?q=place_id:ChIJN1oJDZFrAjoRA3SMlWZpB0k,part_335,2026-09-20 20:20:38
Medical Srore,Medical Equipment Supplier,Medical supply store,Medical supply store,743337,West Bengal Circle,Kolkata Region,South Presidency Division,"Joynagar Majilpur SO, Amtala BO, Banerjee Chak BO",N/A,N/A,,,"4FWH+HC4, Jayanagar - Jamtala Rd, Mallar Chak, West Bengal 743338",743337,22.146383,88.478588,ChIJO3QEqfFBAjoRo0cf2bSfuJA,https://www.google.com/maps/place/?q=place_id:ChIJO3QEqfFBAjoRo0cf2bSfuJA,part_335,2026-09-20 20:20:38
B.D ENTERPRISES,Medical Equipment Supplier,Medical supply store,"Medical supply store, Wholesale drugstore",743337,West Bengal Circle,Kolkata Region,South Presidency Division,"Joynagar Majilpur SO, Amtala BO, Banerjee Chak BO",+91 90936 03581,N/A,4.6,10.0,"Magrahat II - Usthi Rd, Magrahat-II, Uttar Kalas, West Bengal 743609",743337,22.2524807,88.3483992,ChIJtZW_Sz9oAjoRXx9ReiZzr1o,https://www.google.com/maps/place/?q=place_id:ChIJtZW_Sz9oAjoRXx9ReiZzr1o,part_335,2026-09-20 20:20:38
BENGAL RENAL CARE,Medical Equipment Supplier,Medical supply store,Medical supply store,743337,West Bengal Circle,Kolkata Region,South Presidency Division,"Joynagar Majilpur SO, Amtala BO, Banerjee Chak BO",+91 90462 62967,N/A,,,"Vill - Alipur, P.O, P.S, Baharu, Jaynagar, West Bengal 743372",P.S,22.1944703,88.4340395,ChIJywrNv8lBAjoRSPYDSS3I0vU,https://www.google.com/maps/place/?q=place_id:ChIJywrNv8lBAjoRSPYDSS3I0vU,part_335,2026-09-20 20:20:38
Mollick Medical,Medical Equipment Supplier,Medical supply store,"Medical supply store, Service establishment",743337,West Bengal Circle,Kolkata Region,South Presidency Division,"Joynagar Majilpur SO, Amtala BO, Banerjee Chak BO",+91 91533 83086,https://mollick-medical.ueniweb.com/?utm_campaign=gmb,5.0,1.0,"Mollick Medical, 743337, India",743337,22.5354274,88.3473528,ChIJU76pBsFpAjoRv3BzvbzpTHE,https://www.google.com/maps/place/?q=place_id:ChIJU76pBsFpAjoRv3BzvbzpTHE,part_335,2026-09-20 20:20:38
MONDAL ENTERPRISE,Medical Equipment Supplier,Medical supply store,Medical supply store,743337,West Bengal Circle,Kolkata Region,South Presidency Division,"Joynagar Majilpur SO, Amtala BO, Banerjee Chak BO",N/A,N/A,,,"186, Uttar, Durgapur, Bantra, Purba Bantra, West Bengal 743337",Durgapur,22.2080213,88.53719579999999,ChIJbzGSoNBBAjoREltuUVAnrYo,https://www.google.com/maps/place/?q=place_id:ChIJbzGSoNBBAjoREltuUVAnrYo,part_335,2026-09-20 20:20:38
Mishika Enterprise,Medical Equipment Supplier,Medical equipment supplier,Medical equipment supplier,743337,West Bengal Circle,Kolkata Region,South Presidency Division,"Joynagar Majilpur SO, Amtala BO, Banerjee Chak BO",N/A,N/A,,,"SH 1, Dakshin Barasat, West Bengal 743372",743337,22.218539099999997,88.44398919999999,ChIJnyCbewBBAjoRXzbJrnRraik,https://www.google.com/maps/place/?q=place_id:ChIJnyCbewBBAjoRXzbJrnRraik,part_335,2026-09-20 20:20:38
