business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BAIDYA HEALTH CLINIC,Clinics,Doctor,Doctor,743349,West Bengal Circle,Kolkata Region,South Presidency Division,"Kashinagar SO South 24 Parganas, Baburchak BO, Bakultala BO",N/A,N/A,4.0,2.0,"Baidya More, 00, Ramganga Rd, Baribhanga Abad, Abad Gangadharpur, West Bengal 743349",743349,21.9783273,88.3602184,ChIJkZbugXFPAjoR4mawY2qqTVU,https://www.google.com/maps/place/?q=place_id:ChIJkZbugXFPAjoR4mawY2qqTVU,part_335,2026-09-20 20:24:17
Life Line Clinic,Clinics,Medical clinic,Medical clinic,743349,West Bengal Circle,Kolkata Region,South Presidency Division,"Kashinagar SO South 24 Parganas, Baburchak BO, Bakultala BO",+91 90647 06495,N/A,4.8,5.0,"Subhas Nagar School Road, Ramganga Main Rd, near Subhash School, West Bengal 743349",743349,22.010682499999998,88.39026349999999,ChIJmQv8lFZPAjoRcXfNV5b1lBo,https://www.google.com/maps/place/?q=place_id:ChIJmQv8lFZPAjoRcXfNV5b1lBo,part_335,2026-09-20 20:24:17
আস্থা ক্লিনিক,Clinics,Medical clinic,Medical clinic,743349,West Bengal Circle,Kolkata Region,South Presidency Division,"Kashinagar SO South 24 Parganas, Baburchak BO, Bakultala BO",N/A,N/A,,,"W93G+RQW, Ramganga Main Rd, Indra Narayanpur, West Bengal 743349",743349,21.9046062,88.3769482,ChIJ_f_hjltMAjoRUbQxNgj9UJY,https://www.google.com/maps/place/?q=place_id:ChIJ_f_hjltMAjoRUbQxNgj9UJY,part_335,2026-09-20 20:24:17
Sarkar clinic,Clinics,Medical clinic,Medical clinic,743349,West Bengal Circle,Kolkata Region,South Presidency Division,"Kashinagar SO South 24 Parganas, Baburchak BO, Bakultala BO",N/A,N/A,,,"2CF8+6R2, Dighirpar Bakultala, West Bengal 743349",743349,22.0230017,88.4170001,ChIJ9w0ixgtJAjoRFyDKbO0khKo,https://www.google.com/maps/place/?q=place_id:ChIJ9w0ixgtJAjoRFyDKbO0khKo,part_335,2026-09-20 20:24:17
JR HOMOEO CARE,Clinics,Medical clinic,Medical clinic,743349,West Bengal Circle,Kolkata Region,South Presidency Division,"Kashinagar SO South 24 Parganas, Baburchak BO, Bakultala BO",N/A,N/A,5.0,2.0,"X8HG+25R, Mondir Ghat Road, Uttarabad, Dakshin Gangadharpur, West Bengal 743399",Uttarabad,21.9775712,88.3253692,ChIJg6ZxdQBPAjoRBFE2pDe8mB8,https://www.google.com/maps/place/?q=place_id:ChIJg6ZxdQBPAjoRBFE2pDe8mB8,part_335,2026-09-20 20:24:17
Life care clinic,Clinics,Doctor,Doctor,743349,West Bengal Circle,Kolkata Region,South Presidency Division,"Kashinagar SO South 24 Parganas, Baburchak BO, Bakultala BO",N/A,N/A,5.0,1.0,"V9RG+67M, Ramganga Main Rd, Ramnagar Abad, West Bengal 743349",743349,21.8905933,88.3756567,ChIJ74eTMIdNAjoREJRMExr_Lu4,https://www.google.com/maps/place/?q=place_id:ChIJ74eTMIdNAjoREJRMExr_Lu4,part_335,2026-09-20 20:24:17
DR. AJHAR UDDIN KHAN CLINIC,Clinics,Medical clinic,Medical clinic,743349,West Bengal Circle,Kolkata Region,South Presidency Division,"Kashinagar SO South 24 Parganas, Baburchak BO, Bakultala BO",N/A,N/A,5.0,3.0,"X8GH+X2, Dakshin Gangadharpur, West Bengal 743399",743349,21.977425999999998,88.3276537,ChIJC3hJYwBPAjoRot-073Ik7ys,https://www.google.com/maps/place/?q=place_id:ChIJC3hJYwBPAjoRot-073Ik7ys,part_335,2026-09-20 20:24:17
HALDER CLINIC,Clinics,Medical clinic,Medical clinic,743349,West Bengal Circle,Kolkata Region,South Presidency Division,"Kashinagar SO South 24 Parganas, Baburchak BO, Bakultala BO",+91 75480 70159,N/A,5.0,1.0,"Alar More, Mandirghat Road, Uttarabad, Dakshin Gangadharpur, West Bengal 743399",Uttarabad,21.986362399999997,88.3191538,ChIJuYBeNFNRAjoR1fupM7ZQLzk,https://www.google.com/maps/place/?q=place_id:ChIJuYBeNFNRAjoR1fupM7ZQLzk,part_335,2026-09-20 20:24:17
মা গ্রামীণ ক্লিনিক,Clinics,Medical clinic,Medical clinic,743349,West Bengal Circle,Kolkata Region,South Presidency Division,"Kashinagar SO South 24 Parganas, Baburchak BO, Bakultala BO",N/A,N/A,,,"Companirthek Bazaar, Baribhanga Abad, Raidighi, West Bengal 743349",743349,22.021829099999998,88.4390224,ChIJ5e0LaQBJAjoRsROD8-WBtAI,https://www.google.com/maps/place/?q=place_id:ChIJ5e0LaQBJAjoRsROD8-WBtAI,part_335,2026-09-20 20:24:17
মা গ্রামীন ক্লিনিক,Clinics,Medical clinic,Medical clinic,743349,West Bengal Circle,Kolkata Region,South Presidency Division,"Kashinagar SO South 24 Parganas, Baburchak BO, Bakultala BO",N/A,N/A,,,"কোম্পানির ঠেক বিডিও সম্মুখে, Raidighi, Baribhanga Abad, West Bengal 743349",743349,22.0359731,88.427571,ChIJp4YuYABJAjoRqreGqentH2o,https://www.google.com/maps/place/?q=place_id:ChIJp4YuYABJAjoRqreGqentH2o,part_335,2026-09-20 20:24:17
