business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Atanu icon parlour,Salon,Hair salon,Hair salon,743370,West Bengal Circle,Kolkata Region,South Presidency Division,"Gosaba SO, Amlamethi BO, Arampur BO",N/A,N/A,5.0,25.0,"5Q8X+VM5, Gosaba, Arampur, West Bengal 743370",743370,22.1670749,88.7992548,ChIJVdlOGgCLAToRzk0giLKudc8,https://www.google.com/maps/place/?q=place_id:ChIJVdlOGgCLAToRzk0giLKudc8,part_335,2026-09-20 20:30:20
Arpita Beauty Parlour,Salon,Beauty Parlour,Beauty Parlour,743370,West Bengal Circle,Kolkata Region,South Presidency Division,"Gosaba SO, Amlamethi BO, Arampur BO",N/A,N/A,4.6,9.0,"5R82+QRG, Gosaba, Arampur, West Bengal 743370",743370,22.1669259,88.8020725,ChIJDcPmJwCLAToRLGVPZYxR9HQ,https://www.google.com/maps/place/?q=place_id:ChIJDcPmJwCLAToRLGVPZYxR9HQ,part_335,2026-09-20 20:30:20
Arun haircut salon,Salon,Electrolysis hair removal service,Electrolysis hair removal service,743370,West Bengal Circle,Kolkata Region,South Presidency Division,"Gosaba SO, Amlamethi BO, Arampur BO",+91 76797 95457,N/A,,,"Amlamethi, West Bengal 743370",743370,22.0804986,88.7366751,ChIJp2w97bInAjoRd4p3k2H_xpY,https://www.google.com/maps/place/?q=place_id:ChIJp2w97bInAjoRd4p3k2H_xpY,part_335,2026-09-20 20:30:20
Monoranjan Saloon,Salon,Hair salon,Hair salon,743370,West Bengal Circle,Kolkata Region,South Presidency Division,"Gosaba SO, Amlamethi BO, Arampur BO",+91 85130 89100,N/A,5.0,1.0,"near Durga Mondir, Laxbagan Bazar, Luxbagan, Satjelia, West Bengal 743370",Laxbagan Bazar,22.1236647,88.8882484,ChIJ00JZZY6PAToRSgxdvWCpelo,https://www.google.com/maps/place/?q=place_id:ChIJ00JZZY6PAToRSgxdvWCpelo,part_335,2026-09-20 20:30:20
PUJA MAKEOVER STUDIO,Salon,Beauty Parlour,Beauty Parlour,743370,West Bengal Circle,Kolkata Region,South Presidency Division,"Gosaba SO, Amlamethi BO, Arampur BO",+91 70002 16995,N/A,5.0,2.0,"Luxbagan Bazar, Satjalia, Gosaba, Canning, West Bengal 743370",743370,22.122913099999998,88.8889442,ChIJUVSyP06PAToRjDv5RvhoMiY,https://www.google.com/maps/place/?q=place_id:ChIJUVSyP06PAToRjDv5RvhoMiY,part_335,2026-09-20 20:30:20
BASANTI SALON,Salon,Hairdresser,"Hairdresser, Fencing salon",743370,West Bengal Circle,Kolkata Region,South Presidency Division,"Gosaba SO, Amlamethi BO, Arampur BO",+91 96327 29320,N/A,3.0,2.0,"1 NO SHOP, Luxbagan Bazar, Kolkata, Luxbagan, West Bengal 743370",743370,22.1230305,88.8888961,ChIJy--7Nf2PAToRqjKnSAw0sQ4,https://www.google.com/maps/place/?q=place_id:ChIJy--7Nf2PAToRqjKnSAw0sQ4,part_335,2026-09-20 20:30:20
Kolani Salon,Salon,Barber shop,Barber shop,743370,West Bengal Circle,Kolkata Region,South Presidency Division,"Gosaba SO, Amlamethi BO, Arampur BO",+91 86092 68102,N/A,3.7,6.0,"5V89+Fmq, 4, Satjelia Rd, Satjelia, West Bengal 743370",743370,22.1661687,88.86918279999999,ChIJ9bYnfHSMAToR3zLTwY-RH7E,https://www.google.com/maps/place/?q=place_id:ChIJ9bYnfHSMAToR3zLTwY-RH7E,part_335,2026-09-20 20:30:20
Mira's Ladies Beauty Parlour,Salon,Beauty Parlour,Beauty Parlour,743370,West Bengal Circle,Kolkata Region,South Presidency Division,"Gosaba SO, Amlamethi BO, Arampur BO",N/A,N/A,,,"near Santigachi High School, Lahiripur, West Bengal 743370",743370,22.1037915,88.90372149999999,ChIJoY6ENwCPAToRsoko8pEQfoI,https://www.google.com/maps/place/?q=place_id:ChIJoY6ENwCPAToRsoko8pEQfoI,part_335,2026-09-20 20:30:20
Sundarban Saloon,Salon,Hair salon,Hair salon,743370,West Bengal Circle,Kolkata Region,South Presidency Division,"Gosaba SO, Amlamethi BO, Arampur BO",+91 6295 701 378,N/A,5.0,1.0,"Gadh Khali, Main Road, feri Ghat, West Bengal 743370",feri Ghat,22.1626323,88.80403179999999,ChIJt78KvVGLAToRjhHGrriZG6o,https://www.google.com/maps/place/?q=place_id:ChIJt78KvVGLAToRjhHGrriZG6o,part_335,2026-09-20 20:30:20
মণ্ডল সাইকেল and সেলুন,Salon,Hair salon,Hair salon,743370,West Bengal Circle,Kolkata Region,South Presidency Division,"Gosaba SO, Amlamethi BO, Arampur BO",N/A,N/A,5.0,1.0,"4V55+6HJ, Gosaba, Hamilton Abad, West Bengal 743370",743370,22.108079699999998,88.85890409999999,ChIJoY3wBACJAToRFeGko1xUJNg,https://www.google.com/maps/place/?q=place_id:ChIJoY3wBACJAToRFeGko1xUJNg,part_335,2026-09-20 20:30:20
