business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Advocate Srijani Biswas,Advocate and Lawyer,Legal services,Legal services,743372,West Bengal Circle,Kolkata Region,South Presidency Division,"Dakshin Barasat SO, Baharu BO, Banasundaria BO",+91 94774 39189,N/A,5.0,,"Baruipur Station Rd, near Allahabad bank, opposite of HDFC ATM, Masterpara, Subuddhipur, Kolkata, Baruipur, West Bengal 700144","Masterpara, Subuddhipur",22.365896799999998,88.4327788,ChIJ1X3Jx-RtAjoR7oE1V1Kud0I,https://www.google.com/maps/place/?q=place_id:ChIJ1X3Jx-RtAjoR7oE1V1Kud0I,part_335,2026-09-20 20:31:59
Advocate Debasree Roy Saha,Advocate and Lawyer,Criminal justice attorney,Criminal justice attorney,743372,West Bengal Circle,Kolkata Region,South Presidency Division,"Dakshin Barasat SO, Baharu BO, Banasundaria BO",+91 70038 09481,http://www.bestlawchamber.in/,4.8,28.0,"9CMG+F66, Dehimedan Malla, Dakshin Gobindopur, Baruipur, West Bengal 700145","Dehimedan Malla, Dakshin Gobindopur",22.3836926,88.4254947,ChIJEVXz169tAjoRZTHCrDfjkLM,https://www.google.com/maps/place/?q=place_id:ChIJEVXz169tAjoRZTHCrDfjkLM,part_335,2026-09-20 20:31:59
Tirtharaj Chongdar,Advocate and Lawyer,Criminal justice attorney,Criminal justice attorney,743372,West Bengal Circle,Kolkata Region,South Presidency Division,"Dakshin Barasat SO, Baharu BO, Banasundaria BO",+91 98041 46057,N/A,5.0,69.0,"Hariharpur hospital para, Ghoshpara More, Malancha Mahi Nagar, Kolkata, West Bengal 700145","Ghoshpara More, Malancha Mahi Nagar",22.3920775,88.4322459,ChIJJ4b8Ms1tAjoReWyEWxmwf-w,https://www.google.com/maps/place/?q=place_id:ChIJJ4b8Ms1tAjoReWyEWxmwf-w,part_335,2026-09-20 20:31:59
Advocate Uttam Kumar Halder's Chamber,Advocate and Lawyer,Lawyer,Lawyer,743372,West Bengal Circle,Kolkata Region,South Presidency Division,"Dakshin Barasat SO, Baharu BO, Banasundaria BO",+91 91633 07640,N/A,5.0,,"Nabatara School Rd By Ln, Subhasgram, Kolkata, Rajpur Sonarpur, West Bengal 700147",Subhasgram,22.4169505,88.4348304,ChIJmaOq8yxtAjoROLts_nSL4w8,https://www.google.com/maps/place/?q=place_id:ChIJmaOq8yxtAjoROLts_nSL4w8,part_335,2026-09-20 20:31:59
ADVOCATE Indranil Mondal,Advocate and Lawyer,Lawyer,Lawyer,743372,West Bengal Circle,Kolkata Region,South Presidency Division,"Dakshin Barasat SO, Baharu BO, Banasundaria BO",N/A,N/A,5.0,,"Ukilpara Rd, behind Baruipu, Hospital r, Subuddhipur, Baruipur, West Bengal 700144","Hospital r, Subuddhipur",22.359209399999997,88.435367,ChIJU_0XDgBtAjoRzjxp7FeRlrk,https://www.google.com/maps/place/?q=place_id:ChIJU_0XDgBtAjoRzjxp7FeRlrk,part_335,2026-09-20 20:31:59
Advocate Saptarshi Mondal,Advocate and Lawyer,Legal services,Legal services,743372,West Bengal Circle,Kolkata Region,South Presidency Division,"Dakshin Barasat SO, Baharu BO, Banasundaria BO",N/A,N/A,5.0,,"Baruipur Station Rd, near 4 platform, Arabindo sarani, Masterpara, Subuddhipur, Baruipur, West Bengal 700144","Arabindo sarani, Masterpara, Subuddhipur",22.3665077,88.4348761,ChIJFVUoGgBtAjoR8b1cF2G_FnQ,https://www.google.com/maps/place/?q=place_id:ChIJFVUoGgBtAjoR8b1cF2G_FnQ,part_335,2026-09-20 20:31:59
Advocate's Chamber (TIRTHARAJ CHONGDAR),Advocate and Lawyer,Lawyer,Lawyer,743372,West Bengal Circle,Kolkata Region,South Presidency Division,"Dakshin Barasat SO, Baharu BO, Banasundaria BO",N/A,N/A,5.0,,"Hariharpur Hospital Para, Ghoshpara More, Malancha Mahi Nagar, Kolkata, West Bengal 700145","Ghoshpara More, Malancha Mahi Nagar",22.3918604,88.4313675,ChIJccWrL35tAjoRukzhlCUlQFU,https://www.google.com/maps/place/?q=place_id:ChIJccWrL35tAjoRukzhlCUlQFU,part_335,2026-09-20 20:31:59
Advocate Rupam Purkait,Advocate and Lawyer,Legal services,Legal services,743372,West Bengal Circle,Kolkata Region,South Presidency Division,"Dakshin Barasat SO, Baharu BO, Banasundaria BO",+91 97484 86606,N/A,5.0,,"Sukumari appartment, Puratan Bazar, Subuddhipur, Baruipur, West Bengal 700144","Puratan Bazar, Subuddhipur",22.348953899999998,88.43835419999999,ChIJL6rgb4FtAjoR0u8hDgRizfU,https://www.google.com/maps/place/?q=place_id:ChIJL6rgb4FtAjoR0u8hDgRizfU,part_335,2026-09-20 20:31:59
"Nikhiles Ray, Advocate.",Advocate and Lawyer,Lawyer,Lawyer,743372,West Bengal Circle,Kolkata Region,South Presidency Division,"Dakshin Barasat SO, Baharu BO, Banasundaria BO",+91 99030 75161,http://www.advocatenikhiles.online/,4.9,,"Surya Sen Block Rd, near Bharati Sangha Club, Chowhati Battola Bazar, Rajpur, Rajpur Sonarpur, Kolkata, West Bengal 700149","Chowhati Battola Bazar, Rajpur",22.4143902,88.4040443,ChIJbXAlDRttAjoRrvurR2NzVDM,https://www.google.com/maps/place/?q=place_id:ChIJbXAlDRttAjoRrvurR2NzVDM,part_335,2026-09-20 20:31:59
Advocate Debon Dey,Advocate and Lawyer,Legal services,"Legal services, Criminal justice attorney",743372,West Bengal Circle,Kolkata Region,South Presidency Division,"Dakshin Barasat SO, Baharu BO, Banasundaria BO",+91 62902 72554,https://law4u.in/advocate-advocate-debon-dey,5.0,,"Netaji Subhas Chandra Bose Rd, Dehimedan Malla, Dakshin Gobindopur, Baruipur, West Bengal 700145","Dehimedan Malla, Dakshin Gobindopur",22.3885604,88.42369629999999,ChIJ-0Ij0mptAjoR9Da5vMkCCQo,https://www.google.com/maps/place/?q=place_id:ChIJ-0Ij0mptAjoR9Da5vMkCCQo,part_335,2026-09-20 20:31:59
