business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Royal Palace Marriage Hall,Banquet Hall,Wedding venue,Wedding venue,743377,West Bengal Circle,Kolkata Region,South Presidency Division,"Bakrahat SO, Aryapara BO, Chowl Khola BO",+91 98369 05576,N/A,3.6,103.0,"Fultala, Dhole Para, Saheb Banbagicha, Chak Daulat, West Bengal 743377",Dhole Para,22.3916383,88.185904,ChIJA_Ag5ZRiAjoR8GGE18VtnIQ,https://www.google.com/maps/place/?q=place_id:ChIJA_Ag5ZRiAjoR8GGE18VtnIQ,part_335,2026-09-20 20:35:28
Hasi villa,Banquet Hall,Banquet hall,Banquet hall,743377,West Bengal Circle,Kolkata Region,South Presidency Division,"Bakrahat SO, Aryapara BO, Chowl Khola BO",+91 82828 28525,N/A,4.2,37.0,"Bakhrahat, Bishnupur, Raypur, West Bengal 743377",Bakhrahat,22.3916191,88.2057019,ChIJG9OE5K9jAjoRDvQJJl4fkzQ,https://www.google.com/maps/place/?q=place_id:ChIJG9OE5K9jAjoRDvQJJl4fkzQ,part_335,2026-09-20 20:35:28
Manyata Villa and Garden,Banquet Hall,Banquet hall,"Banquet hall, Villa",743377,West Bengal Circle,Kolkata Region,South Presidency Division,"Bakrahat SO, Aryapara BO, Chowl Khola BO",+91 70030 20218,N/A,4.3,46.0,"Gotalahat - Bibirhat Rd, Barkalikapur, Amtala, West Bengal 743377",Barkalikapur,22.384353299999997,88.22688289999999,ChIJDxrj-JRjAjoR5l51gBjpsQA,https://www.google.com/maps/place/?q=place_id:ChIJDxrj-JRjAjoR5l51gBjpsQA,part_335,2026-09-20 20:35:28
Sonamoni Villa,Banquet Hall,Banquet hall,Banquet hall,743377,West Bengal Circle,Kolkata Region,South Presidency Division,"Bakrahat SO, Aryapara BO, Chowl Khola BO",N/A,N/A,4.1,9.0,"96PG+6P5, Bibirhat, West Bengal 743377",743377,22.3855132,88.2268735,ChIJyzaTP9pjAjoRQtJfMGgN4Xk,https://www.google.com/maps/place/?q=place_id:ChIJyzaTP9pjAjoRQtJfMGgN4Xk,part_335,2026-09-20 20:35:28
Ekanto Apon,Banquet Hall,Wedding venue,"Wedding venue, Event venue",743377,West Bengal Circle,Kolkata Region,South Presidency Division,"Bakrahat SO, Aryapara BO, Chowl Khola BO",+91 33 2441 7976,https://www.akantoapon.com/,4.1,363.0,"Bus Stop Rd, near Bibirhat, Bakhrahat, Bishnupur, Kolkata, West Bengal 743377",Bakhrahat,22.387321399999998,88.21505239999999,ChIJUUrHgRpjAjoRPLhz5fFJg3U,https://www.google.com/maps/place/?q=place_id:ChIJUUrHgRpjAjoRPLhz5fFJg3U,part_335,2026-09-20 20:35:28
Tarama Villa Dongaria,Banquet Hall,Banquet hall,Banquet hall,743377,West Bengal Circle,Kolkata Region,South Presidency Division,"Bakrahat SO, Aryapara BO, Chowl Khola BO",N/A,N/A,4.3,30.0,"95X9+C9C, Dongaria, West Bengal 743318",743377,22.3985728,88.16840359999999,ChIJYWziQzxjAjoRf1TgndEsPVY,https://www.google.com/maps/place/?q=place_id:ChIJYWziQzxjAjoRf1TgndEsPVY,part_335,2026-09-20 20:35:28
Radha Krishna Villa,Banquet Hall,Banquet hall,Banquet hall,743377,West Bengal Circle,Kolkata Region,South Presidency Division,"Bakrahat SO, Aryapara BO, Chowl Khola BO",N/A,N/A,4.8,5.0,"C55W+399, Maheswarpur, Bawali, Raypur, West Bengal 700137","Maheswarpur, Bawali",22.407656799999998,88.1959935,ChIJDetBO3ljAjoRTpP-KzEbllc,https://www.google.com/maps/place/?q=place_id:ChIJDetBO3ljAjoRTpP-KzEbllc,part_335,2026-09-20 20:35:28
Laxmi Villa (লক্ষী ভিলা),Banquet Hall,Banquet hall,Banquet hall,743377,West Bengal Circle,Kolkata Region,South Presidency Division,"Bakrahat SO, Aryapara BO, Chowl Khola BO",N/A,N/A,4.0,13.0,"963P+HM9, Gotalahut, West Bengal 743503",743377,22.3539046,88.23681189999999,ChIJQ0l_eABjAjoRUq_jzBc7WyA,https://www.google.com/maps/place/?q=place_id:ChIJQ0l_eABjAjoRUq_jzBc7WyA,part_335,2026-09-20 20:35:28
Mayur Bhaban,Banquet Hall,Banquet hall,Banquet hall,743377,West Bengal Circle,Kolkata Region,South Presidency Division,"Bakrahat SO, Aryapara BO, Chowl Khola BO",N/A,N/A,3.4,10.0,"C5CV+3VR, Khankipur, Bawali, Block II, Budge Budge, Sottyapirtala, Nodakhali, West Bengal 700137","Block II, Budge Budge",22.4202332,88.1946785,ChIJrV6fC_J9AjoRqP0CSI6i81o,https://www.google.com/maps/place/?q=place_id:ChIJrV6fC_J9AjoRqP0CSI6i81o,part_335,2026-09-20 20:35:28
Utsav Villa,Banquet Hall,Banquet hall,Banquet hall,743377,West Bengal Circle,Kolkata Region,South Presidency Division,"Bakrahat SO, Aryapara BO, Chowl Khola BO",+91 91634 80749,N/A,3.9,32.0,"C6RP+HHC, Bibirhat Chatta Dakghar Rd, Madhya Nahayari, Nahazari, Raypur, West Bengal 700140",Madhya Nahayari,22.4414347,88.2363969,ChIJe-rLzKJ8AjoRwheCeAJQn0M,https://www.google.com/maps/place/?q=place_id:ChIJe-rLzKJ8AjoRwheCeAJQn0M,part_335,2026-09-20 20:35:28
R.K. Palace,Banquet Hall,Villa,Villa,743377,West Bengal Circle,Kolkata Region,South Presidency Division,"Bakrahat SO, Aryapara BO, Chowl Khola BO",N/A,N/A,4.2,,"Bara Gagan Gohalia, Chanddandaha, West Bengal 743503",Bara Gagan Gohalia,22.3884701,88.2350542,ChIJf151dwBjAjoRpVFQ4ZkSCpA,https://www.google.com/maps/place/?q=place_id:ChIJf151dwBjAjoRpVFQ4ZkSCpA,part_335,2026-09-20 20:35:29
