business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Husnain Auto Electrician & Car AC,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO",0312 9386479,N/A,5.0,,"G3Q6+4JC, Harya Wala, Gujrat, Pakistan",Harya Wala,32.5377057,74.0615171,ChIJESVBFtobHzkR-2ftccVx9Qk,https://www.google.com/maps/place/?q=place_id:ChIJESVBFtobHzkR-2ftccVx9Qk,part_335,2026-09-20 20:41:03
Malik Auto Electrician and Car AC Centre Fort Abbas,Auto Electrician and AC Repair,Auto electrical service,Auto electrical service,743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO",0306 7985027,N/A,5.0,,"6V24+CMR, Sabir Colony Fort Abbas, Pakistan",Sabir Colony,29.2011084,72.85662649999999,ChIJP4OxtOvRPTkR6xPfWESXZUg,https://www.google.com/maps/place/?q=place_id:ChIJP4OxtOvRPTkR6xPfWESXZUg,part_335,2026-09-20 20:41:03
OK Car AC and Auto Electration Fort Abbas,Auto Electrician and AC Repair,Car repair and maintenance service,Car repair and maintenance service,743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO",0301 7361245,N/A,5.0,,"6V35+G34, Fort Abbas, Pakistan",743411,29.203765699999998,72.85770099999999,ChIJj3dOb3nRPTkRKPQY6ACdzd4,https://www.google.com/maps/place/?q=place_id:ChIJj3dOb3nRPTkRKPQY6ACdzd4,part_335,2026-09-20 20:41:03
Saadat Car AC & Auto Electrician,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO",0300 4395218,N/A,3.9,,"Township Block 2 Twp Sector C 2 Lahore, 54770, Pakistan",Township Block 2 Township Sector C 2,31.440682,74.2998444,ChIJmQAy_jkBGTkR91RE3xogKpA,https://www.google.com/maps/place/?q=place_id:ChIJmQAy_jkBGTkR91RE3xogKpA,part_335,2026-09-20 20:41:03
Abu Fatima Auto Electrician And Car AC,Auto Electrician and AC Repair,Car repair and maintenance service,Car repair and maintenance service,743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO",0300 7805173,N/A,5.0,,"Garden Town Bahawalpur, 63100, Pakistan",Garden Town,29.404562499999997,71.6995625,ChIJO9nFo86ROzkRvjUJZDxCUzE,https://www.google.com/maps/place/?q=place_id:ChIJO9nFo86ROzkRvjUJZDxCUzE,part_335,2026-09-20 20:41:03
Adil Auto Electrician & AC Service,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO",N/A,N/A,5.0,,"Circular Rd, Daska, 51010, Pakistan",743411,32.3294908,74.34505759999999,ChIJy8u7t8nbHjkRWE4wAEpGcNs,https://www.google.com/maps/place/?q=place_id:ChIJy8u7t8nbHjkRWE4wAEpGcNs,part_335,2026-09-20 20:41:03
Nath Electronics,Auto Electrician and AC Repair,Electronics store,Electronics store,743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO",N/A,N/A,5.0,,"Adhar Market, near 72 Bus Stand, Basirhat, West Bengal 743411",743411,22.6628702,88.85876929999999,ChIJt2xp2gVV_zkRjB4iyAWQnqo,https://www.google.com/maps/place/?q=place_id:ChIJt2xp2gVV_zkRjB4iyAWQnqo,part_335,2026-09-20 20:41:03
Malik Auto Car AC Centre & Auto Electrician Battery Service,Auto Electrician and AC Repair,Car repair and maintenance service,Car repair and maintenance service,743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO",0300 7612770,N/A,5.0,,"Block Z Madina Town, Faisalabad, Pakistan",Block Z Madina Town,31.421987599999998,73.11831769999999,ChIJC0idaWloIjkRQVTeD2jz7JU,https://www.google.com/maps/place/?q=place_id:ChIJC0idaWloIjkRQVTeD2jz7JU,part_335,2026-09-20 20:41:03
Hafiz Car Ac And Auto Electrician,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO",0320 4664285,N/A,5.0,,"4FM5+GPJ, Steel Bagh Chowk, Kasur, Pakistan",743411,31.1338445,74.45927189999999,ChIJ7xzmWQC7GTkRlo9y1O3X45s,https://www.google.com/maps/place/?q=place_id:ChIJ7xzmWQC7GTkRlo9y1O3X45s,part_335,2026-09-20 20:41:03
Rao Tariq Auto Repar electrician & Car AC Repar,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO",0344 4318824,N/A,5.0,,"BM auto wark shop Bharea, gat numbar 1, Jilyana, Lahore, 53720, Pakistan",Jilyana,31.3923927,74.1885609,ChIJyfeSMnv_GDkRYkpb5f5zqu8,https://www.google.com/maps/place/?q=place_id:ChIJyfeSMnv_GDkRYkpb5f5zqu8,part_335,2026-09-20 20:41:03
