business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Deep Kalsi Electric Works,Welding and Lathe Works,Welder,"Welder, Equipment supplier, Industrial equipment supplier, Metal fabricator, Welding supply store",743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO",+91 95885 62003,https://deepkalsielectricworks.com/,4.9,90.0,"Malout Rd, near Fly Over, Meena Bazaar, Mandi Dabwali, Haryana 125104",Meena Bazaar,29.967640799999998,74.7071466,ChIJZQfL9K_ZFjkRF-aSLoMY4HA,https://www.google.com/maps/place/?q=place_id:ChIJZQfL9K_ZFjkRF-aSLoMY4HA,part_335,2026-09-20 20:41:24
Riffat Ghafoor Wellding Workshop,Welding and Lathe Works,Welding supply store,Welding supply store,743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO",0340 7016610,N/A,5.0,1.0,"JMGG+WMH, Indus Hwy, Basti Bohar, Pakistan",743411,30.6273135,70.6767242,ChIJ8ZVuWkRvJTkRlYOhOTXz-bE,https://www.google.com/maps/place/?q=place_id:ChIJ8ZVuWkRvJTkRlYOhOTXz-bE,part_335,2026-09-20 20:41:24
FedRox CNC Works,Welding and Lathe Works,Manufacturer,Manufacturer,743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO",+91 74398 26445,N/A,4.8,63.0,"370, Sarat Chatterjee Rd, near Punjab National Bank, Bataitala, Kazipada, Shibpur, Howrah, West Bengal 711103","Bataitala, Kazipada, Shibpur",22.5638976,88.31492829999999,ChIJhztWy3V5AjoRJJCo-A6zC9c,https://www.google.com/maps/place/?q=place_id:ChIJhztWy3V5AjoRJJCo-A6zC9c,part_335,2026-09-20 20:41:24
Raj M. Welding works,Welding and Lathe Works,Metal workshop,Metal workshop,743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO",0349 5007475,N/A,5.0,2.0,"RX8C+CFM, Pull bazar, Abbaspur",743411,33.8160789,73.9711602,ChIJGxDTjIxH4DgRlG98QB_IcNQ,https://www.google.com/maps/place/?q=place_id:ChIJGxDTjIxH4DgRlG98QB_IcNQ,part_335,2026-09-20 20:41:24
Uttam industries,Welding and Lathe Works,Welding supply store,Welding supply store,743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO",+91 99999 98797,http://www.uttamwelding.com/,4.7,57.0,"Grand Trunk Rd, near Railway Crossing, Guru Nanak Nagar, Mandi Dabwali, Haryana 125104",Guru Nanak Nagar,29.970148599999998,74.7048013,ChIJZ2jsrMDYFjkRRErwQlEyHz4,https://www.google.com/maps/place/?q=place_id:ChIJZ2jsrMDYFjkRRErwQlEyHz4,part_335,2026-09-20 20:41:24
Vishvakarma welding works,Welding and Lathe Works,Machine workshop,Machine workshop,743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO",+91 97824 81694,N/A,5.0,1.0,"MVJ7+XMP, Narsinghpura, Manjhuwas, 33 Lnp, Rajasthan 335025",Narsinghpura,29.6824548,73.8642074,ChIJ59xa4YNHFjkR_hiDED89lz8,https://www.google.com/maps/place/?q=place_id:ChIJ59xa4YNHFjkR_hiDED89lz8,part_335,2026-09-20 20:41:24
Luxmi welding Works,Welding and Lathe Works,Manufacturer,Manufacturer,743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO",+91 98960 02942,N/A,4.0,4.0,"01 Hissar Road, Chowk, Huda, Sirsa, Haryana 125055",Huda,29.5335294,75.0568026,ChIJLWMy-LNNETkRNHB69dZ6N6A,https://www.google.com/maps/place/?q=place_id:ChIJLWMy-LNNETkRNHB69dZ6N6A,part_335,2026-09-20 20:41:24
Laser CNC metal,Welding and Lathe Works,Manufacturer,Manufacturer,743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO",0300 7150508,N/A,5.0,1.0,"89H5+VJF, Pasrur Rd, Islampura, Daska, Pakistan",Islampura,32.3299087,74.3580712,ChIJW6jlQwDbHjkRDNl7yIrrLx0,https://www.google.com/maps/place/?q=place_id:ChIJW6jlQwDbHjkRDNl7yIrrLx0,part_335,2026-09-20 20:41:24
Shree Vishavkrma Repairing Workshop,Welding and Lathe Works,Iron works,Iron works,743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO",+91 74978 23207,N/A,5.0,7.0,"Shree Vishavakrma repairing workshop, Bhuratwala, Ellenabad, Haryana 125102",743411,29.4186318,74.7776128,ChIJScBiVMalFjkRRm_zXKTpYkw,https://www.google.com/maps/place/?q=place_id:ChIJScBiVMalFjkRRm_zXKTpYkw,part_335,2026-09-20 20:41:24
कृष्णा वेल्डिंग वर्क शॉप,Welding and Lathe Works,Welder,Welder,743411,West Bengal Circle,Kolkata Region,Barasat Division,"Basirhat HO, Basirhat Bazar SO",N/A,N/A,5.0,1.0,"7GH9+P9, Dulrasar, Mangasar, Rajasthan 331403",743411,28.2793542,74.5184647,ChIJW-NG_hztFDkRx2nEtiuy8Hw,https://www.google.com/maps/place/?q=place_id:ChIJW-NG_hztFDkRx2nEtiuy8Hw,part_335,2026-09-20 20:41:24
