business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
S S AGROTECH,Agricultural Machinery and Harvester,Agricultural machinery manufacturer,Agricultural machinery manufacturer,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 98204 57804,http://www.ssagrotech.in/,5.0,17.0,"22, Rabindranagar, near dunlop Gurudwara, Dunlop, Saket Nagar, Bonhooghly, Baranagar, Kolkata, Baranagar, West Bengal 700108","Dunlop, Saket Nagar, Bonhooghly, Baranagar",22.6514173,88.38076079999999,ChIJb1Kt6sed-DkRfcSvR1fRB_0,https://www.google.com/maps/place/?q=place_id:ChIJb1Kt6sed-DkRfcSvR1fRB_0,part_336,2026-09-20 20:18:08,6387
BLUE CHEMP AGRO PVT. LTD,Agricultural Machinery and Harvester,Agricultural machinery manufacturer,"Agricultural machinery manufacturer, Exporter",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 89428 88807,https://www.bluechemp.co.in/,4.2,5.0,"Bus Stand, Kakdihi, Mecheda, Kolaghat, West Bengal 721137",743446,22.4143086,87.8607217,ChIJq83l0QKYAjoRaegsQqJGtnY,https://www.google.com/maps/place/?q=place_id:ChIJq83l0QKYAjoRaegsQqJGtnY,part_336,2026-09-20 20:18:08,6388
Agromill Machinery,Agricultural Machinery and Harvester,Agricultural machinery manufacturer,Agricultural machinery manufacturer,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 99031 31537,https://www.agromill.in/,3.8,5.0,"Marshall House, Room No 703, 7th Floor, 33/1, N S Road, Road, Kolkata, West Bengal 700001","Fairley Place, B.B.D. Bagh",22.578306899999998,88.3481815,ChIJJzsTsLl3AjoRxTYddlqjWaI,https://www.google.com/maps/place/?q=place_id:ChIJJzsTsLl3AjoRxTYddlqjWaI,part_336,2026-09-20 20:18:08,6389
Shri Agrotech Machinery,Agricultural Machinery and Harvester,Agricultural machinery manufacturer,"Agricultural machinery manufacturer, Electric generator shop, Agricultural Product Wholesaler, Agricultural production, Agricultural service, Diesel engine dealer, Farm equipment supplier, Food processing equipment, Laboratory equipment supplier, Soil testing service",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 97492 50548,http://www.shriagrotechmachinery.in/,4.6,59.0,"2nd mile, Mittal Complex, Sevoke Rd, opp. Anandalok Hospital, Ward Number 13, Bankim Nagar, Siliguri, West Bengal 734001","Ward Number 13, Bankim Nagar",26.7299559,88.43196189999999,ChIJhdHeKvVB5DkRU2bpbe4CWkY,https://www.google.com/maps/place/?q=place_id:ChIJhdHeKvVB5DkRU2bpbe4CWkY,part_336,2026-09-20 20:18:08,6390
NSC Agro Equipments,Agricultural Machinery and Harvester,Agricultural machinery manufacturer,"Agricultural machinery manufacturer, Import export company",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 99333 38585,N/A,4.8,,"Rajibpur Road Barabamunia, Guma, Guma, West Bengal 743704",743446,22.8099499,88.5972137,ChIJsaB00dW6-DkRkU2R0aJ9M30,https://www.google.com/maps/place/?q=place_id:ChIJsaB00dW6-DkRkU2R0aJ9M30,part_336,2026-09-20 20:18:09,6391
Bengal Agro Machinery Corporation(Alinagar Branch),Agricultural Machinery and Harvester,Tractor dealer,Tractor dealer,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 77977 66692,N/A,4.5,,"Chunchura-Dhaniakali Rd, Chinsurah R S, Sugandha, Kashwara, West Bengal 712102",Chinsurah R S,22.9129136,88.3087311,ChIJWzfKTbmN-DkRepUVReQaW6I,https://www.google.com/maps/place/?q=place_id:ChIJWzfKTbmN-DkRepUVReQaW6I,part_336,2026-09-20 20:18:09,6392
CHANGFA HARVESTER INDIA,Agricultural Machinery and Harvester,Agricultural machinery manufacturer,Agricultural machinery manufacturer,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,5.0,,"W622+59J, VILL BABNAN MOUZA, Ati, West Bengal 712305",743446,22.9004588,88.20088,ChIJ-TPboqmL-DkRJsYg-5EQ7Tk,https://www.google.com/maps/place/?q=place_id:ChIJ-TPboqmL-DkRJsYg-5EQ7Tk,part_336,2026-09-20 20:18:09,6393
Baba agro machinery,Agricultural Machinery and Harvester,Agricultural service,"Agricultural service, Machine maintenance service, Machine shop",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 6295 668 250,N/A,5.0,,"Maita High School Rd, Mayta, West Bengal 722149",743446,22.8704066,87.2759914,ChIJZWiBWW_p9zkR_AjEgose44o,https://www.google.com/maps/place/?q=place_id:ChIJZWiBWW_p9zkR_AjEgose44o,part_336,2026-09-20 20:18:09,6394
Bengal Agro Machinery,Agricultural Machinery and Harvester,Tractor dealer,Tractor dealer,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,5.0,,"C9R8+4HF Baruipur, Salepur, Khodar Bazar, Kolkata, West Bengal 700145",Salepur,22.3768924,88.4235185,ChIJZcqpGQBtAjoRIk669ejp0AU,https://www.google.com/maps/place/?q=place_id:ChIJZcqpGQBtAjoRIk669ejp0AU,part_336,2026-09-20 20:18:09,6395
World star Harvester or GAM Harvester,Agricultural Machinery and Harvester,Supplier,Supplier,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 6295 701 473,N/A,4.4,,"Bamunairi more Mirjapur, Kotulpur, West Bengal 722154",Bamunarirmore,23.0378659,87.55791049999999,ChIJuacEGEAh-DkRqmK_xukEKhA,https://www.google.com/maps/place/?q=place_id:ChIJuacEGEAh-DkRqmK_xukEKhA,part_336,2026-09-20 20:18:09,6396
