business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SARASWATI BEAUTY PARLOUR,Beauty Parlour,Massage spa,Massage spa,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 83468 02370,N/A,,,"Bazar, Dhuchnikhali Bazar Nearby Dhuchnikhali High School Ps Sandashkhali, Road, Manipur, Dhuchnikhali, West Bengal 743446",743446,22.3127112,88.89512069999999,ChIJd2phWzjzAToRvOUZv6zHDww,https://www.google.com/maps/place/?q=place_id:ChIJd2phWzjzAToRvOUZv6zHDww,part_336,2026-09-20 20:17:51,3812
modern Beauty Parlour,Beauty Parlour,Wellness center,Wellness center,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 93324 28299,N/A,,,"nearby Atapur Kenaram High School (H.S), 8V7Q 37H, Dhuchnikhali, West Bengal 743446",8V7Q 37H,22.3100831,88.89467599999999,ChIJ8b_xYsjzAToRc2QsZHSMmHY,https://www.google.com/maps/place/?q=place_id:ChIJ8b_xYsjzAToRc2QsZHSMmHY,part_336,2026-09-20 20:17:51,3813
Archana Spa Parlour & Makeup Academy | Luxury Beauty Parlour,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Beautician, Facial spa, Make-up artist, Skin care clinic, Tanning salon, Waxing hair removal service",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 82409 11094,N/A,4.9,,"Loknath Hotel, 1 NO, Station Rd, Beladanga, Dakshin Barasat, West Bengal 743372",743446,22.225584599999998,88.4510198,ChIJHXyiPvZBAjoR1kO9VWY4Fsw,https://www.google.com/maps/place/?q=place_id:ChIJHXyiPvZBAjoR1kO9VWY4Fsw,part_336,2026-09-20 20:17:52,3814
Saaz Ladies Beauty Clinic & Salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 98306 16747,N/A,4.9,,"Budge Budge Trunk Rd, opposite Anukul Tharur Ashram, Parbangla, Kolkata, Maheshtala, West Bengal 700139",Parbangla,22.4950656,88.22041349999999,ChIJ_1873vZ9AjoRz7s0oGOncoI,https://www.google.com/maps/place/?q=place_id:ChIJ_1873vZ9AjoRz7s0oGOncoI,part_336,2026-09-20 20:17:52,3815
Naihati fashion zone,Beauty Parlour,Beauty Parlour,Beauty Parlour,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,4.8,,"26/1, Rishi Bankim Chandra Rd, Naihati, Kolkata, West Bengal 743165",Naihati,22.8877484,88.4172913,ChIJVTSetXmX-DkRgLmOhfKq5zg,https://www.google.com/maps/place/?q=place_id:ChIJVTSetXmX-DkRgLmOhfKq5zg,part_336,2026-09-20 20:17:53,3816
Kayals Hair & Beauty,Beauty Parlour,Beauty Parlour,Beauty Parlour,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 96797 32657,N/A,4.8,,"Kolur More, Baharu, Jaynagar, West Bengal 743372",743446,22.202474499999997,88.4401851,ChIJT2dMD71BAjoRLeOsRyhB8_Y,https://www.google.com/maps/place/?q=place_id:ChIJT2dMD71BAjoRLeOsRyhB8_Y,part_336,2026-09-20 20:17:53,3817
SILVER GLOW LADIES SALON,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Make-up artist",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 96419 69013,N/A,4.5,,"Dakshin Barasat, West Bengal 743372",743446,22.2286038,88.4475827,ChIJy_PUpMdBAjoR-XZShEeGnfY,https://www.google.com/maps/place/?q=place_id:ChIJy_PUpMdBAjoR-XZShEeGnfY,part_336,2026-09-20 20:17:53,3818
Piyali's Touch Beauty Clinic & Beauty Academy,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Charter school",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 70034 64048,N/A,4.8,,"Diamond Harbour Rd, Amtala, Kolkata, Kriparampur, West Bengal 743503",Amtala,22.361834599999998,88.27147389999999,ChIJEYH2Z01lAjoRs7tLezj9OY8,https://www.google.com/maps/place/?q=place_id:ChIJEYH2Z01lAjoRs7tLezj9OY8,part_336,2026-09-20 20:17:53,3819
ON LOOK professional beauty salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,4.9,,"30/2, Jan Mahammad Ghat Rd, Naihati, Kolkata, West Bengal 743165",Naihati,22.8895218,88.412943,ChIJr5P7chKX-DkR5daruRaBABY,https://www.google.com/maps/place/?q=place_id:ChIJr5P7chKX-DkR5daruRaBABY,part_336,2026-09-20 20:17:53,3820
Glow and Shine,Beauty Parlour,Beauty Parlour,Beauty Parlour,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",+91 78724 79878,N/A,3.7,,"near hp petrol pump, Minakhan, Malancha, West Bengal 743425",743456,22.5095966,88.7651388,ChIJGxeGLQADAjoRNho5Kpie5Ow,https://www.google.com/maps/place/?q=place_id:ChIJGxeGLQADAjoRNho5Kpie5Ow,part_336,2026-09-20 20:18:37,8841
