business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Laskar Traders,Businesses,Paper distributor,Paper distributor,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 76794 59120,N/A,5.0,,"Laskar Para Jame masjid, Tushkhali, Kolkata, West Bengal 743446",743446,22.3220319,88.8920234,ChIJL4lWGMXzAToRtcycdu1iwLU,https://www.google.com/maps/place/?q=place_id:ChIJL4lWGMXzAToRtcycdu1iwLU,part_336,2026-09-20 20:18:14,6828
NITISH ROY,Businesses,Apartment building,Apartment building,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,5.0,,"8V7F+QCW, Dhuchnikhali, West Bengal 743446",743446,22.314996999999998,88.87357999999999,ChIJmzSyYQDzAToR3lxXDbJsSzU,https://www.google.com/maps/place/?q=place_id:ChIJmzSyYQDzAToR3lxXDbJsSzU,part_336,2026-09-20 20:18:14,6829
Sunlight House,Businesses,Housing complex,Housing complex,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,4.0,,"8W34+G4F, Dhuchnikhali, West Bengal 743446",743446,22.3033161,88.9054941,ChIJc2NaXgDzAToR_JiIu2lwF0w,https://www.google.com/maps/place/?q=place_id:ChIJc2NaXgDzAToR_JiIu2lwF0w,part_336,2026-09-20 20:18:14,6830
BABUSONA MANNA,Businesses,Warehouse,Warehouse,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,5.0,,"Manna Para, Tushkhali, West Bengal 743446",743446,22.3156587,88.89692149999999,ChIJZTbWTRrzAToRiHtOkonwqEA,https://www.google.com/maps/place/?q=place_id:ChIJZTbWTRrzAToRiHtOkonwqEA,part_336,2026-09-20 20:18:14,6831
Niyojit Mondal's House,Businesses,Housing complex,Housing complex,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,5.0,,"8V4X+2XM, Unnamed Road, Dhuchnikhali, West Bengal 743446",743446,22.3051,88.89991409999999,ChIJB7zPT4TzAToRHFTFVa0g-lk,https://www.google.com/maps/place/?q=place_id:ChIJB7zPT4TzAToRHFTFVa0g-lk,part_336,2026-09-20 20:18:14,6832
কৌশিক প্রামানিক,Businesses,Apartment building,Apartment building,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,5.0,,"8W42+8QG, Dhuchnikhali, West Bengal 743446",743446,22.306034999999998,88.90088329999999,ChIJI5DWA6DzAToRoOrLYhBSH3A,https://www.google.com/maps/place/?q=place_id:ChIJI5DWA6DzAToRoOrLYhBSH3A,part_336,2026-09-20 20:18:14,6833
AFRIDI HOUSE,Businesses,Apartment building,Apartment building,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,5.0,,"8V65+3C5, Durgamandap, West Bengal 743446",743446,22.310567199999998,88.8589265,ChIJfWyyDwD1AToRfBi7ie9Lfh4,https://www.google.com/maps/place/?q=place_id:ChIJfWyyDwD1AToRfBi7ie9Lfh4,part_336,2026-09-20 20:18:14,6834
Rahul sardar home,Businesses,Apartment building,Apartment building,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,3.0,,"8V87+P53, Durgamandap, West Bengal 743446",743446,22.3159062,88.8632081,ChIJ5TzeOwD1AToRh9Ggnzfx8Sc,https://www.google.com/maps/place/?q=place_id:ChIJ5TzeOwD1AToRh9Ggnzfx8Sc,part_336,2026-09-20 20:18:14,6835
স্বপ্নের ভবন,Businesses,Housing complex,Housing complex,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,2.0,,"8V4W+QJJ, Dhuchnikhali, West Bengal 743446",743446,22.3069717,88.8965245,ChIJW783cgDzAToRYK5YTSGcVGg,https://www.google.com/maps/place/?q=place_id:ChIJW783cgDzAToRYK5YTSGcVGg,part_336,2026-09-20 20:18:14,6836
Tufan Mandal' house,Businesses,Housing complex,Housing complex,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,4.7,,"7VRW+Q72, Joygopalpur, Dhuchnikhali, West Bengal 743446",743446,22.291887499999998,88.8956406,ChIJC0_U7SfzAToROUC5IoYTSog,https://www.google.com/maps/place/?q=place_id:ChIJC0_U7SfzAToROUC5IoYTSog,part_336,2026-09-20 20:18:14,6837
