business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Kiran fruits and vegetables Supplier,Fruit and Vegetable Wholesaler,Fruits Wholesaler,"Fruits Wholesaler, Basket supplier, Spice store, Fruits & Vegetable Wholesaler",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 97483 90560,N/A,4.6,47.0,"Madan Mohan Burman St, Block C, Machuabazar, Kolkata, West Bengal 700007","Block C, Machuabazar",22.580252599999998,88.35986989999999,ChIJy1eHx853AjoROwtrjGmXhho,https://www.google.com/maps/place/?q=place_id:ChIJy1eHx853AjoROwtrjGmXhho,part_336,2026-09-20 20:17:28,73
Somnath Fruits,Fruit and Vegetable Wholesaler,Fruit and vegetable store,Fruit and vegetable store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 70744 42827,N/A,5.0,1.0,"Near, Sandeshkhali Feri Ghat, Sandeshkhali, West Bengal 743446",743446,22.354117799999997,88.8815162,ChIJu8WlxQ_xAToRl366uwxY89k,https://www.google.com/maps/place/?q=place_id:ChIJu8WlxQ_xAToRl366uwxY89k,part_336,2026-09-20 20:17:28,74
"MMZ Fresh Pvt. Ltd. - Fruits Wholesaler, Exporter & Importer",Fruit and Vegetable Wholesaler,Fruits Wholesaler,"Fruits Wholesaler, Exporter, Fruit wholesaler, Import export company, Importer, Wholesale market, Wholesaler",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,http://mmzfresh.com/,4.7,24.0,"BAL MUKUND MAKKAR, 8/A, Raja Katra, Machuabazar, Kolkata, West Bengal 700007","Raja Katra, Machuabazar",22.580997399999998,88.3597389,ChIJPewGWeKb-DkRgUvY3SEdAw4,https://www.google.com/maps/place/?q=place_id:ChIJPewGWeKb-DkRgUvY3SEdAw4,part_336,2026-09-20 20:17:28,75
Purva Radha Nagar vegetable market,Fruit and Vegetable Wholesaler,Fruit and vegetable store,Fruit and vegetable store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,,,"7V2C+JH9, Radhanagar Purba, West Bengal 743378",743446,22.2515411,88.8714877,ChIJkYJjGQDzAToRmCtOb1dRGC8,https://www.google.com/maps/place/?q=place_id:ChIJkYJjGQDzAToRmCtOb1dRGC8,part_336,2026-09-20 20:17:28,76
MAS Traders,Fruit and Vegetable Wholesaler,Fruits Wholesaler,"Fruits Wholesaler, Fruit wholesaler, Produce market, Fruits & Vegetable Wholesaler",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 82400 53982,http://www.mastradersexim.online/,5.0,12.0,"2/2, fruit market, Ballav Das St, Raja Katra, Machuabazar, Kolkata, West Bengal 700007","Raja Katra, Machuabazar",22.580915599999997,88.35850549999999,ChIJnd0v8LN3AjoRy53UwEA_f7M,https://www.google.com/maps/place/?q=place_id:ChIJnd0v8LN3AjoRy53UwEA_f7M,part_336,2026-09-20 20:17:28,77
Habra Vegetable Market (Kali Market),Fruit and Vegetable Wholesaler,Market,Market,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,4.4,324.0,"RMW5+2JF, Nagarukhra - Habra Rd, Habra, West Bengal 743263",743446,22.8450608,88.6590423,ChIJdTmnQoqx-DkR2R_fBEqeUKI,https://www.google.com/maps/place/?q=place_id:ChIJdTmnQoqx-DkR2R_fBEqeUKI,part_336,2026-09-20 20:17:28,78
IG INTERNATIONAL - KOLKATA BRANCH,Fruit and Vegetable Wholesaler,Fruits Wholesaler,Fruits Wholesaler,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 98339 36784,https://www.iginternational.net/,5.0,268.0,"1E, Madan Mohan Burman St, Raja Katra, World No. 41, Manchua Market, Kolkata, West Bengal 700007","Raja Katra, World No. 41, Manchua Market",22.581223599999998,88.358307,ChIJ8duA2UR3AjoRY1kQXpnZ3qc,https://www.google.com/maps/place/?q=place_id:ChIJ8duA2UR3AjoRY1kQXpnZ3qc,part_336,2026-09-20 20:17:28,79
Brindaban Bazar,Fruit and Vegetable Wholesaler,Market,Market,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,4.5,10.0,"8R5W+FPP, Sukhdoani, West Bengal 743446",743446,22.3087242,88.84683009999999,ChIJ9z68XQD1AToRGNMkoQU3_f0,https://www.google.com/maps/place/?q=place_id:ChIJ9z68XQD1AToRGNMkoQU3_f0,part_336,2026-09-20 20:17:28,80
দক্ষিণ করাকাটি জেলা পাড়া,Fruit and Vegetable Wholesaler,Produce market,Produce market,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,,,"7VQ9+6VC, Korakati, West Bengal 743446",743446,22.2880713,88.8696263,ChIJdQ-sXwDzAToRZWtAmXCZ-94,https://www.google.com/maps/place/?q=place_id:ChIJdQ-sXwDzAToRZWtAmXCZ-94,part_336,2026-09-20 20:17:28,81
Vegtoh,Fruit and Vegetable Wholesaler,Produce market,"Produce market, Fruits & Vegetable Wholesaler",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 89819 35345,https://vegtoh.in/,4.9,,"Banamali Bhattacherjee Ln, Natun bazar, Halisahar, Kanchrapara, West Bengal 743134","Natun bazar, Halisahar",22.942878699999998,88.42687269999999,ChIJ7_jVQJiV-DkR00N3ELJ0KSk,https://www.google.com/maps/place/?q=place_id:ChIJ7_jVQJiV-DkR00N3ELJ0KSk,part_336,2026-09-20 20:17:28,82
