business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
HOTEL ROYAL ISLAND-SUNDARBAN,Hotel,Resort hotel,Resort hotel,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 93305 13306,http://www.hotelroyalisland.com/,4.6,16.0,"Sarberia Dhamakhali Road on Basanti Highway Dhamakhali, Post Office- Rampur, PS, Sandeshkhali, Basirhat, West Bengal 743329",Dhamakhali,22.3565568,88.8749845,ChIJ464MlyfxAToRMEEVK9zUfM8,https://www.google.com/maps/place/?q=place_id:ChIJ464MlyfxAToRMEEVK9zUfM8,part_336,2026-09-20 20:17:56,4292
SUNDARBAN RESIDENCY,Hotel,Hotel,Hotel,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 80 6918 1880,https://sundarbanresidency.com/,,,"6W84+XC9 Sundarban Coastal, Rajat Jubilee, Sadhupur, West Bengal 743378",743446,22.2174062,88.9061084,ChIJwYP4OD2NAToRn-uYFP_AX-4,https://www.google.com/maps/place/?q=place_id:ChIJwYP4OD2NAToRn-uYFP_AX-4,part_336,2026-09-20 20:17:56,4293
HOTEL AAKASH,Hotel,Hotel,Hotel,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,4.4,15.0,"9V59+XWC, Sarberia Dhamakhali Rd, Dhamakhali, Rampur, Sandeshkhali, West Bengal 743329",Dhamakhali,22.3599407,88.8697783,ChIJGdHIBHTxAToRr-AYA6nQb0g,https://www.google.com/maps/place/?q=place_id:ChIJGdHIBHTxAToRr-AYA6nQb0g,part_336,2026-09-20 20:17:56,4294
Sandeshkhali PWD Inspection Bunglow,Hotel,Guest house,Guest house,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,4.1,72.0,"9V3J+MHV, Sandeshkhali, West Bengal 743446",743446,22.3542442,88.8814108,ChIJJ-yeeD_xAToRCzeM7-U3vrQ,https://www.google.com/maps/place/?q=place_id:ChIJJ-yeeD_xAToRCzeM7-U3vrQ,part_336,2026-09-20 20:17:56,4295
Sundarbaner Rupkotha,Hotel,Hotel,Hotel,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 91477 03417,http://www.sundarbanerrupkatha.in/,4.9,41.0,"62M5+MC, Parghumti, West Bengal 743439",743446,22.234215,89.008522,ChIJ220BSgCTAToRuximlZDWmWg,https://www.google.com/maps/place/?q=place_id:ChIJ220BSgCTAToRuximlZDWmWg,part_336,2026-09-20 20:17:56,4296
"Sundarban, Gramer Bari Eco Resort",Hotel,Resort hotel,Resort hotel,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 82760 08109,https://sundarban-gramer-bari.grexa.site/,4.7,386.0,"Gobindakati Sikshaniketan High School, Shridhar Kati, West Bengal 743439",743446,22.243779,89.003328,ChIJc9DR07bsAToRfT6cyFqt3xA,https://www.google.com/maps/place/?q=place_id:ChIJc9DR07bsAToRfT6cyFqt3xA,part_336,2026-09-20 20:17:56,4297
Mahamaya Guest house,Hotel,Hotel,Hotel,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,4.2,17.0,"6X4P+M3, Hemnagar, West Bengal 743439",743446,22.2067165,88.9851175,ChIJV5Kc2J-TAToRDCGmtOGbYHw,https://www.google.com/maps/place/?q=place_id:ChIJV5Kc2J-TAToRDCGmtOGbYHw,part_336,2026-09-20 20:17:56,4298
Hangover Dhaba (hotel & restro).,Hotel,Resort hotel,Resort hotel,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",+91 74310 43035,N/A,4.6,,"Malancha, Basanti Hwy, near HP pump, kalitala, Kolkata, Minakhan, West Bengal 743425",kalitala,22.5086041,88.7644521,ChIJJ8emavUDAjoRs3JWe1XHo5w,https://www.google.com/maps/place/?q=place_id:ChIJJ8emavUDAjoRs3JWe1XHo5w,part_336,2026-09-20 20:18:41,9152
MAA TARA HOTEL,Hotel,Hotel,Hotel,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",N/A,N/A,4.2,,"GP77+J8Q, Kushangra, West Bengal 743425",743456,22.5140824,88.7133657,ChIJIy5rjj0DAjoR0MBKydTJbDs,https://www.google.com/maps/place/?q=place_id:ChIJIy5rjj0DAjoR0MBKydTJbDs,part_336,2026-09-20 20:18:41,9153
Dakshina Hawa Resort,Hotel,Holiday apartment rental,Holiday apartment rental,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",+91 76992 00414,https://dakshinahawaresort.com/,4.3,,"GVXJ+HW, Shulkuniabad, West Bengal 743456",743456,22.548994999999998,88.882329,ChIJTcbiWQD9AToRxDTyDozdKy4,https://www.google.com/maps/place/?q=place_id:ChIJTcbiWQD9AToRxDTyDozdKy4,part_336,2026-09-20 20:18:41,9154
Riya's Resort,Hotel,Resort hotel,Resort hotel,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",N/A,N/A,4.9,,"Malancha Road 3, Deuli, Dhuturdaha, West Bengal 743425",Deuli,22.4505371,88.7088795,ChIJq7PsLZQFAjoR8AuaChXmk9w,https://www.google.com/maps/place/?q=place_id:ChIJq7PsLZQFAjoR8AuaChXmk9w,part_336,2026-09-20 20:18:41,9155
JAL CHABI ECO RESORT,Hotel,Resort hotel,Resort hotel,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",N/A,https://www.jalchabiresort.com/,4.6,,"HPG2+Q59 Bazar, Jhanjha Biswaspara, Road, Gorerdanga, Haroa, Jhanjha, West Bengal 743425",Gorerdanga,22.577009,88.70098089999999,ChIJ8ydArPsHAjoRtwEcrlj-OH0,https://www.google.com/maps/place/?q=place_id:ChIJ8ydArPsHAjoRtwEcrlj-OH0,part_336,2026-09-20 20:18:41,9156
HOTEL APPAYAN,Hotel,Hotel,Hotel,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",+91 82407 83231,N/A,5.0,,"BAZAR, Basanti Hwy, near STATE BANK OF INDIA, Malancha, Chak Ahammadpur, West Bengal 743425",743456,22.5097787,88.7673535,ChIJj9Sj3bEDAjoRZQCrFOzEMrY,https://www.google.com/maps/place/?q=place_id:ChIJj9Sj3bEDAjoRZQCrFOzEMrY,part_336,2026-09-20 20:18:41,9157
RAPiJ Molla,Hotel,Hotel,Hotel,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",N/A,N/A,5.0,,"GQ58+GP4, Chak Ahammadpur, West Bengal 743425",743456,22.5087631,88.7668135,ChIJOT6xX7MDAjoRpcckdASeSaM,https://www.google.com/maps/place/?q=place_id:ChIJOT6xX7MDAjoRpcckdASeSaM,part_336,2026-09-20 20:18:41,9158
