business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Eastern Importers Syndicate,Importers,Bearing supplier,Bearing supplier,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 98744 49535,http://www.easternimporters.in/,3.7,,"2nd floor, 10, Canning St, Fairley Place, B.B.D. Bagh, Kolkata, West Bengal 700001","Fairley Place, B.B.D. Bagh",22.5786995,88.3486453,ChIJe6yzIVN2AjoR2_-MgghXat0,https://www.google.com/maps/place/?q=place_id:ChIJe6yzIVN2AjoR2_-MgghXat0,part_336,2026-09-20 20:18:10,6455
KdsPay Services Pvt. Ltd.,Importers,Supplier,"Supplier, Service establishment",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,https://kdspay.in/,,,"KdsPay Services Pvt. Ltd., 743446, India",743446,22.359250199999998,88.8724817,ChIJNygsjkf9byARIHzOpBJQz6I,https://www.google.com/maps/place/?q=place_id:ChIJNygsjkf9byARIHzOpBJQz6I,part_336,2026-09-20 20:18:10,6456
Campa Sarberia,Importers,Beverage Store,Beverage Store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 70017 67375,N/A,,,"New Market, near Sarberia High School (HS), Sorberia, Fakirtakia, West Bengal 743329",743446,22.3733193,88.7891228,ChIJ49r7aKr3AToRlMddQIu6uQA,https://www.google.com/maps/place/?q=place_id:ChIJ49r7aKr3AToRlMddQIu6uQA,part_336,2026-09-20 20:18:10,6457
সুন্দরবন গোট ফার্ম,Importers,Livestock dealer,Livestock dealer,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 83368 32671,N/A,,,"তুষখালী সোজা রাস্তার মাথা, বিটমিন, Sandeshkhali, West Bengal 743446",743446,22.340423899999998,88.8838858,ChIJJWxFu7PzAToRT23kueqHWbU,https://www.google.com/maps/place/?q=place_id:ChIJJWxFu7PzAToRT23kueqHWbU,part_336,2026-09-20 20:18:10,6458
Wine Shop,Importers,Wine wholesaler and importer,Wine wholesaler and importer,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,5.0,,"9V4G+7CP, Sarberia Dhamakhali Rd, Dhamakhali, Sandeshkhali, West Bengal 743329",Dhamakhali,22.355705399999998,88.8760776,ChIJTQvNRDjxAToRpQZmK_Jhk3Q,https://www.google.com/maps/place/?q=place_id:ChIJTQvNRDjxAToRpQZmK_Jhk3Q,part_336,2026-09-20 20:18:10,6459
Variety Store,Importers,Variety store,"Variety store, Cosmetics store, Electronics wholesaler, Food products supplier, Soft drinks shop",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,,,"9W7C+56M, Khulna-Bhanderkhali Rd, Dholkhali, West Bengal 743446",743446,22.3629504,88.9205336,ChIJM30cml_xAToRe5YM8Ctf0ig,https://www.google.com/maps/place/?q=place_id:ChIJM30cml_xAToRe5YM8Ctf0ig,part_336,2026-09-20 20:18:10,6460
SUJAY ADHIKARY,Importers,Electronic parts supplier,Electronic parts supplier,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,,,"8V98+QQR, Unnamed Road, Durgamandap, West Bengal 743446",743446,22.3194969,88.8669007,ChIJ6w0O9b7zAToR9rHylZekJHE,https://www.google.com/maps/place/?q=place_id:ChIJ6w0O9b7zAToR9rHylZekJHE,part_336,2026-09-20 20:18:10,6461
Ration Shop,Importers,Food products supplier,Food products supplier,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,1.0,,"CV5W+QPV, Nityabaria, West Bengal 743442",743446,22.409478099999998,88.8967883,ChIJD_DIR0nxAToRFSn2F3DSdo0,https://www.google.com/maps/place/?q=place_id:ChIJD_DIR0nxAToRFSn2F3DSdo0,part_336,2026-09-20 20:18:10,6462
Maa tara wood suppliers,Importers,Wood and laminate flooring supplier,Wood and laminate flooring supplier,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,,,"9WFM+93M, Unnamed Road, Bhandarkhali, West Bengal 743439",743446,22.3734695,88.9326753,ChIJOeZmt6XxAToRev5Dbc74ve0,https://www.google.com/maps/place/?q=place_id:ChIJOeZmt6XxAToRev5Dbc74ve0,part_336,2026-09-20 20:18:10,6463
Drinking Water 🚰,Importers,Drinking water supplier,Drinking water supplier,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,,,"8V6W+45H, Atapur, West Bengal 743446",743446,22.310316699999998,88.8954888,ChIJOX5SfADzAToRoBGST8mKQ34,https://www.google.com/maps/place/?q=place_id:ChIJOX5SfADzAToRoBGST8mKQ34,part_336,2026-09-20 20:18:10,6464
Drinking Water 🚰,Importers,Drinking water supplier,Drinking water supplier,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,,,"7WJ6+M58, Joygopalpur, West Bengal 743446",743446,22.2816741,88.9104404,ChIJr1l0GQDzAToR_Itf2zoigpw,https://www.google.com/maps/place/?q=place_id:ChIJr1l0GQDzAToR_Itf2zoigpw,part_336,2026-09-20 20:18:10,6465
Suraiya Pan Store,Importers,Food broker,Food broker,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,,,"8RMX+CP2, Jeliakhali Purba Khanda, Jeliakhali Pashchim Khanda, West Bengal 743329",743446,22.333514599999997,88.84926569999999,ChIJUbfsCgD3AToRp4x_Ab-1Vbw,https://www.google.com/maps/place/?q=place_id:ChIJUbfsCgD3AToRp4x_Ab-1Vbw,part_336,2026-09-20 20:18:10,6466
Drinking Water 🚰,Importers,Drinking water supplier,Drinking water supplier,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,,,"7VVX+8V8, Dhuchnikhali, West Bengal 743446",743446,22.2930241,88.8993699,ChIJU46LSwDzAToRkSrVlk8oARA,https://www.google.com/maps/place/?q=place_id:ChIJU46LSwDzAToRkSrVlk8oARA,part_336,2026-09-20 20:18:10,6467
MOLLA EGG CENTER,Importers,General store,"General store, Egg supplier",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 96411 28373,N/A,5.0,,"Office, Vill- Rampur,Po- Rampur,Ps- Sandeshkhali Dis- North 24parganas,Pin- 743329, Post, near by Rampur, West Bengal 743329",743446,22.3618333,88.8226026,ChIJOXqoJiD3AToRHO7jCav3koA,https://www.google.com/maps/place/?q=place_id:ChIJOXqoJiD3AToRHO7jCav3koA,part_336,2026-09-20 20:18:10,6468
SUNDARBON JOBJI SUPPLIERS,Importers,General store,General store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 87684 09254,N/A,,,"Bus Stop, Vill Rampur Po Rampur Ps Sandeshkhali Dis North 24 Parganas Pin 743329, near by Rampur, West Bengal 743329",743446,22.3734499,88.8275092,ChIJtzOeuTv3AToRIM_Plt5m7Zg,https://www.google.com/maps/place/?q=place_id:ChIJtzOeuTv3AToRIM_Plt5m7Zg,part_336,2026-09-20 20:18:10,6469
Gadadhar parua,Importers,Water Filter Supplier,Water Filter Supplier,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,,,"CV5Q+MG3, Nityabaria, West Bengal 743442",743446,22.4091362,88.888797,ChIJLz5vGwDxAToRQ3CdQiuYX2Y,https://www.google.com/maps/place/?q=place_id:ChIJLz5vGwDxAToRQ3CdQiuYX2Y,part_336,2026-09-20 20:18:10,6470
DAS KRISHI BHANDAR,Importers,General store,"General store, Fertilizer Store",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 93826 68245,N/A,4.0,1.0,"8245, near Amtali Bazar Road, Amtali, Sandeshkhali, West Bengal 743378",743446,22.250955599999998,88.8951431,ChIJX4j4qivzAToRjqWgEeYxAWQ,https://www.google.com/maps/place/?q=place_id:ChIJX4j4qivzAToRjqWgEeYxAWQ,part_336,2026-09-20 20:18:10,6471
Dhamakhali Ferry Ghat,Importers,Ferry terminal,Ferry terminal,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,4.1,,"Dhamakhali, Sandeshkhali, West Bengal 743446",Dhamakhali,22.3557913,88.8762939,ChIJnU2zWzjxAToR-Nh7usUggiA,https://www.google.com/maps/place/?q=place_id:ChIJnU2zWzjxAToR-Nh7usUggiA,part_336,2026-09-20 20:18:11,6472
Yash traders & Yaash Enterprises. Exporter & Importer.,Importers,Wholesaler,Wholesaler,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",N/A,N/A,,,"Gangati, near Malatipur, Malotipur, Sadiknagar, West Bengal 743445",743456,22.654069,88.7508792,ChIJt84dotOr-DkRUvrprTy48II,https://www.google.com/maps/place/?q=place_id:ChIJt84dotOr-DkRUvrprTy48II,part_336,2026-09-20 20:18:56,10211
Bright Star Fish Seed & Feed Suppliers,Importers,Fish processing,Fish processing,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",N/A,N/A,5.0,1.0,"JR78+WHH Bright Star Fish Seed & Feed Suppliers, Naldi, Rajendrapur, West Bengal 743291",Naldi,22.614822399999998,88.8164977,ChIJcQHcJgD_AToRdr18zEveFJA,https://www.google.com/maps/place/?q=place_id:ChIJcQHcJgD_AToRdr18zEveFJA,part_336,2026-09-20 20:18:56,10212
S.M.I. TRED INTERNATIONAL,Importers,Import export company,Import export company,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",N/A,N/A,,,"HWF8+RX7, Hasnabad, Taki, West Bengal 743426",743456,22.5745269,88.91741739999999,ChIJ8Qv3JgD9AToR-5QyxtvucBE,https://www.google.com/maps/place/?q=place_id:ChIJ8Qv3JgD9AToR-5QyxtvucBE,part_336,2026-09-20 20:18:56,10213
BARUI SEED SUPPLIERS,Importers,Store,Store,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",N/A,N/A,5.0,2.0,"Jetty Ghat Rd, Madari, West Bengal 743425",743456,22.5083524,88.77306639999999,ChIJtzjIPgADAjoRTrlVuKgTKiY,https://www.google.com/maps/place/?q=place_id:ChIJtzjIPgADAjoRTrlVuKgTKiY,part_336,2026-09-20 20:18:56,10214
A M SEEDS SUPPLIER,Importers,Wholesaler,"Wholesaler, Farm equipment supplier",743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",+91 89187 33182,N/A,4.3,6.0,"Kanaimollah Road, nearby Jame Masjid, Majharpara, Matbari Abad, Minakhan, West Bengal 743425",Majharpara,22.4848213,88.7483384,ChIJedV7SWQDAjoRGefZ5uyJNsQ,https://www.google.com/maps/place/?q=place_id:ChIJedV7SWQDAjoRGefZ5uyJNsQ,part_336,2026-09-20 20:18:56,10215
Aviyaan Udyog pvt ltd,Importers,Coal Supplier,Coal Supplier,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",N/A,N/A,5.0,2.0,"GP3Q+9RP, Joygram Road, Minakhan, Balihati, West Bengal 743425",743456,22.503452199999998,88.739581,ChIJw-T9AQADAjoRNOanQbF8DKA,https://www.google.com/maps/place/?q=place_id:ChIJw-T9AQADAjoRNOanQbF8DKA,part_336,2026-09-20 20:18:56,10216
MAA KALI AQUATIC SUPPLIERS,Importers,General store,General store,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",+91 89272 01003,N/A,4.7,6.0,"Simulia Kalibari, To, Hasnabad - Hingalganj Rd, near Mandir PS, Hasnabad, Simulia, West Bengal 743426",743456,22.5593194,88.9181515,ChIJo-oRYpj9AToRrA7V71ig1Dg,https://www.google.com/maps/place/?q=place_id:ChIJo-oRYpj9AToRrA7V71ig1Dg,part_336,2026-09-20 20:18:56,10217
Bhowanipur Cs & Fl Shop,Importers,Wine wholesaler and importer,Wine wholesaler and importer,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",N/A,N/A,3.5,4.0,"HR2G+559, Bhebia, Kaugachhi, West Bengal 743456",Bhebia,22.5504794,88.8254779,ChIJEbynrQH_AToReJdqsoS1n6c,https://www.google.com/maps/place/?q=place_id:ChIJEbynrQH_AToReJdqsoS1n6c,part_336,2026-09-20 20:18:56,10218
Ishan killer,Importers,Importer,Importer,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",N/A,N/A,,,"Taki, Kalkata, West Bengal 743429",743456,22.5863755,88.90785269999999,ChIJ-YUr7xX9AToR7qjbyKaxesc,https://www.google.com/maps/place/?q=place_id:ChIJ-YUr7xX9AToR7qjbyKaxesc,part_336,2026-09-20 20:18:56,10219
Zam Zam Aqua,Importers,Water Filter Supplier,Water Filter Supplier,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",N/A,N/A,2.3,3.0,"HRR2+JW4, Jhuruli, Garakupi, West Bengal 743456",743456,22.5915034,88.8023166,ChIJdZhdenf_AToRoW-y11foGGU,https://www.google.com/maps/place/?q=place_id:ChIJdZhdenf_AToRoW-y11foGGU,part_336,2026-09-20 20:18:56,10220
Kalibari muri mil,Importers,Food broker,Food broker,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",N/A,N/A,,,"GQX5+WX9, Mohanpur, West Bengal 743456",743456,22.5497972,88.7599953,ChIJD4WHFAABAjoRz0e03jZE5Z8,https://www.google.com/maps/place/?q=place_id:ChIJD4WHFAABAjoRz0e03jZE5Z8,part_336,2026-09-20 20:18:56,10221
SD BRICKS SUPPLIER,Importers,Supplier,Supplier,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",+91 97493 71598,N/A,,,"Basanti Hwy, Kolkata, Malancha Abad, West Bengal 743425",743456,22.497075799999998,88.77840929999999,ChIJRTdxa5gDAjoR85DMaqlw8lI,https://www.google.com/maps/place/?q=place_id:ChIJRTdxa5gDAjoR85DMaqlw8lI,part_336,2026-09-20 20:18:56,10222
ONACO TRADING LLP,Importers,Rubber products supplier,Rubber products supplier,743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",+91 85858 24343,N/A,5.0,,"Malancha, West Bengal 743502",743502,22.4915725,88.5797896,ChIJWe5AidQPAjoRd3EZIXNGDJI,https://www.google.com/maps/place/?q=place_id:ChIJWe5AidQPAjoRd3EZIXNGDJI,part_336,2026-09-20 20:19:44,15351
s.s.distributors,Importers,Pharmacy,Pharmacy,743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",N/A,N/A,5.0,,"GJ86+76W, Bhangar Raghunathpur, West Bengal 743502",743502,22.515727599999998,88.6105821,ChIJtSrMizQPAjoRrKQGTHl_mFs,https://www.google.com/maps/place/?q=place_id:ChIJtSrMizQPAjoRrKQGTHl_mFs,part_336,2026-09-20 20:19:44,15352
Ziyt India Marketing Pvt. Ltd Head Quarter,Importers,Association / Organization,Association / Organization,743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",+91 97755 85883,http://www.wellvivaorganics.com/,5.0,,"Bhangar College Rd, Gobindapur, Bhangar Raghunathpur, West Bengal 743502",743502,22.516865199999998,88.6102935,ChIJPwEynNMPAjoRRKwUZM_Wc_U,https://www.google.com/maps/place/?q=place_id:ChIJPwEynNMPAjoRRKwUZM_Wc_U,part_336,2026-09-20 20:19:44,15353
Mirar overseas private limited,Importers,Import export company,Import export company,743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",+91 76796 73669,N/A,,,"FG4X+QG9, Dari Madhabpur, West Bengal 743502",743502,22.4562685,88.54875559999999,ChIJnSdXAgANAjoRUn_x82jWyq8,https://www.google.com/maps/place/?q=place_id:ChIJnSdXAgANAjoRUn_x82jWyq8,part_336,2026-09-20 20:19:44,15354
Rama Overseas Limited,Importers,Leather Exporter,Leather Exporter,743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",+91 33 2343 2213,https://www.ramaoverseasltd.com/,4.2,,"Zone-5, Plot-357, Leather Complex, Bhangore, 24 Parganas (s), Kolkata, West Bengal 743502",Karaidanga,22.4931222,88.515447,ChIJC2G0EooMAjoR7mFrAAo0MbU,https://www.google.com/maps/place/?q=place_id:ChIJC2G0EooMAjoR7mFrAAo0MbU,part_336,2026-09-20 20:19:44,15355
SAHAJI SHOP CENTRE,Importers,Supplier,Supplier,743502,West bengal circle,Kolkata Region,South Presidency Division,"Bamunia  BO, Beonta BO, Bhangar Chaltaberia BO",+91 98747 87576,N/A,4.4,,"Bhangar, Bhojerhat, West Bengal 743502",Bantala,22.5094401,88.5406569,ChIJZUsng_MLAjoRW0Px4dsUf3I,https://www.google.com/maps/place/?q=place_id:ChIJZUsng_MLAjoRW0Px4dsUf3I,part_336,2026-09-20 20:19:44,15356
