business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Subhodip Marriage Hall,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,4.2,72.0,"CF5F+WRH, Bhanta, West Bengal 743613",743446,22.4098172,88.4746201,ChIJ02hL-U1tAjoRKFYKbsBzkNA,https://www.google.com/maps/place/?q=place_id:ChIJ02hL-U1tAjoRKFYKbsBzkNA,part_336,2026-09-20 20:17:54
Galaxy Ceremony Hall - Halisahar Marriage Hall,Marriage Hall / Kalyana Mandapam,Festival hall,Festival hall,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 98360 24249,N/A,4.1,282.0,"HK Bhatta Rd, Halisahar Station Road, Konamore, Nabanagar, Halisahar, Kanchrapara, West Bengal 743135","Halisahar Station Road, Konamore, Nabanagar, Halisahar",22.9198567,88.42529739999999,ChIJ2dLyMD-U-DkRleHpinm_a0w,https://www.google.com/maps/place/?q=place_id:ChIJ2dLyMD-U-DkRleHpinm_a0w,part_336,2026-09-20 20:17:54
Baro Kuthi - Rajbari,Marriage Hall / Kalyana Mandapam,Banquet hall,"Banquet hall, Event venue, Wedding venue",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 98363 67737,https://www.barokuthirajbari.com/,4.8,498.0,"64/B, Khudiram Bose Sarani, near SBI Bank, Milk Colony, Belgachia, Kolkata, West Bengal 700037","Milk Colony, Belgachia",22.6056602,88.3904312,ChIJVWmXYhd3AjoRGzdYp2mGVwU,https://www.google.com/maps/place/?q=place_id:ChIJVWmXYhd3AjoRGzdYp2mGVwU,part_336,2026-09-20 20:17:54
JMS Villa & Gardens (AC Banquet Hall With Garden),Marriage Hall / Kalyana Mandapam,Banquet hall,"Banquet hall, Event venue, Shooting event area, Villa, Wedding venue",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 77670 01000,http://www.jmsvilla.com/,4.4,1313.0,"456, Anandapur High Rd, Madurdaha, Hussainpur, Kolkata, West Bengal 700107","Madurdaha, Hussainpur",22.5071838,88.4051167,ChIJX15Y4_xzAjoRG8w4lCKDwzc,https://www.google.com/maps/place/?q=place_id:ChIJX15Y4_xzAjoRG8w4lCKDwzc,part_336,2026-09-20 20:17:54
Saha's Riverside,Marriage Hall / Kalyana Mandapam,Banquet hall,"Banquet hall, Wedding venue",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 90511 56155,https://www.facebook.com/sahasriverside/,4.6,599.0,"Landmark- 236ft from Reliance Petrol Pump, 100, GT Rd, West Baghkhal, Rishra, West Bengal 712248","West Baghkhal, Rishra",22.716256899999998,88.35583299999999,ChIJA3SoBIqb-DkRCXIKvT3-MPg,https://www.google.com/maps/place/?q=place_id:ChIJA3SoBIqb-DkRCXIKvT3-MPg,part_336,2026-09-20 20:17:54
Varmala Banquet,Marriage Hall / Kalyana Mandapam,Banquet hall,"Banquet hall, Event venue, Wedding venue",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 91237 56125,http://www.varmalabanquet.com/,4.7,144.0,"Lokenath Mandir, T 70 Teghoria, P.O Hatiara, Tegharia, Kolkata, West Bengal 700157","Pearabagan, Tegharia, Baguiati",22.6211281,88.4386293,ChIJr7i5Rc6f-DkRBPpoAee_GSs,https://www.google.com/maps/place/?q=place_id:ChIJr7i5Rc6f-DkRBPpoAee_GSs,part_336,2026-09-20 20:17:54
MAYA LAWN & BANQUET,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 62905 83263,N/A,4.8,31.0,"Sodepur Rd, opposite APC COLLEGE, SAJIRHAT, Madhyamgram, Kolkata, West Bengal 700110","SAJIRHAT, Madhyamgram",22.6979136,88.4392494,ChIJTzbuOTKf-DkR4NpA72_uDBU,https://www.google.com/maps/place/?q=place_id:ChIJTzbuOTKf-DkR4NpA72_uDBU,part_336,2026-09-20 20:17:54
"Garden Palace, Kodalia",Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,4.3,154.0,"CC49+RV9, Unnamed Road, Harinavi, Rajpur Sonarpur, West Bengal 700146",Harinavi,22.4070263,88.4197287,ChIJ0zi6GO1tAjoRQNeCi0j1TbA,https://www.google.com/maps/place/?q=place_id:ChIJ0zi6GO1tAjoRQNeCi0j1TbA,part_336,2026-09-20 20:17:54
AMP BANQUET,Marriage Hall / Kalyana Mandapam,Banquet hall,Banquet hall,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 73192 21392,N/A,4.4,48.0,"above Trends, Bhangar, Gobindapur, West Bengal 743502",743446,22.510834,88.616042,ChIJa6OVEuUPAjoRxsXYG_EWao8,https://www.google.com/maps/place/?q=place_id:ChIJa6OVEuUPAjoRxsXYG_EWao8,part_336,2026-09-20 20:17:54
Anusthan Bari Marriage Hall,Marriage Hall / Kalyana Mandapam,Event venue,Event venue,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,4.0,8.0,"310, Netaji Subhas Chandra Bose Rd, opp. DE PALL SCHOOL, Bansdroni, Kolkata, West Bengal 700070",Bansdroni,22.473976999999998,88.3594672,ChIJtaTSLfxwAjoR1o2VquALD1w,https://www.google.com/maps/place/?q=place_id:ChIJtaTSLfxwAjoR1o2VquALD1w,part_336,2026-09-20 20:17:54
