business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Lakhshmi Narayan Variety,Supermarket,Grocery store,Grocery store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 77974 37998,N/A,5.0,3.0,"BHANGA TUSH KHALI Bhanga, Tushkhali, West Bengal 743329",743446,22.3370219,88.8744658,ChIJZeWh8WvxAToRcj36LkMrKxg,https://www.google.com/maps/place/?q=place_id:ChIJZeWh8WvxAToRcj36LkMrKxg,part_336,2026-09-20 20:17:28
চিরঞ্জিত মুদি ভান্ডার,Supermarket,Grocery store,Grocery store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,,,"8RGF+935, Jeliakhali Pashchim Khanda, West Bengal 743329",743446,22.325896699999998,88.82273169999999,ChIJvSbzWQD1AToRdkmW-TIU0wk,https://www.google.com/maps/place/?q=place_id:ChIJvSbzWQD1AToRdkmW-TIU0wk,part_336,2026-09-20 20:17:28
MASUM STORE,Supermarket,Grocery store,Grocery store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 74309 24394,N/A,1.0,1.0,"Dhamakhali, Sandeshkhali, Jhupkhali, West Bengal 743329",Dhamakhali,22.372501099999997,88.851012,ChIJ1VqAnm73AToRaOUDXlWdB5A,https://www.google.com/maps/place/?q=place_id:ChIJ1VqAnm73AToRaOUDXlWdB5A,part_336,2026-09-20 20:17:28
Sardar Food,Supermarket,Grocery store,Grocery store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 93825 96188,N/A,,,"88, Kara Kati, West Bengal 743446",743446,22.311220199999998,88.8408535,ChIJg1p2OTr1AToRDOhhCNNcW50,https://www.google.com/maps/place/?q=place_id:ChIJg1p2OTr1AToRDOhhCNNcW50,part_336,2026-09-20 20:17:28
SAHINA STORES Variety,Supermarket,Grocery store,Grocery store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 86959 75112,N/A,5.0,1.0,"Bazar, Dhamakhali, West Bengal 743329",743446,22.3654469,88.8576847,ChIJfc7hIGz3AToRPS89-gA-Ld8,https://www.google.com/maps/place/?q=place_id:ChIJfc7hIGz3AToRPS89-gA-Ld8,part_336,2026-09-20 20:17:28
Avik Shop,Supermarket,Grocery store,Grocery store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 73849 21218,N/A,,,"Avik Shop, Kaushik Road, Sandeshkhali, Korakati, West Bengal 743446",743446,22.279982,88.8777795,ChIJdR6PV4DzAToRieL-rGk3cEY,https://www.google.com/maps/place/?q=place_id:ChIJdR6PV4DzAToRieL-rGk3cEY,part_336,2026-09-20 20:17:28
Rameswarpur Market,Supermarket,Market,Market,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,N/A,4.1,171.0,"GWWV+6FR, Patli Rameshwarpur Rd, Hasnabad, Rameswarpur, West Bengal 743426",743446,22.5456176,88.9436478,ChIJFXUReDXjAToR9C0xtL_7ol4,https://www.google.com/maps/place/?q=place_id:ChIJFXUReDXjAToR9C0xtL_7ol4,part_336,2026-09-20 20:17:29
"MORE Retail Outlet, Ichhapore",Supermarket,Grocery store,Grocery store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 81081 38000,N/A,4.1,259.0,"North, Chowmatha, Chunripara, Kanthadhar, Ichhapur Defence Estate, Barrackpur, West Bengal 743144","Chowmatha, Chunripara, Kanthadhar",22.7925743,88.3677396,ChIJ9U5Qc4Sb-DkRRj7ayZdqTZU,https://www.google.com/maps/place/?q=place_id:ChIJ9U5Qc4Sb-DkRRj7ayZdqTZU,part_336,2026-09-20 20:17:29
Sumosave Supermarket Shyamnagar,Supermarket,Indian grocery store,Indian grocery store,743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",N/A,https://www.sumosave.in/,4.8,538.0,"ROY House, 25, W Ghosh Para Rd, PO, Shyamnagar, Bhatpara, West Bengal 743127","PO, Shyamnagar",22.8280757,88.3793419,ChIJ05tvKj-R-DkRKdqAHTS4tXI,https://www.google.com/maps/place/?q=place_id:ChIJ05tvKj-R-DkRKdqAHTS4tXI,part_336,2026-09-20 20:17:29
More Supermarket - Basirhat,Supermarket,Supermarket,"Supermarket, Grocery store",743446,West Bengal Circle,Kolkata Region,Barasat Division,"Sandeshkhali SO, Atapur BO, Bhanga Tushkhali BO",+91 81081 38000,https://more.in/,4.1,480.0,"Kacharipara, Sarat Biswas Road, near LICI Office, Lake Terrace, Basirhat, West Bengal 743411",Lake Terrace,22.6613008,88.8713997,ChIJW8ZS08JX_zkRAgm0ckbQ9UU,https://www.google.com/maps/place/?q=place_id:ChIJW8ZS08JX_zkRAgm0ckbQ9UU,part_336,2026-09-20 20:17:29
