business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
ONLINE DIGI POINT,Internet Cafe,Internet cafe,Internet cafe,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",N/A,N/A,5.0,4.0,"GRX6+4Q6, Sultanpur Rd, Bhebia, Sadigachhi, Sultanpur, West Bengal 743456",Bhebia,22.547777699999997,88.8118753,ChIJOUnIOwD_AToRmeL9c8bzqtw,https://www.google.com/maps/place/?q=place_id:ChIJOUnIOwD_AToRmeL9c8bzqtw,part_336,2026-09-20 20:18:47
Nurpur CSC Centre,Internet Cafe,Internet cafe,Internet cafe,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",N/A,N/A,5.0,1.0,"HR92+59G, Nurpur, West Bengal 743456",743456,22.567939499999998,88.80094489999999,ChIJ6zbrIwD_AToRxpaKX7pGSI4,https://www.google.com/maps/place/?q=place_id:ChIJ6zbrIwD_AToRxpaKX7pGSI4,part_336,2026-09-20 20:18:47
Gazi Internet Hub (গাজী ইন্টারনেট হাব),Internet Cafe,Internet cafe,"Internet cafe, Internet service provider, Tax consultant",743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",+91 72178 40879,N/A,4.8,19.0,"Bhebia To Siristala Road, Dakshin Bhebia, West Bengal 743456",743456,22.523452199999998,88.81688249999999,ChIJlZSmubH_AToRCMi5JOy9ydI,https://www.google.com/maps/place/?q=place_id:ChIJlZSmubH_AToRCMi5JOy9ydI,part_336,2026-09-20 20:18:47
Ahmed Cyber Point & Bank CSP,Internet Cafe,Internet cafe,Internet cafe,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",+91 97324 55100,N/A,5.0,12.0,"Rajapur, West Bengal 743456",743456,22.555650999999997,88.8425542,ChIJ62tnjar_AToRInaQsDcXoQU,https://www.google.com/maps/place/?q=place_id:ChIJ62tnjar_AToRInaQsDcXoQU,part_336,2026-09-20 20:18:47
MALIHA CYBER POINT,Internet Cafe,Internet cafe,"Internet cafe, Computer service",743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",+91 81677 56830,N/A,5.0,2.0,"BASTALA More, Malancha - Taki Road, Bhebia, Sultanpur, Gobindapur, West Bengal 743456",Bhebia,22.5547796,88.8101567,ChIJ6yI4h4r_AToR25s1zc4Cr5o,https://www.google.com/maps/place/?q=place_id:ChIJ6yI4h4r_AToR25s1zc4Cr5o,part_336,2026-09-20 20:18:47
SK NETWORLD (SM HUMANE),Internet Cafe,Internet cafe,"Internet cafe, Internet shop",743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",+91 80011 48595,N/A,4.8,16.0,"VILL-JHURULI, P.O-GARAKUPI, P.S-BASIRHAT, PIN-743456, BASIRHAT, West Bengal 743456",743456,22.594777999999998,88.800057,ChIJPVVVlZX_AToRvzREOgeZog0,https://www.google.com/maps/place/?q=place_id:ChIJPVVVlZX_AToRvzREOgeZog0,part_336,2026-09-20 20:18:47
MG NET POINT,Internet Cafe,Internet cafe,Internet cafe,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",N/A,N/A,,,"HR39+WG5, Road, near by Gobindapur, Bhebia, Gobindapur, West Bengal 743456",Bhebia,22.5547731,88.8188541,ChIJLYMBgIr_AToRAzOpV897ph0,https://www.google.com/maps/place/?q=place_id:ChIJLYMBgIr_AToRAzOpV897ph0,part_336,2026-09-20 20:18:47
MAHIN NET POINT,Internet Cafe,Internet cafe,Internet cafe,743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",+91 62969 33807,N/A,5.0,1.0,"HIGH SCHOOL, Champapukur Road, near by High School, Jhuruli, West Bengal 743456",743456,22.5978086,88.79885349999999,ChIJBxEDeKX_AToRcKAXcJDzHls,https://www.google.com/maps/place/?q=place_id:ChIJBxEDeKX_AToRcKAXcJDzHls,part_336,2026-09-20 20:18:47
Alpana Online,Internet Cafe,Internet cafe,"Internet cafe, Book store, Stationery store",743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",+91 96416 56704,N/A,4.2,6.0,"SH 2, Sadigachhi, West Bengal 743456",743456,22.5532586,88.8228184,ChIJ_132JmD_AToR0z9mk8V-T5U,https://www.google.com/maps/place/?q=place_id:ChIJ_132JmD_AToR0z9mk8V-T5U,part_336,2026-09-20 20:18:47
Mondal M Xerox & CSC Center,Internet Cafe,Internet cafe,"Internet cafe, Business banking service, Computer service, Internet shop",743456,West Bengal Circle,Kolkata Region,Barasat Division,"Bhebia SO, Abadkuliadanga BO, Amodpur BO",+91 85359 31417,N/A,4.2,24.0,"Chaital, West Bengal 743456",743456,22.517024499999998,88.787735,ChIJP-FtfwACAjoRi3EJnifFsf0,https://www.google.com/maps/place/?q=place_id:ChIJP-FtfwACAjoRi3EJnifFsf0,part_336,2026-09-20 20:18:47
